,DUP22q11_2,DUP22q11_2,DUP22q11_2,DEL1q21_1,DEL1q21_1,DEL1q21_1
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train
0,1.1602215179611688,0.08417825992995169,62.5,0.13861746783712045,30.0,0.7027601299372918
1,0.6934448705805483,0.0866322367244875,62.5,0.13845708641495288,70.0,0.6938761662318196
2,0.6936169793033962,0.08673122840086829,37.5,0.1387353590737212,30.0,0.6924341403945214
3,0.6917681698401602,0.08678387554389186,37.5,0.13946398745754723,30.0,0.6901936236416117
4,0.6890909535251901,0.08695361615066242,37.5,0.14032794906732426,30.0,0.6933837457097286
5,0.6886068209656598,0.0870939712545821,37.5,0.13939647923647974,30.0,0.6906166779418879
6,0.691359430554434,0.08729501793457037,37.5,0.14005247479038868,30.0,0.6920375321789918
7,0.6837127274184007,0.08751497698964089,37.5,0.14034439080356437,30.0,0.689107081345076
8,0.6779980872710821,0.0879090727135915,37.5,0.14060058816921178,30.0,0.7022942191385633
9,0.6853636805932317,0.08832961064141079,37.5,0.1420113213497279,30.0,0.6939586515833587
10,0.6940469518639262,0.08867304889174984,37.5,0.15053377778709096,30.0,0.6197768757796339
11,0.7123068184569201,0.08889550865519988,37.5,0.25425515189487086,30.0,0.7853898424325007
12,0.7031560262730177,0.08812890292747133,37.5,0.1278280352773686,70.0,0.6735614274567746
13,0.6943583070640935,0.08848092146802533,37.5,0.13684005083370426,60.0,0.6221084278666236
14,0.6921726933627081,0.13992603004597293,37.5,0.4126208074464411,30.0,0.3915916649861742
15,0.7637306607415505,0.10686372816579123,37.5,0.21394146680499407,40.0,0.33464407396424056
16,0.6914779147232769,0.0878837930065697,37.5,0.40505871626183465,40.0,0.22340493050364252
17,0.6261322657932583,0.1130396172432729,37.5,0.3289714237140002,50.0,0.03636890745676585
18,0.540545972803791,0.15842667938445326,37.5,0.533365358062271,50.0,0.0643308455556276
19,0.5552074785233253,0.19265788910241446,37.5,0.2935030057264143,50.0,0.012774521668044395
20,0.5482227312095173,0.11938204360668447,37.5,0.2917565404236271,50.0,0.19209575568872034
21,0.6773355938394303,0.08913472699494299,37.5,0.6553528419042214,50.0,0.03945707249905874
22,0.5587116490686621,0.10410293642355624,37.5,0.460699305724072,50.0,0.0015169488177453185
23,1.7661127840292807,0.38544021622273733,37.5,0.4022320352733321,50.0,0.005163278777262372
24,0.40966867122130907,0.14255344626895178,37.5,0.6054471563450196,60.0,0.0032404148582270515
25,0.5301308416371541,0.13926832357623203,25.0,0.7480714187269264,40.0,0.00828163930294331
26,0.5226692417558717,0.1819215375390666,25.0,0.48225612299242915,50.0,0.001355414555140972
27,0.9952080413247896,0.2419758131630448,25.0,0.6381141964348904,60.0,0.0009715336375743409
28,0.696758002463944,0.18580303627215275,25.0,0.5666166130113678,50.0,0.0026873231380862136
29,0.6212034246572518,0.1672563012460837,25.0,0.8795354813419063,50.0,0.0007133030035680849
30,0.5178279435514724,0.1553360693114739,25.0,1.0047800798885806,40.0,0.00045783010330102496
31,0.3926592895557721,0.44467062774312305,25.0,0.6198607373892886,50.0,0.005677057524244971
32,0.43442214464926676,0.17691713117735425,37.5,0.6671125516683143,50.0,0.0005877856298947016
33,0.11417009793842721,0.36509930294312753,25.0,0.633515627326578,50.0,0.0005937985625697595
34,0.6166253709101167,0.11030890866542802,37.5,0.7777429689147234,50.0,0.0007533849799857354
35,0.18142238569012742,0.3619368666998164,25.0,0.3275004767623023,50.0,0.006888345506754477
36,0.4978351834684458,0.22517463428965184,37.5,0.7480930645972778,50.0,0.0019459610976215243
37,0.5091143860333263,0.5438017852910926,25.0,0.2847115229001691,60.0,0.0019518040691663407
38,0.24809314584519795,0.16117064286452162,50.0,0.8071880014735144,50.0,0.0002918595169898421
39,0.06071727664352311,0.34746661269212786,25.0,0.28784490102114296,50.0,0.004459909021651384
40,0.787744582039938,0.49286328652766764,25.0,0.4209213734132945,50.0,0.0010015864765847067
41,0.17631079241134376,0.2228147996031591,62.5,0.48659933734563454,40.0,0.0005365942695288596
42,0.007629427366420152,0.15905493696400064,62.5,0.6364489789583418,40.0,0.00040952167810636504
43,0.049188665120096044,0.4843734165880312,25.0,0.31181892174744275,60.0,0.0001782550343698086
44,0.014851316589997707,0.43386383438772624,25.0,0.3450418575350226,60.0,0.00023193181759079633
45,0.12124156543653425,0.17750156847790682,50.0,0.561502633823644,40.0,0.0014106673747195566
46,0.8870107623749699,0.1816419534419936,62.5,0.6022426209520267,40.0,0.00019579068531772086
47,0.02935310383490586,0.3528095023768026,37.5,0.5971321265344588,50.0,0.0008823692414573007
48,0.04893957344963522,0.3679483642574272,37.5,0.524877780524136,60.0,0.00016643004763755852
49,0.03510786082095062,0.19248081651458246,62.5,0.41408464209443263,60.0,0.0008116592340902154
50,0.03944340895685501,0.4413281422015889,37.5,0.5141401754119842,50.0,0.0002127372385724695
51,0.02237636578752004,0.27964082307189225,50.0,1.0249317950972014,40.0,0.005502645440300291
52,0.020660129548979837,0.22077907436073513,62.5,0.6424037855014169,60.0,0.0001168471871016895
53,0.0039271729097379166,0.642012424997158,25.0,0.24765503523921314,50.0,0.0008641704348740651
54,1.9005116159632185,0.32894851037288125,62.5,0.3154441095094735,60.0,0.00026167407710944355
55,0.02923048866673936,0.8858155062603457,37.5,0.397347270007047,50.0,0.0015918207380431159
56,0.0059422830139929175,0.2330023291557511,75.0,1.1902217172546299,50.0,0.0003178052613868879
57,0.0002923963710312541,0.8038240552432099,37.5,0.40733655451258544,50.0,0.0003104147298154798
58,0.0009246128410529174,0.21301847411796843,62.5,0.5669231042483727,60.0,0.0002847686386968365
59,0.0034277663629797717,0.2576589402161723,37.5,0.6979608254162872,50.0,0.00010610892549604114
60,0.008481967767631106,0.2791688373808879,37.5,0.4788895091184505,50.0,0.00039411416286294567
61,0.0033358175968669604,0.3835182891503843,37.5,0.45412924328412324,50.0,0.00016730986931674818
62,0.00012798015819419058,0.24599306606329288,62.5,0.7440783262772188,50.0,5.472230077821159e-05
63,0.00019373280051403603,0.3866245538471566,37.5,0.4838505007068042,50.0,0.0001370242349250314
64,0.0002740024793362314,0.24920348197917105,62.5,0.8665555774260862,50.0,0.00027251550295094617
65,2.830969427418582e-05,0.30649547433256863,50.0,0.6156714997268962,50.0,9.918712648997199e-05
66,0.0005025721389282788,0.33638928665171297,50.0,0.5718377650070037,50.0,0.00015325587382513962
67,0.00011584212173718895,0.29084578850849185,37.5,0.9296633506606055,60.0,0.00014313344432692233
68,0.000721352702061083,0.276124748658047,62.5,0.9258933439828821,60.0,6.132209626828107e-05
69,1.5280964769934063e-05,0.2790108610863043,50.0,1.0253470162916831,60.0,8.917028376279117e-05
70,1.4087630832206238e-05,0.2851881325925118,50.0,0.690431358572759,60.0,5.198804411516631e-05
71,0.00026294136393420985,0.29127977288567214,50.0,0.7280318732587518,60.0,0.00010735557241961711
72,0.00010010359012059752,0.29435751262702964,50.0,0.6330125254525427,60.0,2.023295600638086e-05
73,0.00027819840455128067,0.29579033176794944,50.0,0.3973151182374414,60.0,5.037481899108982e-05
74,0.00014685459068562902,0.296851927379617,50.0,0.6828516395179332,60.0,4.076624196921491e-05
75,2.144525072371825e-05,0.29810552114967626,50.0,0.9652523110525456,60.0,0.00010232501381095214
76,0.00012591027948964472,0.3002907525124061,50.0,0.6591788878062428,60.0,5.295070621541951e-05
77,0.0002604926078354686,0.3043938132098683,37.5,0.39074073058386,60.0,2.459194627573449e-05
78,2.2964816997222983e-05,0.3060261438420693,37.5,0.6152361007182433,60.0,4.002093246254475e-05
79,0.00026006490255169035,0.3067062940952675,37.5,0.4025561528098794,60.0,9.677082138541973e-05
80,0.00027735446673251077,0.3069129962404919,37.5,0.6970915626722065,60.0,2.160092501998511e-05
81,0.00017494808660545045,0.3085468255259522,37.5,0.6983896095530238,60.0,4.092024924651974e-05
82,0.00012814239540908344,0.31276961358733857,37.5,0.6266604188833165,60.0,3.216527972264353e-05
83,0.00011351419537585013,0.3121449356972815,37.5,0.6685611312644134,60.0,3.371904021503162e-05
84,3.0376517610229955e-05,0.3128731390816849,37.5,0.4107006506014711,60.0,3.217497777408208e-05
85,2.18130934081541e-05,0.3150542856473363,37.5,0.9199174570149344,60.0,8.570774591503159e-05
86,0.00010297357374963835,0.31681991536113735,37.5,0.6465004296979563,60.0,3.768299027852923e-05
87,1.0798610093762294e-05,0.31793051724919635,37.5,0.7894084969252123,60.0,2.964559102131892e-05
88,5.646646821807355e-05,0.3189405755200483,37.5,0.6852518016998724,60.0,1.088226095586645e-05
89,0.00014347332763631207,0.3226780363348125,37.5,0.41374182187002634,60.0,2.275269329379454e-05
90,0.00010960396168543017,0.3240746385088237,37.5,0.6982473869975685,60.0,1.4688689528775537e-05
