,ADHD,ADHD,ADHD,SZ,SZ,SZ,ASD,ASD,ASD,BIP,BIP,BIP
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train
0,0.6907470008961429,0.08892177689377553,64.65517241379311,0.08653235131369463,50.78125,0.6830602427138032,0.08811874215124116,47.08994708994709,0.6917133091981031,0.10910726088028022,68.75,0.21528592517179584
1,0.6788172646658566,0.08836161143567056,64.65517241379311,0.0863921587889503,50.0,0.6671386158872873,0.08819318597936408,47.08994708994709,0.6878391850595532,0.10823588234920387,68.75,0.6011843193846429
2,0.72669096456059,0.08740299421295497,64.65517241379311,0.0861235256729645,50.0,0.6372864416159157,0.08814383341101835,47.08994708994709,0.7298440413028756,0.08222799966222458,68.75,0.9394857435957347
3,0.7554771286927312,0.08593896175506047,64.65517241379311,0.08519657536250413,53.125,0.6318956367755553,0.08793847877062126,54.4973544973545,0.6947849896849215,0.07849575190441858,68.75,0.587617652536213
4,0.7085504809424779,0.0862686883838767,64.65517241379311,0.0845449741073156,51.5625,0.6178745315514522,0.08907704009242913,47.08994708994709,0.6969303314432895,0.12775401844678233,68.75,2.5394605861529214
5,0.7386215797858999,0.08649215704741135,64.65517241379311,0.08646344350442911,50.78125,0.6337969756885901,0.08646954314358779,54.4973544973545,0.7256164234265925,0.07949618778752322,68.75,0.5712750816469961
6,0.6577661160827306,0.08685290795014136,64.65517241379311,0.07797142706082284,62.5,0.4227918402939071,0.08811941051799486,57.67195767195767,0.6829425713248549,0.07577170240565459,71.875,0.5930534462169158
7,0.46907069495077613,0.08560376739362585,64.65517241379311,0.08270205633366849,53.125,0.3964770163157405,0.08689634161016226,54.4973544973545,0.7006145878187884,0.07682241196931422,68.75,0.6686213756350246
8,0.7515148429328713,0.0870374536715065,64.65517241379311,0.08702742971527823,57.8125,0.3166729777063378,0.0878139623604602,55.026455026455025,0.6945098617347176,0.07150842348151606,71.875,0.3425915714725271
9,0.6186782520318791,0.08716001356005545,64.65517241379311,0.08604928139895893,72.65625,0.5512077865692406,0.10418609553294977,51.85185185185185,0.6617169423715425,0.16209258670236,75.0,0.5164425319651033
10,0.7416915464792333,0.08559886278054067,64.65517241379311,0.45144423885976886,53.125,0.4192448160488745,0.08587389225904034,55.026455026455025,0.7875289722613572,0.07413386394389643,71.875,0.5772979518539848
11,0.722081405375715,0.09167747283984048,64.65517241379311,0.07716269750706349,68.75,1.1704119564898454,0.10302991281478997,51.32275132275132,0.6208706446089105,0.10063798979141908,75.0,0.34284778482591627
