,UKBB11025,UKBB11025,UKBB11025,ADHD1,ADHD1,ADHD1,ADHD3,ADHD3,ADHD3,ADHD5,ADHD5,ADHD5,ADHD6,ADHD6,ADHD6,HSJ,HSJ,HSJ,SZ3,SZ3,SZ3,SZ6,SZ6,SZ6,Svip1,Svip1,Svip1,Svip2,Svip2,Svip2,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_DS1,UCLA_DS1,UCLA_DS1,UKBB11026,UKBB11026,UKBB11026,UKBB11027,UKBB11027,UKBB11027
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train
0,0.692169620601261,0.08662785291822442,54.0,0.1258084598760096,81.81818181818183,0.7187015624788174,0.12310395081254284,50.0,0.6915028659792599,0.08664392910023194,43.75,0.7023585982686369,0.08943893005838272,37.5,0.6932093898695991,0.0955366816279594,50.0,0.6859094496813171,0.09911791335384389,28.57142857142857,0.6933480454535839,0.09913601784239381,42.857142857142854,0.6906120938883564,0.1160026038619747,80.0,0.8167398707625972,0.08713732150652462,50.0,0.6949586066236162,0.1538624059217176,66.66666666666666,0.7243348685603013,0.1094408361825006,52.63157894736842,0.7094321070085178,0.09344463314148861,50.5,0.6893246206568429,0.08663875919892526,52.5,0.6936412627176546
1,0.6913982863910063,0.08829574148016574,47.0,0.12608161919524366,36.36363636363637,0.697862545457669,0.11552743617876947,50.0,0.6932572397863433,0.0866383394528825,62.5,0.694739849862793,0.08651692757770305,62.5,0.6926093931552002,0.08666649981542326,50.0,0.6931372356379598,0.10042264932573723,28.57142857142857,0.7173374194777037,0.1185852984207993,42.857142857142854,0.6868229587992772,0.13876915077205812,20.0,0.7668431760901452,0.08780165921604097,37.5,0.9280702708567289,0.15419576461068335,44.44444444444444,0.6940317984952231,0.10951553716988931,36.84210526315789,0.6937676094084032,0.08659601163613644,50.5,0.6921471211758319,0.09080228316390394,57.49999999999999,0.6820635280917101
2,0.6929440249253646,0.08661981196985512,57.99999999999999,0.12545383182043637,81.81818181818183,0.6937275756893252,0.11272556235083782,50.0,0.6930704200085136,0.08661785092786664,62.5,0.6947046214702919,0.08313423054216328,62.5,0.6939990565827887,0.13721768460211045,50.0,0.6147862904054959,0.1196499223713957,28.57142857142857,0.665248277533676,0.10898520468846835,42.857142857142854,0.5676717825419495,0.19092001100598036,20.0,0.6834645918742113,0.08664839931578414,50.0,0.8251972327360996,0.15396783528697366,55.55555555555556,0.6990486867515716,0.10952211936763498,36.84210526315789,0.6928524284123297,0.08657787933931058,50.5,0.6938137198347587,0.08640125744230658,57.49999999999999,0.702084282864756
3,0.6929418099676783,0.08663757258847081,49.5,0.1252805411748456,81.81818181818183,0.6951436649285996,0.11560637341635416,33.33333333333333,0.6928487589548042,0.0864263498052521,50.0,0.6943284798226268,0.086571042861809,87.5,0.6929442187342939,0.10100343558806432,50.0,0.8381659713380915,0.19035497247288144,28.57142857142857,0.6924771942105608,0.11211581798406002,42.857142857142854,0.6832740277742233,0.15010457430359672,60.0,0.684987101244606,0.09992838867697323,37.5,0.6455925186025135,0.15413797994941625,44.44444444444444,0.693167109877268,0.1223084358028381,36.84210526315789,0.6935921592213713,0.08652495522246614,50.5,0.6921126876660624,0.08624170161397132,57.49999999999999,0.6934471837909589
4,0.6935193868719538,0.08650007913980698,54.0,0.09034188299399849,81.81818181818183,0.6392922859084095,0.11543999672806378,50.0,0.6931269393360054,0.08647622105023955,50.0,0.6926143656176026,0.08546432863228626,62.5,0.6924531910516711,0.11494224621589705,50.0,0.5379128029301774,0.102797651088364,28.57142857142857,0.7703952017472665,0.14289288188298246,42.857142857142854,0.5059602843615434,0.14389046156725485,20.0,1.3689371980594809,0.10422777662849327,37.5,0.468084629146514,0.1544061148534986,44.44444444444444,0.6929101984235454,0.1093983877565345,68.42105263157895,0.6934091174879443,0.07929700044919775,50.5,0.7719092005567596,0.07138386255339921,59.0,0.648735283733527
5,0.2249491250071998,0.07054543591327016,76.0,0.10372103223023826,90.9090909090909,0.7055574276552942,0.11563719175236375,50.0,0.6931375757550183,0.0864500863294044,50.0,0.6898119033646541,0.07490526977339687,87.5,0.6858065296509819,0.12979248482557343,50.0,0.3571004777343297,0.08327876326076758,71.42857142857143,0.523057955788135,0.11248025741804404,57.14285714285714,0.7239552271203589,0.1409298620800842,20.0,0.6871040850499305,0.081457007762595,62.5,0.5688599061831136,0.15064879400278944,66.66666666666666,0.6917650662396037,0.1091882548239174,36.84210526315789,0.68911882078276,0.05609904587046448,83.0,0.5559504894950387,0.05255743648493877,79.5,0.3891249185372912
6,0.3250930813315266,0.05289622935245791,81.0,0.09109053315616394,81.81818181818183,0.585605549309908,0.11992003113582277,50.0,0.659054769990013,0.08605753590237308,56.25,0.6937802728626576,0.07239417418493803,62.5,0.6041741237631021,0.1355372590549671,62.5,1.0009433459756034,0.11776083852881147,57.14285714285714,0.2781609659203673,0.13211062854759384,57.14285714285714,0.7265646521007336,0.1433505428718982,20.0,0.6933254582452673,0.08200208486880839,62.5,0.5311274637226238,0.15325958074132603,55.55555555555556,0.6943278987632078,0.10926890430493416,42.10526315789473,0.6912635614180126,0.04580689968684118,87.0,0.6492804538539022,0.04374568177425903,86.0,0.49619125016605226
7,0.2232068972594156,0.04718567701992829,82.5,0.0682771058981025,81.81818181818183,0.34319904293807085,0.12253536491768392,50.0,0.8515570643946264,0.07758982264425796,62.5,0.742235831129836,0.08255150106811132,87.5,0.6924262430860787,0.10353280967035668,50.0,0.5683026536866269,0.10981932533872572,57.14285714285714,0.6463974273632456,0.18695908251613266,57.14285714285714,0.1159001023342906,0.14136401672408577,30.0,0.6826961281104819,0.08584260529632559,75.0,0.573266488547869,0.1543436758198906,44.44444444444444,0.6960766574058003,0.1093557784771886,47.368421052631575,0.6904609514528056,0.04080339904216111,89.0,0.5573782346527315,0.042579999210091646,84.0,0.1775370505471505
8,0.5008833366024203,0.05622385562743201,79.5,0.06057968184622766,81.81818181818183,0.5622512652682126,0.12216926990233908,50.0,0.595792941174188,0.08115476926410442,62.5,0.7121348627454422,0.08023245385261957,62.5,0.6828858177341168,0.11807771356822122,62.5,0.406560446347425,0.09341700652303966,71.42857142857143,0.44139361127231924,0.22489854332324902,57.14285714285714,0.584696794157934,0.1422690085923249,30.0,0.7312984527726392,0.08539852562973044,62.5,0.9662893853738702,0.15381006620225104,44.44444444444444,0.6947582722527765,0.10903839543126886,47.368421052631575,0.6916468532857122,0.04598595058480599,84.0,0.7674689526268176,0.05006821677898264,83.5,0.24725546048714717
