,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,SZ1,SZ1,SZ1,SZ1,SZ1,SZ1,SZ1,SZ2,SZ2,SZ2,SZ2,SZ2,SZ2,SZ2,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,USM,USM,USM,USM,USM,USM,USM
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,502.1312709211076,95.35177619579775,0.0,0.0,0.0,0.0,0.0,4.386985911616438,0.0,0.0,0.0,0.0,0.0,6.623054730861689,8.294070359297613,0.0,0.0,0.0,0.0,0.0,67.14317747449239,11.360794951581084,0.0,0.0,0.0,0.0,0.0,13.484410687645195,2.076161253565409,0.0,0.0,0.0,0.0,0.0,36.20208297205524,182.689223492087,0.0,0.0,0.0,0.0,0.0,1296.357842582043,118.66770753753349,0.0,0.0,0.0,0.0,0.0,1388.1061196373546,29.58354634487749,0.0,0.0,0.0,0.0,0.0,51.82421656022461,121.96782890730812,0.0,0.0,0.0,0.0,0.0,927.9173497737265,65.44225535108444,0.0,0.0,0.0,0.0,0.0,433.4390190419378,4.750056247574968,0.0,0.0,0.0,0.0,0.0,212.24663458433906,5.718235028986945,0.0,0.0,0.0,0.0,0.0,57.13142764403818,18.103313324180537,0.0,0.0,0.0,0.0,0.0,217.41416558924698,493.4725427069458,0.0,0.0,0.0,0.0,0.0,3557.7406274370865,780.6039550592283,0.0,0.0,0.0,0.0,0.0,3768.094846170182,539.9724761695998,0.0,0.0,0.0,0.0,0.0,3278.426721945338,15.800009344964963,0.0,0.0,0.0,0.0,0.0,387.4703419093022
1,1569.351214014999,79.15673915400444,0.0,0.0,0.0,0.0,0.0,3.4151176506862,0.0,0.0,0.0,0.0,0.0,0.3936537902958609,7.397161947032729,0.0,0.0,0.0,0.0,0.0,11.072382136184975,3.3254627736334346,0.0,0.0,0.0,0.0,0.0,25.525053640653596,1.3337414222423205,0.0,0.0,0.0,0.0,0.0,14.849758075464717,81.55984269827282,0.0,0.0,0.0,0.0,0.0,667.3685364152308,41.14614123032044,0.0,0.0,0.0,0.0,0.0,522.0774042732859,32.072705398357414,0.0,0.0,0.0,0.0,0.0,42.423720208883765,38.68101000522405,0.0,0.0,0.0,0.0,0.0,56.2994027580932,195.60032784470837,0.0,0.0,0.0,0.0,0.0,267.9787613857525,17.913121812813888,0.0,0.0,0.0,0.0,0.0,295.53826204820695,9.02341654725999,0.0,0.0,0.0,0.0,0.0,2.1945156541991593,42.12638476501567,0.0,0.0,0.0,0.0,0.0,563.213711238556,132.68187484360288,0.0,0.0,0.0,0.0,0.0,1171.748990238975,428.56664373941186,0.0,0.0,0.0,0.0,0.0,2318.272401210096,210.3494384710525,0.0,0.0,0.0,0.0,0.0,1935.1759484935906,50.5021507649769,0.0,0.0,0.0,0.0,0.0,66.56314033539883
2,1129.1185974957793,50.47730038458306,0.0,0.0,0.0,0.0,0.0,2.5923137227914914,0.0,0.0,0.0,0.0,0.0,1.5437838426243764,1.7238799702090064,0.0,0.0,0.0,0.0,0.0,10.344880293627487,1.262382114692017,0.0,0.0,0.0,0.0,0.0,22.381676642954687,0.7942683786795158,0.0,0.0,0.0,0.0,0.0,3.059174104296864,38.92195827540298,0.0,0.0,0.0,0.0,0.0,781.9075883780572,41.03232519714646,0.0,0.0,0.0,0.0,0.0,11.530495168867283,23.062099740302,0.0,0.0,0.0,0.0,0.0,18.041116676966396,23.906492827283607,0.0,0.0,0.0,0.0,0.0,34.531683506708426,53.93665861865689,0.0,0.0,0.0,0.0,0.0,138.6042073708754,10.740835485658144,0.0,0.0,0.0,0.0,0.0,172.10813612268095,5.0138522120918,0.0,0.0,0.0,0.0,0.0,40.272624020384285,22.006687579940845,0.0,0.0,0.0,0.0,0.0,112.41602611918145,90.9792775437896,0.0,0.0,0.0,0.0,0.0,501.6541615123854,215.16945549363663,0.0,0.0,0.0,0.0,0.0,1031.368920638606,121.40099244060839,0.0,0.0,0.0,0.0,0.0,966.2307369280632,70.26887217046634,0.0,0.0,0.0,0.0,0.0,325.6469999055787
3,226.3140092194347,29.099014777665484,0.0,0.0,0.0,0.0,0.0,1.0538648220624747,0.0,0.0,0.0,0.0,0.0,11.523792053546696,1.818039628131199,0.0,0.0,0.0,0.0,0.0,2.253078306325638,1.8027364575868192,0.0,0.0,0.0,0.0,0.0,4.09802742004817,0.36459833302246586,0.0,0.0,0.0,0.0,0.0,2.49465049953081,28.995831435361918,0.0,0.0,0.0,0.0,0.0,394.1042972805784,46.7376551451556,0.0,0.0,0.0,0.0,0.0,86.27139615679286,15.847030648315531,0.0,0.0,0.0,0.0,0.0,655.7674462830296,18.535927602962737,0.0,0.0,0.0,0.0,0.0,160.29561181275034,59.67005849087215,0.0,0.0,0.0,0.0,0.0,258.9001949564521,6.3239309900288365,0.0,0.0,0.0,0.0,0.0,189.84088076703986,3.582236421118911,0.0,0.0,0.0,0.0,0.0,25.352903189556937,14.20568441017101,0.0,0.0,0.0,0.0,0.0,164.72024179763778,52.72172387176941,0.0,0.0,0.0,0.0,0.0,511.832874884198,65.96132159286631,0.0,0.0,0.0,0.0,0.0,278.8180574324637,100.97601686150199,0.0,0.0,0.0,0.0,0.0,502.92768949433093,34.62099737448835,0.0,0.0,0.0,0.0,0.0,104.49840404129864
4,154.5658562119927,16.952735256290616,0.0,0.0,0.0,0.0,0.0,1.7155631182611775,0.0,0.0,0.0,0.0,0.0,3.3713848371627884,1.6805501480720617,0.0,0.0,0.0,0.0,0.0,11.659266608256438,2.863648225494822,0.0,0.0,0.0,0.0,0.0,4.074353010435437,0.3348641530607874,0.0,0.0,0.0,0.0,0.0,1.5689046338238894,25.587964388472226,0.0,0.0,0.0,0.0,0.0,503.66639081305976,38.55921583411332,0.0,0.0,0.0,0.0,0.0,37.17892043140416,21.923305214280184,0.0,0.0,0.0,0.0,0.0,164.85099228296787,21.500688073460907,0.0,0.0,0.0,0.0,0.0,84.42639180740588,36.48996786249009,0.0,0.0,0.0,0.0,0.0,397.58364912532335,5.0759776478246845,0.0,0.0,0.0,0.0,0.0,67.47025933305773,3.204498705987068,0.0,0.0,0.0,0.0,0.0,19.394783817205518,25.4449313290137,0.0,0.0,0.0,0.0,0.0,125.81086303030038,36.47536159483902,0.0,0.0,0.0,0.0,0.0,347.5485668646603,90.22940062599902,0.0,0.0,0.0,0.0,0.0,95.49695393241404,42.4483652638268,0.0,0.0,0.0,0.0,0.0,291.26627292595776,7.148407307602937,0.0,0.0,0.0,0.0,0.0,35.86627908796896
5,3.493521088421174,19.926405843479625,0.0,0.0,0.0,0.0,0.0,4.60574844509406,0.0,0.0,0.0,0.0,0.0,0.6443630830657353,2.0053950776442466,0.0,0.0,0.0,0.0,0.0,1.5132506579998792,1.346470304721373,0.0,0.0,0.0,0.0,0.0,26.393637335850666,0.510167951813719,0.0,0.0,0.0,0.0,0.0,3.4115463452739383,20.226746686739524,0.0,0.0,0.0,0.0,0.0,214.35377968791573,29.926548650753723,0.0,0.0,0.0,0.0,0.0,163.17315041222636,11.602815136453541,0.0,0.0,0.0,0.0,0.0,101.502357321079,11.878483606710887,0.0,0.0,0.0,0.0,0.0,26.447323224909493,48.27627251525921,0.0,0.0,0.0,0.0,0.0,206.25981906017068,9.731171420667412,0.0,0.0,0.0,0.0,0.0,77.5606944650895,5.179341881000755,0.0,0.0,0.0,0.0,0.0,56.632289416418445,16.090978842534646,0.0,0.0,0.0,0.0,0.0,68.86247460666641,74.00512766655928,0.0,0.0,0.0,0.0,0.0,128.1493468024736,14.397946797609478,0.0,0.0,0.0,0.0,0.0,45.53245021718692,54.61443741360514,0.0,0.0,0.0,0.0,0.0,100.67446265716953,11.049271771286984,0.0,0.0,0.0,0.0,0.0,54.5849075275642
6,39.7719329021096,14.079603506974928,0.0,0.0,0.0,0.0,0.0,0.48916473857309145,0.0,0.0,0.0,0.0,0.0,2.0935963931731596,0.5955507832244519,0.0,0.0,0.0,0.0,0.0,2.3543575287745715,1.0630487025537128,0.0,0.0,0.0,0.0,0.0,1.9672139016387664,0.8874560055368447,0.0,0.0,0.0,0.0,0.0,11.898542498443701,22.063577190295668,0.0,0.0,0.0,0.0,0.0,579.3734084898446,23.502103508123056,0.0,0.0,0.0,0.0,0.0,132.79630635871368,7.424972359576003,0.0,0.0,0.0,0.0,0.0,44.20683294577236,11.578592058932264,0.0,0.0,0.0,0.0,0.0,67.11014362376827,53.40537345847454,0.0,0.0,0.0,0.0,0.0,200.5639816489435,6.3741461378887525,0.0,0.0,0.0,0.0,0.0,77.47503245989842,4.117175389693192,0.0,0.0,0.0,0.0,0.0,11.866339111927372,12.651358775788752,0.0,0.0,0.0,0.0,0.0,97.68911156180208,20.41480248726277,0.0,0.0,0.0,0.0,0.0,19.34186853037643,13.955552974685896,0.0,0.0,0.0,0.0,0.0,89.99538609535645,30.418950024614027,0.0,0.0,0.0,0.0,0.0,91.34258329074648,5.497774003885611,0.0,0.0,0.0,0.0,0.0,33.4697402062459
7,0.6360471973779966,15.708627361072514,0.0,0.0,0.0,0.0,0.0,1.1904937653204861,0.0,0.0,0.0,0.0,0.0,6.698057096911782,0.5942430398270577,0.0,0.0,0.0,0.0,0.0,2.7742939741059462,2.0281400953561235,0.0,0.0,0.0,0.0,0.0,10.337239134288689,1.2058940421433813,0.0,0.0,0.0,0.0,0.0,9.501748384026541,24.8122969421012,0.0,0.0,0.0,0.0,0.0,322.2428358395874,26.08704685027337,0.0,0.0,0.0,0.0,0.0,80.94579653013488,6.350793868774039,0.0,0.0,0.0,0.0,0.0,3.631407410558714,15.467832449471974,0.0,0.0,0.0,0.0,0.0,31.486399903484237,17.64284774992845,0.0,0.0,0.0,0.0,0.0,185.81713634307016,4.32480052463485,0.0,0.0,0.0,0.0,0.0,205.61093107816524,3.451556849880366,0.0,0.0,0.0,0.0,0.0,6.274939799131777,17.024552127250804,0.0,0.0,0.0,0.0,0.0,104.3725560077319,15.136368239762934,0.0,0.0,0.0,0.0,0.0,108.91890952986661,18.087459007885577,0.0,0.0,0.0,0.0,0.0,58.33278123585552,32.328781579192636,0.0,0.0,0.0,0.0,0.0,70.77393902490584,4.1633371059850095,0.0,0.0,0.0,0.0,0.0,73.39217883070502
8,176.68828261966752,15.25691390323442,0.0,0.0,0.0,0.0,0.0,1.1834641920276865,0.0,0.0,0.0,0.0,0.0,6.216902113455261,0.5313961813484992,0.0,0.0,0.0,0.0,0.0,1.4807814119353684,0.8980789925170621,0.0,0.0,0.0,0.0,0.0,6.18573283579838,1.6228178826555422,0.0,0.0,0.0,0.0,0.0,1.962117900875401,20.00699724218301,0.0,0.0,0.0,0.0,0.0,441.276193327735,27.867265059154995,0.0,0.0,0.0,0.0,0.0,106.62335954204897,7.564718157069603,0.0,0.0,0.0,0.0,0.0,50.19729351936055,14.485591059335357,0.0,0.0,0.0,0.0,0.0,80.82211528589629,48.94115293656849,0.0,0.0,0.0,0.0,0.0,222.37696956143262,6.049192779619754,0.0,0.0,0.0,0.0,0.0,121.71956257487518,3.5328897059244753,0.0,0.0,0.0,0.0,0.0,29.55700929239748,15.101322413204754,0.0,0.0,0.0,0.0,0.0,36.410331384707185,15.456400486077086,0.0,0.0,0.0,0.0,0.0,80.52044863289498,13.622790131379167,0.0,0.0,0.0,0.0,0.0,16.503965335262574,18.303681564244943,0.0,0.0,0.0,0.0,0.0,46.70247231355822,3.6004342580682693,0.0,0.0,0.0,0.0,0.0,16.11790565647132
