,BIP,BIP,BIP,SZ,SZ,SZ
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train
0,0.6938771955505778,0.08639194302692987,75.0,0.0939706717782757,39.84375,0.6901177109939972
1,0.6833504254980765,0.07861117155946887,75.0,0.07974528372212289,61.71875,0.34793284363617555
2,0.6869099622083374,0.07862549777811978,75.0,0.07744038008978993,69.53125,0.39510734193500235
3,0.6452290486011453,0.07407399765164158,75.0,0.07309647058081267,74.21875,0.2722175063947357
4,0.700468552858686,0.07252829700517041,75.0,0.07653836756942409,70.3125,0.11045411850735708
5,0.49544434357492817,0.0725408692122918,75.0,0.2053028402940866,49.21875,0.9842879901164237
6,0.3477561803520017,0.07201402694460425,75.0,0.07853555773603813,70.3125,0.9766034850010309
7,0.4950154783764734,0.07138573068302612,75.0,0.08984590904717295,71.875,0.6960411706505902
8,0.6299923459315903,0.07081387782493068,75.0,0.12084303146929593,60.15625,0.7356315524870606
9,0.40191897942130816,0.07048526915878801,75.0,0.09592508725058474,73.4375,0.08681983957105625
10,0.29677746211511585,0.07028457129650426,75.0,0.08264975412121281,72.65625,0.5597561733944504
11,0.7314234651887628,0.18564249729936005,75.0,0.10994859917665595,70.3125,0.004105536863266476
12,0.5468996302162616,0.06902892421950643,75.0,0.13485807983291778,72.65625,0.010657822223647665
13,0.2861612085634323,0.07522238444812673,75.0,0.12442643282895714,69.53125,0.059642394383542
14,0.5790735403530244,0.17352394403414234,75.0,0.12245275747804235,70.3125,0.0060534308812820875
15,1.6808797882552138,0.32048109718790097,71.875,0.22329052534721042,70.3125,0.00015224042255310854
16,0.5385331887727502,0.2883975585601063,75.0,0.16823015009800601,72.65625,0.08589288376147121
17,4.757693670135207,0.4255176864823345,71.875,0.12418222381864638,68.75,0.044246803256232085
18,0.1870700978530641,0.10711295825922461,71.875,0.15009725020703965,71.875,0.2781894679255619
19,0.12250827796441259,0.18419592589820777,71.875,0.15721781315224384,71.875,0.0124351381365087
20,0.3422131983631752,0.12272928788179656,78.125,0.17204286662933313,72.65625,0.0825489631041627
21,2.6622710984948204,0.4354587288173555,71.875,0.1972121662174668,68.75,0.07444358827804898
22,0.4458876516538618,0.6577921258102155,50.0,0.17390391633530974,75.0,0.14775607417460015
23,4.309808939964651,0.24428490185036011,62.5,0.20058088193043022,70.3125,0.0011505569312235343
24,0.6282756243667224,0.1101545217399418,78.125,0.1781571725529679,67.96875,0.007022351442973769
25,0.22064622453903876,0.1579025525742978,78.125,0.21371772205488618,68.75,0.0011074541025504463
26,0.36873672824404796,0.11882650623459856,71.875,0.2194039483464706,67.96875,0.004236420469926364
27,0.0002515020671374557,0.2276862249163364,78.125,0.24114477947677812,67.96875,0.8156192627587812
28,1.190617872907408,0.1378236920968043,81.25,0.21334249188828763,74.21875,0.0008756357912391389
29,2.235968813048809,0.14731164669851096,71.875,0.19304834327670847,72.65625,0.015918211544479175
30,0.13714123218025623,0.22050476652564638,68.75,0.21590450799595803,71.09375,0.0004251545654519187
31,0.026015338470775397,0.10342942333357684,81.25,0.24585740906242204,72.65625,0.0003746269603407237
32,0.15833176059434817,0.2678586981480787,75.0,0.20231250584942165,75.78125,0.0016640139999848768
33,0.2635937432548841,0.23070528260404705,71.875,0.25301900100817365,74.21875,0.0006436952118700721
34,2.5953904218680584,0.6005949098852754,71.875,0.2845650555034035,69.53125,0.022931839141936985
35,0.008240113110977266,0.1292292453846398,78.125,0.23646049643898567,73.4375,0.14286599656145904
36,0.02482139271019102,0.15473570507702106,78.125,0.234811499179673,72.65625,0.0005463645426163278
37,0.006227599276435738,0.18917175076127715,78.125,0.23061096282936366,72.65625,0.00012822845778275474
38,9.562564324475534e-06,0.18917628393327046,84.375,0.2246721687859904,74.21875,0.0009166784421895136
39,6.038578582489302e-05,0.21726951474772938,84.375,0.2702526582796419,69.53125,9.914117455170117e-05
40,0.0021958390620780703,0.25120859062532275,68.75,0.30906287743755784,66.40625,0.017735692632098576
41,0.3949433351683572,0.19148669367924212,78.125,0.27095455439924143,71.09375,0.0013644020054908838
42,0.00013457250012439962,0.2314424899571872,81.25,0.31178891774890305,69.53125,0.014525390587439332
43,0.000564359109273327,0.19486435482952297,78.125,0.3906118242662875,64.0625,1.6057219835467407
44,0.0009698901722540573,0.20627016501604056,78.125,0.3160825134707283,67.96875,0.00012221830517244095
45,0.00010303276991959864,0.21700816943372894,78.125,0.32382347950713575,70.3125,8.050577932064915e-06
46,0.00031590350367180855,0.22258056390948097,81.25,0.3027592753720981,71.09375,4.3375116161808834e-05
47,6.094624842944348e-05,0.22658468829672904,81.25,0.2801618846525469,71.875,0.005075339208084077
48,3.237720710173616e-05,0.2361681873379754,81.25,0.3212044423212794,70.3125,0.005292289141173682
49,5.825071714618734e-05,0.24808833567391153,81.25,0.3184793549676423,70.3125,2.0757138171558533e-05
50,2.7885278434407754e-05,0.2598859612013261,81.25,0.32791449498178776,75.0,0.13096458035978778
51,1.23674767063687e-05,0.2707127344469877,81.25,0.36993078851038724,68.75,0.00029308262525236866
52,3.0438813599207354e-06,0.27972154438625496,81.25,0.3527376834902407,69.53125,3.787452506129115e-05
53,1.0229582605762607e-05,0.2872669589364416,81.25,0.3752530607227431,70.3125,0.00019382664909101338
54,4.8014371202940545e-06,0.29330740990325244,81.25,0.39421654386729843,70.3125,2.2078105319668547e-06
55,8.263097413436033e-06,0.29899283598824467,81.25,0.40023309323283995,69.53125,2.0806274567933734e-08
56,8.768155831401761e-06,0.30405868327512947,81.25,0.40676330008044403,69.53125,2.6921206546494664e-07
57,3.0963154831135776e-06,0.3099357633386088,81.25,0.4077181360957556,69.53125,5.776745793385059e-07
58,1.366780617510484e-06,0.31415973199359176,81.25,0.41023577136662837,70.3125,1.1523342240296864e-07
59,3.9388137651256685e-06,0.3181134099215694,81.25,0.4153084750019214,70.3125,4.550047224568153e-06
60,7.974284999505997e-07,0.3221045527957778,81.25,0.4216503890991068,70.3125,8.546522083228448e-08
61,5.356238955691962e-08,0.32603120575287,81.25,0.42261786577791394,69.53125,1.3561189756891737e-06
62,4.901438033676816e-06,0.32923246904213754,81.25,0.42426396100913977,69.53125,5.475961071574042e-08
63,2.1228406282935459e-07,0.332252706353131,81.25,0.42090961478992783,71.09375,1.2582250407027188e-05
64,2.5702972265241847e-06,0.335088964681293,81.25,0.42808760829334264,69.53125,1.1821160409518782e-07
65,9.792902077488881e-07,0.3382318404014252,81.25,0.42462423987459563,70.3125,1.8259672265866142e-07
66,2.1606856663091113e-09,0.34136307256206816,81.25,0.42715632590735564,69.53125,8.11996071849466e-06
67,3.865655431435922e-07,0.3441299293603628,81.25,0.43045546788545164,70.3125,6.985014723482779e-08
68,5.477624302292673e-06,0.34615029793413665,81.25,0.4318382914452341,70.3125,5.127577960036809e-08
69,1.2759776455310986e-06,0.35003997974182854,81.25,0.4307231909495068,70.3125,2.8582740104959315e-07
70,3.715597754077775e-07,0.3528778538410987,81.25,0.43405583674400167,70.3125,1.524627955629427e-08
71,1.6836902102881076e-06,0.3547887789462757,81.25,0.43264796112431886,70.3125,4.647045149587185e-06
72,8.87752589901423e-08,0.357597727037355,81.25,0.4339637398179612,70.3125,6.269472373287548e-07
73,2.0558392470833445e-08,0.36015943561317937,81.25,0.43642976867581756,70.3125,9.723436829416858e-07
74,6.409457149793866e-09,0.3620407520220591,81.25,0.43764278245857374,70.3125,4.2181908946396397e-07
75,1.0371693054110485e-06,0.364060166688703,81.25,0.4373314136458667,69.53125,5.697384464781828e-07
76,3.5024698149495916e-08,0.36667789641383197,81.25,0.43775400216836385,69.53125,6.173853957823182e-07
77,2.428304003210092e-08,0.36885262637251126,81.25,0.4402453833944459,69.53125,2.4786863473221396e-07
78,3.4244486627195804e-07,0.3709364419424256,81.25,0.44418174366031365,70.3125,7.492669014184834e-08
79,7.507838862991556e-09,0.3731341745604228,81.25,0.4428119378984754,70.3125,8.256648229514628e-09
80,8.993293456783462e-09,0.375042984476147,81.25,0.44049723033535976,70.3125,3.576065401671357e-07
81,2.2054580792968085e-07,0.37718643368420346,81.25,0.4436253296239349,69.53125,1.0605002027227808e-08
82,6.190473393714079e-07,0.37905085850143233,81.25,0.44459349839353723,69.53125,1.8395215500171062e-07
83,5.114223519723953e-07,0.3814708026597433,81.25,0.4476648366723858,71.09375,2.667610924159811e-06
84,4.673565529766353e-10,0.38386057990898614,81.25,0.4486972414750867,71.09375,2.6561613157210923e-06
85,5.188239574171444e-08,0.3858593642974442,81.25,0.44625373411062447,70.3125,1.3583715153352122e-08
86,1.3863001109111174e-07,0.38784700604324424,81.25,0.44962690806091676,69.53125,1.5156283297263031e-06
87,5.3254823285047204e-09,0.39004844677873646,81.25,0.45035340733552676,69.53125,1.0838189441820336e-07
88,2.901882989963142e-07,0.39241675548448807,81.25,0.45253502021537617,71.09375,1.4723398734820301e-06
89,1.0015376051379935e-07,0.3941152769256475,81.25,0.4540240075781835,71.09375,8.475355420053548e-07
90,9.93750016832124e-08,0.3967691978156393,81.25,0.4522281182598354,69.53125,4.996404467545735e-07
91,6.166302372903987e-07,0.3985635983911341,81.25,0.453429648402353,69.53125,1.2331522185904482e-07
92,5.7086777074105164e-08,0.4020983625408045,81.25,0.4535891177671749,69.53125,8.840131283982593e-07
93,2.1231091817217493e-07,0.4040870088443498,81.25,0.45435114080897776,71.09375,1.1234947658989375e-05
94,4.8711984705840034e-08,0.40590837831215976,81.25,0.4565006552686167,69.53125,1.4249868433064001e-06
95,7.150717149409849e-09,0.40817041750560507,81.25,0.45679107529818164,69.53125,8.687302710705623e-10
96,2.1003752862693265e-07,0.4098552017482005,81.25,0.45617142088343854,71.09375,2.454766890324358e-08
97,1.5680503557190158e-08,0.4122304691704359,81.25,0.45624627762191106,71.09375,1.414928174366545e-10
98,2.4425266953851107e-07,0.41401488496352284,81.25,0.45925971643927765,69.53125,6.308909326714854e-07
99,2.1435274082100602e-08,0.41616438578721676,81.25,0.4587319731435435,69.53125,8.019121390632578e-07
