,SZ,SZ,SZ
,Loss/train,Loss/test,Accuracy/test
0,0.6939600523342366,0.08648289248829873,50.0
1,0.6398517805811873,0.08650783724521253,50.0
2,0.6814315115060608,0.08317115292193633,54.6875
3,0.7860794352224234,0.08858283241198198,50.0
4,0.43891102385416736,0.08743966542126022,64.0625
5,0.5856405246645323,0.12526949866237305,62.5
6,2.6618936931597386,0.10758269802495306,70.3125
7,1.70746858378,0.15016025972687289,65.625
8,0.40963649949756425,0.08973447857362833,68.75
9,0.7148166889141053,0.08418622074758209,51.5625
10,0.4923072875447317,0.13710012466137628,64.84375
11,0.034449222720893236,0.09250833286392632,67.1875
12,0.3637802234129603,0.0800429774313343,69.53125
13,0.15782606659635476,0.07191982653782292,75.0
14,0.37413718460781537,0.07827163959136961,71.09375
15,0.048128692878924274,0.1256635596007892,66.40625
16,0.406150773891821,0.09196847960699886,71.875
17,0.19705368906221954,0.09350767918547676,74.21875
18,0.29093693311004915,0.1630836270230963,66.40625
19,0.3198203821429699,0.0766213959549515,72.65625
20,0.010582335747052777,0.10070260017877276,72.65625
21,0.4501030960521899,0.12013007489444945,75.0
22,0.0701766656920378,0.14766805622158077,69.53125
23,0.015670945887562137,0.12481998369161129,71.875
24,0.05329534226246268,0.15043630732819,71.875
25,0.8967852574571825,0.15106496337715294,72.65625
26,0.00636454730776886,0.17640701322232444,69.53125
27,1.4335384073109194,0.18289337756392207,70.3125
28,0.0017186228093792643,0.17462468650441365,71.875
29,0.0003556405944017047,0.18550345388833658,72.65625
30,0.003006020269851449,0.19220680468029688,75.0
31,0.000189712520881344,0.20331190806181185,74.21875
32,0.00196582555860267,0.2173229763920662,75.78125
33,0.0015343065158340142,0.19663762414325392,73.4375
34,0.015250523296659003,0.1449684318127807,73.4375
35,0.9237905695262304,0.15999125306891426,70.3125
36,0.0001991888082729267,0.2306780477166745,76.5625
37,0.010764647356274262,0.21782751832343,71.09375
38,5.662879954330429e-06,0.22127348294365878,73.4375
39,0.0012583266252592003,0.2528658495304657,73.4375
40,0.0008252871783171741,0.2318481122676779,71.09375
41,0.014036260208212746,0.2575396163822695,73.4375
42,0.0007088865030202094,0.19810164072372755,72.65625
43,0.0007735398675115211,0.2503273065173346,68.75
44,0.005557503554754278,0.21406909383808173,74.21875
45,0.0009065986644421689,0.2447627792779239,74.21875
46,9.166753014349819e-06,0.24330309529094246,76.5625
47,0.0008940552074021985,0.2257637754363791,73.4375
48,0.0018990769393858575,0.23329622895268662,72.65625
49,0.04728621872952879,0.3937859697102088,64.0625
50,0.0005700754535663455,0.27743790766692944,72.65625
51,0.0005926616522077086,0.2530215496990641,72.65625
52,2.6522952700446627e-05,0.23291998970742123,74.21875
53,0.0003579123410810479,0.2509340325344214,78.125
54,1.1135637716621663e-05,0.22857595216377308,74.21875
55,0.0013706358447356925,0.23560469495775774,71.875
56,0.0001982297790944563,0.31650337105038034,67.96875
57,0.0007643956657353572,0.24307810042464673,74.21875
58,5.893370160012331e-07,0.2463953703588033,77.34375
59,8.756929685492029e-05,0.2645236044892828,73.4375
60,0.0009207475274750072,0.2927183613678259,74.21875
61,0.00017833552790359622,0.2933545916381366,73.4375
62,2.3596128596211688e-05,0.3048395853583872,75.0
63,2.2564770088579584e-05,0.3127743757353603,74.21875
64,3.0549922365425638e-06,0.31312171698721986,75.0
65,7.89740238430743e-06,0.3182239048742704,75.0
66,2.576165738320511e-06,0.32008095938639564,74.21875
67,1.0004919475577494e-05,0.3318734230561299,74.21875
68,1.892632646954769e-07,0.34540153684456726,73.4375
69,4.156337496766552e-06,0.3509574319677038,73.4375
70,7.21255113667618e-07,0.35719636066658683,73.4375
71,1.2232595496127958e-06,0.3618179102523759,73.4375
72,2.0556819303933665e-05,0.36551371715970865,73.4375
73,1.4795393588256731e-06,0.3698817375914257,73.4375
74,1.873302153668871e-08,0.3710872850872325,74.21875
75,1.6544385086932788e-07,0.376317601693946,73.4375
76,1.1069946184336027e-07,0.3783994504692672,74.21875
77,2.4166484145578825e-06,0.3828036319105073,73.4375
78,4.685024859408076e-07,0.38313616054807065,74.21875
79,5.239346642662479e-07,0.3823308385139241,74.21875
80,1.2657891135041722e-08,0.39016109015597816,73.4375
81,5.769802143467337e-08,0.3906407352116541,73.4375
82,3.4609642954743165e-07,0.38788783095260526,74.21875
83,1.9603161295641877e-07,0.3910685646218776,74.21875
84,8.007910481569087e-08,0.39342890655111407,74.21875
85,6.570730720550065e-07,0.3953677863378491,74.21875
86,4.23043896041164e-08,0.3950274943910107,74.21875
87,3.123249876593416e-07,0.39843131010695904,73.4375
88,1.8451811976267677e-07,0.3981327448476287,74.21875
89,4.88526924083361e-07,0.3989797085139348,74.21875
90,3.2976754977439704e-07,0.39620252963172364,74.21875
91,2.7238687666287852e-08,0.4006195644324591,74.21875
92,1.0138589608058982e-06,0.39983045772293463,74.21875
93,2.787778070239006e-07,0.40016654118335776,74.21875
94,2.3272567111426707e-09,0.40086178340625117,74.21875
95,2.961807866342007e-07,0.4019880915879825,74.21875
96,7.422096954306682e-08,0.40850712712522824,73.4375
97,1.986295986290324e-06,0.4027217955051676,75.0
98,2.2085209505968782e-07,0.4102202494854418,73.4375
99,4.207699893056298e-09,0.40543478078315187,74.21875
