,SZ,SZ,SZ,ASD,ASD,ASD,BIP,BIP,BIP,ADHD,ADHD,ADHD,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DEL1q21_1,DEL1q21_1,DEL1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train
0,0.6309165716299993,0.10648426842486663,50.0,0.08812810500281917,49.2063492063492,0.6931553946354556,0.08879669017329414,80.64516129032258,0.693010829580047,0.09261824970224174,32.17391304347826,0.8644647374294501,0.11312229181211152,56.09756097560976,0.6898739479188872,0.11441702940736365,52.94117647058824,0.6116415447966687,0.15248771781222023,55.55555555555556,0.6888863631741158,0.10848483739905346,46.15384615384615,1.0879322479971658,0.09943992239369838,21.428571428571427,0.6919639143310378,0.13848905440553727,40.0,0.692895287426127,0.09540784075613302,25.0,0.680682788664137
1,0.6850240342502761,0.0877603654162823,61.71875,0.08805484613842243,49.2063492063492,0.694660145145936,0.07454625938517806,80.64516129032258,0.6631279461476522,0.09016463949699913,66.95652173913044,0.6886346381463598,0.10779508256794951,43.90243902439025,0.691108557640947,0.12230989693556349,52.94117647058824,0.6910759850098187,0.1538085559683221,44.44444444444444,2.0529353132854067,0.1089702472104796,46.15384615384615,1.0370096842988934,0.09900780670353997,57.14285714285714,0.8154204970063907,0.1385613290001178,50.0,0.6924207442363308,0.095488158422502,25.0,0.6936393711864289
2,0.5849771037705959,0.08565156716344384,67.96875,0.08788243310501341,50.79365079365079,0.6938628429410052,0.06947752405888838,80.64516129032258,0.7390614473799516,0.08433221351936963,66.95652173913044,0.7626017078874356,0.10148894709417881,43.90243902439025,0.6928952962194684,0.0953998092032805,70.58823529411765,0.6597442078301969,0.15388170202601248,44.44444444444444,0.9827951915652341,0.1090820675637064,46.15384615384615,0.8923655188422828,0.10535572550140804,21.428571428571427,0.7296404544854165,0.1375968225089263,50.0,0.6987676434277759,0.08456758709730053,75.0,0.7277988945004904
3,0.7206082032014797,0.08662067171932203,60.15625,0.08776524277406499,50.79365079365079,0.6929293019913415,0.06253028633782504,80.64516129032258,0.3491617189689023,0.08375657499024051,66.95652173913044,0.6467101239129694,0.10150704130844275,53.65853658536586,0.6956468223193768,0.07649608841448244,94.11764705882352,0.6266407358204652,0.15416341537539432,44.44444444444444,0.6919183230632625,0.11224715400027782,38.46153846153847,0.6139196768874712,0.14377312171543175,21.428571428571427,0.5838824813182624,0.14320662956671054,50.0,0.6195032666632031,0.0866277830089729,37.5,0.6932713383691084
4,0.5620890142729024,0.08326701486496771,61.71875,0.08708695287637949,61.904761904761905,0.6938538517579086,0.05667115405967264,77.41935483870968,0.3740812164791938,0.08511483261699354,66.95652173913044,0.4550690450543183,0.09860261983227364,58.536585365853654,0.604697365403165,0.09654513282516994,100.0,0.6264112690001181,0.15372049857176842,55.55555555555556,0.6943725580636082,0.12267053202658112,46.15384615384615,0.6762551935752342,0.12402473511254948,21.428571428571427,1.6211139706093065,0.15381237736590964,60.0,0.5484835844451227,0.08646749068334778,87.5,0.6931082097904003
5,0.7830402990333901,0.0814215796131919,64.0625,0.09259470648331941,51.32275132275132,0.6159288110429215,0.08036240974231786,58.06451612903226,0.0748128215437003,0.08490885582990984,66.95652173913044,0.901635464388837,0.10052536596608576,65.85365853658537,0.6914850489399138,0.08766521094565649,64.70588235294117,0.6757389909063128,0.1537877551677897,55.55555555555556,0.697960170555404,0.10391383986620803,46.15384615384615,0.6924301292156749,0.2032383244086591,21.428571428571427,0.633270286699148,0.13165297891952543,60.0,0.8368380467335426,0.07309506717751767,75.0,0.6904812412327885
6,0.5537961222430399,0.07058740481401529,75.0,0.08606041490299383,58.201058201058196,0.6953295260745125,0.06357725734259177,80.64516129032258,0.2467031494452794,0.09068779776994172,61.73913043478261,0.6808282727118602,0.09366114522785449,63.41463414634146,0.7930542015300492,0.08352329840188226,88.23529411764706,0.581868514954148,0.15409911145395755,44.44444444444444,0.6891993694998028,0.10361126741723498,61.53846153846154,0.5386380383213312,0.1525577548534122,21.428571428571427,0.6841224977803704,0.13980997323917843,50.0,0.566628406714462,0.07209522361119816,75.0,0.6924692280935297
7,0.3657102145519671,0.08212255272068938,73.4375,0.08657570276164855,59.25925925925925,0.5593062326879221,0.06682674763028379,80.64516129032258,0.4851948705469526,0.08275443269858945,66.95652173913044,0.5703848241334712,0.09493790900895835,63.41463414634146,0.6536855302621737,0.029826268381833686,94.11764705882352,0.8005050039512003,0.15476466456677712,44.44444444444444,0.8289291421212432,0.10558540543150628,46.15384615384615,0.9921729680836924,0.2627445233475613,21.428571428571427,0.4771153131190242,0.13678551953630091,50.0,2.674969151263707,0.08653972308986682,62.5,0.7095593910129816
8,0.4160387766594007,0.1013706936689617,67.1875,0.09144296201770626,58.201058201058196,0.8973496379061975,0.09778389413507671,58.06451612903226,0.617374153046888,0.08980345544725589,66.95652173913044,0.7441946205481255,0.09538206351422315,60.97560975609756,0.6979420633396425,0.050814499783646015,76.47058823529412,0.3359437804544033,0.15630459646032346,44.44444444444444,0.6924141944787147,0.11679637608040501,53.84615384615385,0.6904335071940365,0.3146080324830171,21.428571428571427,0.5724121168703454,0.13852264314777946,50.0,0.6919839087411029,0.08637097442955613,87.5,0.7003142932733288
9,0.511169361972581,0.09082425154501396,64.84375,0.08603806321732055,59.78835978835979,0.9264182693029825,0.05523973531859148,77.41935483870968,0.19946937347874436,0.09014047252428896,68.69565217391305,0.6941599549425039,0.10203021617967654,53.65853658536586,0.685302626041149,0.04400693613296214,94.11764705882352,0.42076092324267267,0.15783331702953018,44.44444444444444,0.6929828885196345,0.13529838685288292,61.53846153846154,2.321058975343071,0.23891623276853363,21.428571428571427,0.4389469331791046,0.14114852214166898,40.0,0.5901419261694043,0.08636926555496881,75.0,0.6949057340550054
10,0.08705292100161516,0.1067505830301555,64.0625,0.08801414971106027,56.08465608465608,0.4915860877738237,0.05812434713794139,80.64516129032258,0.15577074759078002,0.08521773778698652,66.95652173913044,0.6347764014646,0.11055393036989035,41.46341463414634,0.6535703224076006,0.09352949982788937,88.23529411764706,0.520782124938532,0.15431373316753882,44.44444444444444,0.6938580341131696,0.12983081895921728,46.15384615384615,0.5886157800151937,0.13721734068330488,57.14285714285714,0.39936009346490214,0.13829058055506344,50.0,0.5457024570596559,0.08678414816034813,25.0,0.6895010301768217
11,0.1196581711868484,0.09560202994112799,64.84375,0.08693570941021979,56.613756613756614,0.5204782310795533,0.05772237971655077,83.87096774193549,0.5048691180514472,0.08429385424749723,66.95652173913044,0.8038067187004077,0.10295986470729424,43.90243902439025,0.7210756750575562,0.047044307147770234,88.23529411764706,0.2756199473670539,0.15362614440016406,44.44444444444444,0.6900024762760378,0.10392538409968935,61.53846153846154,0.692621364862983,0.18678504880745989,35.714285714285715,0.681618937800702,0.14106567216025084,60.0,0.6061642852164272,0.08690019663891606,25.0,0.690290941041707
12,0.06912432790751939,0.10289104811020204,69.53125,0.08899205902283316,60.84656084656085,0.21287080481340032,0.058830170289788056,83.87096774193549,1.132078520558319,0.08317390286475579,69.56521739130434,0.5082181838288833,0.10993918035178744,68.29268292682927,0.5806523303757112,0.03981543832390666,88.23529411764706,0.4331903565611837,0.15447450817042668,44.44444444444444,0.6924288433040092,0.10202045627557127,61.53846153846154,0.5722324573961894,0.25269227948770456,21.428571428571427,0.49493749629598904,0.13187934339278817,70.0,0.7525944994358165,0.08669296155269245,37.5,0.6905186453957547
13,0.05709961460473515,0.0781821438944599,77.34375,0.10097983713227446,58.201058201058196,0.2875204511328725,0.06457884928174076,77.41935483870968,0.8471406044197121,0.08694876802312111,61.73913043478261,0.5365723901883074,0.10430092574794912,70.73170731707317,0.5464206631250638,0.04123321117113597,82.35294117647058,1.0294350473920362,0.15486398193203,44.44444444444444,0.6901111084229027,0.12390856731991429,53.84615384615385,0.5882390678554985,0.32916273319841605,14.285714285714285,0.288195877725184,0.1995812688237316,50.0,0.5918686029106921,0.08613361752619048,75.0,0.6928889531634367
14,0.2862312680675566,0.09959111287412167,67.1875,0.09140967153831694,58.201058201058196,0.6194598057091809,0.0583867179954859,83.87096774193549,0.17761379330441118,0.0837808213783649,67.82608695652173,0.3898875496272295,0.10382090471079922,43.90243902439025,0.7649463017503764,0.047623306775797694,82.35294117647058,0.4170496546636251,0.1553436978860043,44.44444444444444,0.6794533167795471,0.08835583457420232,61.53846153846154,0.37112907649178023,0.14344452850658698,35.714285714285715,0.5588018296505931,0.13733836434407715,60.0,0.6664627280373243,0.08697790535593541,25.0,0.688618003607614
15,0.20991942121451304,0.09234044579745299,78.125,0.09908588959975301,56.613756613756614,0.10546474331302287,0.08465793071387387,64.51612903225806,0.6510356335055442,0.09852214586275176,51.30434782608696,0.7019250243500872,0.1066815989949185,63.41463414634146,0.7587925640602455,0.08700964144040031,82.35294117647058,0.08123334103510309,0.15447548140001924,44.44444444444444,0.6962625832807664,0.07917330494955799,84.61538461538461,0.2858375747644997,0.42168192059207865,21.428571428571427,0.5925949789028266,0.13834062871662506,70.0,0.6844443436669143,0.08601753549533801,62.5,0.6881462655247402
16,0.25886386236381914,0.12318440328761503,69.53125,0.10179723750640064,58.201058201058196,0.7365140418527465,0.07734273883861664,80.64516129032258,0.01915532393745917,0.10716066089802445,66.95652173913044,0.48729501709586065,0.10222672239549326,46.34146341463415,0.6982034395013319,0.052071501374127735,88.23529411764706,0.36361867464453057,0.1516437482109151,44.44444444444444,0.6945357484067882,0.09080237486683787,76.92307692307693,0.26067937114851847,0.2926959469791998,28.57142857142857,1.1637562682003941,0.13958753400991353,80.0,0.5113979491459673,0.08749177554307438,25.0,0.6968021342953827
17,0.4758378024299244,0.09860109589127515,75.0,0.104490126748973,62.43386243386243,0.8417189098588523,0.04810742449489342,87.09677419354838,0.5399093817225161,0.09194033884907572,64.34782608695652,0.6041238759286534,0.10866658737052276,48.78048780487805,0.5781990053159077,0.07481794152122132,82.35294117647058,0.15165324781924702,0.15394566105462887,55.55555555555556,0.700161436647659,0.1365396442024464,53.84615384615385,0.06366743731840908,0.4021971495946878,21.428571428571427,0.7909605937884643,0.21102547628921098,60.0,0.46473751257590107,0.08644661179062943,62.5,0.6845492066133727
18,0.1968974323489432,0.1308573393028793,67.1875,0.1251329969843405,59.25925925925925,0.15988570824695134,0.07433292879261987,83.87096774193549,0.45959007728464707,0.09552589775973379,60.0,0.3667180225097994,0.13029598693242087,39.02439024390244,0.4663267884907506,0.05898981218645057,88.23529411764706,0.2812159914377634,0.15583437693890437,44.44444444444444,0.6954771754229289,0.18781179801891257,46.15384615384615,0.1996421409131424,0.32654326124620475,42.857142857142854,0.4801873328121846,0.12471613579833227,80.0,0.5085688536581149,0.08641715466655181,62.5,0.6280291175807778
19,0.48346549259262717,0.10261656625605876,75.78125,0.10777310497421197,64.02116402116403,0.6970097759556892,0.055703636978179455,80.64516129032258,1.2542336494082273,0.13080282679440514,67.82608695652173,0.3888433487944972,0.16961707251672403,43.90243902439025,0.5318998811987712,0.03814050395606167,94.11764705882352,0.6348735542397071,0.15481067061339815,66.66666666666666,0.6801356641626951,0.13869931653849527,61.53846153846154,0.39477634906304515,0.35352037442246925,21.428571428571427,0.06177033594723143,0.15444731101938206,70.0,0.609110887873484,0.08662829800963054,50.0,0.6856063801389686
20,0.5897993961017541,0.1269969397524644,74.21875,0.1482766248688852,62.43386243386243,0.002241155481882623,0.08582720457368004,64.51612903225806,0.029682952977584883,0.11188971620833278,54.78260869565217,0.6146959134285319,0.126911961954093,65.85365853658537,1.0959802464638468,0.0461667522498229,76.47058823529412,0.07196926827047703,0.15190788036704714,55.55555555555556,0.707818574223383,0.1330796160935345,61.53846153846154,0.01172741513591743,0.6138822691230573,21.428571428571427,0.43381749282810644,0.1550571743760179,80.0,0.3422049609447292,0.06556134886905368,75.0,0.5530488460025439
21,0.6534929761050212,0.14887351718739364,70.3125,0.11681787228572052,58.730158730158735,0.15838845408008684,0.10878737808165576,61.29032258064516,0.06554693344907704,0.10309571797237062,52.17391304347826,0.5950296659455147,0.12713932595803587,65.85365853658537,0.6317584415772413,0.05962719652130376,82.35294117647058,0.7491821222968233,0.1543782427905288,55.55555555555556,0.6748466095891054,0.10108958293150819,61.53846153846154,1.0347451247546422,0.4030343663690678,21.428571428571427,0.09404152029548284,0.1381691156904928,80.0,0.5766732578057084,0.07927645650442366,62.5,0.7241851379483712
22,0.17386365843681176,0.1674910998299648,64.84375,0.13049912607263453,57.67195767195767,1.7831090743552838,0.09879570845409814,80.64516129032258,0.013930206275830212,0.12640273045261954,65.21739130434783,0.4509746926824968,0.12394827408593188,46.34146341463415,0.9221744602346874,0.4020310844456474,88.23529411764706,0.014276638180535855,0.154983871776145,44.44444444444444,0.6965200855049497,0.10265679242884909,84.61538461538461,6.201644786753632e-05,0.22971598019664857,21.428571428571427,0.170872971260498,0.15865726172217126,60.0,0.40987430896867066,0.08757422583217703,25.0,0.6916508052556521
23,0.16889152296372492,0.12242886299884795,75.78125,0.1376667777447138,60.317460317460316,0.23516297798478344,0.05548230797959673,87.09677419354838,0.0031027199410310537,0.11605971061814481,63.47826086956522,0.05713808472443636,0.16349081467006515,58.536585365853654,0.602039628462115,0.08958942497862007,88.23529411764706,0.566799129126233,0.15036770473858643,77.77777777777779,0.6992233285920267,0.13467828887017613,84.61538461538461,0.007473968952588561,0.3873537077987246,21.428571428571427,0.2365485229421738,0.20906231914170856,70.0,0.38065597417726577,0.08652433758861391,62.5,0.6797225462457973
24,0.2045047956951712,0.222594116332897,66.40625,0.13987218710729418,62.43386243386243,0.08690601870880964,0.11986290754843333,80.64516129032258,1.169446351190171,0.12632092493113625,64.34782608695652,0.6900044764109919,0.1390935296553549,41.46341463414634,0.5069154544342186,0.08526901930009176,88.23529411764706,0.10050002238108988,0.15132505975203664,44.44444444444444,0.4933297871694163,0.10593165144935554,76.92307692307693,0.46167983597382295,0.19227936372309706,42.857142857142854,0.21897899918408117,0.13164529494060825,70.0,0.43099879899920573,0.08704493883994543,25.0,0.5940301757344923
25,0.1270336407470939,0.17877412442320614,70.3125,0.1273464804274638,57.67195767195767,0.5687708242947388,0.07974502956836287,80.64516129032258,0.21776972390477212,0.1155455298107193,63.47826086956522,0.6162894117489636,0.11189717541226253,51.21951219512195,0.17687314689708128,0.1748607926929504,88.23529411764706,0.19225973229011828,0.1548971163794278,44.44444444444444,0.689831049954741,0.09272373640801256,84.61538461538461,0.09224683518323117,0.29631958578680895,28.57142857142857,0.2452739735786793,0.2144457054564866,70.0,0.8403615549868841,0.10407777101184054,25.0,0.6779821937744597
26,0.021408447145846263,0.1162863373196035,77.34375,0.12353042788485305,56.613756613756614,0.28740293427118363,0.04346392772066886,90.32258064516128,0.11992404417729052,0.11396664501924113,58.26086956521739,0.23912401731883567,0.11678845842832955,48.78048780487805,0.6531044415479,0.05739308999620439,82.35294117647058,0.3579111933883768,0.15375333190732446,55.55555555555556,0.7035452489065501,0.08419586181472308,69.23076923076923,0.2622288624632312,0.21988408661163059,50.0,0.1627898097193861,0.12134573271351194,60.0,0.35011379883274923,0.09242404152042587,62.5,0.5363810796588484
27,0.008530600615612394,0.14335240268364585,75.0,0.1435601335911845,57.67195767195767,0.2037943706318924,0.05569320176737961,87.09677419354838,0.572960257526843,0.18303130764327125,67.82608695652173,0.16046961299426687,0.20381054419824976,46.34146341463415,1.3451796889257035,0.2824077593117709,88.23529411764706,0.26836179773054647,0.15449559220081122,55.55555555555556,0.6961927736963555,0.17644446898008578,61.53846153846154,0.6271966396038989,0.19009290301745294,50.0,0.021702112516060534,0.20249849135090617,60.0,0.17020917694110332,0.09867411279934853,25.0,0.5785423493791947
28,0.5031840030190177,0.14766247532650348,71.09375,0.14933045197335754,59.25925925925925,0.1349076361386703,0.07672905854005316,83.87096774193549,0.08772621966647924,0.12707658971716007,54.78260869565217,0.15187543393686948,0.1298721103867848,48.78048780487805,1.0430411785829177,0.20093595185677457,82.35294117647058,0.012820372134836023,0.1447404784946417,44.44444444444444,0.6641758333434268,0.12234808625854797,69.23076923076923,0.021612065382099838,0.3700449424502196,42.857142857142854,0.09202156552565276,0.13681730780052098,80.0,0.3264253900461828,0.10989746974601533,62.5,0.5036843953936639
29,0.002795145352162546,0.13276821212440898,75.78125,0.14911097706588447,59.78835978835979,0.582099292708925,0.05865550260101943,83.87096774193549,0.08095985029046146,0.12900117744530196,65.21739130434783,0.6790191411064282,0.11526726558816347,43.90243902439025,0.6397936918411844,0.08733029521109502,82.35294117647058,0.01997688506884642,0.11197998499675184,55.55555555555556,0.7939492472520362,0.14044985378686775,69.23076923076923,0.06061491065301961,0.17071550339949132,50.0,0.038274474822260894,0.30587178939902404,70.0,0.22575543818812815,0.12195002839557903,37.5,0.4337320683211468
