,SZ,SZ,SZ,SZ,SZ,SZ,SZ,ASD,ASD,ASD,ASD,ASD,ASD,ASD,BIP,BIP,BIP,BIP,BIP,BIP,BIP,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,0.6930243515300542,0.693263966709697,38.582677165354326,0.5331101190476191,0.5331848785281181,0.39062500186264515,0.9875000007450581,0.6931452722168043,46.808510638297875,0.5919642857142856,0.016666666915019352,0.041666666666666664,0.010416666666666666,0.6942106897147736,0.644054504405021,67.74193548387096,0.5535714285714286,0.0,0.0,0.0,0.5076370729571872,0.693157498240212,47.05882352941176,0.6111111111111112,0.43822844823201496,0.3333333333333333,0.6666666666666666,0.6939400285123531,0.693365800330871,37.5,0.3333333333333333,0.5454545617103577,0.375,1.0,0.6933277850732216,0.6941416635473466,33.33333333333333,0.3666666666666667,0.47272728383541107,0.3125,1.0,0.6338495665051305,0.723484805949993,42.857142857142854,0.5,0.0,0.0,0.0,0.6581866448281207,0.6931319295662641,50.0,0.7916666666666667,0.1666666716337204,0.125,0.25,0.6946171961470824,0.7798898894946896,64.34782608695652,0.49801587301587297,0.0,0.0,0.0,0.5105100250112082,1.1288561296644426,43.90243902439025,0.5125000000000001,0.5024531135956446,0.375,0.8333333333333334,0.6097398370029086
1,0.6930697059389752,0.6933049686536615,33.85826771653544,0.33697916666666666,0.38910083938390017,0.32083334121853113,0.5895833354443312,0.6931796499257756,46.808510638297875,0.5125,0.0138888880610466,0.041666666666666664,0.008333333457509676,0.6941831833022573,0.6218948597565732,67.74193548387096,0.6770833333333334,0.0,0.0,0.0,0.4176243030967379,0.6931518230427128,47.05882352941176,0.5,0.43822844823201496,0.3333333333333333,0.6666666666666666,0.6931700916711391,0.6930920788969587,62.5,0.8666666666666667,0.5714285373687744,0.5,0.6666666865348816,0.693006644241654,0.7715527945419253,33.33333333333333,0.5416666666666666,0.533333346247673,0.375,1.0,0.7028617835866201,0.7211986051011942,42.857142857142854,0.30000000000000004,0.0,0.0,0.0,0.7139867356603805,0.6917425859072341,70.0,0.48333333333333334,0.0,0.0,0.0,0.6933769207007972,0.6609070960641938,64.34782608695652,0.49361111111111117,0.0,0.0,0.0,0.6307465381093146,0.693171895440935,43.90243902439025,0.5298611111111111,0.5151515305042267,0.375,0.8333333333333334,0.6930676456700132
2,0.6901234743938633,0.6922020758716786,60.629921259842526,0.5395833333333334,0.0,0.0,0.0,0.6932823456100724,46.27659574468085,0.5473958333333334,0.0,0.0,0.0,0.690163069689896,0.6675072113203087,67.74193548387096,0.6708333333333333,0.0,0.0,0.0,0.4350315748467173,0.6931847365171514,52.94117647058824,0.425,0.0,0.0,0.0,0.6930503728466516,0.6963211100322212,37.5,0.26666666666666666,0.5454545617103577,0.375,1.0,0.8501301089067027,0.9871795144138087,33.33333333333333,0.625,0.533333346247673,0.375,1.0,0.6358584690698215,0.6936226547018267,42.857142857142854,0.5,0.0,0.0,0.0,0.6925358207346805,0.6925635133019508,70.0,0.45,0.0,0.0,0.0,0.6931527918376544,0.662434638619882,64.34782608695652,0.560952380952381,0.0,0.0,0.0,0.5721460951831034,0.6936305379169406,43.90243902439025,0.5263888888888889,0.5080031206210455,0.375,0.8333333333333334,0.6940999092600636
3,0.6926682985562181,0.6918752800565354,60.629921259842526,0.4903645833333333,0.0,0.0,0.0,0.6928792439748768,51.59574468085106,0.6546378968253969,0.2070436521122853,0.4791666666666667,0.13973214539388815,0.6923687843523917,0.6186608257853571,67.74193548387096,0.7333333333333334,0.0,0.0,0.0,0.6698733088239869,0.6931450379935074,64.70588235294117,0.5,0.5064102609952291,0.4083333412806193,0.6666666666666666,0.7039977638408218,0.8150246214539574,37.5,0.0,0.5454545617103577,0.375,1.0,0.69743007117394,0.8378781076991338,33.33333333333333,0.4166666666666667,0.533333346247673,0.375,1.0,0.5184949925675544,0.6933254612505866,42.857142857142854,0.5625,0.0,0.0,0.0,0.6911517468664411,0.6942622334534987,30.0,0.16666666666666666,0.533333346247673,0.375,1.0,0.6926911207807965,0.6812714930182463,64.34782608695652,0.46924603174603174,0.0,0.0,0.0,0.5709785359496822,0.7065413690461578,43.90243902439025,0.5513888888888888,0.6544677664836248,0.5208333333333334,1.0,0.8162797660887475
4,0.7325116210751802,0.6441623416980905,60.629921259842526,0.779985119047619,0.0,0.0,0.0,0.693069036964009,53.72340425531915,0.6125992063492064,0.318452379355828,0.5833333358168602,0.2379960355659326,0.6930039054027075,0.6182973512250381,67.74193548387096,0.5766369047619048,0.0,0.0,0.0,0.4614048614328989,0.6931106347031953,47.05882352941176,0.5208333333333334,0.13333333532015482,0.3333333333333333,0.08333333333333333,0.693243020436237,0.7120139130860769,37.5,0.0,0.5454545617103577,0.375,1.0,0.6932295459792286,0.7611011842640371,33.33333333333333,0.75,0.533333346247673,0.375,1.0,0.5916530282586818,0.6932093152459233,42.857142857142854,0.6875,0.0,0.0,0.0,0.6924915928556324,0.6938620647388316,40.0,0.35,0.1428571343421936,0.125,0.1666666716337204,0.6917608557177026,0.6558999868482193,64.34782608695652,0.5276984126984127,0.0,0.0,0.0,0.5984989263189212,0.6958490733617708,43.90243902439025,0.6430555555555556,0.5024531135956446,0.375,0.8333333333333334,0.7690055942996435
5,0.6895623723893615,0.6594046264625,61.417322834645674,0.7533110119047619,0.0208333320915699,0.0625,0.012500000186264515,0.69230788330317,51.06382978723404,0.5664186507936508,0.2317460315922896,0.4402777800957362,0.17847222524384657,0.6937337450544242,0.6066975125836165,67.74193548387096,0.5906250000000001,0.0,0.0,0.0,0.5931981481321364,0.6931708876868403,52.94117647058824,0.43333333333333335,0.0,0.0,0.0,0.7167729074202512,0.7036400907076826,50.0,0.4,0.5,0.4000000059604645,0.6666666865348816,0.6929000056039262,0.662229343314945,50.0,0.75,0.5,0.4166666716337204,0.75,0.5763347020176167,0.6782940660833966,71.42857142857143,0.5333333333333333,0.7750000357627869,0.7000000178813934,0.9000000059604645,0.8547424752464952,0.8319629893050611,50.0,0.7083333333333334,0.722222238779068,0.6428571492433548,1.0,0.6928221506909058,0.6729480269571692,64.34782608695652,0.47027777777777774,0.0,0.0,0.0,0.6175970395177612,0.6883691068263338,46.34146341463415,0.6319444444444444,0.5085137188434601,0.3869047661622365,0.8333333333333334,0.6926768117432621
6,0.5795610674161188,0.6064796841897273,62.20472440944882,0.7427083333333334,0.04583333246409893,0.125,0.028125000186264515,0.6884506950201069,62.76595744680851,0.6975694444444445,0.5958784272273382,0.6888888937731584,0.5965277887880802,0.6928069445325259,0.5263870156088238,70.96774193548387,0.9791666666666666,0.1666666716337204,0.25,0.125,0.5190473388506028,0.6853345731291662,35.294117647058826,0.4583333333333333,0.1944444477558136,0.25,0.16666666666666666,0.6882287297393944,0.6713070273826396,62.5,0.5333333333333333,0.5714285373687744,0.5,0.6666666865348816,0.6917202275080281,0.6837919396663951,66.66666666666666,0.6,0.625,0.46666668355464935,1.0,0.6919353505063837,0.8318627884889133,42.857142857142854,0.125,0.0,0.0,0.0,0.4713041811750564,0.8857369635377434,30.0,0.5,0.533333346247673,0.375,1.0,0.8441978444482898,0.691027526669388,64.34782608695652,0.47218253968253965,0.0,0.0,0.0,0.662220194111315,0.705468520473164,48.78048780487805,0.4309523809523809,0.6018518706162771,0.507936512430509,0.777777781089147,0.687758341660576
7,0.5505329003540631,0.6246477914407409,71.65354330708661,0.7703869047619047,0.4537698533385992,0.567708333954215,0.39375000447034836,0.688975158885342,48.93617021276596,0.6595982142857142,0.12060185397664706,0.2708333333333333,0.07787698569397132,0.6993039519051769,0.4534634073576615,87.09677419354838,0.7821428571428571,0.6785714328289032,0.625,0.75,0.6951305973019227,0.698114682548737,58.82352941176471,0.5222222222222223,0.47777777910232544,0.380952388048172,0.6666666666666666,0.6288501538441696,0.609273588532538,50.0,0.6,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6515305977810791,1.2703803871108323,33.33333333333333,0.59375,0.3333333432674408,0.25,0.5,0.7686562179749957,0.7204612446883809,42.857142857142854,0.42222222222222217,0.0,0.0,0.0,0.7535761420345931,0.9409266075981201,30.0,0.20833333333333334,0.533333346247673,0.375,1.0,0.7908140909663355,0.6876087401615322,64.34782608695652,0.6120238095238094,0.0,0.0,0.0,0.6935050201930498,1.0644722454228395,43.90243902439025,0.5916666666666667,0.5024531135956446,0.375,0.8333333333333334,0.4984051677684832
8,0.6168574050644047,0.6356686143454835,63.77952755905512,0.7999999999999999,0.5977678615599871,0.5497023863717914,0.7354166712611914,0.6821473527357758,51.06382978723404,0.6637152777777777,0.10496031989653905,0.20833333333333334,0.07291666728754838,0.6885582828448186,0.3222621769856119,90.32258064516128,0.796875,0.630952388048172,0.6666666716337204,0.6041666716337204,0.2659999972129367,0.6777260166449731,52.94117647058824,0.4444444444444444,0.20000000794728598,0.25,0.16666666666666666,0.5229749404201899,0.7035409469651933,62.5,0.5333333333333333,0.6666666865348816,0.5,1.0,0.69059349890894,1.080935595478008,41.66666666666667,0.7083333333333333,0.5555555820465088,0.3928571492433548,1.0,0.28348441905575816,0.7151771792834649,42.857142857142854,0.625,0.0,0.0,0.0,0.7717572623432488,0.72989854223204,30.0,0.25,0.6111111119389534,0.5625,1.0,0.6745478521298984,0.7004592485151533,64.34782608695652,0.5619047619047619,0.0,0.0,0.0,0.28682167985687557,0.7015650362713944,51.21951219512195,0.5354166666666667,0.6271950304508209,0.5327381044626236,0.8000000019868215,0.7084411715173005
