,ASD,ASD,ASD,ASD,ASD,ASD,ASD,SZ,SZ,SZ,SZ,SZ,SZ,SZ,BIP,BIP,BIP,BIP,BIP,BIP,BIP,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,0.6927265140735472,0.6948166335742713,50.79365079365079,0.6076884920634921,0.07407407462596893,0.16666666666666666,0.048015874500075974,0.7070783874317138,57.8125,0.7098214285714285,0.2634920682758093,0.5625,0.1772321444004774,0.6838332221528373,0.49751704119278306,80.64516129032258,0.6517857142857143,0.0,0.0,0.0,0.4751031106475343,0.6197847434455883,94.11764705882352,0.8111111111111112,0.9523809552192688,0.9166666666666666,1.0,0.6341167582084757,0.7062026915238682,53.84615384615385,0.3833333333333333,0.0,0.0,0.0,0.7123477296939992,0.9201208652675101,21.428571428571427,0.3392857142857143,0.3611111119389534,0.2291666716337204,1.0,0.6701051656947425,0.6932815534640943,40.0,0.53125,0.0,0.0,0.0,0.6862244334525839,0.6910475587164888,75.0,0.5,0.8571428656578064,0.75,1.0,0.6848598589451994,0.6634665473148558,66.95652173913044,0.444484126984127,0.0,0.0,0.0,0.7130238688853673,0.6957455557377387,53.65853658536586,0.44027777777777777,0.5786435802777609,0.4672619054714839,0.7916666666666666,0.6936569278165579
1,0.6936916059705335,0.6940346262788089,57.67195767195767,0.6084325396825397,0.4018518614272277,0.5791666693985462,0.34732143332560855,0.6026053805062271,74.21875,0.7661458333333334,0.7598349750041962,0.7250000052154064,0.8562500029802322,0.4682951044180146,0.5319638138053544,80.64516129032258,0.65,0.0,0.0,0.0,0.5909573832729601,0.645006557000948,52.94117647058824,0.6626984126984127,0.4444444477558136,0.375,0.6666666666666666,0.7366489332128474,0.6669516911121883,53.84615384615385,0.8125,0.6493506729602814,0.48571430146694183,1.0,0.7398635910503751,0.6401502572159687,78.57142857142857,0.6916666666666667,0.0,0.0,0.0,0.6974985256996292,0.7217399459929681,40.0,0.41666666666666663,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6465507274881012,0.5077907081004533,75.0,1.0,0.8571428656578064,0.75,1.0,0.6056330146647727,0.7811865620565078,32.17391304347826,0.4748412698412699,0.4510463704665502,0.31984127263228096,0.8722222248713175,0.7492227035782492,0.6912387781434672,56.09756097560976,0.582936507936508,0.7196248322725296,0.6357142974932989,0.8789682586987814,0.6814613535723758
2,0.6923733459408528,0.6932893383123232,49.2063492063492,0.5672867063492063,0.028571429351965588,0.08333333333333333,0.017361111318071682,0.6703032161102067,54.6875,0.8218377976190476,0.1836309526115656,0.40625,0.12291666865348816,0.6784768616398297,0.455297660990776,80.64516129032258,0.6309523809523809,0.0,0.0,0.0,0.3002783737592996,0.6447498357291657,76.47058823529412,0.8125,0.46666666865348816,0.6666666666666666,0.4166666666666667,0.7438802213343294,0.6671154732926982,53.84615384615385,0.5416666666666667,0.4285714328289032,0.375,0.5,0.4034509992698636,0.9861698258267096,28.57142857142857,0.4107142857142857,0.375,0.2380952462553978,1.0,0.6812385415915904,0.709923087487177,50.0,0.40625,0.20000000298023224,0.5,0.125,0.5375924856304218,0.6927438439295583,75.0,0.0,0.8571428656578064,0.75,1.0,0.69415191905426,0.6693588587171914,58.26086956521739,0.501984126984127,0.0629629651705424,0.13333333333333333,0.041269842783610025,0.6575248240357321,0.6996263331035153,53.65853658536586,0.5180555555555556,0.5619713713725408,0.4819444517294566,0.75,0.6937316586329481
3,0.696486321301423,0.7004159092645025,61.37566137566137,0.6086309523809524,0.5334986870487531,0.6541666729996601,0.508333341528972,0.8140919705377887,63.28125,0.7735863095238096,0.3876488097012043,0.6979166679084301,0.2906250050291419,0.48144705648101743,0.45194654319353905,80.64516129032258,0.675,0.0,0.0,0.0,0.4909157766300554,0.5960340813167317,52.94117647058824,0.7888888888888889,0.47863248984018963,0.375,0.6666666666666666,0.826541613180104,0.6682122289585904,53.84615384615385,0.8083333333333333,0.0,0.0,0.0,0.7129106947983491,0.5728310580816134,78.57142857142857,0.41666666666666663,0.0,0.0,0.0,0.7060732327639586,0.7365552011969001,40.0,0.40625,0.0,0.0,0.0,0.6392913249532006,0.692885250448095,75.0,0.0,0.8571428656578064,0.75,1.0,0.651076088095962,0.6724320281733394,66.95652173913044,0.5075,0.0,0.0,0.0,0.5164245213566658,0.6977073046598982,53.65853658536586,0.44930555555555557,0.6914381980895996,0.5992063532272974,0.8472222288449606,0.6840096772834453
4,0.6879756232536296,0.690792131959816,53.43915343915344,0.6263392857142858,0.2974206358194351,0.4791666666666667,0.2528769870599111,0.8268829480297197,67.96875,0.8197916666666666,0.5740800946950912,0.8125000037252903,0.4906250024214387,0.28515133349446925,0.44129212824048725,80.64516129032258,0.6458333333333334,0.0,0.0,0.0,0.6212187604231658,0.5545204293781554,52.94117647058824,0.8333333333333334,0.7777777910232544,0.6666666666666666,1.0,0.7010855535675931,0.6996080975139135,53.84615384615385,0.55,0.0,0.0,0.0,0.6589460557231588,0.6070002288907216,78.57142857142857,0.6,0.0,0.0,0.0,0.6722292133140716,0.7851660295767502,40.0,0.5833333333333333,0.0,0.0,0.0,0.564911040982221,0.6697073319070427,75.0,0.3333333333333333,0.8571428656578064,0.75,1.0,0.7382708502952747,0.6766434189815212,66.95652173913044,0.4949206349206349,0.0,0.0,0.0,0.40733996045362647,0.6919171087680352,53.65853658536586,0.5875,0.5411681135495504,0.4565476228793462,0.6666666666666666,0.6759214019103361
5,0.6941326215975813,0.6925763713969503,57.14285714285714,0.5600694444444444,0.6475871503353119,0.5455357233683268,0.840972226113081,0.756147095399399,68.75,0.821875,0.7342886403203011,0.6144345328211784,0.953125,0.2667531768449691,0.5209136458651554,74.19354838709677,0.6095238095238095,0.309523805975914,0.25,0.4166666716337204,0.7106324481274964,0.556720188205082,58.82352941176471,0.7708333333333334,0.7979798118273417,0.6904761989911398,1.0,0.8318417830531285,0.6736649356681242,53.84615384615385,0.5833333333333333,0.0,0.0,0.0,0.7018761900701782,0.6985966053411664,28.57142857142857,0.75,0.375,0.2380952462553978,1.0,0.6525813888856167,0.7790829081194529,40.0,0.65625,0.0,0.0,0.0,0.6037996782642846,0.6298337510024374,75.0,1.0,0.800000011920929,1.0,0.6666666865348816,0.7460464077098385,0.6821457340922746,63.47826086956522,0.5331746031746031,0.22074074745178224,0.28222222328186036,0.18888889153798422,0.7524661380471548,0.6947701270153115,60.97560975609756,0.6215277777777778,0.5324074327945709,0.5666666775941849,0.5250000034769376,0.619991330974073
6,0.6919122447955004,0.6925165517068554,56.613756613756614,0.5840277777777778,0.5203252869347731,0.5645833394179741,0.5131944498668114,0.6354150068955875,74.21875,0.7914434523809525,0.7673628479242325,0.668750012293458,0.9337797611951828,1.007641399354761,0.6693942148697499,67.74193548387096,0.6291666666666667,0.4583333432674408,0.375,0.625,0.46949880028548874,0.4366224659128219,82.35294117647058,0.8125,0.5462963183720907,0.5833333333333334,0.5166666706403097,0.5981208329259668,0.6738626980477084,53.84615384615385,0.8083333333333333,0.0,0.0,0.0,1.3527300228240426,0.5053525538255431,78.57142857142857,0.775,0.0,0.0,0.0,0.5782904150279753,0.7600837764577566,50.0,0.13333333333333333,0.6333333551883698,0.550000011920929,0.800000011920929,0.6934120018319644,0.6435193043398948,75.0,0.5833333333333334,0.8571428656578064,0.75,1.0,1.0786595041719156,0.8855693168336293,38.26086956521739,0.5811904761904763,0.4387568106253942,0.32071429093678794,0.8333333373069763,0.7736532324860926,0.7566149601653089,46.34146341463415,0.44930555555555557,0.2216931333144506,0.2916666666666667,0.18333333482344946,0.7738159010059749
7,0.6914446002924707,0.6892957737521929,56.08465608465608,0.606969246031746,0.4936628279586633,0.6034722266097864,0.4793650849411885,0.7203271186626357,67.1875,0.8441964285714285,0.5477678664028645,0.7187500018626451,0.49270834028720856,0.17284145688288075,0.4517008069900698,77.41935483870968,0.6583333333333334,0.2916666716337204,0.375,0.25,0.274838258452928,0.4298228528558315,82.35294117647058,0.8125,0.5555555621782938,0.6666666666666666,0.5,0.7846720936691927,0.6528738744722928,46.15384615384615,0.6666666666666666,0.472222238779068,0.6666666716337204,0.5000000149011612,0.5567064849230916,0.7623231410784532,35.714285714285715,0.675,0.3888888955116272,0.24285715073347092,1.0,0.9281975902573504,0.6782907329879642,60.0,0.8,0.6969697177410126,0.5833333432674408,0.9000000059604645,0.51341552533177,0.690486113824507,25.0,0.25,0.25,0.5,0.1666666716337204,0.6697823643374711,0.6657202788362182,63.47826086956522,0.5383333333333333,0.2501587331295013,0.38888888955116274,0.20777777930100758,0.6031146967070191,0.7035255700154514,56.09756097560976,0.5722222222222222,0.7083916217088699,0.6357142974932989,0.8361111183961233,0.6198320234267995
8,0.7532069310781269,0.6861967719408426,56.08465608465608,0.6104166666666666,0.42923280969262123,0.5756944480041662,0.38194445086022216,0.545807256142801,78.90625,0.8911458333333332,0.7639339882880449,0.7656250037252903,0.8239583354443312,0.09158748711633231,0.45716104562498117,83.87096774193549,0.6822916666666666,0.380952388048172,0.5,0.3125,0.36098312596378906,0.4995744150738287,70.58823529411765,0.8111111111111112,0.4571428696314494,0.6666666666666666,0.35555556416511536,0.7033579428464125,0.6262312538216952,53.84615384615385,0.7083333333333333,0.2857142686843872,0.3333333432674408,0.25,0.5324157799987672,0.641974850791535,71.42857142857143,0.6875,0.25,0.1666666716337204,0.5,0.6698339314005434,0.787841882091394,40.0,0.53125,0.0,0.0,0.0,0.6126434962095126,0.5812315789939879,75.0,0.9166666666666666,0.8333333134651184,0.8333333134651184,0.8333333134651184,0.6819623712226052,0.6721360788929532,58.26086956521739,0.5377777777777778,0.21714285810788472,0.28555555641651154,0.2344444473584493,0.733846358879948,0.8195690587447495,43.90243902439025,0.4124999999999999,0.11111110945542653,0.25,0.07500000049670537,0.6921599849125653
