,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,SZ,SZ,SZ,SZ,SZ,SZ,SZ,ASD,ASD,ASD,ASD,ASD,ASD,ASD,BIP,BIP,BIP,BIP,BIP,BIP,BIP,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,0.6383792028202188,0.08726308282545764,64.34782608695652,0.5,0.0,0.0,0.0,0.085335898007586,60.629921259842526,0.5104166666666667,0.0,0.0,0.0,0.7651722986219631,0.0886767461458702,46.27659574468085,0.5,0.0,0.0,0.0,0.7011437887910862,0.08972160197041937,32.25806451612903,0.5,0.47777779400348663,0.3214285746216774,1.0,0.7047592335735361,0.10136818868056369,43.90243902439025,0.5,0.6448773543039957,0.5208333333333334,1.0,0.6906548914696542,0.12450970233069655,52.94117647058824,0.5,0.0,0.0,0.0,0.7035504445566907,0.08546335390653131,62.5,0.5,0.0,0.0,0.0,0.6785474370094695,0.12185179288653257,33.33333333333333,0.5,0.47272728383541107,0.3125,1.0,0.697459170268501,0.10131657303414063,42.857142857142854,0.5,0.0,0.0,0.0,3.777975280871116,0.13850034354871177,70.0,0.5,0.0,0.0,0.0,0.6937130432241472,0.0961881851559313,71.42857142857143,0.5,0.0,0.0,0.0,0.7179743887899935
1,0.8209958523719024,0.08502828182967416,64.34782608695652,0.5,0.0,0.0,0.0,0.08567089795011207,60.629921259842526,0.5,0.0,0.0,0.0,0.6849519957664322,0.08852075903183691,46.27659574468085,0.5,0.0,0.0,0.0,0.6978169451811423,0.08537071206288174,67.74193548387096,0.5,0.0,0.0,0.0,0.6656552166740352,0.10187056774801202,43.90243902439025,0.5,0.5151515305042267,0.375,0.8333333333333334,0.6879062396706607,0.12427672265086373,52.94117647058824,0.5,0.0,0.0,0.0,0.7211189624445644,0.08522706727621641,62.5,0.5,0.0,0.0,0.0,0.694395499208829,0.11919091599714378,33.33333333333333,0.5,0.533333346247673,0.375,1.0,0.6232403755882971,0.10128460435070956,42.857142857142854,0.5,0.0,0.0,0.0,0.6963624474578642,0.13885016940518163,30.0,0.5,0.533333346247673,0.375,1.0,0.6931530969545922,0.09674247090155963,71.42857142857143,0.5,0.0,0.0,0.0,0.6884389914295458
2,0.5955056047909079,0.08621693408638825,64.34782608695652,0.5,0.0,0.0,0.0,0.08572116336207485,60.629921259842526,0.5,0.0,0.0,0.0,0.7062449365349127,0.0885015482086033,46.27659574468085,0.5,0.0,0.0,0.0,0.6959004415138476,0.08274706138880755,67.74193548387096,0.5,0.0,0.0,0.0,0.6484189706239175,0.10137662222676053,43.90243902439025,0.5,0.6394901499152184,0.5208333333333334,1.0,0.7031938587332277,0.12416444110440458,52.94117647058824,0.5,0.0,0.0,0.0,0.6862820165976109,0.08518755355026938,62.5,0.5,0.0,0.0,0.0,0.7250244227907978,0.12107779086183867,33.33333333333333,0.5,0.47272728383541107,0.3125,1.0,0.6578459071651466,0.10053117991503828,42.857142857142854,0.5,0.0,0.0,0.0,0.6812782316995132,0.14013888674164893,30.0,0.5,0.27272728085517883,0.1875,0.5,0.6113611218112294,0.09737887463789678,71.42857142857143,0.5,0.0,0.0,0.0,0.6895765261027423
3,0.6734228045029678,0.08599647155465136,64.34782608695652,0.5,0.0,0.0,0.0,0.08574235699527524,60.629921259842526,0.5,0.0,0.0,0.0,0.6669230045197406,0.08860059977675494,46.27659574468085,0.5,0.0,0.0,0.0,0.6968793428483678,0.081874376748547,67.74193548387096,0.5,0.0,0.0,0.0,0.6388352634750786,0.10139881934536389,43.90243902439025,0.5,0.6354497447609901,0.5208333333333334,1.0,0.6992000279421194,0.12037495576766753,52.94117647058824,0.5,0.0,0.0,0.0,0.6869994143658849,0.08523314457506445,62.5,0.5,0.0,0.0,0.0,0.670770986718052,0.12126274491110993,33.33333333333333,0.5,0.47272728383541107,0.3125,1.0,0.6965619801578247,0.09995720383301328,42.857142857142854,0.5,0.0,0.0,0.0,0.7064835440717134,0.1414762099550811,30.0,0.5,0.27272728085517883,0.1875,0.5,0.6933710924226797,0.09794749897013351,71.42857142857143,0.5,0.0,0.0,0.0,0.6962979552736689
4,0.8667640142032166,0.08425236086374406,64.34782608695652,0.5,0.0,0.0,0.0,0.08530093149889849,60.629921259842526,0.5,0.0,0.0,0.0,0.6548963856203306,0.08879627535883666,46.27659574468085,0.5,0.0,0.0,0.0,0.6679351520088903,0.08146382071852228,67.74193548387096,0.5,0.0,0.0,0.0,0.7530871447602542,0.10166329971127089,43.90243902439025,0.5,0.47089947760105133,0.375,0.8333333333333334,0.6945531117676139,0.12403067134614751,52.94117647058824,0.5,0.0,0.0,0.0,0.673576367527996,0.0855204714244015,62.5,0.5,0.0,0.0,0.0,0.7477811999335686,0.12261632124250299,33.33333333333333,0.5,0.3333333432674408,0.25,0.5,0.7401405490080044,0.09964644233324707,42.857142857142854,0.5,0.0,0.0,0.0,0.6935920064272528,0.1404047352397686,30.0,0.5,0.533333346247673,0.375,1.0,0.693743293461508,0.09862734289113863,71.42857142857143,0.5,0.0,0.0,0.0,0.6950407360315245
5,0.6730323739415596,0.08458688496984207,64.34782608695652,0.5,0.0,0.0,0.0,0.08514086303917945,60.629921259842526,0.5,0.0,0.0,0.0,0.6835268434453841,0.0885797539234945,46.27659574468085,0.5,0.0,0.0,0.0,0.6899601562369712,0.08104378052953348,67.74193548387096,0.5,0.0,0.0,0.0,0.5096736370391319,0.10189980407260543,43.90243902439025,0.5,0.5120435257752737,0.375,0.8333333333333334,0.6907902121354531,0.12052600311713671,52.94117647058824,0.5,0.0,0.0,0.0,0.6873871544453152,0.08576292685461324,62.5,0.5,0.0,0.0,0.0,0.6806122821070658,0.1190147704676694,33.33333333333333,0.5,0.533333346247673,0.375,1.0,0.6958638615555615,0.09948352500762235,42.857142857142854,0.5,0.0,0.0,0.0,0.6934533455108944,0.14097011097239615,30.0,0.5,0.533333346247673,0.375,1.0,0.6797588495142864,0.09955395710115736,28.57142857142857,0.5,0.444444477558136,0.2857142984867096,1.0,0.6974647949326164
6,0.6736435947307833,0.08510884154693123,64.34782608695652,0.5,0.0,0.0,0.0,0.08511234480943615,60.629921259842526,0.5,0.0,0.0,0.0,0.6225978968104134,0.08846609559402813,53.72340425531915,0.5,0.687168400734663,0.5416666666666666,1.0,0.6931435678403245,0.0802392903948682,67.74193548387096,0.5,0.0,0.0,0.0,0.35541674218770347,0.10221324416397963,43.90243902439025,0.5,0.5151515305042267,0.375,0.8333333333333334,0.6977375359142017,0.12078152313913586,52.94117647058824,0.5,0.0,0.0,0.0,0.6881800796345193,0.08598586700556766,62.5,0.5,0.0,0.0,0.0,0.6933778710339904,0.11900183400753783,33.33333333333333,0.5,0.533333346247673,0.375,1.0,0.6599063913442684,0.09948581706565672,42.857142857142854,0.5,0.0,0.0,0.0,0.6998512854666495,0.14160938523658623,30.0,0.5,0.533333346247673,0.375,1.0,0.6145175546450979,0.1003255048989512,28.57142857142857,0.5,0.444444477558136,0.2857142984867096,1.0,0.6906653058959747
7,0.7551455531232493,0.0861426924092387,64.34782608695652,0.5,0.0,0.0,0.0,0.0854470696100579,60.629921259842526,0.5,0.0,0.0,0.0,0.7099668304335461,0.08882638264513613,46.27659574468085,0.5,0.0,0.0,0.0,0.7041672426818734,0.08143858425717279,67.74193548387096,0.5,0.0,0.0,0.0,0.3458784200202993,0.10136105760496267,43.90243902439025,0.5,0.658508171637853,0.5208333333333334,1.0,0.6904032994883524,0.12310845842835579,52.94117647058824,0.5,0.0,0.0,0.0,0.6971576627188059,0.08621102302374137,62.5,0.5,0.0,0.0,0.0,0.6932597230229814,0.11906565574924832,33.33333333333333,0.5,0.533333346247673,0.375,1.0,0.7369616498682625,0.09939867575675294,42.857142857142854,0.5,0.0,0.0,0.0,0.6888030834226572,0.14659729399235485,30.0,0.5,0.27272728085517883,0.1875,0.5,0.6008038647054285,0.10085251949424713,28.57142857142857,0.5,0.444444477558136,0.2857142984867096,1.0,0.6973570703233357
8,0.6730362595116504,0.08533439783234764,64.34782608695652,0.5,0.0,0.0,0.0,0.08539051595560462,60.629921259842526,0.5,0.0,0.0,0.0,0.6842704594511037,0.08841678654148516,53.72340425531915,0.5,0.6734450863053402,0.53125,1.0,0.6893828692568243,0.08164173721682053,67.74193548387096,0.5,0.0,0.0,0.0,0.6438432585166286,0.10131389895269005,43.90243902439025,0.5,0.6544677664836248,0.5208333333333334,1.0,0.7007336960240591,0.12276591249026379,52.94117647058824,0.5,0.0,0.0,0.0,0.6913232299535894,0.08660214089178579,62.5,0.5,0.0,0.0,0.0,0.6991135056938803,0.11882649284577246,33.33333333333333,0.5,0.533333346247673,0.375,1.0,0.6955547638247457,0.0998299544613755,42.857142857142854,0.5,0.0,0.0,0.0,0.6934435966526723,0.14247686923495526,30.0,0.5,0.533333346247673,0.375,1.0,0.6954429585901072,0.10145488471658304,28.57142857142857,0.5,0.444444477558136,0.2857142984867096,1.0,0.6734195474602134
9,0.5839399944155377,0.08602553245557824,64.34782608695652,0.5,0.0,0.0,0.0,0.08529147007533011,60.629921259842526,0.5,0.0,0.0,0.0,0.6840304401119185,0.08896856489870379,46.27659574468085,0.5,0.0,0.0,0.0,0.70469499901702,0.08281152792257454,67.74193548387096,0.5,0.0,0.0,0.0,0.8097925653842597,0.10223591317499223,43.90243902439025,0.5,0.49546750634908676,0.375,0.8333333333333334,0.7095098505524827,0.12183614204311617,52.94117647058824,0.5,0.0,0.0,0.0,0.7026517991614648,0.08676517948017048,37.5,0.5,0.5454545617103577,0.375,1.0,0.6931522041590207,0.12051843196015861,33.33333333333333,0.5,0.47272728383541107,0.3125,1.0,0.6610306114039899,0.09946422247657663,42.857142857142854,0.5,0.0,0.0,0.0,0.6881019520141229,0.1493465743617852,30.0,0.5,0.27272728085517883,0.1875,0.5,0.6192899087444624,0.10175815628186423,28.57142857142857,0.5,0.444444477558136,0.2857142984867096,1.0,0.6876709625094871
10,0.5938130802318788,0.08620753010640489,64.34782608695652,0.5,0.0,0.0,0.0,0.0856590112181887,60.629921259842526,0.5,0.0,0.0,0.0,0.7079599543089736,0.08864299609258677,46.27659574468085,0.5,0.0,0.0,0.0,0.6867541943071668,0.0820751161316948,67.74193548387096,0.5,0.0,0.0,0.0,0.6432006218262397,0.10133423517463608,43.90243902439025,0.5,0.6544677664836248,0.5208333333333334,1.0,0.7080147562578621,0.12221597869292807,47.05882352941176,0.5,0.7373737494150797,0.625,1.0,0.6934464681316976,0.08690457315510375,37.5,0.5,0.5454545617103577,0.375,1.0,0.6995576228452555,0.11918526814480541,33.33333333333333,0.5,0.533333346247673,0.375,1.0,0.6961022380264239,0.09982239030808507,42.857142857142854,0.5,0.0,0.0,0.0,0.682969889680157,0.14882807612331647,30.0,0.5,0.27272728085517883,0.1875,0.5,0.6743100709643104,0.10213673922140264,28.57142857142857,0.5,0.444444477558136,0.2857142984867096,1.0,0.6877249558931917
11,0.6730120563736841,0.08614840942392378,64.34782608695652,0.5,0.0,0.0,0.0,0.08566382399958031,60.629921259842526,0.5,0.0,0.0,0.0,0.7068771698553347,0.08902614277499984,46.27659574468085,0.5,0.0,0.0,0.0,0.7070602463134755,0.08118297908194633,67.74193548387096,0.5,0.0,0.0,0.0,0.8096590095924506,0.10133723868804186,43.90243902439025,0.5,0.6544677664836248,0.5208333333333334,1.0,0.6822442552733868,0.12248078223654245,47.05882352941176,0.5,0.3851851870616277,0.3333333333333333,0.6666666666666666,0.6933439808506334,0.08710377787610167,37.5,0.5,0.5454545617103577,0.375,1.0,0.6932449186351266,0.1224735463359481,33.33333333333333,0.5,0.3333333432674408,0.25,0.5,0.6601601949860392,0.09960903416598264,42.857142857142854,0.5,0.0,0.0,0.0,0.7096375189743496,0.14361523648385097,30.0,0.5,0.533333346247673,0.375,1.0,0.5609141212903459,0.10262001288633157,28.57142857142857,0.5,0.444444477558136,0.2857142984867096,1.0,0.7443646974403183
12,0.673016142541629,0.08689379466327991,64.34782608695652,0.5,0.0,0.0,0.0,0.08543497470277417,60.629921259842526,0.5,0.0,0.0,0.0,0.6843695674006456,0.08865879586206783,46.27659574468085,0.5,0.0,0.0,0.0,0.6882936736169715,0.08154240854606101,67.74193548387096,0.5,0.0,0.0,0.0,0.6436269140854961,0.10132409512104824,43.90243902439025,0.5,0.661616176366806,0.5208333333333334,1.0,0.6889672214492191,0.1232606441935354,47.05882352941176,0.5,0.4444444576899211,0.3333333333333333,0.6666666666666666,0.6964275436251384,0.08746199438496216,37.5,0.5,0.5454545617103577,0.375,1.0,0.684293190540678,0.11778429357708249,33.33333333333333,0.5,0.5396825447678566,0.4375,1.0,0.6965171955456221,0.09994720191188801,42.857142857142854,0.5,0.0,0.0,0.0,0.6869134836014466,0.15058303662386377,30.0,0.5,0.27272728085517883,0.1875,0.5,0.697276694500536,0.10287320195496086,28.57142857142857,0.5,0.444444477558136,0.2857142984867096,1.0,0.7204187804165761
13,0.5141852457139636,0.0861679577448932,64.34782608695652,0.5,0.0,0.0,0.0,0.08552126278653435,60.629921259842526,0.5,0.0,0.0,0.0,0.6849042130763996,0.08877353253422637,46.27659574468085,0.5,0.0,0.0,0.0,0.6849752465788104,0.08157860499476534,67.74193548387096,0.5,0.0,0.0,0.0,0.3452355556442141,0.10131641187140628,43.90243902439025,0.5,0.6544677664836248,0.5208333333333334,1.0,0.7130531059458425,0.12173936975910085,47.05882352941176,0.5,0.7230769296487173,0.625,1.0,0.695857154868703,0.08778171231593257,37.5,0.5,0.5454545617103577,0.375,1.0,0.6802014056622123,0.12117472835129008,33.33333333333333,0.5,0.47272728383541107,0.3125,1.0,0.6575216078037129,0.09991595797271459,42.857142857142854,0.5,0.0,0.0,0.0,0.6937854105122697,0.15141968677133577,30.0,0.5,0.27272728085517883,0.1875,0.5,0.6973042248817128,0.10300747126771401,28.57142857142857,0.5,0.444444477558136,0.2857142984867096,1.0,0.6866671775017598
14,0.6733865805916729,0.08513893914034902,64.34782608695652,0.5,0.0,0.0,0.0,0.08555583275038699,60.629921259842526,0.5,0.0,0.0,0.0,0.661202939690338,0.08842886527119857,53.72340425531915,0.5,0.6862693019211292,0.5364583333333334,1.0,0.6966979960228379,0.08295149848332448,67.74193548387096,0.5,0.0,0.0,0.0,0.6456040626442524,0.10132422598769045,43.90243902439025,0.5,0.6473193566004435,0.5208333333333334,1.0,0.6789690930684976,0.12333396974646392,47.05882352941176,0.5,0.41904762387275696,0.3333333333333333,0.6666666666666666,0.6901192415042664,0.08803294041780899,37.5,0.5,0.5454545617103577,0.375,1.0,0.6940099867322718,0.12305088301572818,33.33333333333333,0.5,0.3333333432674408,0.25,0.5,0.6965501772243816,0.09959656920215133,42.857142857142854,0.5,0.0,0.0,0.0,0.6863414475461489,0.14432886276034998,30.0,0.5,0.533333346247673,0.375,1.0,0.6306695549852688,0.10342524743750874,28.57142857142857,0.5,0.444444477558136,0.2857142984867096,1.0,0.6590409426749161
15,0.5838891186841124,0.08520152960082823,64.34782608695652,0.5,0.0,0.0,0.0,0.08544779740711857,60.629921259842526,0.5,0.0,0.0,0.0,0.709151861908848,0.08883805350144294,46.27659574468085,0.5,0.0,0.0,0.0,0.6847266884007756,0.08166603453626066,67.74193548387096,0.5,0.0,0.0,0.0,0.32948404474498166,0.10329202876486271,43.90243902439025,0.5,0.5120435257752737,0.375,0.8333333333333334,0.7047888799450273,0.12328816131160385,47.05882352941176,0.5,0.43822844823201496,0.3333333333333333,0.6666666666666666,0.6973035074351533,0.08818404657447888,37.5,0.5,0.5454545617103577,0.375,1.0,0.6745436438885861,0.11982376128585016,33.33333333333333,0.5,0.533333346247673,0.375,1.0,0.6971926529630708,0.09943398707419981,42.857142857142854,0.5,0.0,0.0,0.0,0.6936450300053517,0.1448242774940424,30.0,0.5,0.533333346247673,0.375,1.0,0.6734714655382027,0.10336458794879214,28.57142857142857,0.5,0.444444477558136,0.2857142984867096,1.0,0.685965509557728
16,0.8485764360533714,0.08531690365466847,64.34782608695652,0.5,0.0,0.0,0.0,0.085424959723113,60.629921259842526,0.5,0.0,0.0,0.0,0.6146138113458798,0.08852517686267064,46.27659574468085,0.5,0.0,0.0,0.0,0.6988837393990616,0.08072379022317401,67.74193548387096,0.5,0.0,0.0,0.0,0.8237111239534377,0.10276277039934868,43.90243902439025,0.5,0.5151515305042267,0.375,0.8333333333333334,0.7448932159436625,0.12184347565173514,47.05882352941176,0.5,0.7230769296487173,0.625,1.0,0.6967825454409242,0.08818538366022519,37.5,0.5,0.5454545617103577,0.375,1.0,0.7203268829273038,0.11973690049156255,33.33333333333333,0.5,0.533333346247673,0.375,1.0,0.740887447101578,0.09980714720165852,42.857142857142854,0.5,0.0,0.0,0.0,0.681389505882414,0.15370986996849229,30.0,0.5,0.27272728085517883,0.1875,0.5,0.673098644467368,0.10361259694302427,28.57142857142857,0.5,0.444444477558136,0.2857142984867096,1.0,0.7076736007775798
