,SZ,SZ,SZ,DEL16p11_2,DEL16p11_2,DEL16p11_2
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train
0,1.0712735707236876,0.09705849511449825,43.75,0.08666861030281427,50.0,0.6948926866939824
1,0.24704316418657768,0.08955726909105746,63.125,0.08672063826162715,50.0,0.693394222806201
2,0.2514592727751784,0.07021295788901519,71.875,0.08664592309151677,50.0,0.6930368612141522
3,0.55454917388136,0.0803941262530409,68.75,0.08531064682789816,50.0,0.6939381399300609
4,0.14699269411179197,0.07354160119060624,73.125,0.08596035607037694,50.0,0.6924245789554156
5,0.31613325052726654,0.07906097949903221,72.5,0.08121886278559101,50.0,0.5651674345386404
6,0.11572766369845917,0.07711185949632042,71.875,0.08132811026980452,81.25,0.7414906200960554
7,2.5484706792007916,0.19650950981530638,65.625,0.12302757643858776,50.0,0.5159137162342108
8,0.10360195815167096,0.10590652524618141,62.5,0.07975523522228582,68.75,0.3775015125118404
9,0.491966769320665,0.09798571075885022,69.375,0.0640505791650737,87.5,0.6866777247941934
10,0.39599575878707377,0.13878472880543408,68.125,0.10287009376267238,43.75,1.0956529473073995
11,1.1524993901154632,0.2420305628374336,60.62499999999999,0.06020240486568387,87.5,0.35359676688221603
12,0.04891465589421976,0.1449492625572585,65.0,0.08666101871029692,56.25,0.5254179298359708
13,0.6475893528285802,0.16572741819982345,73.75,0.1292710751037902,50.0,0.3101884644080329
14,0.030071146112896005,0.13882090046905565,71.25,0.09201487106312134,68.75,0.16211805172376645
15,0.0045338026080504286,0.1682083858994187,67.5,0.08967174838337807,68.75,0.1714646174992059
16,0.41855129255460954,0.1346928463463514,70.0,0.0851843325777924,75.0,0.01792673876886911
17,0.005863229796194802,0.15956601248789118,68.75,0.0766546400036088,68.75,0.14592963166156578
18,0.00030554342941689096,0.1977747704865742,71.875,0.16430428576642378,50.0,0.05303572275938197
19,0.0013474330550716227,0.15054033607990822,71.875,0.06835239885888944,75.0,0.08054336366466214
20,0.0035955828049663466,0.1792798087848138,70.625,0.08156725912944326,68.75,0.22895641209581835
21,0.0008581425491272572,0.228916843306671,66.25,0.07807617203457545,75.0,0.013899800758176865
22,0.0009820205005050156,0.21710223670096038,66.25,0.07964402088824464,81.25,0.09969014306605016
23,0.23895201711729744,0.22762512294717507,71.25,0.07556739748228178,81.25,0.009284026853289214
24,0.0002790641136799344,0.24120363225043118,68.75,0.15616665805168797,50.0,0.5623325029959152
25,0.003061053302164227,0.21151603311656042,70.625,0.3680328486405539,43.75,0.16546105552073517
