,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test
0,0.6955059961223882,0.6927099780006042,60.0,0.375,0.8333333432674408,0.75,1.0
1,0.6927606174473784,0.6928278071381736,60.0,0.23333333333333334,0.7179487347602844,0.5625,1.0
2,0.692629809009018,0.692887753963569,60.0,0.8333333333333333,0.6969697177410126,0.5833333432674408,0.9000000059604645
3,0.6925140814253737,0.6928275343778647,70.0,0.9333333333333333,0.375,0.5,0.30000001192092896
4,0.6927294965002363,0.6927980287338453,70.0,1.0,0.7857142984867096,1.0,0.7000000029802322
5,0.6922847470395488,0.6926593256862292,80.0,0.9666666666666667,0.9000000357627869,0.9000000059604645,0.9000000059604645
6,0.6924672077352443,0.6925916710297876,70.0,0.9666666666666667,0.375,0.5,0.30000001192092896
7,0.6921919288766073,0.6923546712836834,70.0,0.9333333333333333,0.7500000298023224,0.6071428656578064,1.0
8,0.6919359743304335,0.6922518330080399,80.0,0.7083333333333333,0.4545454680919647,0.5,0.4166666567325592
9,0.6912138383262556,0.692087191847331,80.0,0.9333333333333333,0.9000000357627869,0.9000000059604645,0.9000000059604645
10,0.6908076615387605,0.6918206571972882,70.0,0.6875,0.8636363744735718,0.7857142984867096,1.0
11,0.6903045583663598,0.6915251811535059,80.0,0.75,0.9000000059604645,0.8333333432674408,1.0
12,0.6903914157521969,0.6915286938023579,80.0,0.9666666666666667,0.875,1.0,0.800000011920929
13,0.6898846164240373,0.6911905302691048,80.0,0.71875,0.8333333432674408,1.0,0.75
14,0.6897669372207854,0.6903799842244291,80.0,0.9666666666666667,0.7878788113594055,0.6666666567325592,1.0
15,0.6879277068192787,0.6901512232814848,90.0,0.75,0.8333333432674408,1.0,0.75
16,0.6875848319102975,0.6898059856324121,80.0,0.75,0.761904776096344,1.0,0.625
17,0.687743637181764,0.6889928792427772,80.0,0.71875,0.8333333432674408,1.0,0.75
18,0.6866086386415478,0.6877871941478387,90.0,0.71875,0.9285714328289032,1.0,0.875
19,0.681854717100593,0.6858904949988596,70.0,0.6875,0.8333333432674408,0.800000011920929,0.875
20,0.6862024228889259,0.6852315028060946,90.0,0.75,0.4545454680919647,0.5,0.4166666567325592
21,0.5684748285063352,0.9360681605758747,40.0,0.75,0.0,0.0,0.0
22,0.6359820889154931,0.6849959485610939,70.0,0.9666666666666667,0.7857142984867096,1.0,0.7000000029802322
23,0.6378038155916657,0.6813806999904434,80.0,0.9333333333333333,0.875,1.0,0.800000011920929
24,0.7275028949547844,0.672857039252547,40.0,0.9666666666666667,0.0,0.0,0.0
25,0.36689302250067674,0.5268798399554596,70.0,0.7083333333333333,0.4615384638309479,0.4285714328289032,0.5
26,0.09059058450086539,0.5064842947462436,80.0,0.9666666666666667,0.875,1.0,0.800000011920929
27,0.11851348468446454,0.39551660252031157,80.0,0.6875,0.875,0.875,0.875
28,0.27228493100807005,0.37269674903247163,80.0,0.9333333333333333,0.9000000357627869,0.9000000059604645,0.9000000059604645
29,0.06447746332604348,0.3184436304188788,90.0,0.7083333333333333,0.4545454680919647,0.5,0.4166666567325592
30,0.24826056565540358,0.28312867643281725,70.0,0.75,0.7333333492279053,0.8333333432674408,0.75
31,0.035974793477036866,0.5167561636339707,80.0,0.9666666666666667,0.7878788113594055,0.6666666567325592,1.0
32,0.09276626286060426,0.309750763625971,90.0,0.71875,0.9285714328289032,1.0,0.875
33,0.029913967715498348,0.4288420288564473,80.0,0.75,0.9000000059604645,0.8333333432674408,1.0
34,0.015597374016029992,0.24252910915752318,90.0,0.75,0.4545454680919647,0.5,0.4166666567325592
35,0.003935980652233878,0.3276195998953043,70.0,0.6666666666666667,0.38461536169052124,0.3571428656578064,0.4166666567325592
36,0.003843632322365599,0.2761050446939709,90.0,1.0,0.944444477558136,1.0,0.9000000059604645
37,0.002238747306905849,0.24489933714694997,90.0,0.9333333333333333,0.944444477558136,1.0,0.9000000059604645
38,0.001510816564409853,0.2429339387357589,90.0,0.7083333333333333,0.4545454680919647,0.5,0.4166666567325592
39,0.0011838374356704499,0.2619004029760064,90.0,1.0,0.5,0.5,0.5
40,0.0016128843623250673,0.25619190144823806,90.0,0.71875,0.9285714328289032,1.0,0.875
41,0.0009949607537193862,0.24546927957017867,90.0,0.6875,0.9285714328289032,1.0,0.875
42,0.001095243913789287,0.24057847531958929,90.0,0.9666666666666667,0.944444477558136,1.0,0.9000000059604645
43,0.0007736464801144073,0.24316469207112892,90.0,0.75,0.8333333432674408,1.0,0.75
44,0.0009448718170540099,0.25143247382985445,90.0,0.9666666666666667,0.944444477558136,1.0,0.9000000059604645
45,0.0005751449221043228,0.2460283728609368,90.0,0.5,0.5,0.5,0.5
46,0.00046484397676484646,0.2470822287546474,90.0,0.9333333333333333,0.944444477558136,1.0,0.9000000059604645
47,0.000564845269191983,0.2409863606783369,90.0,0.75,0.8333333432674408,1.0,0.75
48,0.0007624866694096563,0.24442233586905707,90.0,0.75,0.8333333432674408,1.0,0.75
49,0.0006838461867916847,0.24955369733549942,90.0,0.75,0.8333333432674408,1.0,0.75
50,0.0007668423243096223,0.2426295968880768,90.0,0.5,0.5,0.5,0.5
