,DUP16p11_2,DUP16p11_2,DUP16p11_2,SZ,SZ,SZ,ASD,ASD,ASD,BIP,BIP,BIP,DEL22q11_2,DEL22q11_2,DEL22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL1q21_1,DEL1q21_1,DEL1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train
0,0.7322093597500633,0.1734930884790399,50.0,0.08802469230051847,50.0,0.6933108294061517,0.08932220962923834,50.0,0.6930653015976925,0.09877728081106464,50.0,0.56594282634081,0.09242331054322543,50.0,0.6925476267126011,0.1155246879376795,50.0,0.6928952428132025,0.09823756024265164,44.827586206896555,0.8759252657919626,0.11553383026762612,55.55555555555556,0.6934565136581708,0.10111443295921618,50.0,0.667264380174594
1,0.6789793116310423,0.17347369525325365,50.0,0.08802523741071308,50.0,0.6913517186111271,0.08931837470999521,50.0,0.6933393009758635,0.0994383183881663,50.0,0.5098867165490879,0.09242806038536563,50.0,0.6935889788749392,0.11552436067686887,50.0,0.692207807893939,0.097680505081656,44.827586206896555,0.7251076306958527,0.11583592702888093,55.55555555555556,0.687754091717937,0.10023429544864428,50.0,0.7775785734307391
2,0.6993338249414047,0.17393603276042474,50.0,0.08801784635214571,50.0,0.6932760627140302,0.08932181115346956,50.0,0.6931368906078523,0.10805941246905192,50.0,0.37497547240314677,0.09241666166082574,50.0,0.6932013357964435,0.1155031913374786,44.44444444444444,0.6938370578119996,0.10118547442181655,44.827586206896555,0.6521169903185071,0.11577453593433187,55.55555555555556,0.6839037930895537,0.0989839271970503,50.0,0.7057771291338578
3,0.7494379681936192,0.17544613617939095,50.0,0.0892998823914752,50.0,0.707807410052369,0.08932057464078828,50.0,0.6934998380216282,0.1281920127745588,50.0,0.2595810015534836,0.09241071661270107,50.0,0.6931912359168967,0.11549163537323454,50.0,0.6932069552829543,0.09692128863766535,44.827586206896555,0.7531430244791238,0.11591511334125659,55.55555555555556,0.7691821770743835,0.09905335889553671,50.0,0.7119987003640436
4,0.7729074205356563,0.17515161567034865,50.0,0.08992559691321295,50.0,0.6865969322537002,0.08932668336443395,50.0,0.6935539280543823,0.11881605618522878,50.0,0.23954332275627044,0.09242515349083674,50.0,0.6941442470145394,0.11551174276762545,50.0,0.6934607851267198,0.09790823663906616,41.37931034482759,0.8726251769317089,0.1142935314393131,55.55555555555556,0.6912547920181406,0.09902043910348753,50.0,0.6953529149246264
5,0.7175531071635584,0.17548654369305694,50.0,0.08784627497190332,50.0,0.6887434420672676,0.08931506713605387,50.0,0.6926286691860601,0.12116678941704079,50.0,1.4248416247385434,0.09241243738020516,50.0,0.6926770977582442,0.11553283802328648,55.55555555555556,0.6930079925649597,0.0998419009891969,51.724137931034484,0.6528604905872818,0.11581440057813522,55.55555555555556,0.7378046650719913,0.09914431489601312,50.0,0.6792099584170637
6,0.794027786560769,0.1754591079291175,50.0,0.09074441860490748,50.0,0.6635712968640767,0.08932224065792907,50.0,0.6927508624419851,0.12807602996272138,50.0,0.17294733606466023,0.09241741373909432,50.0,0.6924626511562368,0.11552602538203753,50.0,0.6937090419605807,0.09945542846838464,48.275862068965516,0.5377702602882581,0.11653919999529795,55.55555555555556,0.6812439439258919,0.0992732554487541,50.0,0.6885917579990068
7,0.6137499586320532,0.17638637497799384,50.0,0.08976758140681164,50.0,0.596521902295241,0.08930612115976058,51.546391752577314,0.6945365427467954,0.1275335098563846,50.0,0.17524708129880293,0.09239813386210206,50.0,0.6927229612128313,0.11554156896610292,55.55555555555556,0.7237929368488267,0.1005372412568722,48.275862068965516,0.5780102077261744,0.11270824070307156,55.55555555555556,0.7011001046402583,0.0991333570240855,50.0,0.7077697751627581
8,0.7226647457084532,0.17557799085403608,25.0,0.0926721940634682,50.79365079365079,0.3472071868883395,0.08933013399762188,51.03092783505154,0.6946215696592605,0.13062477277020962,50.0,1.8789035683484494,0.09241189104759882,50.0,0.6935300558668802,0.11551058202108457,50.0,0.693304630043357,0.10364937277217295,51.724137931034484,0.8748834884293156,0.1256792969742452,55.55555555555556,0.65770000106676,0.10006579055245392,50.0,0.6835500333301503
