,DUP16p11_2,DUP16p11_2,DUP16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train
0,0.7017193190757548,0.1735072531585089,50.0,0.09422859765401859,33.33333333333333,0.662179477650202
1,0.6803656439958543,0.17485697882611353,50.0,0.1112341081965753,33.33333333333333,0.6687530856302819
2,0.5647606369071028,0.17584098531264628,50.0,0.08992290145695282,33.33333333333333,0.6058917946115924
3,0.678966025853327,0.17412265099819255,50.0,0.1046888844382791,33.33333333333333,0.7032682309536072
4,0.8557602546606926,0.16968485361718755,50.0,0.09286983444160256,33.33333333333333,0.448835950145435
5,0.8463316104690218,0.17221185943100423,50.0,0.08645152092450248,62.5,0.4844754209104353
6,0.22263167219658148,0.17729689991735287,50.0,0.11118235258438043,37.5,0.5313633767765402
7,1.5022890275153582,0.15360514301871064,75.0,0.09577851798063541,54.166666666666664,0.1477260265678564
8,0.36339870898605864,0.15459574869060658,75.0,0.38581356559179913,33.33333333333333,1.488358828216776
9,0.15594670727295187,0.136526393452223,75.0,0.06112053035527226,70.83333333333334,0.2376141127860016
10,0.04663965861337806,0.22945313375934123,50.0,0.12238171213934618,54.166666666666664,0.28067588662769943
11,1.0184140562340298,0.4487770449625846,50.0,0.39669515890450424,37.5,0.515503852789758
12,0.4061480130930878,0.2022772526080543,75.0,0.12332771790812809,50.0,0.11210497767246815
13,0.22274343217755133,0.21011922883663461,75.0,0.11768999892536242,62.5,0.07955787087416946
14,0.03536394867302856,0.12076029383547504,75.0,0.0684141538153758,79.16666666666666,0.04440339287135346
15,6.551068029248375e-05,0.24170978518693462,75.0,0.07621556745764317,83.33333333333334,1.6631407509155027
16,0.00013988624417808867,0.2852665952576172,50.0,0.08080837822641697,70.83333333333334,0.07488432170370923
17,0.0006695905848737022,0.43877335922140165,75.0,0.08547702593407407,75.0,0.01303798213325349
18,0.0021167664314416246,0.4352061384103265,75.0,0.1544736285382652,79.16666666666666,0.009673622300446716
19,0.0005900249402017875,0.2876440096941409,50.0,0.09161255229587285,79.16666666666666,0.07362700420357897
20,3.7463913706463806e-05,0.28775187283344106,75.0,0.08439856363781274,79.16666666666666,0.006490957225500466
21,0.0011092566671579897,0.4321907273138335,75.0,0.10327747361039939,79.16666666666666,0.0004745016637614707
22,0.0001256386978486984,0.41649120730705236,75.0,0.09463155182254353,75.0,0.0008769972186071481
23,0.0021798506132087473,0.4659109331866135,75.0,0.08877734324564446,83.33333333333334,0.001105110161943584
24,5.8516059931846575e-06,0.6407390985126059,75.0,0.12075085948499593,83.33333333333334,0.0006914410809708519
25,6.357736603314019e-06,0.4377754659196189,75.0,0.10514738572287236,79.16666666666666,0.00766906077782268
26,0.00302963030687957,0.42080853415587616,75.0,0.11508991041600208,75.0,0.0003520663156759648
27,0.0008021472537548879,0.7023572448771567,50.0,0.443070272094932,45.83333333333333,0.009661809018563974
28,0.0004740892567834211,0.3013629587288859,75.0,0.14080238598664208,75.0,0.001137548890537147
29,0.0012410239956940296,0.2751052384314514,50.0,0.16253215837373194,75.0,0.00017511746488989565
30,0.0004882864400436701,0.3991186694599445,75.0,0.22200130870379844,62.5,0.00011517226717850751
31,3.2282415930151495e-06,0.4702882665671365,50.0,0.25299257682600157,62.5,0.0001092366439930368
32,3.7307145948105314e-07,0.4752653680861116,50.0,0.2554857758021351,62.5,9.638735185704393e-05
33,2.4139209805634935e-06,0.47395457218576886,50.0,0.2544488850386947,62.5,9.699287846408322e-05
34,1.0212623687214761e-05,0.4622306653465648,50.0,0.24971005913643005,62.5,5.0608218456143475e-05
35,0.0001522887428458475,0.4634589843708318,50.0,0.25033080268678237,62.5,1.1468309396624534e-05
36,2.9678169554967967e-06,0.46993282187661634,50.0,0.2535540261935203,62.5,0.00011693973691201534
37,6.725760856808056e-05,0.473154263235535,50.0,0.25591907029902045,62.5,1.1951925606634509e-05
38,1.152613271100354e-05,0.47681322835626777,50.0,0.2595305255050453,62.5,3.434240136968675e-05
39,5.783631317566885e-05,0.48109942423587365,50.0,0.2640779165164396,62.5,4.535022164019165e-05
40,3.423527921754273e-05,0.49365760227015953,50.0,0.2737725077697896,62.5,7.703820100420131e-05
41,1.6341895850452807e-06,0.49283841528444156,50.0,0.2795131952355711,62.5,0.00010100657175229476
42,3.668676314695651e-05,0.4928882836412575,50.0,0.28806145228816254,62.5,1.3527422302691974e-05
43,1.137413630228549e-06,0.4870034731330663,75.0,0.2950569362923088,62.5,4.491734490018745e-05
44,1.2608428512855917e-07,0.45845323703258106,75.0,0.2936193661419819,62.5,4.932599726978729e-05
45,1.3347043469386119e-05,0.44819756934848076,75.0,0.29994940627443134,62.5,3.35161331847748e-05
46,1.5834769196746334e-05,0.4228713915975321,75.0,0.2983987063175315,62.5,1.7450762457168186e-05
47,1.5621885755957684e-05,0.4074168237717114,75.0,0.30181001422474446,62.5,1.5711097406984482e-05
48,1.842800781846352e-05,0.39629376834127855,75.0,0.3053524672158299,62.5,2.089991979344593e-05
49,2.8129467498575276e-07,0.37859222774030504,75.0,0.3045237983304631,62.5,8.876471253106758e-06
50,1.3178446152724618e-05,0.3619974875916957,75.0,0.301283462474083,62.5,5.4764918294984805e-06
51,1.1578740522342324e-05,0.3668247625325058,75.0,0.31499481315031125,62.5,1.1341098868351047e-05
52,2.427736653294963e-07,0.3581653728041527,75.0,0.31563513069947957,62.5,5.779846200705841e-06
53,2.60788477341943e-08,0.360394011487962,75.0,0.3233331720079421,62.5,1.1964162761306293e-06
54,2.484647401330165e-08,0.3539123627414561,75.0,0.3221454393735059,62.5,7.094779917264268e-06
55,1.065542914729306e-06,0.3473343475978801,50.0,0.3195967221559916,62.5,1.1551521504605841e-07
56,2.2637315658626828e-05,0.34959951670331724,50.0,0.32435334972074753,62.5,7.181089965977301e-06
57,5.350536973997025e-07,0.35395652218570445,50.0,0.3322681400377543,62.5,2.183692007389763e-06
58,2.2992209030642915e-07,0.35551600533134226,50.0,0.3375499900749392,58.333333333333336,2.920269701593168e-06
59,3.4382458710292434e-06,0.3508548901109646,50.0,0.33514137627410134,62.5,5.915306999610497e-06
60,2.068496875534367e-06,0.35216050212024685,50.0,0.33998337225937086,58.333333333333336,6.8969888004283295e-06
61,1.972681343483342e-06,0.3451361978554894,50.0,0.33360186768227473,62.5,5.046538312579201e-06
62,4.4548015735885665e-08,0.3430212865774958,50.0,0.33258875516759817,62.5,1.8423841615203198e-06
63,1.6824219616051643e-06,0.34672233146752224,50.0,0.33822929302208754,62.5,5.342294687140429e-06
64,2.84335915202652e-07,0.34539027942161643,50.0,0.33820420894817443,62.5,1.7733858395816906e-06
65,2.036323133217848e-06,0.34311186173614494,50.0,0.3367624471167468,62.5,4.114219511975504e-06
66,1.0484829171429848e-06,0.3467519272351645,50.0,0.3415992059561623,58.333333333333336,1.6450092964756278e-06
67,4.999999950201553e-09,0.34673840535395295,50.0,0.34233440375663077,58.333333333333336,1.882137622603689e-06
68,6.266426541901859e-08,0.34171605288989243,50.0,0.3369669668367424,62.5,7.595368320926238e-07
69,3.4886356722299234e-06,0.3454587518996769,50.0,0.3415526122201173,62.5,2.4005500000467272e-06
70,6.707586975859248e-08,0.3425012358634067,50.0,0.3383965255319836,62.5,1.5513990571272605e-06
71,1.2840714683428346e-06,0.34982978328811576,50.0,0.34842613719982096,58.333333333333336,4.236045746765956e-06
72,3.1256237260083516e-08,0.34080823253342357,50.0,0.33759590872258266,62.5,4.415334687573554e-07
73,1.3859649976225458e-06,0.3394352460252896,50.0,0.33591793058418745,62.5,1.2813784960465439e-06
74,4.883048028977903e-08,0.34719718915791353,50.0,0.3460788882027548,58.333333333333336,3.362070143634502e-06
75,1.5869719513479557e-08,0.3489409247249044,50.0,0.3479241518867587,58.333333333333336,3.021486617683497e-06
76,4.691866794660477e-08,0.3448187486927147,50.0,0.34219953298164557,62.5,1.3392620790340088e-06
77,1.09839805086549e-05,0.3532977541102381,50.0,0.3519540791672017,58.333333333333336,2.2530064538219513e-06
78,3.409068065616021e-08,0.3834592504736175,75.0,0.37723380645288734,58.333333333333336,8.70941133230726e-06
