,ADHD,ADHD,ADHD,SZ,SZ,SZ,ASD,ASD,ASD,BIP,BIP,BIP,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DEL1q21_1,DEL1q21_1,DEL1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train
0,0.7297294834492994,0.08445072512801022,70.43478260869566,0.07695032143928834,62.5,0.3028280631337073,0.08861567466036195,52.38095238095239,0.9154905858214495,0.06088184765721269,77.41935483870968,0.5074605053486442,0.10288697201301884,46.34146341463415,0.6530320549436531,0.10640240252516081,70.58823529411765,0.6672215258601594,0.1995112200198422,55.55555555555556,0.6961323738974579,0.09938975397559117,53.84615384615385,0.518999937863324,0.12631997964554226,50.0,0.7073547243716497,0.14465463892861918,60.0,0.8675213211611648,0.10614816580898713,37.5,1.4403002320949099
1,0.6883711904958403,0.08944818616109798,59.130434782608695,0.09099249509968449,63.28125,0.34775844301318964,0.09879835704711172,56.613756613756614,0.5755903521657885,0.056922326282367555,80.64516129032258,0.3112675908867651,0.1933475168299816,46.34146341463415,1.4406342488794075,0.08066463032192928,88.23529411764706,0.5883146131956676,0.13644019123831339,44.44444444444444,0.6636932499752481,0.08603654293044657,76.92307692307693,0.6433618249104651,0.15059817005482246,42.857142857142854,0.5487819559015232,0.16839884198589342,60.0,0.6367744642053415,0.1055475502996745,25.0,1.3007715710385561
2,0.7383742882150809,0.09312947913629595,56.52173913043478,0.07694070801890837,75.0,0.5049442722553108,0.11793054944032234,53.96825396825397,0.3650099351464565,0.0453290120789241,83.87096774193549,0.14259856512921645,0.11190654566969839,46.34146341463415,0.8499731760367926,0.0666130463453374,76.47058823529412,0.402690368875639,0.17216994969164334,66.66666666666666,0.6129787647027317,0.12666994450435218,61.53846153846154,1.5608872776929354,0.1623258207526551,35.714285714285715,0.493037914507799,0.23435750126156343,40.0,0.5769305371364111,0.12075090882762826,25.0,0.7285383506308145
3,0.9463018418259184,0.0872874286907232,64.34782608695652,0.06885352869159486,74.21875,0.6382829223388845,0.09185947573195954,56.08465608465608,0.2016406522278914,0.039522407609098975,93.54838709677419,0.32866459820875105,0.10430826761903848,53.65853658536586,0.5918929310169654,0.03909868930015366,88.23529411764706,0.2520490141873537,0.16822309948374226,66.66666666666666,1.1688454512126494,0.0985801819220634,69.23076923076923,0.6860737555956762,0.12416243363659447,57.14285714285714,0.4627080721671951,0.17502343681287588,50.0,0.8929782817734999,0.11120346236873324,25.0,0.5200130585717092
4,0.6065722872625428,0.09245675328601731,65.21739130434783,0.07024853863510123,75.78125,0.7582303430437057,0.09087753891687354,61.904761904761905,0.34595363246117405,0.049085031228556356,87.09677419354838,0.1674957688219528,0.07965979305521265,63.41463414634146,0.4557672093948158,0.12612209634304133,88.23529411764706,0.4467632351695057,0.14421711501989015,66.66666666666666,0.7352679320430505,0.1098798512527669,61.53846153846154,0.3925084728415685,0.21813434055792807,21.428571428571427,0.7741643804216601,0.15549891096822785,50.0,0.3969351274551721,0.10975267607397417,50.0,0.4845937619723775
5,0.5407483620109999,0.1090457682785079,59.130434782608695,0.09327652356618617,75.0,0.03309676210419283,0.10578206514118355,62.96296296296296,0.7844419305047186,0.04879007704087258,87.09677419354838,0.1616400440324301,0.10615404020020819,60.97560975609756,0.7306584136057233,0.12125508982845513,88.23529411764706,0.048859021790967905,0.20773466807933114,44.44444444444444,0.11805331401512975,0.1096962520456689,53.84615384615385,0.4700308911639887,0.2509261059379923,42.857142857142854,0.09358192555470139,0.08494791921403219,80.0,0.17507996930037772,0.09760955996774946,50.0,0.5783169558667045
6,0.12412460441490522,0.14110040081829645,64.34782608695652,0.08723366706515509,79.6875,0.2978783157635542,0.11218457732928659,62.43386243386243,0.810637075956334,0.04702192872347705,90.32258064516128,0.1500553755112631,0.0992866809373568,60.97560975609756,0.5327868221726826,0.06279181843538133,94.11764705882352,0.5005219738546505,0.27399399067126523,44.44444444444444,0.010907599605678714,0.22622897609606143,46.15384615384615,0.1959113269466235,0.16431469102257998,57.14285714285714,0.1257380324880555,0.17092610729908472,60.0,0.12543310600660532,0.1175603053350331,50.0,0.6624247899743185
7,0.5070586631394903,0.12123825982368006,58.26086956521739,0.09481369027601692,76.5625,0.4679338813589417,0.11346980169243198,62.43386243386243,0.3122858808863937,0.045132648873122606,87.09677419354838,0.020226245584795754,0.10134280973582388,63.41463414634146,0.9211455187322202,0.029506069595305513,88.23529411764706,0.02780030176118149,0.2272244485204841,44.44444444444444,0.37452147929845364,0.2443092790907143,46.15384615384615,0.03518645599441107,0.3726382534058209,28.57142857142857,0.11147237271855763,0.13323126344285682,60.0,0.33580340208921594,0.1044286668267996,50.0,0.3758081552896148
8,0.46476008699873284,0.15156459466177416,59.130434782608695,0.10853118609177695,75.78125,0.17992528868048374,0.1422178862058247,60.84656084656085,0.0015142452852279298,0.06789949414010525,90.32258064516128,0.05893698206004247,0.1556206525681811,51.21951219512195,0.8548076883409355,0.05563158286849995,82.35294117647058,0.008457569355764954,0.17961811036182695,44.44444444444444,0.2216322929317888,0.20420996412217743,53.84615384615385,1.0767529812527419,0.25218656655175525,64.28571428571429,0.18621403686247814,0.2879733745252766,70.0,0.04735646836721142,0.13888212146845,50.0,0.4758267231980457
