,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,SZ,SZ,SZ,SZ,SZ,SZ,SZ,BIP,BIP,BIP,BIP,BIP,BIP,BIP,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,0.6916375768737067,0.6888896170131567,70.58823529411765,0.6444444444444445,0.0,0.0,0.0,0.6916642418360052,57.48031496062992,0.5789062500000001,0.0,0.0,0.0,0.6960140830480175,0.6883850024276588,67.74193548387096,0.909375,0.0,0.0,0.0,0.6867675308291986,0.8185515354492907,33.33333333333333,0.6166666666666667,0.27272728085517883,0.1875,0.5,0.6385156860002215,0.695190815735705,53.84615384615385,0.2583333333333333,0.0,0.0,0.0,0.6906012303099827,1.036470616459269,42.857142857142854,0.5888888888888889,0.0,0.0,0.0,0.6090384795598661,0.6928320291231053,60.0,0.6166666666666667,0.25,0.3333333432674408,0.20000000298023224,0.6935049121371171,0.6931421299297799,42.857142857142854,0.5833333333333334,0.5999999642372131,0.4285714328289032,1.0,0.6924736646126893,0.6927329262206982,54.78260869565217,0.46694444444444444,0.0,0.0,0.0,0.6920681052262948,0.6931156382739201,56.09756097560976,0.38611111111111107,0.0,0.0,0.0,0.692753104682581
1,0.6920164321467714,0.687995209394816,70.58823529411765,0.6444444444444445,0.0,0.0,0.0,0.6901452321559582,58.26771653543307,0.6018601190476189,0.0416666679084301,0.0625,0.03125,0.6892803466470127,0.6726566492697875,67.74193548387096,0.8541666666666667,0.0,0.0,0.0,0.6758856899097081,0.6936240579466404,33.33333333333333,0.41666666666666663,0.7000000029802322,0.625,1.0,0.6927125183737894,0.6935091179526457,53.84615384615385,0.2833333333333333,0.0,0.0,0.0,0.6910418816103788,0.6945540414140571,42.857142857142854,0.5,0.0,0.0,0.0,0.6955362345977478,0.7011944290470904,60.0,0.375,0.6969697177410126,0.5357142984867096,1.0,1.2227179060719344,0.6932150172189633,42.857142857142854,0.6666666666666666,0.5999999642372131,0.4285714328289032,1.0,0.6912246668550396,0.691129372842616,54.78260869565217,0.49853174603174594,0.0,0.0,0.0,0.6597999112273237,0.6923976759967686,56.09756097560976,0.6138888888888889,0.0,0.0,0.0,0.69177175451111
2,0.6922557146051538,0.6888975169013087,70.58823529411765,0.6,0.0,0.0,0.0,0.6736225295033824,57.48031496062992,0.6077380952380953,0.0,0.0,0.0,0.7069987915633086,0.6279598028924861,67.74193548387096,0.825,0.0,0.0,0.0,0.6198318379666091,0.7022953700313518,33.33333333333333,0.5833333333333333,0.27272728085517883,0.1875,0.5,0.6766977366273751,0.6929921623883399,46.15384615384615,0.47916666666666663,0.5857143104076385,0.45000000298023224,0.875,0.691896513891039,0.7005454324518097,42.857142857142854,0.4375,0.0,0.0,0.0,0.7215754476041732,0.597852113872229,70.0,0.4375,0.444444477558136,0.4000000059604645,0.5,1.0197836621821856,0.6933319319454136,42.857142857142854,0.6666666666666666,0.5999999642372131,0.4285714328289032,1.0,0.6774912403340749,0.7014859266490627,54.78260869565217,0.4336507936507937,0.0,0.0,0.0,0.6468762667732101,0.6928781153397837,56.09756097560976,0.5625,0.0,0.0,0.0,0.6928480609143828
3,0.6934070474684668,0.6936776583341742,29.411764705882355,0.38888888888888884,0.48148149251937866,0.4444444477558136,0.5555555621782938,0.664012603454812,58.26771653543307,0.6652157738095237,0.0416666679084301,0.0625,0.03125,0.6488817470992781,0.5971013750321211,67.74193548387096,0.8583333333333334,0.0,0.0,0.0,1.7514408757357192,0.7048458549510326,33.33333333333333,0.5833333333333333,0.27272728085517883,0.1875,0.5,0.7110874120801735,0.6932205898769662,61.53846153846154,0.35416666666666663,0.20000000298023224,0.5,0.125,0.6983399914790169,0.7048482043349475,42.857142857142854,0.625,0.0,0.0,0.0,0.6988617058592254,2.909434923429532,50.0,0.28125,0.6666666865348816,0.5,1.0,4.778394687535799,0.6934980574120491,42.857142857142854,0.6666666666666666,0.5999999642372131,0.4285714328289032,1.0,0.6946943840255707,0.7147809432024016,54.78260869565217,0.4602380952380952,0.0,0.0,0.0,0.5598188873015466,0.69573699239984,43.90243902439025,0.45,0.6544677664836248,0.5208333333333334,1.0,0.6836189067454669
4,0.7045579356675545,0.7007076735398245,29.411764705882355,0.41111111111111115,0.31515152255694073,0.20833333333333334,0.6666666666666666,0.6557114332578757,59.84251968503938,0.6848958333333334,0.06071428768336773,0.1875,0.03645833395421505,0.6115277567673133,0.5815066178507956,67.74193548387096,0.7416666666666667,0.0,0.0,0.0,0.6587491268626967,0.7078866957102561,33.33333333333333,0.65,0.27272728085517883,0.1875,0.5,0.6661173392677863,0.9932547715877665,46.15384615384615,0.4583333333333333,0.6190476417541504,0.45000000298023224,1.0,0.6810820101321444,1.512840992313617,42.857142857142854,0.75,0.0,0.0,0.0,0.4603648535498362,0.6914347495382467,50.0,0.5166666666666666,0.7727272808551788,0.6875,1.0,2.7216078789387232,0.6930604558515566,42.857142857142854,0.5833333333333334,0.5999999642372131,0.4285714328289032,1.0,0.6709710061262351,0.7031152092338477,54.78260869565217,0.4216666666666667,0.0,0.0,0.0,0.5288907324362535,0.698062053407873,43.90243902439025,0.5048611111111111,0.5080031206210455,0.375,0.8333333333333334,0.6654939520433987
5,0.7072284646432621,0.6962565297897764,29.411764705882355,0.4761904761904762,0.29629630347092945,0.20833333333333334,0.6666666666666666,0.6358626732962639,62.99212598425197,0.7264136904761905,0.24821428768336773,0.4375,0.18854166846722364,0.5081586684330135,0.576099172228519,67.74193548387096,0.8666666666666667,0.0,0.0,0.0,0.6695011838081575,0.7039739182272661,33.33333333333333,0.6166666666666667,0.27272728085517883,0.1875,0.5,0.6938748664053023,0.6803814103979879,46.15384615384615,0.5333333333333333,0.6477272808551788,0.48750001192092896,1.0,0.6867833722737937,0.7001465599284116,35.714285714285715,0.6666666666666666,0.0,0.0,0.0,0.6854785495952209,0.691859409199415,60.0,0.9375,0.6969697177410126,0.5357142984867096,1.0,0.695766942173209,0.691748107888652,42.857142857142854,0.75,0.5999999642372131,0.4285714328289032,1.0,0.6905848385656129,0.7038266121988974,54.78260869565217,0.42738095238095236,0.0,0.0,0.0,0.6672591081815743,0.6981331299408947,43.90243902439025,0.39444444444444443,0.5048951158920923,0.375,0.8333333333333334,0.7163973207690455
6,0.6062495589290839,0.6521107162216938,35.294117647058826,0.6333333333333333,0.3333333233992259,0.2261904776096344,0.6666666666666666,0.6104588083722061,65.35433070866141,0.7154017857142856,0.2708333358168602,0.53125,0.20104166865348816,0.5212961788854229,0.893717509713101,67.74193548387096,0.9166666666666666,0.0,0.0,0.0,0.10901335636829962,0.7072927643511527,33.33333333333333,0.48333333333333334,0.27272728085517883,0.1875,0.5,0.6562568841944916,1.3981950386466682,46.15384615384615,0.4583333333333333,0.5512820482254028,0.4125000014901161,1.0,0.5254476571694714,0.7329925952381752,35.714285714285715,0.7666666666666666,0.0,0.0,0.0,0.6211640598995676,0.6276385980429952,70.0,0.875,0.7000000029802322,1.0,0.625,0.8252267527547276,0.6902163882197474,42.857142857142854,0.75,0.5999999642372131,0.4285714328289032,1.0,0.672252631052019,0.7006224210152311,54.78260869565217,0.436984126984127,0.0,0.0,0.0,0.6320731325804997,0.7004079672737149,43.90243902439025,0.48611111111111116,0.661616176366806,0.5208333333333334,1.0,0.6485715841733256
7,0.6887247279455858,0.648715835563844,76.47058823529412,0.6611111111111111,0.26666667064030963,0.3333333333333333,0.22222222884496054,0.6826832083244401,66.14173228346458,0.78046875,0.3604166693985462,0.6666666679084301,0.2750000022351742,0.48997281851676316,0.7009339441206682,67.74193548387096,0.9375,0.0,0.0,0.0,1.5310026769285983,0.7032557302264429,33.33333333333333,0.5166666666666666,0.27272728085517883,0.1875,0.5,0.7378922265645361,0.9150440608463766,53.84615384615385,0.6666666666666666,0.5846153944730759,0.4375,1.0,0.6739873456259766,0.7004222204016178,35.714285714285715,0.53125,0.0,0.0,0.0,0.6702695413418809,0.7036251192576485,60.0,0.8125,0.8333333432674408,0.75,1.0,0.5932776082801846,0.688214714378525,42.857142857142854,0.75,0.5999999642372131,0.4285714328289032,1.0,0.689887363769743,0.7031030893747392,54.78260869565217,0.48138888888888887,0.0,0.0,0.0,0.5960454015546837,0.700262262314343,43.90243902439025,0.4701388888888889,0.5080031206210455,0.375,0.8333333333333334,0.6924636347426236
8,0.4385246455618536,0.6254634869537403,29.411764705882355,0.6333333333333333,0.31515152255694073,0.20833333333333334,0.6666666666666666,0.5940866556981825,66.92913385826772,0.8177083333333333,0.3505952451378107,0.625,0.2531250026077032,0.5500153940338006,0.5676510831071216,67.74193548387096,0.9385416666666666,0.0,0.0,0.0,0.6874545268565909,0.7778153030699664,33.33333333333333,0.45833333333333337,0.7000000029802322,0.625,1.0,0.6488534691352104,0.9705680468689065,46.15384615384615,0.5208333333333333,0.6190476417541504,0.45000000298023224,1.0,0.5529221039465971,0.7002128359818849,35.714285714285715,0.6142857142857143,0.0,0.0,0.0,0.7134294248592891,0.6376384881345174,60.0,0.5833333333333333,0.7999999821186066,0.7142857164144516,1.0,0.6472044037277935,0.6921395941184112,42.857142857142854,0.6666666666666666,0.5999999642372131,0.4285714328289032,1.0,0.7110071172649913,0.6994531641018804,54.78260869565217,0.5015873015873016,0.0,0.0,0.0,0.696777846564509,0.6995838742368997,43.90243902439025,0.44097222222222215,0.6378917470574379,0.5208333333333334,1.0,0.6759620612682111
