,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test
0,0.6976469396821137,0.6929284696311446,50.0,0.3125,0.0,0.0,0.0
1,0.6928756369917827,0.6933104633219858,50.0,0.3833333333333333,0.7727272808551788,0.6875,1.0
2,0.6792446710711036,0.6948090002275975,50.0,0.21875,0.6666666865348816,0.5,1.0
3,0.6825365187621227,0.6986714779626446,50.0,0.3833333333333333,0.38461539149284363,0.3125,0.5
4,0.745284124916781,0.7061651138084082,50.0,0.3125,0.6666666865348816,0.5,1.0
5,0.6136289974653749,0.713961672714831,50.0,0.5833333333333333,0.38461539149284363,0.3125,0.5
6,0.6764578528539988,0.729469680175405,50.0,0.21875,0.6666666865348816,0.5,1.0
7,0.7545493536853517,0.7515766190822628,50.0,0.5833333333333333,0.7727272808551788,0.6875,1.0
8,0.7814331636766332,0.7587315510400229,50.0,0.25,0.6666666865348816,0.5,1.0
9,0.6723233688366765,0.7547465198678986,50.0,0.5166666666666666,0.7727272808551788,0.6875,1.0
10,0.6791217972125951,0.751723064198744,50.0,0.625,0.6666666865348816,0.5,1.0
11,0.5658273948942845,0.7480540569004246,50.0,0.21875,0.6666666865348816,0.5,1.0
12,0.6874730912527894,0.7438830273634539,50.0,0.21875,0.6666666865348816,0.5,1.0
13,0.5874631221031377,0.7408701568578985,50.0,0.65625,0.6666666865348816,0.5,1.0
14,0.6634409440154181,0.7516481572669492,50.0,0.65625,0.6666666865348816,0.5,1.0
15,0.8991062043204051,0.9642667418039158,50.0,0.75,0.6666666865348816,0.5,1.0
16,0.5930302839952497,0.7920789478608758,50.0,0.8125,0.6666666865348816,0.5,1.0
17,1.252146954101184,1.4201498877796592,50.0,0.5166666666666666,0.38461539149284363,0.3125,0.5
18,0.6659011247387564,0.8042169819440952,50.0,0.5166666666666666,0.38461539149284363,0.3125,0.5
19,0.4507703490260673,1.123732921943562,50.0,0.5166666666666666,0.38461539149284363,0.3125,0.5
20,0.5414065537836218,0.8651704097589423,50.0,0.75,0.6666666865348816,0.5,1.0
21,0.5287636201070591,1.4569279375509248,50.0,0.5166666666666666,0.7727272808551788,0.6875,1.0
22,0.6323011600352759,0.9135398930261642,50.0,0.34375,0.6666666865348816,0.5,1.0
23,0.6350075653271771,1.9577474503643064,50.0,0.5166666666666666,0.38461539149284363,0.3125,0.5
24,0.41050238956108714,1.0130190986970171,50.0,0.875,0.6666666865348816,0.5,1.0
25,0.32491606268859563,1.6350044832027237,50.0,0.375,0.6666666865348816,0.5,1.0
26,0.4993771048989431,1.256122703723944,50.0,0.34375,0.6666666865348816,0.5,1.0
27,0.08839874910136307,1.4712115672648032,50.0,0.375,0.6666666865348816,0.5,1.0
28,2.3360648726535342,1.7392278637694036,50.0,0.5833333333333333,0.3333333432674408,0.5,0.25
29,0.14177697194429417,1.8936969976637097,50.0,0.78125,0.6666666865348816,0.5,1.0
30,0.8712657936506132,2.095990967761553,50.0,0.6833333333333333,0.1666666567325592,0.5,0.10000000149011612
31,1.429561629320339,4.761797093004684,50.0,0.5166666666666666,0.7727272808551788,0.6875,1.0
32,0.1467736169803954,1.3560941394104078,70.0,0.55,0.7000000029802322,0.75,0.6666666716337204
33,0.009779415306948635,1.6141885389394997,60.0,0.5833333333333333,0.7999999821186066,0.7142857164144516,1.0
34,0.2899580015675742,1.760295497988715,60.0,0.5833333333333333,0.619047611951828,0.75,0.5833333432674408
35,0.008963104433317546,1.8581733043586284,60.0,0.75,0.75,0.75,0.75
36,0.0011919353887603408,2.296162867226293,60.0,0.55,0.6666666716337204,0.6666666716337204,0.6666666716337204
37,0.0001291647023267238,2.4694339691011926,60.0,0.65,0.3333333432674408,0.375,0.30000001192092896
38,0.00044876639428797756,2.56445887107854,60.0,0.65,0.375,0.30000001192092896,0.5
39,0.00010085472026335553,2.6160468616757226,60.0,0.46875,0.375,0.375,0.375
40,2.3201214647262292e-05,2.6716280797357213,70.0,0.84375,0.7083333432674408,0.625,0.875
41,6.812101321937445e-05,2.7265821618760007,70.0,0.78125,0.8333333432674408,0.800000011920929,0.875
42,6.944382864165713e-06,2.77124143969622,60.0,0.55,0.6666666716337204,0.6666666716337204,0.6666666716337204
43,8.58757990860292e-05,2.809977718595166,60.0,0.8125,0.3333333432674408,0.30000001192092896,0.375
44,8.437054842705561e-06,2.8334095918956503,60.0,0.8125,0.3333333432674408,0.30000001192092896,0.375
45,8.532191385957853e-06,2.8403352153816344,60.0,0.65,0.3333333432674408,0.375,0.30000001192092896
46,3.917986254398726e-06,2.8499221840706226,60.0,0.6833333333333333,0.3333333432674408,0.375,0.30000001192092896
47,5.211630987416469e-05,2.859383415094389,60.0,0.84375,0.3333333432674408,0.30000001192092896,0.375
48,3.064756834765353e-05,2.8681573984367565,60.0,0.7166666666666667,0.375,0.5,0.30000001192092896
49,5.4436403261304095e-05,2.878904238313609,60.0,0.65,0.3333333432674408,0.375,0.30000001192092896
50,3.1822389772718165e-05,2.8901852034648337,60.0,0.84375,0.619047611951828,0.5833333432674408,0.75
51,4.033648204495433e-05,2.894829295198381,60.0,0.65,0.3333333432674408,0.375,0.30000001192092896
52,9.374279789716996e-06,2.903078356084567,60.0,0.55,0.6666666716337204,0.6666666716337204,0.6666666716337204
53,7.35023998379997e-06,2.912907066715327,60.0,0.5833333333333333,0.619047611951828,0.75,0.5833333432674408
54,1.2965508671802744e-05,2.9223014386135295,60.0,0.78125,0.75,0.75,0.75
55,5.708561317814548e-06,2.931774982986867,60.0,0.84375,0.3333333432674408,0.30000001192092896,0.375
56,3.375833638631512e-06,2.9354809810837446,60.0,0.5166666666666666,0.30000001192092896,0.30000001192092896,0.30000001192092896
57,3.648808878060291e-05,2.943143670483734,60.0,0.84375,0.3333333432674408,0.30000001192092896,0.375
58,3.384181106953363e-06,2.947640541801108,60.0,0.84375,0.3333333432674408,0.30000001192092896,0.375
59,2.935628123954577e-06,2.9487229905420373,60.0,0.5833333333333333,0.619047611951828,0.75,0.5833333432674408
60,1.0167357980447678e-05,2.9551401859805404,60.0,0.6166666666666667,0.619047611951828,0.75,0.5833333432674408
61,1.870619548812029e-05,2.963125082107213,60.0,0.8125,0.3333333432674408,0.30000001192092896,0.375
62,1.776175524777166e-05,2.9690914043974304,60.0,0.84375,0.619047611951828,0.5833333432674408,0.75
63,5.706447198472534e-06,2.976995437928375,60.0,0.8125,0.75,0.75,0.75
64,1.262644414398614e-05,2.9817101201792897,60.0,0.5833333333333333,0.619047611951828,0.75,0.5833333432674408
65,4.610418638617465e-06,2.988040339232818,60.0,0.6833333333333333,0.3333333432674408,0.375,0.30000001192092896
66,1.957037366247524e-05,2.991021341516986,60.0,0.55,0.3333333432674408,0.375,0.30000001192092896
