,BIP,BIP,BIP,ADHD,ADHD,ADHD
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train
0,0.5164996893037234,0.07386890009672187,68.75,0.08727461920933981,62.93103448275862,0.7208985179141569
1,0.5316525465036263,0.06489727034053744,68.75,0.0944608720226342,61.206896551724135,0.48392292193556785
2,0.030641205967454187,0.08139441121859967,71.875,0.08978903257861952,64.65517241379311,1.0890824991909516
3,0.25525181080484727,0.06395792950756905,75.0,0.08637499165275149,60.3448275862069,0.42817710817875865
4,2.508679377270975,0.09611426231386547,65.625,0.09742183620540931,59.48275862068966,0.504185380951541
5,0.029375023008438538,0.0727087190975458,84.375,0.12218471891456936,54.310344827586206,0.19689925381699283
6,0.03893130777800064,0.0742291700089368,81.25,0.11786205336639957,55.172413793103445,0.07834161944880617
7,0.010460018844282725,0.08182618877554063,78.125,0.17628590394296667,61.206896551724135,0.2919916210370843
8,0.0001296939516703017,0.09481381487526316,84.375,0.13911876354716027,56.03448275862068,0.3134055803755754
9,0.0010933409657447293,0.09041294737916526,78.125,0.15968378973776245,56.896551724137936,0.8801054023849111
10,0.001657566034324946,0.09324560953557594,81.25,0.17887922460045508,58.620689655172406,0.024134462354326373
11,0.001129022819959064,0.11367110544389847,84.375,0.2030464474846503,63.793103448275865,0.30105974680624553
12,0.0006271807811532153,0.10032607372934735,84.375,0.2597922207739859,50.0,0.6267082718815912
13,0.0001119560175958018,0.09883996346296843,84.375,0.26191617175184795,50.0,0.0020744456480887062
14,0.00016631885086668992,0.10332146377512856,84.375,0.3055922734672218,63.793103448275865,0.0005953306753874253
15,8.080532281687598e-05,0.09919900782958833,78.125,0.27399678638509545,61.206896551724135,0.04130259096075661
16,0.0003024249855380115,0.12100547556609804,84.375,0.36390190931703414,63.793103448275865,0.009717576287434204
17,0.00026310592712625237,0.10409929926893036,84.375,0.366265825838269,59.48275862068966,0.0023406479088023207
18,2.6380573210311287e-05,0.10329662388556189,81.25,0.3354215192701474,61.206896551724135,4.0369585133655944e-05
19,6.102436355543406e-05,0.10473159681751483,81.25,0.34830197674226937,58.620689655172406,0.00027489754008177446
20,1.468291293273284e-05,0.10638007796566361,81.25,0.34482146543155795,58.620689655172406,0.0005992312195011636
21,1.9689287037154205e-05,0.10793325349654381,81.25,0.34518814159714845,59.48275862068966,5.914481030097869e-05
22,3.3146102005317886e-05,0.10893552680494238,81.25,0.34401074163033163,59.48275862068966,0.0003522779031740879
23,8.872569646922721e-05,0.11009448918879745,81.25,0.3469137431101618,58.620689655172406,7.693083920196969e-05
24,6.1012116119812196e-05,0.11113809731422962,81.25,0.3591857317566197,58.620689655172406,0.00015400592797905902
25,5.932493098489151e-05,0.11203415863450539,81.25,0.3461953441400462,58.620689655172406,0.0005270738593404967
26,4.366108012140558e-05,0.11278977407226438,81.25,0.34732664526000256,59.48275862068966,0.00022740698939482116
27,6.516239832671906e-05,0.11369787280591717,81.25,0.3689693879993455,58.620689655172406,0.0002242728364530752
28,9.470918462406997e-05,0.1143387163200344,81.25,0.3633377710968423,58.620689655172406,0.00031112420377922773
29,5.9909945079434245e-05,0.11494169448326234,81.25,0.3535329257147169,59.48275862068966,0.00010015283024430439
30,3.568422043625853e-05,0.1156637797307046,81.25,0.3574879620765672,59.48275862068966,0.00016009090475942086
31,3.634549646857663e-05,0.11627092832805852,81.25,0.38383338409546847,60.3448275862069,9.99934740204232e-05
32,1.6293444780894517e-05,0.11686730208030224,81.25,0.3694623375360095,59.48275862068966,0.000167344149870901
33,7.549459421297877e-05,0.1172699268411463,81.25,0.3709351218788632,60.3448275862069,7.212903297652738e-05
34,5.65529465348346e-05,0.117793336090046,81.25,0.37795892496718236,59.48275862068966,5.061929944967627e-05
35,2.6411873043613337e-05,0.11846558467904192,81.25,0.3877930260700104,60.3448275862069,3.608163206288785e-05
36,8.265888189823946e-06,0.1188693122346401,81.25,0.37736520293464354,59.48275862068966,4.317770063777245e-05
37,2.9452435720117778e-05,0.11927832581762715,81.25,0.3788176878797347,59.48275862068966,6.280495004933849e-05
38,2.0715600416350438e-05,0.1198409961833105,81.25,0.3859113224810796,59.48275862068966,0.0001314037380182214
39,1.1992697043275687e-05,0.12039703675116482,81.25,0.3856078973422861,58.620689655172406,7.289106983872918e-05
40,1.738811387093129e-05,0.1209995192510968,81.25,0.38553153413605246,58.620689655172406,0.00013065375522984776
41,4.260131287075207e-06,0.12126569229809134,81.25,0.3797823002236054,59.48275862068966,1.8269040014239983e-05
42,1.0934386561178064e-05,0.12181589194403267,81.25,0.3825537311277346,58.620689655172406,2.3194294776080995e-05
43,1.6514917813873485e-06,0.12222626697176837,81.25,0.38009980755596945,59.48275862068966,7.276342750636284e-05
44,1.3504818490461893e-05,0.12283926124778034,81.25,0.388695243324062,58.620689655172406,8.044221418863013e-05
45,9.437824127680127e-06,0.12331503280706214,81.25,0.40340879789295003,59.48275862068966,0.00010006223386390172
46,1.2839757819988362e-05,0.1237910605365796,81.25,0.38039303005733865,59.48275862068966,5.851836469844173e-05
47,2.805185394502746e-05,0.12431678193817469,81.25,0.39368505022705114,60.3448275862069,5.153455230033744e-05
