,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,SZ,SZ,SZ,SZ,SZ,SZ,SZ,ASD,ASD,ASD,ASD,ASD,ASD,ASD,BIP,BIP,BIP,BIP,BIP,BIP,BIP,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1
9,0.5559624190647126,0.6802334855810204,60.97560975609756,0.6551587301587302,0.42328043778737384,0.4416666676600774,0.4833333343267441,0.46845124941925337,80.31496062992126,0.8755208333333333,0.6516098566353321,0.7604166679084301,0.6104166712611914,0.32879063430243727,0.6895709083813468,56.38297872340425,0.6102430555555556,0.586678841461738,0.5034722307076057,0.7715277820825577,0.6986279764661921,0.7431485266660719,67.74193548387096,0.8166666666666668,0.0,0.0,0.0,0.5234112862249362,0.3983877680995525,82.35294117647058,0.75,0.4444444576899211,0.6666666666666666,0.3333333333333333,0.2987941105374087,0.6998920923474329,33.33333333333333,0.41666666666666663,0.7000000029802322,0.625,1.0,0.6954015103665672,0.510037790477639,76.92307692307693,0.9583333333333333,0.7857142984867096,0.7000000029802322,1.0,0.4247013806748552,0.6448658386689947,64.28571428571429,0.9,0.5666666626930237,1.0,0.4333333447575569,0.48237353606076755,0.7037702474236557,40.0,0.875,0.0,0.0,0.0,0.6432837358945652,0.9541366290121193,28.57142857142857,0.25,0.444444477558136,0.3333333432674408,0.6666666865348816,0.5476831184700031
10,0.6729740508572851,0.6368441275660128,56.09756097560976,0.6854166666666667,0.4226190447807312,0.49722222487131756,0.4166666716337204,0.608209862408174,76.37795275590551,0.832700892857143,0.5583829469978809,0.75,0.4635416744276881,0.4007357536965177,0.700405988538688,56.91489361702128,0.6244295634920635,0.20968915646274885,0.3472222238779068,0.20257936666409174,1.2501045492377696,0.993533617143051,67.74193548387096,0.8139880952380952,0.0,0.0,0.0,0.1802576535079785,0.36389873683033397,88.23529411764706,0.7666666666666666,0.4888888994852702,0.6666666666666666,0.3888888955116272,0.6244663648351303,0.7001479066567228,33.33333333333333,0.55,0.27272728085517883,0.1875,0.5,0.6638274861813805,0.5869433611331959,53.84615384615385,0.9333333333333333,0.3333333432674408,0.25,0.5,0.39416722444534447,0.5786714004910323,64.28571428571429,0.8777777777777778,0.375,0.5,0.30000001192092896,0.3440292122607132,0.6321861127532692,40.0,0.8125,0.0,0.0,0.0,0.6308412890363501,0.981424310624697,42.857142857142854,0.16666666666666666,0.5999999642372131,0.4285714328289032,1.0,0.42094238362744535
11,0.5842982596712163,0.6780007590328484,58.536585365853654,0.6611111111111111,0.5017797301212946,0.45555556068817776,0.6333333353201548,0.4885150418520798,78.74015748031496,0.8371651785714286,0.7270833421498537,0.6958333421498537,0.8239583373069763,0.4558571754480871,0.6775495418930808,56.91489361702128,0.6489335317460317,0.5495671009023985,0.5340773866822323,0.6631944502393404,1.1365842731096218,0.6122407541926178,80.64516129032258,0.8250000000000001,0.45000000298023224,0.75,0.3333333432674408,0.43441415822371504,0.5028036977347602,64.70588235294117,0.8333333333333334,0.37777777512868244,0.28888889650503796,0.6666666666666666,0.5349924263684294,0.7349732498402668,33.33333333333333,0.35,0.27272728085517883,0.1875,0.5,0.6682008301526327,0.5699659282224305,76.92307692307693,0.6666666666666666,0.7857142984867096,0.7000000029802322,1.0,0.22840258101224853,0.47240710764312077,71.42857142857143,0.9333333333333333,0.625,1.0,0.46666668355464935,0.2660206556247808,0.6680068511487821,70.0,0.78125,0.7857142686843872,0.8333333432674408,0.75,0.5427087332305593,1.0346291824231513,42.857142857142854,0.5,0.5999999642372131,0.4285714328289032,1.0,0.4168253797803495
12,0.503333266114946,0.7631084103505249,56.09756097560976,0.6201388888888889,0.47857142488161725,0.46111112584670383,0.5666666676600774,0.5234425568290415,79.52755905511812,0.8765625,0.7650027181953192,0.7572916727513075,0.8218750022351742,0.06502103943823814,0.8674417383246437,58.51063829787234,0.6622271825396826,0.6143500121931235,0.5453869147847096,0.7968254027267297,0.7429218774604861,0.5864414152130523,83.87096774193549,0.8238095238095238,0.5500000044703484,0.75,0.4791666716337204,0.9396317994230019,0.40642812413967555,82.35294117647058,0.7888888888888889,0.8055555621782938,0.700000007947286,1.0,0.10341397647529389,0.9451229331900439,33.33333333333333,0.31666666666666665,0.27272728085517883,0.1875,0.5,0.6918098983298316,0.597194229370365,69.23076923076923,0.8125,0.6857142746448517,0.6666666865348816,0.75,0.8691710815508822,0.331649529227556,85.71428571428571,1.0,0.8545454740524292,0.8333333432674408,0.9166666567325592,0.282868877459028,0.8542499819634262,70.0,0.875,0.3333333432674408,0.5,0.25,0.5001735446577251,1.1270541726710284,42.857142857142854,0.3333333333333333,0.5999999642372131,0.4285714328289032,1.0,0.5054197023746837
13,0.6614333811619332,0.6368744618046988,58.536585365853654,0.6409722222222222,0.4046296377976735,0.49722222487131756,0.3888888905445735,0.4989393496268826,79.52755905511812,0.8065104166666668,0.6959505900740623,0.7406250033527613,0.7145833373069763,0.2333063130963191,0.654816909872169,58.51063829787234,0.6341765873015872,0.47225529700517654,0.5451388942698637,0.48660714613894623,1.3482589268266352,0.5117414580835478,80.64516129032258,0.8517857142857144,0.4761904925107956,0.75,0.3500000014901161,0.8626918730281427,0.27358145220061536,88.23529411764706,0.8333333333333334,0.5,0.6666666666666666,0.4444444477558136,0.2048471246202598,0.7492554260429297,33.33333333333333,0.25,0.7000000029802322,0.625,1.0,0.6973302184980859,0.5034825247199263,84.61538461538461,0.875,0.8333333432674408,0.75,1.0,0.2448312585046146,0.4161972076913889,71.42857142857143,0.8555555555555556,0.6500000357627869,0.9000000059604645,0.5666666775941849,0.1866041660567638,0.6454852657517638,60.0,0.34375,0.6666666865348816,0.550000011920929,0.875,0.6399618846900892,0.8810949367455335,57.14285714285714,0.25,0.6666666865348816,0.5,1.0,0.37493774686071557
14,1.154491051782999,0.6237163805719581,58.536585365853654,0.5620039682539683,0.4333333373069763,0.4444444452722867,0.4583333333333333,0.5225143960350732,79.52755905511812,0.8778645833333334,0.6883928664028645,0.9166666679084301,0.5906250057742,0.4365643168499372,0.6809007049906725,58.51063829787234,0.5921875000000001,0.2466269868115584,0.4166666679084301,0.19027777885397276,0.5301793529439308,0.7976203519523943,77.41935483870968,0.7833333333333333,0.3500000014901161,0.75,0.2291666716337204,0.05143168677234875,0.24458802929343032,94.11764705882352,0.8333333333333334,0.5555555621782938,0.6666666666666666,0.5,0.04759459806547941,0.7168592920531378,33.33333333333333,0.3833333333333333,0.27272728085517883,0.1875,0.5,0.5819044302127923,0.7111573889951617,69.23076923076923,0.7666666666666666,0.6666666865348816,0.625,0.800000011920929,0.18203986178386358,1.1079261445402147,57.14285714285714,1.0,0.4000000059604645,1.0,0.25,0.06556049354615064,0.6568243868717576,80.0,0.5833333333333333,0.4545454680919647,0.4166666567325592,0.5,0.5404501924783711,1.0551127066023993,57.14285714285714,0.3333333333333333,0.6666666865348816,0.5,1.0,0.28747305937495743
15,0.4458278230554735,0.6323115669292239,60.97560975609756,0.525,0.6000481049219767,0.5944444487492243,0.6194444497426351,0.5518527034651408,81.88976377952756,0.8446800595238095,0.6658234223723412,0.828125,0.5927083380520344,0.7018131343397471,0.6741308533367268,61.702127659574465,0.6537698412698412,0.5863666522006193,0.618551591411233,0.6289682562152544,0.6328146440417072,0.7416586798230277,77.41935483870968,0.8791666666666667,0.4583333432674408,0.75,0.3333333358168602,0.4076607788928334,0.26571832452973676,88.23529411764706,0.8333333333333334,0.6190476218859354,0.5833333333333334,0.6666666666666666,0.37251502223571364,0.7730459940796511,33.33333333333333,0.35,0.27272728085517883,0.1875,0.5,0.6921131929408505,0.6850818040926085,61.53846153846154,0.7083333333333333,0.3333333432674408,0.375,0.30000001192092896,0.08733020804148951,0.6862085764104894,71.42857142857143,0.9375,0.6666666865348816,1.0,0.5,0.07298868967423054,0.6518657574241954,60.0,0.8125,0.6666666865348816,0.550000011920929,0.875,0.4627921790070995,1.083854642658578,57.14285714285714,0.5,0.6666666865348816,0.5,1.0,0.4463380955219673
16,0.5325288533286011,0.6846625526850624,58.536585365853654,0.686111111111111,0.48677249749501544,0.4222222218910853,0.6500000009934107,0.5218247128556289,77.16535433070865,0.8622395833333333,0.7362599428743124,0.6748511996120214,0.8625000026077032,0.16044678360497028,0.7105664918884932,61.170212765957444,0.6505208333333333,0.5552038326859474,0.562500004346172,0.5974206402897835,0.14470907701668348,0.48998325386297675,80.64516129032258,0.9041666666666667,0.6250000149011612,0.875,0.5833333358168602,0.10526228148311827,0.28347704033406973,88.23529411764706,0.7916666666666666,0.5079365173975626,0.5,0.5833333333333334,0.3293383894278385,0.9902231524930054,33.33333333333333,0.3833333333333333,0.27272728085517883,0.1875,0.5,0.632881681091729,0.7965889332176291,53.84615384615385,0.8125,0.25,0.25,0.25,0.314969184112502,0.8517793762330257,71.42857142857143,0.8666666666666667,0.6857143044471741,1.0,0.533333346247673,0.12454845355539945,0.6865581791031901,70.0,0.8125,0.8333333432674408,0.800000011920929,0.875,0.6023426156309734,1.751635910495844,42.857142857142854,0.6666666666666666,0.5999999642372131,0.4285714328289032,1.0,1.342432253885851
17,0.29619652704898136,0.6849090208055828,58.536585365853654,0.6465277777777777,0.6650432993968328,0.5869047716259956,0.8416666686534882,0.48570393987678273,79.52755905511812,0.8578125,0.7010281477123499,0.7770833373069763,0.7291666716337204,0.5688372507684563,0.6505484928538456,59.04255319148937,0.669047619047619,0.5555555683871111,0.5248015957574049,0.6798611165334781,0.5243346052825252,0.548602504055783,83.87096774193549,0.8802083333333333,0.6833333447575569,1.0,0.5625,0.46600187813294586,0.7000742274934253,58.82352941176471,0.7777777777777778,0.3888888955116272,0.2777777810891469,0.6666666666666666,0.09198484718556485,0.7883436187494557,33.33333333333333,0.41666666666666663,0.7000000029802322,0.625,1.0,0.9033623809596089,0.671311709731207,61.53846153846154,0.96875,0.533333346247673,0.75,0.625,0.2403118999030344,1.15871454318822,50.0,0.9583333333333333,0.1428571492433548,0.5,0.0833333358168602,0.11032614170258154,0.6124990240443042,70.0,0.8125,0.8333333432674408,0.800000011920929,0.875,0.5086218781404471,1.4973581399656208,42.857142857142854,0.5,0.5999999642372131,0.4285714328289032,1.0,0.18350197579567548
18,0.6193592661983143,0.6294050374975044,68.29268292682927,0.6819444444444445,0.4623015969991684,0.625,0.3916666681567828,0.4986076596747418,78.74015748031496,0.8546875,0.6828102562576532,0.7479166686534882,0.6802083384245634,0.12223329418479616,0.7053319678930027,63.829787234042556,0.6401041666666666,0.2933201106886069,0.4930555572112401,0.2222222244987885,0.8611474823543697,0.5146796511224555,83.87096774193549,0.8098214285714286,0.533333346247673,0.75,0.4166666716337204,0.17740229702582044,0.3833604550780237,82.35294117647058,0.8333333333333334,0.46666666865348816,0.6666666666666666,0.4166666666666667,0.04467465563450218,0.8966323407168564,33.33333333333333,0.35,0.27272728085517883,0.1875,0.5,0.5224548789014648,0.7829002685680226,61.53846153846154,0.7395833333333333,0.6666666865348816,0.550000011920929,0.875,0.1532528890185118,0.38293033407855487,92.85714285714286,0.875,0.8333333432674408,1.0,0.75,0.08978144884996017,0.6435552614784104,70.0,0.375,0.7083333432674408,0.625,0.875,0.5931684865927609,1.0453249066308075,42.857142857142854,0.16666666666666666,0.5,0.4000000059604645,0.6666666865348816,0.3892124280322681
19,0.20021019573249169,0.6797931261521979,65.85365853658537,0.6722222222222222,0.6035714348157247,0.7666666706403097,0.5666666726271311,0.4723011472423784,81.10236220472441,0.8859375,0.7292658910155296,0.8031250033527613,0.7208333387970924,0.20536054995301192,0.6608028453611694,60.1063829787234,0.6082589285714286,0.5118175819516182,0.5555555609365305,0.4986111174027125,0.4738305789642359,0.49602951525147004,87.09677419354838,0.8666666666666666,0.7416666746139526,1.0,0.6250000074505806,0.27449949703807935,0.19803271426502125,94.11764705882352,0.8333333333333334,0.600000003973643,0.6666666666666666,0.5555555621782938,0.16584490401974106,0.9869215598487254,33.33333333333333,0.3833333333333333,0.27272728085517883,0.1875,0.5,0.3757482091060605,0.755449086035529,61.53846153846154,0.8229166666666667,0.6969697177410126,0.5357142984867096,1.0,0.05970468392469965,0.45430368323239156,78.57142857142857,0.8958333333333333,0.7045454680919647,0.75,0.6666666567325592,0.1480749143376175,0.5709026547032792,80.0,0.40625,0.444444477558136,0.4000000059604645,0.5,0.34075972462369397,1.377704428283181,42.857142857142854,0.5833333333333334,0.5999999642372131,0.4285714328289032,1.0,0.813086413406537
20,0.5270749394942512,0.6717933838471466,60.97560975609756,0.638888888888889,0.380952388048172,0.3888888955116272,0.37777779002984363,0.7075759913501908,81.88976377952756,0.8975074404761906,0.7211039029061794,0.8541666697710752,0.6739583387970924,0.5498787729501083,0.7792430741374506,62.23404255319149,0.6575644841269842,0.5501653514802456,0.5485119111835957,0.6243055618057648,0.7381147515571952,0.7766441716362459,83.87096774193549,0.9166666666666666,0.7000000029802322,1.0,0.5833333432674408,0.13059355697864863,0.47426669437119573,76.47058823529412,0.8333333333333334,0.7523809572060903,0.6666666666666666,1.0,0.047250206501605385,1.2763675890726651,33.33333333333333,0.35,0.27272728085517883,0.1875,0.5,0.7194774009408768,0.9939642247605427,61.53846153846154,0.7395833333333333,0.5357142686843872,0.5833333432674408,0.5,0.021281813760409284,0.2521267170755695,92.85714285714286,0.9375,0.9285714328289032,1.0,0.875,0.13912134662114234,0.7501084137725883,70.0,0.75,0.7857142686843872,0.8333333432674408,0.75,0.4796309863238027,1.1419725099162197,57.14285714285714,0.4166666666666667,0.6666666865348816,0.5,1.0,0.3935755876563265
21,0.8692575511009636,0.7922417699087928,46.34146341463415,0.5694444444444445,0.6059829145669937,0.520833338300387,0.75,0.551466486331662,77.95275590551181,0.8965401785714285,0.7427804972976446,0.6864583361893892,0.859375,0.013997225961276671,0.6540807942670913,65.95744680851064,0.6639880952380952,0.4045634965101878,0.6875000012417635,0.307638892903924,0.5464377244965202,0.5869342714543568,80.64516129032258,0.8895833333333334,0.5833333432674408,0.6666666716337204,0.5416666716337204,0.09140149669070631,0.33175193504515393,76.47058823529412,0.8333333333333334,0.7904762029647827,0.6888888974984487,1.0,0.017147146856833547,0.866950138426769,33.33333333333333,0.25,0.27272728085517883,0.1875,0.5,0.6915904913111591,0.8769207497395437,76.92307692307693,0.7,0.761904776096344,0.7083333432674408,0.8333333432674408,0.008280579378440926,0.8818168202210173,57.14285714285714,0.9333333333333333,0.4000000059604645,0.5,0.3333333432674408,0.3320548756108626,0.635251430145893,70.0,0.8125,0.8333333432674408,0.800000011920929,0.875,0.49378810200475737,1.862406682999694,42.857142857142854,0.3333333333333333,0.5999999642372131,0.4285714328289032,1.0,0.3627008002095882
