,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,SZ,SZ,SZ,SZ,SZ,SZ,SZ,ASD,ASD,ASD,ASD,ASD,ASD,ASD,BIP,BIP,BIP,BIP,BIP,BIP,BIP,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,0.734252746534804,0.6932771948906121,43.90243902439025,0.5243055555555555,0.5120435257752737,0.375,0.8333333333333334,0.6928326623699776,61.417322834645674,0.6299107142857143,0.15327381156384945,0.28125,0.11666666716337204,0.6929886758381333,0.6933607712854779,44.680851063829785,0.4083333333333334,0.5974211102972428,0.4479166666666667,1.0,0.6940110658747267,0.5956189520563973,67.74193548387096,0.8125,0.0,0.0,0.0,0.5345420043964214,0.6122078901547174,70.58823529411765,0.5625,0.0,0.0,0.0,0.6932490504969153,0.6929651354669871,66.66666666666666,0.5166666666666666,0.0,0.0,0.0,0.6931702368506906,0.7772815578024564,53.84615384615385,0.5666666666666667,0.0,0.0,0.0,0.6858362591979233,0.7007889357269725,42.857142857142854,0.6458333333333333,0.0,0.0,0.0,0.6931708218539318,0.6931409496520677,50.0,0.5166666666666666,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.6937762453489943,0.6933167655401281,57.14285714285714,0.25,0.0,0.0,0.0,0.693322430364016
1,0.665810142034134,0.7469254892330995,56.09756097560976,0.4583333333333333,0.0,0.0,0.0,0.6910435814705136,62.99212598425197,0.73515625,0.6401921045035124,0.5497023882344365,0.8072916679084301,0.6929797432900574,0.6933111753605838,44.680851063829785,0.42752976190476183,0.5419224357853333,0.42187500558793545,0.8340277795990308,0.693057562435966,0.6915723514106994,67.74193548387096,0.7113095238095238,0.0,0.0,0.0,0.6916650004004502,0.8887937798097054,29.411764705882355,0.33928571428571425,0.29629630347092945,0.20833333333333334,0.6666666666666666,0.7389034049012302,0.6943696793196563,33.33333333333333,0.5833333333333333,0.7000000029802322,0.625,1.0,0.6893970646245381,0.6955485812752281,46.15384615384615,0.90625,0.6190476417541504,0.45000000298023224,1.0,0.6081271869836553,0.6736117822235367,57.14285714285714,0.6222222222222222,0.7179487347602844,0.5625,1.0,0.8464731771685139,0.6887633392014622,50.0,0.84375,0.6666666865348816,0.5,1.0,0.6928174277138434,0.7050174038842142,42.857142857142854,0.3333333333333333,0.5999999642372131,0.4285714328289032,1.0,0.7873675724825226
2,0.6937125137599626,0.69112905768008,56.09756097560976,0.5944444444444444,0.0,0.0,0.0,0.6366628158369627,60.629921259842526,0.7658854166666667,0.17083333618938923,0.25,0.140625,0.9599453422442848,0.6880792568491035,48.93617021276596,0.5890624999999999,0.6145567459364732,0.4712797651688258,0.97222222139438,0.6930938401284178,0.5356451354243377,70.96774193548387,0.9166666666666667,0.1666666716337204,0.25,0.125,0.35277273088982675,0.7929414546160196,29.411764705882355,0.3507936507936508,0.5892255951960882,0.5,1.0,0.8135314638279916,0.6930181359718642,66.66666666666666,0.5833333333333333,0.20000000298023224,0.25,0.1666666716337204,0.6930188601256471,0.8562365756867909,53.84615384615385,0.5625,0.0,0.0,0.0,0.5627671481498379,0.721857412925523,50.0,0.4888888888888889,0.25,0.3333333432674408,0.20000000298023224,0.5629428328841566,0.6932792923737983,50.0,0.25,0.6666666865348816,0.5,1.0,0.6935800451480699,0.7693346009426246,57.14285714285714,0.25,0.0,0.0,0.0,0.6787866386330978
3,0.6315419022646196,0.6496674697526268,60.97560975609756,0.6277777777777778,0.4761904776096344,0.4722222288449605,0.4888889044523239,0.5675839160143806,72.44094488188976,0.8203125000000001,0.502380957826972,0.7604166679084301,0.4312500022351742,0.6433405688699823,0.688931822668687,57.97872340425532,0.5664930555555556,0.10138888905445735,0.25,0.06388888942698638,0.6950946938117345,0.5206051849954793,67.74193548387096,0.9135416666666667,0.0,0.0,0.0,0.6907637981961949,1.0691362434080391,29.411764705882355,0.5539682539682539,0.5892255951960882,0.5,1.0,0.3016980368860437,0.7611334161842424,33.33333333333333,0.5166666666666666,0.27272728085517883,0.1875,0.5,0.6513638735646318,0.6574105028208405,76.92307692307693,0.65625,0.4285714328289032,0.5,0.375,0.5827580521355644,0.6429192805712258,64.28571428571429,0.6666666666666666,0.5833333432674408,0.875,0.46666668355464935,0.7486554796621545,0.6928438455313038,60.0,0.5166666666666666,0.7999999821186066,0.7142857164144516,1.0,0.7162142714074828,0.8472262348561669,14.285714285714285,0.16666666666666666,0.0,0.0,0.0,0.7758269012123703
4,0.6503418616874358,0.6864506259318236,58.536585365853654,0.7277777777777779,0.40317460894584656,0.4861111144224803,0.37777778257926303,0.5477153121066897,71.65354330708661,0.8244791666666668,0.48883928917348385,0.8177083358168602,0.35937500558793545,0.7248369364915908,0.687771184252216,56.91489361702128,0.5821428571428571,0.22195767425000668,0.4375,0.1621527789781491,0.6930373800515909,0.6132922636146796,67.74193548387096,0.8697916666666667,0.0,0.0,0.0,1.663743456648949,0.5158166996480901,82.35294117647058,0.6611111111111111,0.3888888955116272,0.6666666666666666,0.2777777810891469,1.1322853455193411,0.6941133469877866,44.44444444444444,0.48333333333333334,0.27272728085517883,0.1875,0.5,0.6917688931939977,0.6760975669830003,76.92307692307693,0.8,0.7857142984867096,1.0,0.7000000029802322,0.5342304026655977,0.7509397133579518,42.857142857142854,0.9375,0.0,0.0,0.0,0.7463170146547571,0.6929371700667917,50.0,0.3125,0.6666666865348816,0.5,1.0,0.6941314206209527,0.7768659506712451,57.14285714285714,0.08333333333333333,0.0,0.0,0.0,0.7458503265012615
5,0.6939954366926083,0.6870812023863614,65.85365853658537,0.7579365079365079,0.5168091307083765,0.4861111144224803,0.6539682596921921,0.5074743036910633,74.80314960629921,0.7418154761904763,0.5785714406520128,0.6979166679084301,0.5343750035390258,0.8217636642662656,0.6885702683897109,53.72340425531915,0.6129464285714286,0.41538600623607635,0.5282738134264946,0.3937500063329935,0.6889540193425762,0.5377327991569977,70.96774193548387,0.8895833333333334,0.125,0.25,0.0833333358168602,0.4017454833834743,0.4597109058027012,82.35294117647058,0.6428571428571429,0.22222222884496054,0.3333333333333333,0.16666666666666666,0.40959133874453446,0.6978485943778194,33.33333333333333,0.5166666666666666,0.27272728085517883,0.1875,0.5,0.6907207035954684,0.6671841523344415,61.53846153846154,0.7166666666666667,0.25,0.5,0.1666666716337204,0.4751210759769266,0.7700313447857122,50.0,1.0,0.25,0.5,0.1666666716337204,0.41036664736032424,0.693294404392668,50.0,0.3125,0.6666666865348816,0.5,1.0,0.8028238520419746,0.8429127582051487,14.285714285714285,0.16666666666666666,0.0,0.0,0.0,0.8083779899357302
6,1.1862371751720582,0.670199066617935,58.536585365853654,0.7569444444444445,0.6981481661399206,0.6083333442608515,0.9333333373069763,0.512691345875543,77.95275590551181,0.8350818452380953,0.6629464458674192,0.7500000018626451,0.6239583380520344,0.5156901404627247,0.688824920531828,61.170212765957444,0.6170138888888889,0.5928030411402384,0.5651785812030236,0.6972222278515497,0.691474506979111,0.5459215141254029,77.41935483870968,0.80625,0.2916666716337204,0.5,0.2083333358168602,0.34422931245942934,0.4841874633484423,82.35294117647058,0.7888888888888889,0.7222222288449606,0.8333333333333334,0.777777781089147,0.9910208486392627,0.6962533370829388,33.33333333333333,0.48333333333333334,0.27272728085517883,0.1875,0.5,0.6787509275954152,0.6447900839530908,61.53846153846154,0.9666666666666667,0.6166666895151138,0.4821428656578064,1.0,0.6904428466905271,0.5173940164331905,85.71428571428571,0.7708333333333333,0.7878788113594055,1.0,0.6666666567325592,0.6619429223480989,0.7330174564653328,50.0,0.5833333333333333,0.7727272808551788,0.6875,1.0,0.744702112736451,0.7756099261263975,28.57142857142857,0.08333333333333333,0.444444477558136,0.3333333432674408,0.6666666865348816,0.6474003022214092
7,0.6176961961953,0.6655833624076685,58.536585365853654,0.6388888888888888,0.4027777810891469,0.4583333383003871,0.37222222487131756,0.49005590838845575,77.95275590551181,0.8520833333333333,0.6387400850653648,0.6906250081956387,0.6309523861855268,0.29192717481881225,0.6933135256286956,57.446808510638306,0.6367311507936507,0.528147558371226,0.49657738643387955,0.6479166721304258,0.5728086148091542,0.6046497032561166,67.74193548387096,0.8312499999999999,0.0,0.0,0.0,0.4337649248929955,0.4615171928407646,82.35294117647058,0.7055555555555556,0.4444444576899211,0.5555555621782938,0.3888888955116272,0.6557272228930258,0.7235335680358196,33.33333333333333,0.25,0.27272728085517883,0.1875,0.5,0.8257723962891612,0.5899388379985231,69.23076923076923,0.9333333333333333,0.761904776096344,0.625,1.0,0.48281493261630964,0.6202273441730749,71.42857142857143,0.7666666666666666,0.6666666567325592,1.0,0.6000000014901161,0.4846198962594329,0.7197726430700897,60.0,0.34375,0.6969697177410126,0.5357142984867096,1.0,0.6835746804669774,0.7975214602242717,14.285714285714285,0.08333333333333333,0.0,0.0,0.0,0.6085025831749752
8,0.6701164953483364,0.6312091054463345,51.21951219512195,0.6916666666666668,0.2896825472513835,0.375,0.27500000099341076,0.7142234326554494,77.95275590551181,0.8351562499999999,0.622767873108387,0.8500000014901161,0.5229166727513075,1.0743302090951827,0.6521121899622275,57.446808510638306,0.5534722222222223,0.5179218960305055,0.47906746963659924,0.5923611186444759,0.6941262671159771,0.9421538252073203,67.74193548387096,0.8958333333333334,0.0,0.0,0.0,0.44603451864618254,0.41550975458460365,88.23529411764706,0.7666666666666666,0.5555555621782938,0.5555555621782938,0.5555555621782938,0.5428880147922792,0.7497109213157533,33.33333333333333,0.41666666666666663,0.7000000029802322,0.625,1.0,0.69372742715272,0.5817019945417834,61.53846153846154,0.7916666666666667,0.6666666865348816,0.550000011920929,0.875,0.4163028142647736,0.8596713968514339,64.28571428571429,0.8333333333333333,0.7142857313156128,0.5750000029802322,1.0,0.4868785594953617,1.0194935481912477,50.0,0.125,0.0,0.0,0.0,0.5698692448389069,1.7074567667019058,42.857142857142854,0.6666666666666666,0.5999999642372131,0.4285714328289032,1.0,0.5078950185700849
