,ASD,ASD,ASD,ASD,ASD,ASD,ASD,SZ,SZ,SZ,SZ,SZ,SZ,SZ,BIP,BIP,BIP,BIP,BIP,BIP,BIP,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,0.5703541620217264,0.8256019248791692,44.680851063829785,0.4758680555555556,0.5971325095742941,0.4479166666666667,1.0,0.8386419783131165,42.51968503937008,0.7718005952380952,0.5773088159039617,0.4263392873108387,1.0,1.8490693927088213,0.6922170513910698,67.74193548387096,0.75,0.0,0.0,0.0,0.687392409531518,0.694800341514155,29.411764705882355,0.6666666666666666,0.29629630347092945,0.20833333333333334,0.6666666666666666,0.690193216228901,0.7686029433726689,33.33333333333333,0.55,0.27272728085517883,0.1875,0.5,0.7002896937997877,0.6931237724208537,53.84615384615385,0.16666666666666666,0.0,0.0,0.0,0.6994364235391655,0.6926859362476075,57.14285714285714,0.625,0.7333333492279053,0.5833333432674408,1.0,0.7688554401913046,0.6931788335168869,50.0,0.5833333333333333,0.0,0.0,0.0,0.6929237401350082,0.6923606581452838,57.14285714285714,0.6666666666666666,0.0,0.0,0.0,0.6928467389636503,0.6928231890968716,56.09756097560976,0.4611111111111111,0.0,0.0,0.0,0.8373364001344502
1,0.671339912222494,0.6858208714165909,44.680851063829785,0.6919642857142857,0.6013579157491525,0.4479166666666667,1.0,0.5896994814192327,63.77952755905512,0.772172619047619,0.2111607138067484,0.34375,0.17559524159878492,0.42114902382112523,0.5820845480225286,67.74193548387096,0.8916666666666666,0.0,0.0,0.0,0.6199020962053227,0.6618891257795647,58.82352941176471,0.626984126984127,0.6818181872367859,0.5694444477558136,1.0,0.5904133009088413,0.6922793548089792,55.55555555555556,0.41666666666666663,0.0,0.0,0.0,0.6929652826377789,0.7153130799756536,46.15384615384615,0.8333333333333333,0.6477272808551788,0.48750001192092896,1.0,0.6947016231780146,0.6934712050089272,50.0,0.59375,0.2857142686843872,0.3333333432674408,0.25,0.7270047732497753,0.6931059945795178,50.0,0.78125,0.6666666865348816,0.5,1.0,0.6914215620225637,0.6923563035569441,57.14285714285714,0.5833333333333334,0.0,0.0,0.0,0.6886005226522246,0.6934137166400427,36.58536585365854,0.3527777777777777,0.2226190467675527,0.20833333830038706,0.2555555577079455,0.6936763090660254
2,0.44222848687034594,0.7220314739167302,45.744680851063826,0.6240823412698413,0.595173587401708,0.45089285758634406,0.9583333333333334,0.8079902491748812,60.629921259842526,0.7499255952380953,0.09285714477300644,0.25,0.057291666977107525,1.0289836843859266,0.6532064262350861,67.74193548387096,0.7779761904761905,0.0,0.0,0.0,0.6230206638310688,0.7037410279147611,70.58823529411765,0.25,0.0,0.0,0.0,0.6342429201614919,0.6782406205998813,66.66666666666666,0.3833333333333333,0.0,0.0,0.0,0.8386016193396943,0.7194852505207241,46.15384615384615,0.8229166666666667,0.6190476417541504,0.45000000298023224,1.0,0.7192154495762614,0.6973400729947211,42.857142857142854,0.5625,0.20000000298023224,0.5,0.125,0.7198171588404698,0.6932764741935963,50.0,0.71875,0.0,0.0,0.0,0.6913565211981837,0.6931465477937089,57.14285714285714,0.25,0.0,0.0,0.0,0.693018184389919,0.6939889195121964,39.02439024390244,0.3354166666666667,0.45800865689913434,0.3482142885526021,0.7361111144224802,0.6424075350134345
3,1.2647554891018415,0.7350336067500589,54.25531914893617,0.6059027777777778,0.6052089172104994,0.48090278543531895,0.875,0.5659207462988369,70.07874015748031,0.8098214285714287,0.686783017590642,0.5956101231276989,0.8645833320915699,0.606371551525112,0.5110011853891072,67.74193548387096,0.8864583333333333,0.0,0.0,0.0,0.37515986386608136,0.6509825243289094,52.94117647058824,0.7666666666666666,0.37037038803100586,0.2619047661622365,0.6666666666666666,0.5782198946644087,0.733395998487274,33.33333333333333,0.2916666666666667,0.0,0.0,0.0,0.6913168013099574,0.6932783328920433,38.46153846153847,0.6354166666666667,0.558441549539566,0.41428571939468384,0.875,0.6886180479029568,0.692875238906473,57.14285714285714,0.625,0.6785714328289032,0.5416666716337204,1.0,0.7062926892636989,0.6933907076964827,50.0,0.55,0.1666666567325592,0.5,0.10000000149011612,0.6942551481435506,0.6920185974469811,57.14285714285714,0.9166666666666666,0.0,0.0,0.0,0.6932750331764116,0.6933716255991345,46.34146341463415,0.45694444444444443,0.517094021042188,0.3839285721381505,0.8333333333333334,0.6935576706672926
4,0.9407330694115945,0.6570351256288676,59.04255319148937,0.6470982142857143,0.5953264397879442,0.5259424690157175,0.7540674669047197,0.4978919756714768,72.44094488188976,0.84921875,0.685317475348711,0.6604166720062494,0.7687500044703484,0.2182560711567695,0.4711930288668402,67.74193548387096,0.8452380952380953,0.0,0.0,0.0,0.4148204834498728,0.5979751361724504,52.94117647058824,0.8333333333333334,0.3888888955116272,0.2777777810891469,0.6666666666666666,0.69338047529662,0.7777592869091298,22.22222222222222,0.25,0.611111119389534,0.5714285746216774,0.75,0.8090900917320152,0.6938251818196621,46.15384615384615,0.44791666666666663,0.5000000149011612,0.4166666716337204,0.625,0.6979793117924215,0.7176420899890904,50.0,0.46875,0.5178571343421936,0.5416666716337204,0.5,0.5618005607923264,0.6931485057544873,40.0,0.45,0.3333333432674408,0.5,0.25,0.6933824187866371,0.6929256426674547,42.857142857142854,1.0,0.5999999642372131,0.4285714328289032,1.0,0.6929611476263079,0.694448989103195,56.09756097560976,0.44097222222222227,0.1587301641702652,0.3333333333333333,0.1111111119389534,0.6935215102933172
5,0.8142706403469763,0.7842959328880079,54.25531914893617,0.657986111111111,0.6280409507453442,0.49682540136078995,0.9236111119389534,0.5855856425292629,77.16535433070865,0.8007812499999999,0.5397817566990852,0.7447916679084301,0.4687500009313226,0.12426568714527024,0.7050680504291954,67.74193548387096,0.925,0.0,0.0,0.0,1.1987109912632885,0.6038423898557789,64.70588235294117,0.8111111111111112,0.4404761989911397,0.3333333432674408,0.6666666666666666,0.5733966773229008,0.7105470122419588,44.44444444444444,0.48333333333333334,0.1428571343421936,0.125,0.1666666716337204,0.6471341923445046,0.7518359097358588,46.15384615384615,0.21666666666666667,0.6477272808551788,0.48750001192092896,1.0,0.692871732035683,0.7712662572475893,50.0,0.5222222222222223,0.619047611951828,0.5357142984867096,0.7333333492279053,0.7156798215497067,0.69330910031549,40.0,0.55,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.6926242349465402,0.6922690061937559,42.857142857142854,0.8333333333333334,0.5999999642372131,0.4285714328289032,1.0,0.6918994391547274,0.6928478500215157,56.09756097560976,0.38472222222222224,0.0,0.0,0.0,0.6919425793634033
6,0.4607167952231459,0.6259650831985346,63.297872340425535,0.6873263888888889,0.5526575346787771,0.6375000054637591,0.5451388948907455,0.5478712024717974,72.44094488188976,0.9012276785714286,0.7149486057460308,0.6461309604346752,0.8708333373069763,0.8234615723076003,0.492115907053568,67.74193548387096,0.86875,0.0,0.0,0.0,0.9684549549540092,0.6497986825144182,52.94117647058824,0.7888888888888889,0.39047618707021076,0.2761904795964559,0.6666666666666666,0.706509644280028,0.943051469176342,33.33333333333333,0.48333333333333334,0.27272728085517883,0.1875,0.5,0.43023138338650097,0.6937912850063521,30.76923076923077,0.3645833333333333,0.309523805975914,0.2916666716337204,0.375,0.6955289184901453,0.7792411320292931,57.14285714285714,0.6333333333333333,0.7083333432674408,0.5857143104076385,0.9000000059604645,0.6185009364319245,0.676753173311907,40.0,0.5166666666666666,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.6566273083453675,0.6916980843088794,57.14285714285714,0.9166666666666666,0.0,0.0,0.0,0.6929486280630307,0.6934241189766417,53.65853658536586,0.39999999999999997,0.3373015870650609,0.4777777815858523,0.3055555572112401,0.6936087267927855
7,0.5313536041467961,0.6658668431695459,62.23404255319149,0.674875992063492,0.6149140310784181,0.5589285772293806,0.7515873089432716,0.48045652421390855,79.52755905511812,0.8234375000000002,0.6634424701333046,0.6968750059604645,0.6531250085681677,0.13579466862638906,0.5738089720579047,70.96774193548387,0.8546130952380953,0.10000000149011612,0.25,0.0625,0.19776408644431576,0.6005401838571973,76.47058823529412,0.8111111111111112,0.4722222288449605,0.36666667461395264,0.6666666666666666,0.6287918775073675,0.8421442707245245,33.33333333333333,0.3333333333333333,0.7000000029802322,0.625,1.0,0.6747892931054479,0.6945601478802863,38.46153846153847,0.35416666666666663,0.4727272540330887,0.380952388048172,0.625,0.6913123386941301,0.7032172134508671,57.14285714285714,0.7,0.7272727489471436,0.6041666567325592,1.0,0.6669445435115772,0.6933135372693643,60.0,0.6875,0.800000011920929,0.75,0.875,0.7535407509430512,0.692240123145037,57.14285714285714,0.8333333333333334,0.5714285373687744,0.5,0.6666666865348816,0.7741525119608402,0.7535230792470831,43.90243902439025,0.6881944444444444,0.6544677664836248,0.5208333333333334,1.0,0.5993988532931536
8,0.6239699743768771,1.0922674866136615,59.57446808510638,0.6883680555555557,0.1506944460173448,0.2916666666666667,0.10803571591774623,0.6312553535497771,78.74015748031496,0.8669270833333335,0.6989583428949118,0.90625,0.6270833378657699,0.125469979976664,0.5955650080313052,67.74193548387096,0.9375,0.0,0.0,0.0,0.41843929222951,0.6375154986640311,100.0,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.35968021171531833,0.7872326879796784,33.33333333333333,0.48333333333333334,0.27272728085517883,0.1875,0.5,0.692407913592825,0.6936785205598637,46.15384615384615,0.45,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.6936610853667121,0.6921234742856378,57.14285714285714,0.5428571428571429,0.5952380895614624,0.5285714343190193,0.9285714328289032,0.9163831399171769,0.692993038257333,50.0,0.6875,0.722222238779068,0.7000000029802322,0.75,0.6927726790952952,0.6924538315544301,57.14285714285714,0.6666666666666666,0.5714285373687744,0.5,0.6666666865348816,0.6868978450199688,0.6935115277954006,41.46341463414634,0.43124999999999997,0.6262626200914383,0.502976194024086,0.902777781089147,0.6920969353500146
