,DEL1q21_1,DEL1q21_1,DEL1q21_1
,Loss/train,Loss/test,Accuracy/test
0,0.6833110739318777,0.13879134770741303,30.0
1,0.6935542204610093,0.1385789307897344,30.0
2,0.694926637587083,0.13956568769214453,30.0
3,0.691309853869533,0.1394284907268082,30.0
4,0.6889528769482749,0.13978580897927162,30.0
5,0.6896788835162165,0.1403609151887883,30.0
6,0.6944275183367916,0.14074365306596653,30.0
7,0.6810529636572733,0.14078367554805427,30.0
8,0.6881977704286429,0.1413077632798443,30.0
9,0.5963350239612816,0.15250316554515125,30.0
10,0.6908912915280663,0.13918890290803757,30.0
11,0.6665054631989369,0.1348068658581502,30.0
12,0.5495907496660583,0.18219584474700617,40.0
13,0.5001924156254646,0.18509775646728785,40.0
14,0.44481953558039106,0.1544698956389242,60.0
15,0.11631499504589626,0.29162169187169634,50.0
16,0.041983250467245214,0.18283630992071345,50.0
17,0.06978966048229072,0.5729974061273957,50.0
18,0.11869869611890403,0.35696674028988973,50.0
19,0.0603125668281071,0.22066478041937354,50.0
20,0.003588836137173329,1.025217024295618,50.0
21,0.003485710473023507,0.5627985621290057,50.0
22,0.00160706923832955,0.47982128763236764,50.0
23,0.0008661454064490486,0.436635420483445,50.0
24,0.001375966094341135,0.37064115603301395,50.0
25,0.0008150147421029641,0.3463878088608287,50.0
26,0.0005610787997702385,0.31053487743559555,50.0
27,0.0006764865406124199,0.44829106994040807,50.0
28,0.00020400647137109636,0.6564546257144347,40.0
29,0.00029191522890360247,0.31666613327162013,50.0
30,0.00032148148014120233,0.3178678046851036,50.0
31,0.0003466866740312613,0.33388916223602894,50.0
32,0.00018402058573202543,0.34643728518298406,50.0
33,0.00014956129124283807,0.3401877144873261,50.0
34,0.00016771742210008682,0.31864160235935846,50.0
35,0.00023980387074977433,0.34503317171656434,50.0
36,0.00013043943327286836,0.32275105866070253,50.0
37,0.00017601344447123644,0.3296986845222873,50.0
38,0.0002628745938048745,0.4217174635446491,50.0
39,0.0002688108198882326,0.34964130792573245,50.0
40,0.00022109117090408779,0.6243319358693911,50.0
41,0.00020589215752350623,0.4234595743362101,50.0
42,0.0002060020316019403,0.7982131114635568,50.0
43,0.0002040452679291649,0.33344760934199996,50.0
44,0.00015107184423310556,0.6427592000728956,60.0
45,0.0001237517939154787,0.8037926028350695,50.0
46,9.758050159723368e-05,0.4272292621702656,60.0
47,9.956981448252134e-05,0.641203131863839,60.0
48,0.00013006377092924162,0.33733994826547786,50.0
49,8.97743358796388e-05,0.7897218975614035,50.0
50,0.00012706018410890688,0.4767386974006252,60.0
51,7.349021001429226e-05,0.4331418521472578,60.0
52,0.00012912234101796087,0.4410386024489547,50.0
53,8.118543131025764e-05,0.3448232721027139,60.0
54,0.00010152444931553272,0.43967736012490033,60.0
55,8.466353517392975e-05,0.3834193714328838,60.0
56,8.951296369358971e-05,0.8211868141740621,60.0
57,5.874379397909129e-05,0.5609583729218738,50.0
58,7.892402454745984e-05,0.4586831663390904,60.0
59,7.469030700924957e-05,0.36855897019998646,60.0
60,4.7965876456795194e-05,0.824198211836013,60.0
61,5.194287414589618e-05,0.8220405492493275,50.0
62,7.283353952665657e-05,0.46004099230612694,60.0
63,5.054700357188447e-05,0.3654402967472198,60.0
64,6.130280950511592e-05,0.38140382947518237,50.0
65,3.6987365391041944e-05,0.38687272003995016,60.0
66,3.1672403481242826e-05,0.4976239831098142,60.0
67,5.224651690596259e-05,0.4886462536926407,60.0
68,4.019902221607072e-05,0.4821917006300268,50.0
69,3.7891829271357624e-05,0.8517142223049113,60.0
70,3.553877323506697e-05,0.9837232645218268,60.0
71,3.200687210110502e-05,0.9655441863102441,60.0
72,3.3449153781778684e-05,0.5001611938237305,60.0
73,3.0077679956658148e-05,0.7145437955922394,60.0
74,3.095993269345219e-05,0.372805023543333,60.0
75,2.9571999847697914e-05,0.5184749151069749,60.0
76,3.4893273491817165e-05,0.3723691571165663,60.0
77,2.5921126285685625e-05,1.0048127088135166,60.0
78,2.401248627077378e-05,0.5073019218674011,60.0
79,2.4200986663576903e-05,0.38277490792109037,60.0
80,1.680755355832741e-05,0.48963689774238767,60.0
81,2.2741412439943734e-05,0.8885315511787637,60.0
82,1.9581532511094618e-05,0.4071393133400174,60.0
83,1.3717760771921188e-05,0.8881133996263875,60.0
84,1.822826610742905e-05,0.921154479391927,60.0
85,1.1569840161532195e-05,0.9280462207413308,60.0
86,1.5108038804237303e-05,0.855297780160539,50.0
87,1.7607021367258578e-05,0.3866186005360663,60.0
88,1.2119829713770839e-05,0.9367224994232082,60.0
89,1.4695693525949879e-05,0.9162757525022306,60.0
90,6.624218495169368e-06,0.38583412296927244,50.0
91,9.095170504934345e-06,0.38932557841047444,60.0
92,1.2645533569661617e-05,0.9168077115655857,60.0
93,1.1020968883845949e-05,0.6519838644559423,60.0
94,1.5307972232019736e-05,0.5130256921212812,60.0
95,1.4627170846462998e-05,0.5190574453570861,50.0
96,1.5450974000413793e-05,0.6562591115192877,60.0
97,6.16809560048304e-06,0.5183646528411497,60.0
98,6.538428685528712e-06,0.5411878489290226,60.0
99,1.0239541043981613e-05,0.5219939959510553,60.0
