,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,0.7031518960354782,0.6905648994003303,57.14285714285714,0.16666666666666666,0.0,0.0,0.0,0.6509890147098908,63.63636363636363,0.75,0.46666666865348816,0.4375,0.5,0.6640558106762696,0.6930599802392023,50.0,0.4666666666666667,0.6573426723480225,0.5,1.0,0.6937346788845736,0.7640706091907156,37.5,0.4,0.5454545617103577,0.375,1.0,1.380323004697433,0.6848250058337936,62.5,0.4666666666666667,0.7692307829856873,0.625,1.0,0.6872383450030537,0.6939000803432345,28.57142857142857,0.5,0.444444477558136,0.2857142984867096,1.0,0.693956478084815,0.6895744384884448,60.0,0.7,0.0,0.0,0.0,0.6149834410568286,0.6933006883974694,50.0,0.25,0.3333333432674408,0.5,0.25,0.6927862430631597,0.6931068500068792,55.55555555555556,0.45,0.38461539149284363,0.3125,0.5,0.6928875029696411,0.6930984707968391,47.368421052631575,0.4166666666666667,0.5909090836842855,0.4444444576899211,0.9166666666666666,0.693695577542378,0.6740826044609003,70.0,0.5833333333333334,0.761904776096344,0.625,1.0,1.200201459272053,0.8698200361260782,40.0,0.26666666666666666,0.0,0.0,0.0,0.5858613458899354,0.6149340231192957,70.0,0.65,0.8846153914928436,0.8125,1.0,0.7688679993392975
1,0.6935237984507494,0.7070100754366665,42.857142857142854,0.5,0.5999999642372131,0.4285714328289032,1.0,0.6746516464260914,63.63636363636363,0.59375,0.8333333432674408,0.75,1.0,0.6000687558438808,0.693165682230473,50.0,0.4,0.0,0.0,0.0,0.6934811951699912,0.6401428282314932,62.5,0.7333333333333333,0.0,0.0,0.0,0.9238206428644081,0.6925227137365368,62.5,0.6666666666666666,0.7692307829856873,0.625,1.0,0.7191374096368052,0.6447570640477062,71.42857142857143,0.3,0.0,0.0,0.0,0.6575547122675921,0.6906085876414673,50.0,0.45833333333333337,0.0,0.0,0.0,0.8048744315768643,0.6942068317766524,50.0,0.25,0.0,0.0,0.0,0.6711336422126033,0.7081457222455019,44.44444444444444,0.46875,0.0,0.0,0.0,0.705856927847365,0.6931364308923738,52.63157894736842,0.37777777777777777,0.47863248984018963,0.375,0.6666666666666666,0.6934767805212205,0.6936141444603976,30.0,0.5,0.0,0.0,0.0,0.6910975441556422,0.7096209805745283,40.0,0.5625,0.0,0.0,0.0,0.7680058065161461,0.6236582100000021,70.0,0.3333333333333333,0.761904776096344,0.625,1.0,0.9139040708441117
2,0.6816138036953971,0.6999651125831454,42.857142857142854,0.5833333333333334,0.5999999642372131,0.4285714328289032,1.0,0.6922749306368213,63.63636363636363,0.41666666666666663,0.6785714328289032,0.5416666716337204,1.0,0.6920743158112224,0.6931462655472544,50.0,0.5,0.6666666865348816,0.5,1.0,0.6949106969233595,0.7799311159731093,37.5,0.5333333333333333,0.5454545617103577,0.375,1.0,0.8111402549158091,0.6934013852643266,37.5,0.6666666666666666,0.0,0.0,0.0,0.8542332956620954,0.6031825198211178,71.42857142857143,0.8,0.0,0.0,0.0,0.6918720877317843,0.7010642965185813,50.0,0.5625,0.3333333432674408,0.25,0.5,0.7339552623158999,0.8037265293713471,50.0,0.4375,0.0,0.0,0.0,0.6724726505271625,0.6993716639832395,44.44444444444444,0.4375,0.0,0.0,0.0,0.6931797169232723,0.693160487037818,47.368421052631575,0.6666666666666666,0.6048951148986816,0.4444444477558136,1.0,0.6912091188989188,0.6780458714517558,70.0,0.08333333333333333,0.761904776096344,0.625,1.0,0.69336052723466,0.7046406707721595,60.0,0.7,0.7179487347602844,0.5625,1.0,0.6567821291716798,0.6903226569747625,70.0,0.8333333333333333,0.761904776096344,0.625,1.0,0.6830743162274221
3,0.6356845786983021,0.6985734897242922,57.14285714285714,0.4166666666666667,0.0,0.0,0.0,0.6934807350875953,36.36363636363637,0.45833333333333337,0.0,0.0,0.0,0.7034899014319586,0.693250522322912,56.25,0.4666666666666667,0.6333333551883698,0.550000011920929,0.800000011920929,0.6930270391188805,0.6962641710567776,62.5,0.26666666666666666,0.0,0.0,0.0,0.7209103353351506,0.692463028471127,62.5,0.4666666666666667,0.7692307829856873,0.625,1.0,0.6935316299764009,0.5633098496976662,71.42857142857143,0.9,0.0,0.0,0.0,0.6424479355162706,0.6603873239601684,60.0,0.7333333333333334,0.0,0.0,0.0,0.6989760788378684,0.6933403668281165,50.0,0.125,0.0,0.0,0.0,0.8428467175284393,0.693293741693843,44.44444444444444,0.46875,0.0,0.0,0.0,0.6931047462015039,0.692902257281283,52.63157894736842,0.5222222222222223,0.0,0.0,0.0,0.6909199346226172,0.6934884580098816,30.0,0.45,0.0,0.0,0.0,0.6940506518875177,0.6711636396138619,60.0,0.5625,0.8333333432674408,0.75,1.0,0.6945722648241356,0.6144760157374887,70.0,0.5833333333333333,0.8846153914928436,0.8125,1.0,0.5649361813602377
4,0.7437667096838182,0.6885755582857028,42.857142857142854,0.4166666666666667,0.0,0.0,0.0,0.6593272478416353,63.63636363636363,0.46875,0.8333333432674408,0.75,1.0,0.6541029598910081,0.6932199035286906,50.0,0.6666666666666666,0.0,0.0,0.0,0.6920498395577727,0.6095108440945298,62.5,0.8666666666666667,0.0,0.0,0.0,0.6601027027885908,0.6958311261981698,62.5,0.6666666666666666,0.7692307829856873,0.625,1.0,0.7443773832980735,0.6085118798161094,71.42857142857143,0.7,0.0,0.0,0.0,0.5157341786750211,0.6864522823483971,60.0,0.7666666666666666,0.0,0.0,0.0,0.651125784778314,0.7170459048940765,37.5,0.375,0.2857142686843872,0.3333333432674408,0.25,0.7854212136547084,0.6935496324714829,44.44444444444444,0.48333333333333334,0.0,0.0,0.0,0.6966394185232581,0.6932979760873842,47.368421052631575,0.5,0.44102564454078674,0.380952388048172,0.5555555621782938,0.6925402373506349,0.6535635660577875,70.0,0.16666666666666666,0.761904776096344,0.625,1.0,0.9184720020292352,0.7253522656131333,40.0,0.5833333333333333,0.1428571492433548,0.5,0.0833333358168602,0.647053904762111,0.8684161397988666,30.0,0.4583333333333333,0.0,0.0,0.0,0.9263023224395842
5,0.6932080138624911,0.6934059849698336,42.857142857142854,0.4166666666666667,0.5,0.4000000059604645,0.6666666865348816,0.6814407253524788,54.54545454545454,0.3,0.6136363744735718,0.5833333432674408,0.6500000059604645,0.6686510963499582,0.693153678824869,50.0,0.5625,0.20000000298023224,0.5,0.125,0.6928887900219254,1.1226617607692926,37.5,0.5333333333333333,0.5454545617103577,0.375,1.0,0.5853297766528103,0.6681094717470241,62.5,0.7333333333333333,0.7692307829856873,0.625,1.0,0.6163276000730189,0.6450008568307749,57.14285714285714,0.8,0.4000000059604645,0.3333333432674408,0.5,0.668065451997803,0.7371961437102821,50.0,0.36666666666666664,0.29999998211860657,0.2142857164144516,0.5,0.5148662542032091,0.7027167779631809,37.5,0.375,0.444444477558136,0.4000000059604645,0.5,0.7204898481184624,0.692873401489442,55.55555555555556,0.5625,0.800000011920929,0.75,0.875,0.6932485623984652,0.6933686425296548,47.368421052631575,0.4444444444444444,0.5857142905394236,0.4444444477558136,1.0,0.6926681220048129,0.6906520463557115,70.0,0.125,0.761904776096344,0.625,1.0,0.7010840641881113,0.7340821319654004,50.0,0.3,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.5026674117159259,0.5605289740979652,70.0,0.55,0.8846153914928436,0.8125,1.0,0.551083891502064
6,0.6926806238380286,0.6930863774517811,57.14285714285714,0.4166666666666667,0.0,0.0,0.0,0.6842095387515732,63.63636363636363,0.375,0.6785714328289032,0.5416666716337204,1.0,0.8152477085884596,0.6933284300067448,50.0,0.4166666666666667,0.6285714358091354,0.5,1.0,0.694057465535167,0.6256209626981345,62.5,0.8,0.0,0.0,0.0,0.567761062328348,0.645222126809799,62.5,0.6666666666666666,0.7692307829856873,0.625,1.0,0.5938470910257214,0.6377806632319096,71.42857142857143,0.6,0.0,0.0,0.0,0.6659893671394519,0.9524711942835916,60.0,0.7666666666666666,0.0,0.0,0.0,0.30273076097619267,0.746663153891216,50.0,0.375,0.0,0.0,0.0,0.6440146606995006,0.6930104680681461,55.55555555555556,0.53125,0.800000011920929,0.75,0.875,0.6896835096572536,0.6910695111214957,63.1578947368421,0.5388888888888889,0.603174606959025,0.6944444477558136,0.5833333333333334,0.6920061673604913,0.6915197033029289,70.0,0.3833333333333333,0.8846153914928436,0.8125,1.0,0.6942667990132835,0.6915081989183144,40.0,0.7666666666666666,0.5555555820465088,0.5,0.7000000029802322,0.7226409892444021,0.7712846141160494,70.0,0.6071428571428572,0.46666666865348816,0.4375,0.5,0.5255092826481014
7,0.6908712186712634,0.6930987372722278,42.857142857142854,0.6666666666666666,0.5999999642372131,0.4285714328289032,1.0,0.67663017654147,63.63636363636363,0.59375,0.6857142746448517,0.8333333432674408,0.5833333432674408,0.6950360425178529,0.6933971107018331,50.0,0.5,0.0,0.0,0.0,0.6945751869950121,0.5419348793807013,75.0,0.9333333333333333,0.5,1.0,0.3333333432674408,0.7722046716380502,0.6916183880166619,62.5,0.8,0.7692307829856873,0.625,1.0,0.6348025326007065,0.8175018010067029,42.857142857142854,0.5,0.5,0.3333333432674408,1.0,0.6657761369003918,0.7880173705304461,60.0,0.5,0.0,0.0,0.0,0.6968603758606099,0.681003587814667,50.0,0.375,0.6666666865348816,0.5,1.0,0.6911409830491868,0.6932841068039672,44.44444444444444,0.45,0.3333333432674408,0.2857142984867096,0.4000000059604645,0.6567662789000742,0.7185838107342367,47.368421052631575,0.32222222222222224,0.42222221692403156,0.3095238109429677,0.6666666666666666,0.6939091577973207,0.6940691390861897,30.0,0.55,0.0,0.0,0.0,0.694661980133398,0.7343959947140244,40.0,0.3333333333333333,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.6431982534524939,0.9312881816324466,30.0,0.65,0.0,0.0,0.0,0.8934721235709193
8,0.6837741613454736,0.694070403585531,57.14285714285714,0.3333333333333333,0.0,0.0,0.0,0.7249770499843764,45.45454545454545,0.8333333333333333,0.3333333432674408,0.5,0.25,0.6945196991613966,0.6932293116616594,50.0,0.5,0.1428571492433548,0.5,0.0833333358168602,0.6962470474281841,0.5624388431875932,75.0,0.9333333333333333,0.6666666865348816,0.6666666865348816,0.6666666865348816,1.0809262995631652,0.6359397094504591,62.5,0.6666666666666666,0.7692307829856873,0.625,1.0,0.6886797854022724,0.5304116615211885,71.42857142857143,0.9,0.0,0.0,0.0,0.5483528809084399,1.1646126597170245,60.0,0.40625,0.0,0.0,0.0,0.21710738369589175,0.7125025585464089,62.5,0.3125,0.4000000059604645,1.0,0.25,0.5375830706959357,0.6931040117524787,44.44444444444444,0.53125,0.0,0.0,0.0,0.6938344158685887,0.8781423378731156,52.63157894736842,0.6888888888888888,0.0,0.0,0.0,0.6901963619678154,0.6905539523255092,70.0,0.3214285714285714,0.46666666865348816,0.4375,0.5,0.6918374336680368,1.4938449700025251,40.0,0.8,0.0,0.0,0.0,0.9818245688857442,1.2879441642507756,40.0,0.6166666666666667,0.1666666567325592,0.5,0.10000000149011612,0.54160165069745
