,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,0.7291713671289886,0.6917531918466865,33.33333333333333,0.75,0.7000000029802322,0.625,1.0,0.7325171079908508,30.0,0.45,0.0,0.0,0.0,0.8663988165369007,0.7167657236756529,54.54545454545454,0.13333333333333333,0.0,0.0,0.0,0.9035573562405471,0.6929876560274423,53.333333333333336,0.5208333333333333,0.0,0.0,0.0,0.6930751228371802,0.7055168524923852,57.14285714285714,0.3333333333333333,0.0,0.0,0.0,0.651939025757893,0.6616377582635627,71.42857142857143,0.1,0.8333333730697632,0.7142857313156128,1.0,0.6619968534084898,0.6985707685514887,50.0,0.5555555555555556,0.0,0.0,0.0,0.546132330131866,0.6876699044460042,57.14285714285714,0.9166666666666666,0.0,0.0,0.0,0.7196654451065155,0.6560320972136254,57.14285714285714,0.8333333333333334,0.7272727489471436,0.5714285969734192,1.0,0.6921450704321682,0.6871047605908731,50.0,0.8125,0.6666666865348816,0.5,1.0,0.7086490622849233,0.693136625282017,55.55555555555556,0.43333333333333335,0.0,0.0,0.0,0.6933384599564967,0.7131275586312033,50.0,0.48333333333333334,0.38461539149284363,0.3125,0.5,0.5916618485560433,0.692272410010484,70.0,0.41666666666666663,0.8846153914928436,0.8125,1.0,0.6937647458619517,0.6929462311483718,70.0,0.5357142857142857,0.46666666865348816,0.4375,0.5,0.6921434043276067
1,0.7846100442338283,0.6754801168893877,66.66666666666666,0.6166666666666667,0.0,0.0,0.0,0.6821941918999865,70.0,0.6166666666666667,0.8846153914928436,0.8125,1.0,0.713067047168535,0.6994374550530693,54.54545454545454,0.41666666666666663,0.0,0.0,0.0,0.8644448073769422,0.6850888555715503,53.333333333333336,0.5208333333333334,0.0,0.0,0.0,0.6996246663216175,0.7043609392992958,57.14285714285714,0.3333333333333333,0.0,0.0,0.0,0.7494253960884302,0.6576455036273534,71.42857142857143,0.3,0.8333333730697632,0.7142857313156128,1.0,0.7055007926552106,0.6964515089189628,33.33333333333333,0.5555555555555556,0.0,0.0,0.0,0.7700800773751032,0.679042173373107,57.14285714285714,0.9166666666666666,0.0,0.0,0.0,0.6904557294196958,0.6578931248177632,57.14285714285714,0.8333333333333334,0.7272727489471436,0.5714285969734192,1.0,0.6284694190399873,0.6884914508283859,50.0,0.9375,0.6666666865348816,0.5,1.0,0.6929843713129394,0.6930543495134579,55.55555555555556,0.17361111111111108,0.0,0.0,0.0,0.6929644467436058,0.708523140301567,50.0,0.75,0.6666666865348816,0.5,1.0,0.6425645777564167,0.6929323654199198,70.0,0.75,0.8846153914928436,0.8125,1.0,0.6931968813523575,0.6932253959521297,30.0,0.9166666666666667,0.0,0.0,0.0,0.6928152577683107
2,0.6856273273353181,0.6777703069630888,66.66666666666666,0.31666666666666665,0.0,0.0,0.0,0.6781457908002627,70.0,0.39285714285714285,0.46666666865348816,0.4375,0.5,0.7257566099543744,0.6953390151012498,54.54545454545454,0.48333333333333334,0.0,0.0,0.0,0.7554852590173768,0.6861568489168363,53.333333333333336,0.65,0.0,0.0,0.0,0.8754765995575932,0.7028271141257474,57.14285714285714,0.25,0.0,0.0,0.0,0.6899022505649923,0.6598695172883501,71.42857142857143,0.5,0.8333333730697632,0.7142857313156128,1.0,0.7132683344413101,0.6960122739992158,50.0,0.5555555555555556,0.0,0.0,0.0,0.9283433805867616,0.7068613846002146,57.14285714285714,0.3333333333333333,0.0,0.0,0.0,0.4789995464542758,0.6607850040495725,57.14285714285714,0.75,0.7272727489471436,0.5714285969734192,1.0,0.6929366663678517,0.686559981414285,50.0,0.9375,0.6666666865348816,0.5,1.0,0.6930761382690035,0.6930396552603748,55.55555555555556,0.17777777777777778,0.0,0.0,0.0,0.6939228705701945,0.7032507503794407,50.0,0.75,0.6666666865348816,0.5,1.0,0.6267509192548109,0.6933823241603576,30.0,0.75,0.0,0.0,0.0,0.6934087394393631,0.692391315695249,70.0,0.45,0.8846153914928436,0.8125,1.0,0.6936085798847638
3,0.7863405468646446,0.792983685248077,33.33333333333333,0.75,0.7000000029802322,0.625,1.0,0.6936209886769432,30.0,0.45,0.0,0.0,0.0,0.693240738194403,0.692779240738401,45.45454545454545,0.65,0.6727272868156433,0.5208333432674408,1.0,0.6703654889384963,0.7423816234583202,46.666666666666664,0.5416666666666667,0.5535714328289032,0.4464285746216774,1.0,0.7283373154047931,0.6934908557925114,42.857142857142854,0.25,0.0,0.0,0.0,0.6934725423838914,0.5970033871852175,71.42857142857143,0.4,0.8333333730697632,0.7142857313156128,1.0,0.6419176856095681,0.6857116228724668,50.0,0.7777777777777778,0.0,0.0,0.0,0.7081344294445995,0.6926753336578874,42.857142857142854,0.8333333333333334,0.5999999642372131,0.4285714328289032,1.0,0.6985843124741364,0.9394311020179299,42.857142857142854,0.16666666666666666,0.0,0.0,0.0,0.658753160804087,0.6928518972773503,50.0,0.875,0.6666666865348816,0.5,1.0,0.6929425884087707,0.6904020461030929,55.55555555555556,0.47222222222222227,0.0,0.0,0.0,0.6942271317176194,0.9027796801365131,50.0,0.5166666666666666,0.38461539149284363,0.3125,0.5,1.0481535292184994,0.6955673762451088,30.0,0.4583333333333333,0.0,0.0,0.0,0.6950037176606292,1.7812704039072602,30.0,0.6166666666666667,0.0,0.0,0.0,0.6249541725404049
4,0.6665645231605045,0.7210532499221718,33.33333333333333,0.65,0.27272728085517883,0.1875,0.5,0.6923036286330785,70.0,0.5166666666666666,0.8846153914928436,0.8125,1.0,0.692944613266174,0.7236317296399725,54.54545454545454,0.23333333333333334,0.0,0.0,0.0,0.5652297617871567,0.6930776817454432,53.333333333333336,0.6166666666666667,0.0,0.0,0.0,0.7499244461403153,0.7539844345657022,42.857142857142854,0.75,0.5999999642372131,0.4285714328289032,1.0,0.7629639458608147,0.6926831089100874,71.42857142857143,0.9,0.8000000715255737,0.800000011920929,0.800000011920929,0.6925936546871041,0.6926034786310532,66.66666666666666,0.8888888888888888,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.7853949085414491,0.6687370697823365,57.14285714285714,0.9166666666666666,0.0,0.0,0.0,0.7681730570520932,0.8796493111677675,42.857142857142854,0.16666666666666666,0.0,0.0,0.0,0.7210819852474546,0.6934595454512665,50.0,0.1875,0.0,0.0,0.0,0.7532048201869697,0.6930947446435182,55.55555555555556,0.375,0.0,0.0,0.0,0.6932118362372097,0.6762691559616182,60.0,0.75,0.20000000298023224,0.5,0.125,0.786247709592631,0.6936938995566321,30.0,0.8333333333333333,0.0,0.0,0.0,0.6912690930904368,0.6858355271801748,70.0,0.6785714285714286,0.4166666865348816,0.5,0.3571428656578064,0.7294678765614178
5,0.6167465446448217,0.7091089293367724,66.66666666666666,0.25,0.0,0.0,0.0,0.7038383653168652,30.0,0.45,0.0,0.0,0.0,0.6925523787345054,0.6947831490442625,54.54545454545454,0.3125,0.0,0.0,0.0,0.8953671682196109,0.7538009280949958,53.333333333333336,0.6,0.0,0.0,0.0,1.1374438212889142,0.6894902819846467,57.14285714285714,0.25,0.0,0.0,0.0,0.8308590374789242,0.6171409679218488,71.42857142857143,0.5,0.8333333730697632,0.7142857313156128,1.0,0.6531911232944354,0.689339734404579,33.33333333333333,0.3333333333333333,0.0,0.0,0.0,0.986354044686338,0.6669136050529876,57.14285714285714,0.75,0.0,0.0,0.0,0.690218948464738,0.6518504903128524,57.14285714285714,0.8333333333333334,0.7272727489471436,0.5714285969734192,1.0,0.7029511471900338,0.7853787268123613,50.0,0.125,0.0,0.0,0.0,0.673304017478721,0.6930847361482999,44.44444444444444,0.8833333333333333,0.6119658251603445,0.4583333333333333,1.0,0.6934181349646824,0.7049336671768135,50.0,0.375,0.6666666865348816,0.5,1.0,0.763004359133246,0.6934859726358958,30.0,0.6833333333333333,0.0,0.0,0.0,0.6929079292274953,0.6244507396972614,70.0,0.41666666666666663,0.8846153914928436,0.8125,1.0,0.6403988234269942
6,0.9023747404619058,0.712678449925551,33.33333333333333,0.625,0.7000000029802322,0.625,1.0,0.6828588769251558,60.0,0.55,0.8333333432674408,0.7857142984867096,0.9000000059604645,1.1783250735316289,0.6929549582674874,72.72727272727273,0.875,0.3333333432674408,0.5,0.25,0.8732246879135825,0.6898748182561218,53.333333333333336,0.55,0.0,0.0,0.0,0.6693137592409858,0.6915659332193516,57.14285714285714,0.3333333333333333,0.0,0.0,0.0,0.6852738557807116,0.6516451200256687,71.42857142857143,0.3,0.8333333730697632,0.7142857313156128,1.0,0.6167060561880849,0.6929265020040062,50.0,0.7777777777777778,0.6666666865348816,0.5,1.0,0.6969908114412078,0.6592562356664733,71.42857142857143,0.9166666666666666,0.5,1.0,0.3333333432674408,0.6916128222036393,0.6688829936391318,42.857142857142854,1.0,0.0,0.0,0.0,0.6944876061507205,0.6921913492373365,50.0,0.8125,0.6666666865348816,0.5,1.0,0.6897870504189454,0.6927071844772439,55.55555555555556,0.513888888888889,0.0,0.0,0.0,0.6868711823421103,0.8475802539289571,50.0,0.8125,0.0,0.0,0.0,0.6773077067723771,0.6957433530156107,30.0,0.5166666666666666,0.0,0.0,0.0,0.6906392852811678,0.6942939164228943,30.0,0.3333333333333333,0.0,0.0,0.0,0.693075152825219
7,1.015051358478514,0.7326255997768154,66.66666666666666,0.2833333333333333,0.0,0.0,0.0,0.6344879295364751,70.0,0.5166666666666666,0.8846153914928436,0.8125,1.0,0.8937152624725955,0.6909004077631878,45.45454545454545,0.875,0.0,0.0,0.0,0.6921316928990212,0.6875706943118158,53.333333333333336,0.6166666666666667,0.222222238779068,0.25,0.20000000298023224,0.6926059875800504,0.8403202417491561,57.14285714285714,0.25,0.0,0.0,0.0,0.7780127506608969,0.5870537225009161,71.42857142857143,0.6,0.8333333730697632,0.7142857313156128,1.0,0.636742721632619,0.6927970161003304,50.0,0.7777777777777778,0.6666666865348816,0.5,1.0,0.6925456704787977,0.6553323250286519,57.14285714285714,0.8333333333333334,0.0,0.0,0.0,0.5689904279501317,0.7020095965874914,57.14285714285714,0.25,0.7272727489471436,0.5714285969734192,1.0,0.5720332059435205,0.6771924740780356,50.0,0.8125,0.6666666865348816,0.5,1.0,0.6925585023821826,0.6926424611371655,55.55555555555556,0.4791666666666667,0.0,0.0,0.0,0.6927797248436584,0.7651477841926987,50.0,0.5833333333333333,0.38461539149284363,0.3125,0.5,0.6578385557608522,0.7370547263695417,30.0,0.45,0.0,0.0,0.0,0.60692943195638,0.6411906766405231,70.0,0.4583333333333333,0.761904776096344,0.625,1.0,0.611124545513674
8,0.8730646236702404,0.7665958357274487,66.66666666666666,0.5,0.0,0.0,0.0,0.6843361737546299,80.0,0.75,0.7948718070983887,0.6785714328289032,1.0,0.7308503518230358,0.6638676349548344,54.54545454545454,0.8125,0.0,0.0,0.0,0.6262569912171234,0.686450771444174,46.666666666666664,0.55,0.5111111253499985,0.4583333432674408,0.6000000014901161,0.7781959850018576,0.6937570454008662,42.857142857142854,0.4166666666666667,0.5999999642372131,0.4285714328289032,1.0,0.6197403167712594,0.5369192946204585,71.42857142857143,0.8,0.8333333730697632,0.7142857313156128,1.0,0.6195105868602973,0.6211782360186566,66.66666666666666,0.8888888888888888,0.5,1.0,0.3333333432674408,0.7475724865612969,0.775314905888199,57.14285714285714,0.8333333333333334,0.0,0.0,0.0,0.5329836265887088,0.8218842280413894,28.57142857142857,0.0,0.0,0.0,0.0,0.6286575839060413,0.6927693802999093,75.0,1.0,0.6666666865348816,1.0,0.5,0.7119378961033274,0.6787240476643953,55.55555555555556,0.6986111111111111,0.0,0.0,0.0,0.6094462620598802,0.6993312361049329,50.0,0.4375,0.6666666865348816,0.5,1.0,0.5899095551934543,0.692651736863199,80.0,0.5833333333333334,0.9285714328289032,0.875,1.0,0.6913820055040736,0.5716292287214505,70.0,0.5166666666666666,0.8846153914928436,0.8125,1.0,0.5926491043942707
