,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,SZ,SZ,SZ,SZ,SZ,SZ,SZ,ASD,ASD,ASD,ASD,ASD,ASD,ASD,BIP,BIP,BIP,BIP,BIP,BIP,BIP,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,0.6931680227034632,0.6929606417521131,57.14285714285714,0.59375,0.7333333492279053,0.5833333432674408,1.0,0.6657328483080522,63.77952755905512,0.711346726190476,0.5207341350615025,0.5187500044703484,0.5812500063329935,0.7395408987052072,0.6930755222729882,51.59574468085106,0.5306547619047618,0.47118206198016804,0.5368055626749992,0.47291667635242146,0.6935407321308841,0.6173241219929407,67.74193548387096,0.48154761904761906,0.0,0.0,0.0,0.6656215741908885,0.7084183628141137,52.94117647058824,0.4375,0.0,0.0,0.0,0.6847441035310238,0.6864567023396533,62.5,0.5333333333333333,0.0,0.0,0.0,0.8787018675826279,0.6990288327292236,33.33333333333333,0.75,0.533333346247673,0.375,1.0,0.6929633609652375,0.6931631065561905,50.0,0.41666666666666663,0.0,0.0,0.0,0.6934596703935818,0.6991047158831251,28.57142857142857,0.2,0.444444477558136,0.2857142984867096,1.0,0.7407154233850382,0.6930943957742017,56.09756097560976,0.5825396825396826,0.1296296368042628,0.25,0.0892857164144516,0.7151577186591989
1,0.692479887458997,0.7283659407965263,57.14285714285714,0.5444444444444444,0.7179487347602844,0.5625,1.0,0.6456351224745995,66.14173228346458,0.6990699404761904,0.19791666977107525,0.4375,0.13020833395421505,0.794693075632897,0.6932406812832654,47.87234042553192,0.5182291666666666,0.0932539701461792,0.1875,0.06428571542104085,0.698427339110299,0.7875543938879989,67.74193548387096,0.7166666666666667,0.0,0.0,0.0,1.0911811146886214,0.853739801837722,52.94117647058824,0.4791666666666667,0.0,0.0,0.0,0.6514471149360903,1.0150628351146185,37.5,0.13333333333333333,0.5454545617103577,0.375,1.0,0.5108463080358967,0.6999000686680793,33.33333333333333,0.6333333333333333,0.45000000298023224,0.3095238208770752,0.8333333432674408,0.6925281834984678,0.804414573295461,30.0,0.3214285714285714,0.6111111119389534,0.5625,1.0,0.6623993622823766,0.6946136115969448,28.57142857142857,0.2,0.444444477558136,0.2857142984867096,1.0,0.6802149408132925,0.693015611128687,58.536585365853654,0.5694444444444445,0.14285714427630106,0.16666666666666666,0.125,0.7144754623025664
2,0.7180759978568041,0.6922879186830089,57.14285714285714,0.7222222222222222,0.619047611951828,0.625,0.6333333551883698,0.6594120950336443,57.48031496062992,0.771875,0.6019029729068279,0.4833333436399698,0.8541666679084301,0.7154919776926744,0.6931265019197688,50.0,0.5517361111111112,0.44379810492197674,0.5770833361893892,0.40694444812834263,0.6934708629670983,0.5206154668660525,70.96774193548387,0.8697916666666666,0.10000000149011612,0.25,0.0625,0.5645981971536472,0.6753331648992879,52.94117647058824,0.5722222222222223,0.6833333571751913,0.6555555611848831,0.7666666706403097,0.6862574199952004,0.6496148422429784,62.5,0.7333333333333333,0.0,0.0,0.0,0.7471809072727662,0.6937124930461994,41.66666666666667,0.7,0.5227272808551788,0.3541666716337204,1.0,0.6940903003533954,0.7003686967713698,30.0,0.25,0.6111111119389534,0.5625,1.0,0.7082214125776807,0.6963881679316728,28.57142857142857,0.1,0.444444477558136,0.2857142984867096,1.0,0.6925536972177111,0.6913830364563155,53.65853658536586,0.6465277777777777,0.4794372270504634,0.4047619079550107,0.725000003973643,0.7279546834630072
3,0.7328639424044496,0.6550756425274511,64.28571428571429,0.8125,0.6333333551883698,0.875,0.5,0.5474621513828273,70.07874015748031,0.7864583333333335,0.5512400791049004,0.6197916679084301,0.5708333402872086,0.3015405953821114,0.6934081856945393,46.27659574468085,0.4206597222222223,0.0,0.0,0.0,0.6944754761825842,0.42548698697336285,83.87096774193549,0.9416666666666668,0.568452388048172,0.6500000059604645,0.5625,0.7307467818765166,0.6530820083762595,58.82352941176471,0.625,0.4722222288449605,0.4166666666666667,0.5833333333333334,0.5919816046404262,0.6166793016580512,62.5,0.6666666666666666,0.0,0.0,0.0,0.6688650223402242,0.7156447683900978,58.333333333333336,0.5416666666666667,0.3333333432674408,0.25,0.5,0.6421504381552345,0.8831687744627225,30.0,0.6071428571428572,0.6111111119389534,0.5625,1.0,0.7682830492757909,0.7068647348323688,71.42857142857143,0.4,0.0,0.0,0.0,0.6930395362940748,0.7523497788753072,43.90243902439025,0.6361111111111111,0.5151515305042267,0.375,0.8333333333333334,0.8107969916441065
4,0.6947198715913637,0.6934933807721698,57.14285714285714,0.71875,0.5714285671710968,0.6666666716337204,0.5,0.6342817593512847,69.29133858267717,0.7955729166666666,0.37529762275516987,0.6354166679084301,0.27604166977107525,0.736021842281306,0.693356458745466,46.27659574468085,0.4934027777777777,0.0,0.0,0.0,0.6899396769910711,0.6365383742630222,74.19354838709677,0.8666666666666667,0.3500000014901161,0.5,0.3125,0.34588252017086557,0.7208740953033621,58.82352941176471,0.5444444444444444,0.24444443980852762,0.5,0.17777778208255768,0.6305449889553584,0.6046399725261359,62.5,0.8,0.0,0.0,0.0,0.7582643468938715,0.8687285030500703,33.33333333333333,0.7333333333333334,0.47272728383541107,0.3125,1.0,0.6893051827188611,0.7708823134153604,30.0,0.4642857142857143,0.6111111119389534,0.5625,1.0,0.7007621500750008,0.6950606469312551,14.285714285714285,0.2,0.25,0.1666666716337204,0.5,0.6931982620393866,0.6895102747334831,46.34146341463415,0.6118055555555556,0.6635586669047674,0.5297619054714838,1.0,0.7574654237393277
5,0.689309562743393,0.7027348783272128,57.14285714285714,0.5,0.7272727489471436,0.6041666567325592,1.0,0.5412097128678078,73.22834645669292,0.7789062499999999,0.478869054466486,0.7291666679084301,0.3947916701436043,0.44572159664182104,0.6919917092862278,46.808510638297875,0.7193948412698413,0.0138888880610466,0.041666666666666664,0.008333333457509676,0.6938890455313969,0.6044054158996385,67.74193548387096,0.8416666666666667,0.0,0.0,0.0,0.24101180199355518,0.7025484130506838,58.82352941176471,0.5291666666666667,0.26666667064030963,0.5,0.1944444477558136,0.4170990459983644,0.6561404205143692,62.5,0.6,0.0,0.0,0.0,0.7194031741286707,0.8411357787627743,33.33333333333333,0.5416666666666667,0.533333346247673,0.375,1.0,0.6643717414527901,0.7301244816780031,40.0,0.5166666666666666,0.29999998211860657,0.2142857164144516,0.5,0.6836683495205692,0.6841318308241231,14.285714285714285,0.5,0.25,0.1666666716337204,0.5,0.650132411391314,0.682295886724945,51.21951219512195,0.5868055555555555,0.5423465569814047,0.4077380994955699,0.8333333333333334,0.7571121978839195
6,0.8011599419944906,0.6935032834427878,57.14285714285714,0.4375,0.7333333492279053,0.5833333432674408,1.0,0.517911802992317,74.80314960629921,0.8216517857142858,0.6970352604985237,0.6666666697710752,0.7738095298409462,0.15371598076446408,0.6929332268957494,48.40425531914894,0.6555803571428571,0.06398809577027957,0.16666666666666666,0.0406746044754982,0.6951088456748288,0.3697210254549575,77.41935483870968,0.9583333333333333,0.3916666731238365,0.75,0.2708333358168602,0.9690888146393867,0.7123862050782049,58.82352941176471,0.611111111111111,0.7063492238521576,0.6380952447652817,0.8333333333333334,0.8004608900120116,0.5866545339833533,62.5,0.6666666666666666,0.0,0.0,0.0,1.199961559547425,1.0661709466465588,33.33333333333333,0.7,0.47272728383541107,0.3125,1.0,0.6508513489012464,0.8128630156137906,30.0,0.35,0.27272728085517883,0.1875,0.5,0.6702625828143695,0.6950318695618308,28.57142857142857,0.1,0.444444477558136,0.2857142984867096,1.0,0.6926596980477268,0.7094802557213074,43.90243902439025,0.6201388888888889,0.6448773543039957,0.5208333333333334,1.0,0.7336436307041889
7,0.6927056042153159,0.6911746503312185,35.714285714285715,0.3333333333333333,0.4761904776096344,0.4107142984867096,0.5666666775941849,0.5376884850875763,77.95275590551181,0.821577380952381,0.6257440466433764,0.7031250018626451,0.610863097012043,0.8095249551670948,0.6921235532339803,53.191489361702125,0.6421875,0.2586309537291527,0.5694444452722868,0.17192460596561432,0.7026987363335461,0.3661434752436702,77.41935483870968,0.9583333333333334,0.32500000298023224,0.5,0.2500000074505806,0.23060913723862023,0.6764771729497286,64.70588235294117,0.5388888888888889,0.709090918302536,0.6666666766007742,0.7666666706403097,0.3158097648166679,0.6933336930032681,62.5,0.2,0.0,0.0,0.0,1.0088471321977028,0.8283353870785081,58.333333333333336,0.5333333333333333,0.5833333432674408,0.4166666716337204,1.0,0.5817817659768014,0.901053057365113,30.0,0.5166666666666666,0.27272728085517883,0.1875,0.5,0.750002980950685,0.6882825231933462,28.57142857142857,0.6,0.444444477558136,0.2857142984867096,1.0,0.6610913296076891,0.6995407235481695,51.21951219512195,0.579861111111111,0.636952872077624,0.5646825482447942,0.8138888974984487,0.9233960157927324
8,0.692040026783679,0.6933988360969396,50.0,0.46875,0.20000000298023224,0.5,0.125,0.4977009704550037,78.74015748031496,0.78671875,0.6464285682886839,0.7604166716337204,0.6145833376795053,0.514758194203269,0.6853269092056916,53.191489361702125,0.6267857142857142,0.26230158656835556,0.4722222238779068,0.1984127008666595,0.676068464261018,0.3006240645962652,90.32258064516128,0.9791666666666666,0.8388889133930206,0.9166666716337204,0.8250000029802322,0.26600383221983065,0.6430149307936912,64.70588235294117,0.5805555555555556,0.700000007947286,0.8333333333333334,0.6944444477558136,0.07331630535216895,0.6627059672958219,50.0,0.7333333333333333,0.5,0.4000000059604645,0.6666666865348816,0.7115073135881463,0.6395440423652302,58.333333333333336,0.75,0.6428571492433548,0.6000000014901161,0.75,0.5136021495955738,0.943874059106944,30.0,0.39285714285714285,0.6111111119389534,0.5625,1.0,0.68041446684575,0.7120159489160744,14.285714285714285,0.1,0.25,0.1666666716337204,0.5,0.6603634402005021,0.6875057791149723,60.97560975609756,0.5347222222222222,0.3285714288552602,0.4722222288449605,0.2777777810891469,0.5587142542475858
