,SZ,SZ,SZ,SZ,SZ,SZ,SZ
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test
0,0.6313045483691396,0.6004867344550627,64.84375,0.7640252976190477,0.6751963421702385,0.6497023859992623,0.8019345290958881
1,0.3671088851766779,0.6071394699795809,65.625,0.77109375,0.42500000447034836,0.6041666679084301,0.3395833373069763
2,0.6466197782197071,0.577455831853612,67.1875,0.8080729166666668,0.5352182667702436,0.8135416693985462,0.423958339728415
3,0.23188998547376585,0.5363409738142582,73.4375,0.79609375,0.6800324805080891,0.7895833346992731,0.6385416723787785
4,0.28282485035027183,0.6542603485749194,70.3125,0.8046875000000001,0.5920139048248529,0.8354166690260172,0.5052083414047956
5,0.2997581460128607,0.8363232700228379,66.40625,0.8353422619047619,0.502331355586648,0.7708333358168602,0.40014881547540426
6,0.13325396203368894,0.6861209005548555,73.4375,0.8208333333333333,0.7308531831949949,0.7489583399146795,0.7406250089406967
7,0.3651122332166637,0.5446244926946798,71.875,0.806436011904762,0.6408529095351696,0.8427083380520344,0.5633184611797333
8,0.45740382503263205,1.1018455998364627,65.625,0.8356770833333333,0.44702382013201714,0.7375000007450581,0.34375000558793545
9,0.35486670952773586,0.5759219612167716,67.96875,0.7692708333333333,0.667134964838624,0.6431547701358795,0.7291666734963655
10,0.020321750104081618,0.8259345179946399,69.53125,0.8153645833333334,0.6980377435684204,0.6690476266667247,0.7656250037252903
11,0.02337899825136239,1.2628179956424894,67.1875,0.8223958333333334,0.4738095235079527,0.6666666679084301,0.4038690561428666
12,0.6746898614719656,0.9409704353820436,71.875,0.8327380952380953,0.7434596735984087,0.6703869104385376,0.8885416649281979
13,0.01325735872784501,0.924194192783439,75.0,0.8229166666666667,0.6944940611720085,0.8239583373069763,0.6510416772216558
14,0.006943357065406255,1.2201011688661536,72.65625,0.80078125,0.6011589206755161,0.7552083358168602,0.5200892947614193
15,0.037550333746519914,1.3225953203901721,67.96875,0.7936755952380953,0.7231286279857159,0.6627976233139634,0.8666666708886623
