,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP1q21_1,DUP1q21_1,DUP1q21_1
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train
0,0.7114058671935838,0.09828644858694702,57.14285714285714,0.09889558898424064,71.42857142857143,0.6942693444225486
1,0.6939010605979273,0.09898645646407597,50.0,0.09891466390454964,71.42857142857143,0.694314507866328
2,0.6925825744002265,0.09903814631592578,50.0,0.09906970912173331,28.57142857142857,0.6933013009120319
3,0.6924073432673652,0.09902534744930407,42.857142857142854,0.09922182788143237,28.57142857142857,0.6929700808509204
4,0.6108641202780167,0.11150455936643724,42.857142857142854,0.09931049930565117,28.57142857142857,0.6913188179492222
5,0.625843310770854,0.0979271695135699,57.14285714285714,0.1206308879913598,28.57142857142857,0.6869885962120712
6,0.5429059011089058,0.11013814624813596,50.0,0.09860791783009415,28.57142857142857,0.6587684055347095
7,0.44855834411581363,0.09241761975493616,71.42857142857143,0.1505353099200703,28.57142857142857,0.5837377499595097
8,0.16369028980125266,0.11775920720145729,50.0,0.10088617386605177,28.57142857142857,0.73197219019901
9,0.07400786236032844,0.10101566591320323,57.14285714285714,0.09879600009871857,71.42857142857143,0.6947389643076287
10,0.2684351344318776,0.10669086788830086,64.28571428571429,0.09876518452519453,71.42857142857143,0.6974228765316396
11,0.057011240456677485,0.14430445046118293,50.0,0.09894959241413974,57.14285714285714,0.6923069426871713
12,0.037577439993869845,0.12857926693131588,64.28571428571429,0.09958315416153982,28.57142857142857,0.6913125381693949
13,0.00620363759380097,0.11588312839588176,64.28571428571429,0.09994421747406067,28.57142857142857,0.6928690398438896
14,0.006631425764943802,0.14154186215802317,50.0,0.10029050300102912,28.57142857142857,0.6864217482456169
15,0.003473048962048373,0.12024277652743616,71.42857142857143,0.10052269845307471,28.57142857142857,0.6796470844979516
16,0.0020376566371376158,0.14603037007466715,50.0,0.10931403452894324,28.57142857142857,0.6663426114254544
17,0.0025280288649625303,0.1270120809509768,64.28571428571429,0.11660829593987942,28.57142857142857,0.8107626145189881
18,0.0007425375294997965,0.11637243964420088,71.42857142857143,0.10812631357909055,28.57142857142857,0.5871339825253212
