,DEL15q11_2,DEL15q11_2,DEL15q11_2,BIP,BIP,BIP
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train
0,0.6953921479567584,0.09938747763551355,42.857142857142854,0.09766054394835716,68.75,0.4387400455677989
1,0.6942323319336511,0.09925769365107208,42.857142857142854,0.09198358797046677,68.75,0.2504562974185409
2,0.6924712929161418,0.09936234939544879,42.857142857142854,0.08268721995633374,68.75,0.23423851212406252
3,0.6930893559377336,0.09920285403420147,42.857142857142854,0.0772806752182099,68.75,0.352284180523927
4,0.6440640457840829,0.09915111342817323,42.857142857142854,0.06928381555672468,75.0,0.8260944623564761
5,0.5907984785996002,0.10229285891174286,42.857142857142854,0.07620461764333575,71.875,0.37827825366946805
6,0.6928421294155652,0.09891264421107156,50.0,0.07547560666747362,75.0,0.4900180074495985
7,0.725772427630334,0.09808583784413544,45.23809523809524,0.13034475004837592,75.0,0.02475491938285112
8,0.4529149850851017,0.12377303190562097,42.857142857142854,0.094907959769762,71.875,0.03936705622951163
9,0.6007879511700724,0.09991588947727802,59.523809523809526,0.06746984524088263,71.875,0.6492736986507681
10,0.7825609987680955,0.09928092842776362,42.857142857142854,0.18105654803753965,50.0,0.7948745532878494
11,1.018484464488842,0.1026228824292601,54.761904761904766,0.11126808249680756,65.625,0.1250444687519655
12,0.5278495261110316,0.10175956012394768,52.38095238095239,0.07925122291293711,75.0,0.03748846979109664
13,0.5362836000011462,0.11461149898542278,52.38095238095239,0.12810473833342995,68.75,0.009012068661929858
14,0.6376488149874155,0.11994688315534281,42.857142857142854,0.10257685143455206,65.625,0.02229620167807251
15,0.8896370214728213,0.12669097500537077,52.38095238095239,0.08005571633212799,78.125,0.052862239123399844
16,0.591654355060429,0.107915954353376,47.61904761904761,0.08958777803529991,71.875,0.11619106266849624
17,0.9131578768000193,0.13207332275790407,54.761904761904766,0.08425112738646408,75.0,0.03491503312227694
18,0.13044608533764201,0.13251964677120673,47.61904761904761,0.0956085281975528,78.125,0.029929322076057575
19,0.14458886175974625,0.1470067509268223,57.14285714285714,0.10881240738145795,81.25,0.7722516168406791
20,0.22345300831534504,0.14885922544138147,59.523809523809526,0.0758338370784559,78.125,0.0009004633241437302
21,3.3143165139633304,0.19543366214990107,50.0,0.1188280210559654,75.0,0.00083788553239175
22,0.037675749413642684,0.27333184346669664,47.61904761904761,0.10539374470560692,78.125,0.005702447818157463
23,0.4934174488699392,0.11649153700035746,64.28571428571429,0.16948626719222804,56.25,1.0296502826092937
24,0.023015990461115455,0.1903935720750603,57.14285714285714,0.1261924768575518,71.875,0.0002439723449672234
25,2.1062247281270254,0.23077428906072028,45.23809523809524,0.20577217042330426,78.125,1.8038301776487458
26,0.050891993321009035,0.2081416902314776,45.23809523809524,0.2295508782867331,75.0,0.0003597968017099232
