,BIP,BIP,BIP,SZ,SZ,SZ,ASD,ASD,ASD,ADHD,ADHD,ADHD,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DEL1q21_1,DEL1q21_1,DEL1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train
0,0.5691463376726749,0.07199242899169793,75.0,0.08582390580256184,60.15625,0.6949667567929683,0.0879734669723394,53.96825396825397,0.691898375550132,0.0900195451184098,55.65217391304348,0.6200580427699585,0.10146535371324523,51.21951219512195,0.6933564380721908,0.12227788456392646,58.82352941176471,0.7244707819465032,0.7871321537033782,44.44444444444444,0.6472560086578706,0.10683207671761047,23.076923076923077,0.6941805507259206,0.09750667609016227,71.42857142857143,0.6547559265329235,0.13868106805074681,50.0,0.6933616881689212,0.07594032739584242,62.5,0.7112072802793428
1,1.014228273229163,0.07502699840268781,75.0,0.07818885350191188,64.84375,0.5888096567481412,0.08801861532878826,48.148148148148145,0.692727887799004,0.09008306315003867,55.65217391304348,0.6502722301677429,0.10134594241946258,48.78048780487805,0.6888121949165316,0.12339793455294297,41.17647058823529,0.6899244489917298,0.15179435893157484,44.44444444444444,0.695249031357459,0.1078754267767048,23.076923076923077,0.6176164580308975,0.09936869215802353,28.57142857142857,1.5142264342211083,0.13850097799718944,50.0,0.6934061265405491,0.08777705287234958,37.5,0.6964494661020565
2,0.6938128475972312,0.06864104400442139,75.0,0.16753399877840053,42.96875,1.4729864278235623,0.08804953090091726,46.03174603174603,0.6954665638611377,0.09146613308932201,55.65217391304348,0.6689450700205144,0.10144258437406634,51.21951219512195,0.6929272272095253,0.5765928593850352,41.17647058823529,6.296257793852613,0.15479789751302375,55.55555555555556,0.6987866180392731,0.10592253536634261,76.92307692307693,0.7095618950247479,0.09927151749708907,28.57142857142857,0.6925454197389964,0.13722993036618994,50.0,0.8265469930810793,0.0885813944529182,37.5,0.6891955336403913
3,0.09702546706461623,0.18309057609872198,75.0,0.21933043304324268,62.5,4.279815501006156,0.08807664554173424,46.03174603174603,0.6901404022259006,0.09150036012365703,55.65217391304348,0.7051348953644583,0.10173916913378529,48.78048780487805,0.6884888261052875,0.23579959358977168,41.17647058823529,0.27302252317138076,0.15512784281440725,55.55555555555556,0.6924615293023385,0.10699626182321674,23.076923076923077,0.6973425432280385,0.09990609636484524,28.57142857142857,0.6902450716826257,0.13894308234127997,50.0,0.6948614533237886,0.08653520233929311,62.5,1.4524355152215003
4,0.5845360878097929,0.06737756556265316,75.0,0.08195085894384069,63.28125,0.5593996707980937,0.0880363727774105,46.03174603174603,0.694433995702502,0.08876524753793599,55.65217391304348,0.648279972091925,0.10131161452942025,48.78048780487805,0.6941649874425807,0.12283008380270966,41.17647058823529,1.351333819789201,0.15410790091167817,55.55555555555556,0.7005086206288773,1.2133636270417674,23.076923076923077,0.6610757082508402,0.0996478814108657,28.57142857142857,0.6935746713462254,0.1384845178703717,50.0,0.6972688759048632,0.08662058882530836,62.5,0.6956360918419998
5,0.6925102192199415,0.08592422548573957,75.0,0.38988374234589646,44.53125,3.0440777676441626,0.08875801942286904,46.03174603174603,0.6958383655844697,0.08975452063916887,55.65217391304348,0.757697595283792,0.10136363679411835,48.78048780487805,0.6913655382922771,0.12203113545275676,76.47058823529412,0.6934103883065383,0.15426454371205456,44.44444444444444,0.6930029940759486,0.11696905001185363,23.076923076923077,0.6583216296458797,0.10111189249137045,28.57142857142857,0.6814914483135329,0.13869069918090626,40.0,0.694429367297212,0.0869881951136011,37.5,0.6928886231548793
6,0.2022676992451416,0.09962873383792342,75.0,0.13311827697368755,64.0625,0.40531767657018575,0.0885209282645563,46.03174603174603,0.7007607358970196,0.09184746710554652,55.65217391304348,0.529889510194225,0.10150827714953618,48.78048780487805,0.6964892371883014,0.12131594696738039,41.17647058823529,0.696725813853482,0.20279774722883248,44.44444444444444,0.6913810545281605,0.10608597848295044,84.61538461538461,0.7840864974457874,0.10227657923226989,28.57142857142857,0.6887045806971321,0.13793844096085514,50.0,0.691358061795196,0.08621759831184599,62.5,0.9989309208852667
7,0.37135003579817577,0.11577522822563667,75.0,0.11830387821303037,68.75,0.46709988336212116,0.0882401938389794,46.03174603174603,0.6931729538042253,0.0888783873198156,55.65217391304348,0.649768584488741,0.10133335966109451,48.78048780487805,0.6983660359925167,0.12286291975021706,41.17647058823529,0.6787862867180637,0.1532045568083799,55.55555555555556,0.6912357082921673,0.1055987861939889,76.92307692307693,0.6925842622055834,0.10232581803727171,28.57142857142857,0.6477918530261453,0.13832057088131167,50.0,0.6926687305509573,0.0887176841884879,37.5,0.6896560323380635
8,1.7928015398289592e-06,0.5181098873001253,75.0,0.08388299720794197,64.84375,0.2796415620746985,0.08827933110335678,46.03174603174603,0.688724761645636,0.08723203158320826,55.65217391304348,0.650879288336904,0.10157699697613748,51.21951219512195,0.6945856415784345,0.11542188558862973,41.17647058823529,0.6565137687177842,0.1535038172575172,55.55555555555556,0.6897919453230036,0.10869721120175112,23.076923076923077,0.6817313990622992,0.10680306403684048,28.57142857142857,0.669714660489913,0.1389294137916221,50.0,0.6917036680479481,0.08841712119132639,37.5,0.6890003596150938
