,NYU,NYU,NYU
,Loss/train,Loss/test,Accuracy/test
0,97.84429125503993,15.774647101330647,0.0
1,26.475263828469508,9.149574018750698,0.0
2,102.2665653520272,20.047295609464232,0.0
3,213.40646890071366,19.023031860627803,0.0
4,72.40170427931749,10.883008150867285,0.0
5,122.85797259239366,8.180522752246763,0.0
6,142.02512412259506,8.262139328788448,0.0
7,37.60648570738314,7.672786578670078,0.0
8,1.397189918049308,8.654223551796083,0.0
9,109.37419832426276,7.961030570025928,0.0
10,80.98395713359308,6.7945264594047545,0.0
11,90.99405294439858,5.976844947182369,0.0
12,15.179583651878634,5.27290538893339,0.0
13,10.552753684643418,5.328002589209013,0.0
14,1.2355111894613982,4.832522906571035,0.0
15,36.350885270298846,4.7229061466930355,0.0
16,13.228392810327213,5.475624130325934,0.0
17,25.100362435210442,4.726336286948356,0.0
18,13.072331471059321,5.113770526337164,0.0
19,13.286995311832934,4.550756176220995,0.0
20,3.572206511182528,4.433612127505216,0.0
21,11.502229851256402,4.564019029938992,0.0
22,14.289668985917128,4.676997473030402,0.0
23,19.17513625632837,4.645794399964415,0.0
24,3.170541510893038,4.974030127143888,0.0
25,0.8677220619381616,5.488266152029907,0.0
26,39.067222816738266,7.123730421740368,0.0
27,3.8401395129555604,4.270188766695384,0.0
28,3.252138571250792,4.115946993578211,0.0
29,2.4684160025262805,3.901810456571901,0.0
30,1.8770792984515057,4.019141016190549,0.0
31,0.23075084305715526,3.9716982744925233,0.0
32,0.37961225725832465,3.9655793548538734,0.0
33,2.856200528421744,4.09071064498208,0.0
34,0.9063017398136981,3.8693676873451075,0.0
35,0.30703301232416,3.8979222360406744,0.0
36,0.9987149309621384,3.9258520415096996,0.0
37,0.511125017233633,4.139832910146372,0.0
38,1.813535675600153,3.777576627026215,0.0
39,13.606109943285691,5.160769485972566,0.0
40,0.07091505507146977,4.282579493560666,0.0
41,1.8781119913412596,4.745191733116291,0.0
42,9.469611320129657,4.448946579615276,0.0
43,1.9368174652900139,4.126161180866233,0.0
44,0.7680951283485618,3.961612300559822,0.0
45,3.3876160547510628,3.890893886402543,0.0
46,5.141603480494186,4.073713503139258,0.0
47,3.760934507863092,4.522031332211073,0.0
48,0.6732868371155466,4.025248046799564,0.0
49,0.045644658219179374,3.918055771632091,0.0
50,1.8714854092520326,3.922135412446547,0.0
51,0.6436905234980063,3.9373682985347336,0.0
52,2.3835782704324986,4.1489761693072795,0.0
53,3.556977442756475,4.532660960090318,0.0
54,1.062662482415079,4.511364832215636,0.0
55,0.20866942995829801,4.260321100185264,0.0
56,2.9565153070440804,4.2218769165598795,0.0
57,5.858526958827699,4.352645960168673,0.0
58,4.772959749348348,4.401778777071185,0.0
59,2.3359039254767624,4.515824645937195,0.0
60,0.3848404662153193,4.072923701997964,0.0
61,4.417894670346791,3.9630141767253697,0.0
62,5.742815097988823,4.365295641567664,0.0
63,2.03685324368543,4.236676257674022,0.0
64,1.492773426237793,4.078622133668827,0.0
65,0.2521642264275328,4.106518887178828,0.0
66,1.4283925292785986,3.9672865937929034,0.0
67,3.1533519507005185,4.177044860400071,0.0
68,1.251409806640619,4.293304858187617,0.0
69,1.4081775360752316,4.21927580221872,0.0
70,0.8036900960757816,4.099223869795776,0.0
71,2.2911532263400063,4.010055163393081,0.0
72,4.888702884889733,4.4003712973740905,0.0
73,0.10011246432606381,4.030154415850335,0.0
74,2.212858471018164,3.92637849631261,0.0
75,1.1404838561145934,4.117847041632884,0.0
76,0.8258538243482976,3.9510349516728454,0.0
77,1.7217521768054271,4.281014164739903,0.0
78,1.5064690550088375,4.254061446656772,0.0
79,0.2460392003108052,4.154984552492108,0.0
80,0.8305994608665974,4.064162752671291,0.0
81,2.750211343093069,4.06862867880867,0.0
82,2.256197723769275,4.110600771346883,0.0
83,1.1809218328861908,4.086350553209788,0.0
84,0.06844769039604803,4.054151709098024,0.0
85,2.3894824783652204,4.22664131805786,0.0
86,0.5912092058402352,3.8675524382474746,0.0
87,0.01566551093609868,4.181523887172331,0.0
88,0.44664187119433907,4.119611401061001,0.0
89,0.7652876966093218,3.87582053573801,0.0
90,1.8129219658719278,3.964214526424077,0.0
91,2.3894421162317263,4.031205421692568,0.0
92,0.9517936466099814,4.081554854604815,0.0
93,0.7946003549457966,4.0456834208157435,0.0
94,0.2071510626721437,3.9590449688681537,0.0
95,6.154310033704385,4.167514280343197,0.0
96,1.3468923564421407,3.9266721928796002,0.0
97,1.049035388453201,3.9494157410111774,0.0
98,0.4344234049720193,4.155669039908672,0.0
99,0.5718045900108415,4.1779055757522086,0.0
