,NYU,NYU,NYU,NYU,NYU,NYU,NYU
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test
0,28.22571369342645,7.198423059449781,0.0,0.0,0.0,0.0,0.0
1,53.4674280423964,18.79828451587246,0.0,0.0,0.0,0.0,0.0
2,108.55939371856066,2.4585056185394736,0.0,0.0,0.0,0.0,0.0
3,80.1350232112748,3.0895178781695645,0.0,0.0,0.0,0.0,0.0
4,17.2908067701321,12.037829584065356,0.0,0.0,0.0,0.0,0.0
5,14.067893089554252,1.9650821998375252,0.0,0.0,0.0,0.0,0.0
6,22.81798880396301,2.9298491474052186,0.0,0.0,0.0,0.0,0.0
7,51.7374301345851,4.745331984477578,0.0,0.0,0.0,0.0,0.0
8,20.093040861471838,4.296446380547708,0.0,0.0,0.0,0.0,0.0
9,2.000040068866723,4.392600729039499,0.0,0.0,0.0,0.0,0.0
10,6.674646839639175,2.1777539631198364,0.0,0.0,0.0,0.0,0.0
11,6.536989629936817,3.2448705629888335,0.0,0.0,0.0,0.0,0.0
12,5.950389716163522,2.67825006457784,0.0,0.0,0.0,0.0,0.0
13,11.343191609728617,4.698321126775231,0.0,0.0,0.0,0.0,0.0
14,2.917036461264073,2.644319696543931,0.0,0.0,0.0,0.0,0.0
15,23.489202264668034,6.79302296094003,0.0,0.0,0.0,0.0,0.0
16,13.423706989444549,1.3795388217270157,0.0,0.0,0.0,0.0,0.0
17,2.1682731934558683,1.4896011194668906,0.0,0.0,0.0,0.0,0.0
18,4.853947342632965,7.146387595826898,0.0,0.0,0.0,0.0,0.0
19,6.060359493368738,5.364839587605916,0.0,0.0,0.0,0.0,0.0
20,2.9343540395646666,2.0665728389593365,0.0,0.0,0.0,0.0,0.0
21,2.5567659997037646,2.6631468053348515,0.0,0.0,0.0,0.0,0.0
22,3.466775905427731,4.728272341942093,0.0,0.0,0.0,0.0,0.0
23,3.932217367476742,4.017210194479028,0.0,0.0,0.0,0.0,0.0
24,1.4389370545316917,3.4916417989466706,0.0,0.0,0.0,0.0,0.0
25,1.185954407451418,3.5632714934338994,0.0,0.0,0.0,0.0,0.0
26,2.2955843332481534,1.8632003075927295,0.0,0.0,0.0,0.0,0.0
27,7.259668849640859,2.789016399069602,0.0,0.0,0.0,0.0,0.0
28,4.407741610688893,6.412104374718608,0.0,0.0,0.0,0.0,0.0
29,1.5261188892066115,3.1458739662212056,0.0,0.0,0.0,0.0,0.0
30,4.862020957245501,2.221695625557658,0.0,0.0,0.0,0.0,0.0
31,0.6597758990186028,3.4693884320344712,0.0,0.0,0.0,0.0,0.0
32,1.2837006042248578,5.779872096399897,0.0,0.0,0.0,0.0,0.0
33,6.367681837216604,2.334675118698021,0.0,0.0,0.0,0.0,0.0
34,0.41565633297782145,2.28428558245215,0.0,0.0,0.0,0.0,0.0
35,7.453716152711645,8.071003582016044,0.0,0.0,0.0,0.0,0.0
36,7.145277268550872,1.9187748262669566,0.0,0.0,0.0,0.0,0.0
37,1.8219130400770607,2.869103136721065,0.0,0.0,0.0,0.0,0.0
38,4.519408528373662,6.482670870652274,0.0,0.0,0.0,0.0,0.0
39,0.8644804517469062,3.550848894858499,0.0,0.0,0.0,0.0,0.0
40,2.1440889240861116,4.313638489812851,0.0,0.0,0.0,0.0,0.0
41,9.284459353573983,4.83949449945752,0.0,0.0,0.0,0.0,0.0
42,0.7825784809768288,4.0297251765604,0.0,0.0,0.0,0.0,0.0
43,1.3186809752218664,5.849327025620022,0.0,0.0,0.0,0.0,0.0
44,1.9758862032183582,4.238918714107959,0.0,0.0,0.0,0.0,0.0
45,7.935700405227832,6.203886765447294,0.0,0.0,0.0,0.0,0.0
46,5.401658955015795,1.8974690722851253,0.0,0.0,0.0,0.0,0.0
47,13.527422257032097,2.561957741315346,0.0,0.0,0.0,0.0,0.0
48,1.0816059214900493,4.140824643313163,0.0,0.0,0.0,0.0,0.0
49,2.8100695059607057,2.3560087325976764,0.0,0.0,0.0,0.0,0.0
50,3.2099487863670406,3.661211425316161,0.0,0.0,0.0,0.0,0.0
51,9.25578131332507,5.254220587125408,0.0,0.0,0.0,0.0,0.0
52,15.262193552537152,1.5558715035279986,0.0,0.0,0.0,0.0,0.0
53,2.66735079113377,3.5773805584299754,0.0,0.0,0.0,0.0,0.0
54,7.922490581500076,5.862179029936448,0.0,0.0,0.0,0.0,0.0
55,0.11505219335229513,2.6832694994157267,0.0,0.0,0.0,0.0,0.0
56,0.8049403324365094,4.395112460210601,0.0,0.0,0.0,0.0,0.0
57,1.5935811217593816,6.028165064794716,0.0,0.0,0.0,0.0,0.0
58,1.4875899353719637,3.0753064803447283,0.0,0.0,0.0,0.0,0.0
59,0.388603494441299,3.419529539542974,0.0,0.0,0.0,0.0,0.0
60,0.6847991597401117,3.8186213329048893,0.0,0.0,0.0,0.0,0.0
61,0.45757321053747946,2.605062618997174,0.0,0.0,0.0,0.0,0.0
62,1.6875831762436266,1.8053403698330803,0.0,0.0,0.0,0.0,0.0
63,2.8946376398361955,4.196608723322372,0.0,0.0,0.0,0.0,0.0
64,0.8116636715675712,3.694765418761331,0.0,0.0,0.0,0.0,0.0
65,2.28853051106598,2.4419873320608665,0.0,0.0,0.0,0.0,0.0
66,0.9533895275134118,2.5228311647082604,0.0,0.0,0.0,0.0,0.0
67,0.2801014525963378,2.3586208463590013,0.0,0.0,0.0,0.0,0.0
