,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test
0,70.39878588032191,7.2512414227552355,57.14285714285714,0.4166666666666667,0.0,0.0,0.0
1,17.614316320795176,5.958157551142884,42.857142857142854,0.5,0.5999999642372131,0.4285714328289032,1.0
2,16.689439848061145,0.5514469205839869,57.14285714285714,0.5833333333333334,0.5714285373687744,0.5,0.6666666865348816
3,1.5314737637628526,0.5236825600556024,42.857142857142854,0.75,0.5999999642372131,0.4285714328289032,1.0
4,0.0008305304691553514,0.6106261404207185,71.42857142857143,0.5,0.75,0.6000000238418579,1.0
5,0.00013599298748643665,0.8035674874369105,71.42857142857143,0.5,0.75,0.6000000238418579,1.0
6,5.128006828014316e-05,0.9479076341803511,42.857142857142854,0.4166666666666667,0.5,0.4000000059604645,0.6666666865348816
7,6.781134645031194e-06,1.033102196344741,42.857142857142854,0.4166666666666667,0.5,0.4000000059604645,0.6666666865348816
8,2.000024378517322e-06,1.0553088791114262,57.14285714285714,0.4166666666666667,0.5714285373687744,0.5,0.6666666865348816
9,0.00014770392126193114,1.0338601888231431,57.14285714285714,0.4166666666666667,0.5714285373687744,0.5,0.6666666865348816
10,2.681068788518136e-06,1.0003316183247797,42.857142857142854,0.4166666666666667,0.3333333432674408,0.3333333432674408,0.3333333432674408
11,0.00011059050615424818,0.9821876031470419,42.857142857142854,0.5,0.3333333432674408,0.3333333432674408,0.3333333432674408
12,5.960232651035302e-06,0.9871795694745629,57.14285714285714,0.5,0.5714285373687744,0.5,0.6666666865348816
13,1.4649563709463058e-09,1.0162991588650192,71.42857142857143,0.5,0.75,0.6000000238418579,1.0
14,3.615875247727768e-07,1.0449463848086409,71.42857142857143,0.5,0.75,0.6000000238418579,1.0
15,2.1405710725157522e-08,1.0656125264183598,71.42857142857143,0.5,0.75,0.6000000238418579,1.0
