,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,0.6901543114129917,0.6918509104740582,63.63636363636363,0.8666666666666667,0.7846153974533081,0.6458333432674408,1.0,0.6916052062851666,54.54545454545454,1.0,0.0,0.0,0.0,0.6941316115687286,0.6900727364817576,50.0,0.6,0.6573426723480225,0.5,1.0,0.6852927809606928,0.6930160587664297,50.0,0.5625,0.0,0.0,0.0,0.69310049857693,0.6940545098400859,37.5,0.5333333333333333,0.0,0.0,0.0,0.6915206789485476,0.6880523896317584,50.0,0.7777777777777778,0.6666666865348816,0.5,1.0,0.759355340441088,0.7412610391018427,28.57142857142857,1.0,0.444444477558136,0.2857142984867096,1.0,0.6927002700320939,0.6855833233870855,60.0,0.5833333333333333,0.0,0.0,0.0,0.6617407309623636,0.6886601810725663,57.14285714285714,0.6666666666666666,0.0,0.0,0.0,0.6975114223094094,0.6842437340827893,55.55555555555556,0.55,0.38461539149284363,0.3125,0.5,0.709804551261534,0.9476518619949722,52.63157894736842,0.6666666666666666,0.0,0.0,0.0,0.6446495576515386,0.6934918827703046,50.0,0.15625,0.0,0.0,0.0,0.5907797842818325,0.6926673538053759,60.0,0.16666666666666666,0.7179487347602844,0.5625,1.0,0.6927340468049482,0.693548112324638,40.0,0.53125,0.0,0.0,0.0,0.693073280091015
1,0.6892178592170373,0.6903398869783165,63.63636363636363,0.75,0.6785714328289032,0.5416666716337204,1.0,0.8555956639554303,45.45454545454545,0.25,0.38461539149284363,0.3125,0.5,0.6923028090749472,0.6931589331967953,50.0,0.375,0.0,0.0,0.0,0.6924151969705652,0.7941492591870445,50.0,0.625,0.0,0.0,0.0,1.4078784650738247,1.1781396652088623,62.5,0.5333333333333333,0.7692307829856873,0.625,1.0,0.5955413582827187,0.7129444227993593,50.0,0.4444444444444444,0.0,0.0,0.0,0.6900841204851184,0.6933985710819208,28.57142857142857,0.6,0.444444477558136,0.2857142984867096,1.0,0.6932064209540482,0.6846479134044149,60.0,0.23333333333333334,0.0,0.0,0.0,0.6927180353244816,0.6692770537754457,57.14285714285714,0.8333333333333334,0.0,0.0,0.0,0.8167214350325583,0.7296318635586754,44.44444444444444,0.46875,0.0,0.0,0.0,0.6957538440250748,0.6934897094268119,47.368421052631575,0.2777777777777778,0.6048951148986816,0.4444444477558136,1.0,0.6944205193550115,1.185054921451862,50.0,0.875,0.6666666865348816,0.5,1.0,0.6809836967311134,0.6931345457763186,50.0,0.8,0.1666666567325592,0.5,0.10000000149011612,0.6956393194810713,0.6506524015621984,60.0,0.53125,0.8333333432674408,0.75,1.0,0.6931431058186937
2,0.12228086291679752,1.073359030548995,63.63636363636363,0.9583333333333333,0.6785714328289032,0.5416666716337204,1.0,0.6922575064193581,54.54545454545454,1.0,0.0,0.0,0.0,0.6939148629262395,0.6930662892493669,68.75,0.625,0.533333346247673,1.0,0.375,0.6939169792263469,0.7771933585185374,50.0,0.5,0.0,0.0,0.0,0.6252627107959184,0.6949399163882808,50.0,0.6666666666666666,0.3333333134651184,1.0,0.20000000298023224,0.6363271010870191,0.6962929966778729,50.0,0.7777777777777778,0.6666666865348816,0.5,1.0,0.9751663079011725,0.689464862754656,28.57142857142857,1.0,0.444444477558136,0.2857142984867096,1.0,0.6921423591971827,0.679204846483869,60.0,0.5,0.0,0.0,0.0,0.7825777144065958,0.6925275976125292,57.14285714285714,0.3333333333333333,0.0,0.0,0.0,0.6826742818251443,0.6932748493361034,44.44444444444444,0.41666666666666663,0.0,0.0,0.0,0.6929720513770263,0.6886415131973656,52.63157894736842,0.7625000000000001,0.0,0.0,0.0,0.6760612844720213,0.6972176143547582,60.0,0.55,0.375,0.5,0.30000001192092896,0.6836436054104855,0.6937482559160764,40.0,0.5625,0.0,0.0,0.0,0.6938296796916049,0.7113157494708864,40.0,0.46875,0.0,0.0,0.0,0.6761052673270223
3,0.6924956224990018,0.685189464362169,63.63636363636363,0.5416666666666666,0.6785714328289032,0.5416666716337204,1.0,0.8487249120696667,45.45454545454545,0.0,0.5833333432674408,0.4166666716337204,1.0,0.673009315734404,0.6930357854269261,50.0,0.6666666666666667,0.6573426723480225,0.5,1.0,0.6925285015667217,0.6777933251328077,37.5,0.625,0.444444477558136,0.4000000059604645,0.5,1.4486142823835095,0.6608207329386637,62.5,0.5333333333333333,0.7692307829856873,0.625,1.0,0.6923611760459801,0.6931232335534617,50.0,0.4444444444444444,0.0,0.0,0.0,0.693619057669457,0.6937046807986766,28.57142857142857,0.6,0.444444477558136,0.2857142984867096,1.0,0.7425938138006417,0.6840029139667416,60.0,0.7333333333333334,0.0,0.0,0.0,0.6921239808521141,0.7216924601889696,42.857142857142854,0.5833333333333334,0.5999999642372131,0.4285714328289032,1.0,1.1512303451064614,0.7195353926544394,44.44444444444444,0.5,0.0,0.0,0.0,1.0492891875278145,0.6931090854052872,52.63157894736842,0.2791666666666667,0.0,0.0,0.0,0.6929969638757796,0.7884227962204426,50.0,0.46875,0.6666666865348816,0.5,1.0,0.8114792275833439,0.6934284146526215,40.0,0.59375,0.0,0.0,0.0,0.6926669146531161,0.6535241719614857,60.0,0.8666666666666667,0.7179487347602844,0.5625,1.0,0.6926423363361822
4,0.640021613041842,0.6707886445992013,63.63636363636363,0.625,0.8333333432674408,0.75,1.0,0.6925436973507669,54.54545454545454,0.8125,0.0,0.0,0.0,0.6924928344089677,0.7203542400835236,50.0,0.5333333333333333,0.0,0.0,0.0,0.699377435837645,0.7165215942723899,50.0,0.5625,0.0,0.0,0.0,0.8102041399701738,0.6611486935838394,62.5,0.7333333333333333,0.7692307829856873,0.625,1.0,0.6835881353248221,0.6958022471239446,50.0,0.6666666666666666,0.0,0.0,0.0,0.6916691495711302,0.6646662124578004,71.42857142857143,0.0,0.0,0.0,0.0,0.6805036457328256,0.692885660257183,50.0,0.34375,0.0,0.0,0.0,0.6774987388878629,0.6932275210032982,28.57142857142857,0.5,0.444444477558136,0.3333333432674408,0.6666666865348816,0.7174361820060683,0.6930712051673346,66.66666666666666,0.46875,0.7857142686843872,0.8333333432674408,0.75,0.6934302954130638,0.6933667237481987,47.368421052631575,0.22777777777777777,0.6564102669556936,0.5138888955116272,1.0,0.6925616609742665,0.7470725858053159,50.0,0.625,0.6666666865348816,0.5,1.0,1.5487333896287665,0.693614126897257,40.0,0.6666666666666667,0.0,0.0,0.0,0.6976087579585029,0.6933259594312362,50.0,0.6,0.6428571492433548,0.75,0.6000000014901161,0.6924230644329455
5,0.6583086496489742,0.6713278546222559,63.63636363636363,0.6833333333333333,0.7846153974533081,0.6458333432674408,1.0,0.6967837720703224,54.54545454545454,1.0,0.0,0.0,0.0,0.6749740643088641,0.6666363220952582,56.25,0.6333333333333333,0.5178571343421936,0.625,0.46666668355464935,0.7330068499514791,0.6825428137880231,50.0,0.625,0.0,0.0,0.0,0.8032901147659526,0.682000093296382,62.5,0.5333333333333333,0.7692307829856873,0.625,1.0,0.6615267822413192,0.6876132324942167,50.0,0.6666666666666666,0.0,0.0,0.0,1.1114190848780874,0.7547549127636637,42.857142857142854,1.0,0.5,0.3333333432674408,1.0,0.7271560568083023,0.6953252011860294,50.0,0.23333333333333334,0.0,0.0,0.0,0.7095121897407899,0.7068499912748398,57.14285714285714,0.3333333333333333,0.0,0.0,0.0,0.698890510050283,0.6924283179406687,55.55555555555556,0.5,0.8333333432674408,0.75,1.0,1.1343107860281991,0.6867921910531575,31.57894736842105,0.4777777777777778,0.4481481711069743,0.35555556416511536,0.6888888974984487,0.6949549823861828,0.900676732176418,30.0,0.09375,0.0,0.0,0.0,0.7652345140306372,0.6858571151259294,40.0,0.9666666666666667,0.0,0.0,0.0,0.692823072219155,0.6936807119526308,60.0,0.40625,0.8333333432674408,0.75,1.0,0.6924357006937634
6,0.6325802864003235,0.6451980480077373,63.63636363636363,0.75,0.6785714328289032,0.5416666716337204,1.0,0.6945314159719312,45.45454545454545,0.0,0.5833333432674408,0.4166666716337204,1.0,0.6925577300886641,0.6950401603431382,50.0,0.625,0.6285714358091354,0.5,1.0,0.6730669488777037,0.6668013923182545,62.5,0.625,0.7272727489471436,0.5714285969734192,1.0,0.5877124709916988,0.6407891065800757,62.5,0.6666666666666666,0.7692307829856873,0.625,1.0,0.6593393677068905,0.6649718283815713,50.0,1.0,0.0,0.0,0.0,0.8023367937107786,0.6927258541396848,71.42857142857143,0.6,0.0,0.0,0.0,0.672377483494455,0.6830158298134988,60.0,0.5,0.0,0.0,0.0,0.7530216798016758,0.7069748158673387,42.857142857142854,0.3333333333333333,0.5999999642372131,0.4285714328289032,1.0,0.7116792994208023,0.6724863915872702,66.66666666666666,0.53125,0.7857142686843872,0.8333333432674408,0.75,1.0641788123633131,0.6927869947660885,52.63157894736842,0.7000000000000001,0.0,0.0,0.0,0.6928563766390656,0.7464233974620962,50.0,0.48333333333333334,0.25,0.3333333432674408,0.20000000298023224,0.5874777372980966,0.693323679099991,40.0,0.8333333333333333,0.0,0.0,0.0,0.6919042984826591,0.6869415159496575,60.0,0.9666666666666667,0.7179487347602844,0.5625,1.0,0.6878912870357291
7,1.0494809826089913,0.6936435117671317,36.36363636363637,0.41666666666666663,0.125,0.25,0.0833333358168602,2.3598992961502456,45.45454545454545,0.0,0.5833333432674408,0.4166666716337204,1.0,0.6252692866993491,0.8048726466330671,50.0,0.46875,0.6666666865348816,0.5,1.0,0.7957633574930824,0.6771515227110652,50.0,0.6875,0.0,0.0,0.0,1.368704286568885,0.9425960631516499,62.5,0.8666666666666667,0.7692307829856873,0.625,1.0,0.6631574794259256,0.69241953264264,50.0,0.8888888888888888,0.0,0.0,0.0,0.6872073341633635,0.8783929427760053,28.57142857142857,0.9,0.444444477558136,0.2857142984867096,1.0,0.6928374779001647,0.8520327765562252,30.0,0.375,0.27272725105285645,0.2142857164144516,0.375,0.5429015908098238,2.3400269574215957,57.14285714285714,0.25,0.0,0.0,0.0,0.5841191353114827,0.6928362948222326,44.44444444444444,0.59375,0.1666666716337204,0.25,0.125,0.6936424446403409,0.6926527618955491,52.63157894736842,0.5736111111111111,0.0,0.0,0.0,0.6921688483150162,2.879001306368901,50.0,0.8125,0.6666666865348816,0.5,1.0,0.4625257894609183,0.6940286200612344,40.0,0.59375,0.0,0.0,0.0,0.692156374194447,1.3438695732490296,60.0,0.65625,0.8333333432674408,0.75,1.0,1.139363534593308
8,0.671580458656515,0.7747347492696189,36.36363636363637,0.5,0.3333333432674408,0.5,0.25,0.7387841635985614,36.36363636363637,0.0,0.5227272510528564,0.380952388048172,0.875,0.6395200136292486,0.8228108131255525,50.0,0.5,0.0,0.0,0.0,0.6524006008438791,0.7985046994891676,50.0,0.625,0.0,0.0,0.0,0.6529966167695171,0.6880412507003985,37.5,0.6666666666666666,0.2857142984867096,0.5,0.20000000298023224,0.5824225400400743,0.670378394579337,50.0,0.8888888888888888,0.0,0.0,0.0,0.590189498184913,0.6208977253394247,71.42857142857143,0.2,0.0,0.0,0.0,0.610288171146799,0.735096827453814,50.0,0.6333333333333333,0.5,0.5,0.5,0.643311391352927,0.7252131857747309,42.857142857142854,0.4166666666666667,0.5999999642372131,0.4285714328289032,1.0,0.6383067704828914,0.6453826504113925,55.55555555555556,0.65,0.38461539149284363,0.3125,0.5,0.6947869528040196,0.6820076230562071,52.63157894736842,0.5833333333333334,0.0,0.0,0.0,0.6913695650003971,0.9194942285106581,50.0,0.125,0.0,0.0,0.0,1.2746454522712045,0.6917795833213723,40.0,0.7666666666666666,0.0,0.0,0.0,0.6896354818613603,0.6656648537443856,60.0,0.8333333333333333,0.7179487347602844,0.5625,1.0,0.6578711734740729
