,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,0.5088505171925376,0.9366603280651853,55.55555555555556,0.3666666666666667,0.0,0.0,0.0,0.6938569598383842,30.0,0.5833333333333334,0.0,0.0,0.0,0.6923585994869295,0.6931306180791559,46.666666666666664,0.575,0.2857142984867096,0.5,0.20000000298023224,0.6931744018477851,0.7103681682473456,42.857142857142854,0.6666666666666666,0.5999999642372131,0.4285714328289032,1.0,0.6910492294561531,0.6784944657808564,71.42857142857143,0.8,0.8333333730697632,0.7142857313156128,1.0,0.6925570096195799,0.7608964551322018,50.0,0.5555555555555556,0.0,0.0,0.0,0.7227719833708948,0.6932091647398076,57.14285714285714,0.0,0.0,0.0,0.0,0.693264550152952,0.6930656594883517,55.55555555555556,0.35,0.0,0.0,0.0,0.6858787217970396,0.6932555193437354,42.857142857142854,0.16666666666666666,0.0,0.0,0.0,0.6932149075605684,0.802793302153856,50.0,0.875,0.6666666865348816,0.5,1.0,0.32600577294582167,0.8651506796427364,50.0,0.40625,0.6666666865348816,0.5,1.0,0.6911094733814367,0.6947210243195673,30.0,0.55,0.0,0.0,0.0,0.8613347633699787,0.6945171974194275,30.0,0.7916666666666667,0.0,0.0,0.0,0.6935521044097895
1,0.6928815269032871,0.6930016038682222,55.55555555555556,0.5,0.0,0.0,0.0,0.6939005133481134,30.0,0.3833333333333333,0.0,0.0,0.0,0.6923747943561133,0.6929168112220938,53.333333333333336,0.5083333333333333,0.0,0.0,0.0,0.6934509115442368,0.8085894345566655,57.14285714285714,0.25,0.0,0.0,0.0,0.5947031651151407,0.6936156406829844,28.57142857142857,0.7,0.0,0.0,0.0,0.6931701865937678,0.6962288210331868,50.0,0.0,0.0,0.0,0.0,0.6961244512556333,0.6931419255766614,57.14285714285714,0.16666666666666666,0.0,0.0,0.0,0.6930810029707334,0.6952985978820299,66.66666666666666,0.31666666666666665,0.0,0.0,0.0,0.6652611377487662,0.7242257252439022,42.857142857142854,0.4166666666666667,0.0,0.0,0.0,0.6852829898394881,0.692958314273501,100.0,1.0,1.0,1.0,1.0,0.9701489897628849,0.7079938497233416,50.0,0.8125,0.6666666865348816,0.5,1.0,0.5936705504369579,0.6931399625373006,60.0,0.4642857142857143,0.4285714328289032,0.4285714328289032,0.4285714328289032,0.8254925148496197,0.6936940295585414,30.0,0.5166666666666666,0.0,0.0,0.0,0.7016027653022455
2,0.6923997049891166,0.6930074205998376,50.0,0.5625,0.2619047562281291,0.2777777810891469,0.25,0.6946885921131095,30.0,0.25,0.0,0.0,0.0,0.694598164000813,0.6997108065149203,53.333333333333336,0.5625,0.0,0.0,0.0,0.6413431389762475,0.6945360028066707,28.57142857142857,0.3333333333333333,0.0,0.0,0.0,0.6928725414770305,0.6845294868971387,71.42857142857143,0.4,0.8000000715255737,0.800000011920929,0.800000011920929,0.668945455634497,0.6930385835790375,50.0,0.5555555555555556,0.6666666865348816,0.5,1.0,0.6942993009295992,0.715691629272784,57.14285714285714,0.16666666666666666,0.0,0.0,0.0,0.6976155707390976,0.6922545130179159,33.33333333333333,0.5833333333333333,0.27272728085517883,0.1875,0.5,0.7106080104263458,0.6940999031957237,42.857142857142854,0.16666666666666666,0.0,0.0,0.0,0.691196570888313,0.6926056676181906,50.0,0.875,0.0,0.0,0.0,0.7358206138913849,0.6931012309249146,60.0,0.375,0.619047611951828,0.5833333432674408,0.75,0.6931283567147221,0.6927306477480523,70.0,0.3833333333333333,0.8846153914928436,0.8125,1.0,0.6963701755849734,0.6933228618574676,30.0,0.55,0.0,0.0,0.0,0.6931411957583767
3,0.6957985032339095,0.6975699679130488,44.44444444444444,0.34861111111111115,0.6262626449267069,0.4583333333333333,1.0,0.6922438379101579,70.0,0.6666666666666666,0.761904776096344,0.625,1.0,0.6937765871686621,0.7168618098106845,46.666666666666664,0.3541666666666667,0.6333333253860474,0.4642857164144516,1.0,0.6534000956028535,0.6935168874305878,42.857142857142854,0.3333333333333333,0.5999999642372131,0.4285714328289032,1.0,0.700483942439272,0.6300453161575621,71.42857142857143,0.4,0.8333333730697632,0.7142857313156128,1.0,0.565568141274411,0.6931076292055492,50.0,0.4444444444444444,0.0,0.0,0.0,0.6926650160851975,0.6906913346256464,57.14285714285714,0.16666666666666666,0.0,0.0,0.0,0.702478376612713,0.6709562062465803,66.66666666666666,0.35,0.0,0.0,0.0,0.6332223672272319,0.6933085203225495,42.857142857142854,0.25,0.0,0.0,0.0,0.7397728143019731,0.6858570322063882,50.0,0.875,0.6666666865348816,0.5,1.0,0.6910828381296793,0.7454082512046127,50.0,0.8125,0.6666666865348816,0.5,1.0,0.7057045679247551,0.6933930416537437,30.0,0.20833333333333334,0.0,0.0,0.0,0.6930091071452635,0.6928788029040022,70.0,0.5833333333333333,0.8846153914928436,0.8125,1.0,0.6682125747701085
4,0.6928005494824132,0.6930601028033586,55.55555555555556,0.7861111111111111,0.579365074634552,0.522222230831782,0.7222222288449606,0.6925003310999565,70.0,0.625,0.761904776096344,0.625,1.0,0.6087006957263555,0.6866124830951039,53.333333333333336,0.6333333333333333,0.0,0.0,0.0,0.6741562321537486,0.6933276274010042,28.57142857142857,0.25,0.2857142686843872,0.25,0.3333333432674408,0.6931263771651687,0.6310795917919582,71.42857142857143,0.4,0.8333333730697632,0.7142857313156128,1.0,0.6991120216690642,0.6931455521646924,50.0,0.4444444444444444,0.5714285373687744,0.5,0.6666666865348816,0.689650802004846,0.6898282621877466,57.14285714285714,0.25,0.0,0.0,0.0,0.712149318277603,0.6601208524367709,66.66666666666666,0.3833333333333333,0.0,0.0,0.0,0.7815645645251896,0.6933149358642209,42.857142857142854,0.3333333333333333,0.0,0.0,0.0,0.6920891639492706,0.6920638492014716,50.0,0.8125,0.6666666865348816,0.5,1.0,0.6988926755599764,0.6865962022585164,50.0,0.90625,0.6666666865348816,0.5,1.0,0.7553554110414274,0.6933846437051623,30.0,0.48333333333333334,0.0,0.0,0.0,0.6930714454665624,0.6929294410668205,70.0,0.7083333333333334,0.761904776096344,0.625,1.0,0.6983746153603535
5,0.7065347294469903,0.699452827198163,44.44444444444444,0.7222222222222222,0.6262626449267069,0.4583333333333333,1.0,0.604301413368106,70.0,0.25,0.46666666865348816,0.4375,0.5,0.5926256659693611,0.6890376861040999,53.333333333333336,0.4833333333333333,0.0,0.0,0.0,0.8062432427402931,0.6967601556347475,57.14285714285714,0.3333333333333333,0.0,0.0,0.0,0.6914991783721371,0.7458855774355381,28.57142857142857,0.3,0.0,0.0,0.0,0.6546440439790374,0.693127436055096,50.0,0.5555555555555556,0.0,0.0,0.0,0.690420400800163,0.6650112679246789,57.14285714285714,0.8333333333333334,0.0,0.0,0.0,0.7207627700268922,0.6719913200295842,66.66666666666666,0.65,0.0,0.0,0.0,0.4266995838182283,0.6934129759418513,42.857142857142854,0.16666666666666666,0.0,0.0,0.0,0.6932026103651727,0.691858501606688,50.0,0.6875,0.6666666865348816,0.5,1.0,0.6282287565896478,0.7368369228911942,50.0,0.5166666666666666,0.7727272808551788,0.6875,1.0,0.9066065522582707,0.6968179189285165,30.0,0.6666666666666666,0.0,0.0,0.0,0.6783177447178677,0.626543731324692,70.0,0.48333333333333334,0.8846153914928436,0.8125,1.0,0.6827289203723779
6,0.588018816261371,0.8001314018639452,55.55555555555556,0.2347222222222222,0.0,0.0,0.0,0.7186364167701955,30.0,0.48333333333333334,0.0,0.0,0.0,0.6965772138562991,0.6981948892086007,53.333333333333336,0.6166666666666667,0.654545471072197,0.5416666567325592,1.0,0.7090651321779706,0.7829374641875452,42.857142857142854,0.75,0.5999999642372131,0.4285714328289032,1.0,0.6884905616384395,0.693573121617472,14.285714285714285,0.2,0.25,0.3333333432674408,0.20000000298023224,0.6960642704099353,0.7186808772504155,50.0,0.6666666666666666,0.0,0.0,0.0,0.6926029436054137,0.7122342521831878,57.14285714285714,0.75,0.0,0.0,0.0,0.5473859296169196,0.8023123978057307,33.33333333333333,0.65,0.27272728085517883,0.1875,0.5,0.9852220051588698,0.7840572536058807,42.857142857142854,0.16666666666666666,0.0,0.0,0.0,0.6259680542922077,0.6932265006630967,50.0,0.5,0.0,0.0,0.0,0.6932526069606016,0.9651189495181361,50.0,0.3125,0.6666666865348816,0.5,1.0,0.7258735343236813,0.6933705942245985,30.0,0.45,0.3333333432674408,0.5,0.25,0.6747708468700649,0.6931033241013014,50.0,0.45,0.6428571492433548,0.75,0.6000000014901161,0.7119281085565015
7,0.6172812753305699,0.694504801445412,50.0,0.6444444444444445,0.09523809949556987,0.16666666666666666,0.06666666766007741,0.66726967715641,70.0,0.625,0.761904776096344,0.625,1.0,0.6163366773336099,0.6934202787064031,53.333333333333336,0.41666666666666663,0.0,0.0,0.0,0.6676469768886927,0.7693735987537546,57.14285714285714,0.25,0.0,0.0,0.0,0.6215115640003159,0.6934561751303471,57.14285714285714,0.0,0.7272727489471436,0.6666666865348816,0.800000011920929,0.6941184043130736,0.6735801824441731,50.0,0.6666666666666666,0.0,0.0,0.0,1.110664019021694,0.6138742144495252,57.14285714285714,0.8333333333333334,0.0,0.0,0.0,0.714896660869768,0.6106977021545668,66.66666666666666,0.5833333333333333,0.0,0.0,0.0,1.4018631302437683,0.8200889715923603,42.857142857142854,0.25,0.0,0.0,0.0,0.3977489929100663,0.6970057854839143,50.0,0.5,0.6666666865348816,0.5,1.0,0.825150262130152,0.7527963566849594,50.0,0.3125,0.6666666865348816,0.5,1.0,0.751000972247674,0.6906483491516392,60.0,0.48333333333333334,0.800000011920929,0.800000011920929,0.800000011920929,0.6987832265717521,0.6464857791357159,70.0,0.48333333333333334,0.8846153914928436,0.8125,1.0,0.6839081574266764
8,0.6430648378640949,0.7018578855318309,50.0,0.5486111111111112,0.3888888955116272,0.31111112236976624,0.5833333333333334,0.693490510130515,60.0,0.41666666666666663,0.8333333432674408,0.7857142984867096,0.9000000059604645,0.6626477330562115,0.6898894741958727,46.666666666666664,0.5666666666666667,0.2857142686843872,0.25,0.3333333432674408,0.629621149367873,0.6942035824553103,42.857142857142854,0.25,0.5999999642372131,0.4285714328289032,1.0,0.6923590193644776,0.6823690215987809,57.14285714285714,0.4,0.7272727489471436,0.6666666865348816,0.800000011920929,0.6829074900290488,0.6925093815104502,66.66666666666666,0.8888888888888888,0.5,1.0,0.3333333432674408,0.6934099449308286,0.7522039604759917,57.14285714285714,0.75,0.0,0.0,0.0,0.28387242230378407,0.5736754020357239,66.66666666666666,0.65,0.0,0.0,0.0,0.6416629683105642,0.6939972992934839,42.857142857142854,0.8333333333333334,0.0,0.0,0.0,0.6747315874572767,0.7101868782193734,37.5,0.25,0.0,0.0,0.0,0.6929781488833265,0.7283385454055296,50.0,0.5166666666666666,0.38461539149284363,0.3125,0.5,0.7718195971522112,0.6942567910153613,50.0,0.5833333333333334,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.69408836369184,0.620943840139627,70.0,0.6166666666666667,0.8846153914928436,0.8125,1.0,0.5056051520162426
