,DEL1q21_1,DEL1q21_1,DEL1q21_1
,Loss/train,Loss/test,Accuracy/test
0,0.7345927300599663,0.13865421443793582,40.0
1,0.691809638856387,0.14142216334439342,40.0
2,0.7025504985814915,0.163663284954078,40.0
3,0.678660763537465,0.14820495646516235,40.0
4,0.6845470060325577,0.13905491556097568,40.0
5,0.5587776008656675,0.15431917248846672,40.0
6,0.6225123984472039,0.13778506561544931,40.0
7,0.5984289627885065,0.15882120720340392,40.0
8,0.5414003960986786,0.13245263946551583,40.0
9,0.4800785176446112,0.11492062667460616,40.0
10,0.48807667343173733,0.12541309868246406,40.0
11,0.3959740331926639,0.10905600444703238,40.0
12,0.49273144204263075,0.10671883229244901,50.0
13,0.28367780832376005,0.09975731609334013,40.0
14,0.4336572272192382,0.10641394528913102,50.0
15,0.3771324342245848,0.1278681981524323,80.0
16,0.36740186053977475,0.14271064200377265,50.0
17,0.519601221817375,0.1012678391883145,70.0
18,0.26615344345389785,0.16050631283399902,50.0
19,0.11274887590557396,0.10320782857113722,80.0
20,0.07098445298739094,0.09622867432150117,80.0
21,0.019090372917702724,0.240598990729698,70.0
22,0.01571891828546794,0.06450921115436448,90.0
23,0.003749825725263633,0.3866553844217644,70.0
24,0.008367732356943837,0.1621221652717369,90.0
25,0.02663281694633483,0.0940210488853521,80.0
26,0.00761096596342446,0.07632995474047591,90.0
27,0.0004963551494400853,0.12624145598425585,70.0
28,0.0018099384696112293,0.06288696817715403,80.0
29,0.0009479915161174827,0.4029555819022015,70.0
30,0.000622942383276652,0.09453203744264277,80.0
31,0.011013669359436864,0.06210089620234412,80.0
32,0.0001651741577593218,0.15882690094866553,70.0
33,0.002191152331679917,0.1972964102315949,70.0
34,0.0001998125239541228,0.28292541127712467,80.0
35,0.0011361081922491353,0.06863633929639165,90.0
36,0.0003037090180664542,0.0813699655214989,80.0
37,8.17450042465819e-05,0.10136989344077296,80.0
38,0.00022304228569682442,0.3794089174365774,80.0
39,0.00010613778779424315,0.13664262542865743,80.0
40,0.00021585741152148875,0.12264477529958455,80.0
41,0.00010451029530173357,0.12510190039469396,80.0
42,0.00011366610368637202,0.11513903764666253,80.0
43,4.281971218634983e-05,0.3521289090323809,80.0
44,0.00022976671484477168,0.1031282824516854,80.0
45,7.033814423259957e-05,0.1035112233569947,80.0
46,8.159321969755755e-05,0.40874985945422326,80.0
47,6.382522309985126e-05,0.10614214093171692,80.0
48,6.349743917842964e-05,0.10860369836318047,80.0
49,7.303124399273896e-05,0.36120910785762217,80.0
50,9.857366137540445e-05,0.10917702518962383,80.0
51,0.00010352149926670641,0.1731391251169875,80.0
52,4.070795368017706e-05,0.17484574625297244,80.0
53,6.806170922205837e-05,0.36131380795957885,80.0
54,8.29148875429094e-05,0.10884824647864655,80.0
55,7.979523707008336e-05,0.11103182677085485,80.0
56,8.321630835963206e-05,0.1743640215271025,80.0
57,6.837683578222725e-05,0.3648595573170235,80.0
58,6.316708307626524e-05,0.17991168010238917,80.0
59,0.00010295980191651487,0.11008844114225166,80.0
60,0.00013742270713061554,0.11055884759669143,80.0
61,4.161062348830312e-05,0.11006471101557076,80.0
62,0.00010540515548333092,0.3668003844902525,80.0
63,8.58015081070345e-05,0.11124338583324482,80.0
64,8.213311732399337e-05,0.174321743457058,80.0
65,2.647603716721053e-05,0.11122966709906792,80.0
66,8.482719458221348e-05,0.17639523839320842,80.0
67,9.019461116318965e-05,0.11527810200043528,80.0
68,6.516563591871522e-05,0.11282084348258678,80.0
69,4.96114921385576e-05,0.11473256193663997,80.0
70,7.971533277388166e-05,0.11492356622229379,80.0
71,6.182278924009046e-05,0.11564808409332632,80.0
72,5.0091132250318503e-05,0.11351233058194017,80.0
73,5.898733325832937e-05,0.11226413973150987,80.0
74,3.420343274052415e-05,0.11607523662262398,80.0
75,1.3221662448658846e-05,0.11228412900883859,80.0
76,7.729610594400876e-05,0.11444280141487592,80.0
77,5.211054998188674e-05,0.11654997092700056,80.0
78,6.238483714637417e-05,0.11170327387448595,80.0
79,3.195491772794067e-05,0.11286845527988379,80.0
80,4.267656758156685e-05,0.11391916252476926,80.0
81,5.4358017942016325e-05,0.11822513630824527,80.0
82,2.3680550009972615e-05,0.11312713893723696,80.0
83,3.332077662978403e-05,0.3791391938119963,80.0
84,6.969264980130926e-05,0.37765381451448277,80.0
85,5.190194418862905e-05,0.11454195017334856,80.0
86,3.947005242330939e-05,0.37815295964181117,80.0
87,1.6216921635758415e-05,0.1797005409629638,80.0
88,2.3846914565249828e-05,0.37958107503981664,80.0
89,4.829566793003643e-05,0.3817478286022891,80.0
90,1.0868717965632693e-05,0.11435969847873614,80.0
91,3.3840647353748536e-05,0.11766696188963102,80.0
92,1.7514329381986877e-05,0.11588455909188596,80.0
93,7.861369449259005e-05,0.181673038135786,80.0
94,5.847469825680301e-05,0.3859639155656548,80.0
95,7.705213958825859e-05,0.38320494495256874,80.0
96,2.419611822970768e-05,0.11906483548478428,80.0
97,4.264818813965786e-05,0.11566038922136623,80.0
98,5.95781778134765e-05,0.11731963272135151,80.0
99,3.608940013960539e-05,0.11554626023272992,80.0
