,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test
0,0.6931358660444058,0.6931836664201059,37.5,0.2,0.0,0.0,0.0
1,0.6932303694816541,0.6933824434659571,50.0,0.5333333333333333,0.6666666865348816,0.5714285969734192,0.800000011920929
2,0.6932952770274622,0.6932605370905279,37.5,0.4666666666666667,0.0,0.0,0.0
3,0.6931593361922993,0.6931851692418667,37.5,0.3333333333333333,0.0,0.0,0.0
4,0.6930560698489817,0.6930278262760833,62.5,0.5333333333333333,0.7692307829856873,0.625,1.0
5,0.6931684232646936,0.69276636483708,62.5,0.5333333333333333,0.7692307829856873,0.625,1.0
6,0.6919993730657141,0.6924405454421376,62.5,0.5333333333333333,0.7692307829856873,0.625,1.0
7,0.6909049138149062,0.6924499371575519,62.5,0.5333333333333333,0.7692307829856873,0.625,1.0
8,0.6918809468260682,0.6924212098114442,62.5,0.5333333333333333,0.7692307829856873,0.625,1.0
9,0.6926320911947819,0.6922124853601193,62.5,0.5333333333333333,0.7692307829856873,0.625,1.0
10,0.6925855898580258,0.6917964068532787,62.5,0.5333333333333333,0.7692307829856873,0.625,1.0
11,0.6881429286473449,0.6912579049155487,62.5,0.5333333333333333,0.7692307829856873,0.625,1.0
12,0.6859515158881174,0.6905040226484904,62.5,0.5333333333333333,0.7692307829856873,0.625,1.0
13,0.7042609975315804,0.6889649156736473,62.5,0.5333333333333333,0.7692307829856873,0.625,1.0
14,0.6785808065075658,0.6873058923196943,62.5,0.5333333333333333,0.7692307829856873,0.625,1.0
15,0.6924025760026395,0.6841778758198243,62.5,0.5333333333333333,0.7692307829856873,0.625,1.0
16,0.6665299805210457,0.67504260921661,62.5,0.4666666666666667,0.7692307829856873,0.625,1.0
17,0.494607773204693,0.6819038669299052,62.5,0.4666666666666667,0.7692307829856873,0.625,1.0
18,0.6650430570728861,0.6717047181763238,62.5,0.4666666666666667,0.7692307829856873,0.625,1.0
19,0.571290205058346,0.73015715206494,62.5,0.5333333333333333,0.7692307829856873,0.625,1.0
20,0.6371845072469918,0.6722057113458717,62.5,0.4666666666666667,0.7692307829856873,0.625,1.0
21,0.8442694778637777,0.6700434511906275,62.5,0.5333333333333333,0.7692307829856873,0.625,1.0
22,0.6822247272493746,0.6659175282561228,62.5,0.6,0.7692307829856873,0.625,1.0
23,0.5329234025623387,0.697864184220691,62.5,0.5333333333333333,0.7692307829856873,0.625,1.0
