,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL1q21_1,DEL1q21_1,DEL1q21_1
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train
0,0.715001471446786,0.12013824832611804,50.0,0.13862935283588845,50.0,0.6931606897411517
1,0.7187543382626406,0.11759079545944516,50.0,0.13862155897095357,50.0,0.6931731474448837
2,0.737391699905875,0.11625559850616349,50.0,0.1376858428719386,50.0,0.6894490862413378
3,0.5437074782220623,0.1066689827020434,61.111111111111114,0.13580221129462794,40.0,0.6643717526868396
4,0.6060395719022275,0.11785748965371973,72.22222222222221,0.12522065140323296,60.0,0.5591803335551848
5,0.5761726214504006,0.081191634502174,77.77777777777779,0.15028061065691828,40.0,0.40211467395791434
6,0.31338265086377737,0.12720552485872746,55.55555555555556,0.16715924695412626,50.0,0.2240000446310022
7,0.5663621285931731,0.12275553246388886,61.111111111111114,0.14307298606744873,60.0,0.33969427165679333
8,0.5904729099755508,0.07166207727190715,77.77777777777779,0.13826445647785945,50.0,0.5737562623111557
9,0.32522511534435805,0.0691713509181297,83.33333333333334,0.13652216454746446,60.0,0.8530984453143561
10,0.13730577589851323,0.09707076792261227,77.77777777777779,0.2128385373974211,50.0,0.6213290920480387
11,0.009466799100109403,0.2225007226475474,66.66666666666666,0.2899597521038361,50.0,0.36744846278550874
12,0.04643577863673565,0.12796064628969817,66.66666666666666,0.15655146317223462,50.0,0.5862321484386821
13,0.6942355381914207,0.1261100457103126,61.111111111111114,0.21268390650000374,40.0,0.3602055433666455
14,0.24681358328427744,0.09755811497903069,72.22222222222221,0.1599577332540588,40.0,0.3457711865120702
15,0.002550137134449221,0.08697897428211113,83.33333333333334,0.3494980651058868,50.0,0.04140415457305926
16,9.015726826368841e-05,0.07927066039997871,83.33333333333334,0.4507501387350893,40.0,0.1410487707909214
17,1.4696052484912271e-05,0.09341910616852679,77.77777777777779,0.6476112475852049,40.0,0.061870201239157006
18,0.002125690981307327,0.48976108525449547,61.111111111111114,0.753159025010955,50.0,0.00279383242466815
19,0.000363378207401006,0.11050269807937367,83.33333333333334,0.416574065290708,50.0,0.5890132564355356
20,0.18722909336508986,0.07503253225802611,88.88888888888889,0.36957444623659275,50.0,0.48668153828004246
21,0.006726053691925487,0.11821791936318654,83.33333333333334,0.21830179115091833,50.0,0.03615771340945862
22,0.0003544961329643662,0.12631113304047434,77.77777777777779,0.25837384305775735,50.0,0.0022204851195399902
23,0.00017502442887970402,0.15301217286917798,77.77777777777779,0.8171953487976518,50.0,0.0037447049998420986
24,0.0003983940513314108,0.29951832202959133,77.77777777777779,0.7610852671729601,40.0,0.0005829903943963365
25,0.0011078329873874856,0.1508262265809212,77.77777777777779,0.34230999507267523,50.0,0.0007473843904679498
26,4.00403720803277e-05,0.16023076979295686,77.77777777777779,0.7675557659931236,40.0,0.0002984721867130145
27,0.00011027549735894126,0.3046589887298675,77.77777777777779,0.5992497631294806,40.0,0.0005002969028236543
28,7.727095957894957e-05,0.1562635747458417,77.77777777777779,0.5555160792548566,50.0,9.069212215714083e-05
29,1.8958747515114912e-05,0.16441383997269254,77.77777777777779,0.36156945778373195,40.0,0.0003201574425659362
30,1.815430519302691e-05,0.3482257348921993,77.77777777777779,0.8013392403688909,40.0,0.00024701323669019997
31,4.259380057276481e-05,0.15946391470292204,77.77777777777779,0.8238958281828459,40.0,3.747083781267951e-05
32,1.0129377365585077e-05,0.16173441544808187,77.77777777777779,0.5025858869643386,40.0,0.0001710551971916635
33,0.0002145208840980844,0.3799098196398963,77.77777777777779,0.6181761205191638,40.0,9.85054771079799e-05
34,1.272636104956352e-05,0.2802789751454651,77.77777777777779,0.9045581345305342,40.0,3.8542480367798624e-05
35,2.5245543866628426e-05,0.16577736962996048,77.77777777777779,1.0724457113079313,40.0,6.316509916247119e-05
36,5.018132629558286e-06,0.1657995005877975,77.77777777777779,0.736443237209809,40.0,0.00014919262888435784
37,1.0822581582193097e-05,0.16883501828202332,77.77777777777779,0.5306540157762578,40.0,3.039828331712564e-05
