,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test
0,0.6929670087188917,0.6913297650084177,60.0,0.75,0.4285714328289032,0.375,0.5
1,0.6937812388035851,0.6915149737502666,60.0,1.0,0.7179487347602844,0.5625,1.0
2,0.6936173283769379,0.6929170643660771,70.0,0.5416666666666667,0.4615384638309479,0.4285714328289032,0.5
3,0.689909850589206,0.6966065774981327,40.0,0.0,0.0,0.0,0.0
4,0.6872352647743956,0.6994186903390636,40.0,0.25,0.0,0.0,0.0
5,0.682448430885944,0.7080214754196301,40.0,0.25,0.0,0.0,0.0
6,0.6827420662950471,0.715035222303749,40.0,0.25,0.0,0.0,0.0
7,0.5676369282731752,0.8806368393932772,40.0,0.1,0.0,0.0,0.0
8,0.36248485188546076,1.082958045787186,40.0,0.16666666666666666,0.0,0.0,0.0
9,0.42485308468527955,1.1499288800352443,40.0,0.23333333333333334,0.0,0.0,0.0
10,0.3760216484912526,1.2744745953048144,40.0,0.40625,0.0,0.0,0.0
11,0.3947378973922047,0.952429761053239,20.0,0.5666666666666667,0.0,0.0,0.0
12,0.4456871107818839,1.2718868213774472,20.0,0.26666666666666666,0.0,0.0,0.0
13,0.2512461811245657,1.4455467122542158,40.0,0.4375,0.5555555820465088,0.7000000029802322,0.5
14,0.04784708196651341,2.4520262181558676,50.0,0.2,0.5833333432674408,0.5833333432674408,0.7000000029802322
15,0.03283054295330975,2.38855358929336,50.0,0.46875,0.5833333432674408,0.75,0.5
16,0.046531622754309644,2.341938102623583,50.0,0.5,0.3333333432674408,0.30000001192092896,0.375
17,0.012326984841991179,1.8103205274700531,40.0,0.4375,0.5,0.5,0.5
18,0.05237079416088657,1.1355137529902284,70.0,0.9333333333333333,0.8636363744735718,0.8333333432674408,0.9000000059604645
19,0.002918431540414818,1.6092683055400108,70.0,0.8666666666666667,0.7333333790302277,0.6500000059604645,0.9000000059604645
20,0.0017262976865837117,3.0325590311786965,50.0,0.41666666666666663,0.30000001192092896,0.375,0.25
21,0.0006419295891207877,3.4099040415875073,50.0,0.2,0.30000001192092896,0.30000001192092896,0.30000001192092896
22,0.0003782088989584139,3.5114792723431427,50.0,0.5,0.3333333432674408,0.30000001192092896,0.375
23,0.0037042935466052793,3.511640155218019,50.0,0.40625,0.5833333432674408,0.75,0.5
24,0.00014969816627433342,4.058152404481,50.0,0.4375,0.5833333432674408,0.75,0.5
