,DUP16p11_2,DUP16p11_2,DUP16p11_2
,Loss/train,Loss/test,Accuracy/test
0,0.6944968658165152,0.17329183771894846,50.0
1,0.6917731191839542,0.17332115194567255,50.0
2,0.6846561664435182,0.17334871303701158,50.0
3,0.6953038899780637,0.17339437430806454,50.0
4,0.6883650366707605,0.1734130529193324,50.0
5,0.7076701605747387,0.17343657591446954,50.0
6,0.6270179395723386,0.17129588033061277,50.0
7,0.4958853056320326,0.20152459196396225,50.0
8,0.4075515822850113,0.268979283824671,50.0
9,0.6869583175118777,0.17366185679476442,25.0
10,0.47788379942636977,0.17368670220968593,25.0
11,0.16231396135298382,0.3055475403759129,50.0
12,0.08899930783343758,0.24943112388525407,50.0
13,0.36443014959854864,0.2970441975358392,50.0
14,0.2064033679823477,0.21338167185569507,50.0
15,0.6397427704408132,0.3542134208263297,50.0
16,0.0014230637697512359,0.5322622211064121,50.0
17,0.12717187214635944,0.4075311194920337,50.0
18,1.92646605897312,0.5653987315773422,50.0
19,0.02685292240190863,0.4644548399992806,50.0
20,0.011814404022903662,0.32681375519415123,50.0
21,0.012847296781807892,0.3853560179080465,25.0
22,0.0009129962141701978,0.2978834927117618,50.0
23,0.0003788670489626281,0.3812830617720444,50.0
24,0.0005209034971330575,0.31460556086630226,50.0
25,0.004709753502459361,0.50667889189334,50.0
26,0.0022855052728331057,0.27215719334577654,50.0
27,8.194466817333188e-05,0.33337705148302293,75.0
28,0.0003707319791975859,0.28760806601970285,50.0
29,0.0002986601441522268,0.32725233256026104,75.0
30,1.1847937308079347e-05,0.34539887084599163,75.0
31,0.00017661275258499084,0.32021383886555926,75.0
32,0.0001287457530550258,0.3458963613651086,75.0
33,0.000128515465607656,0.33872217443453834,75.0
34,0.00024833942871768097,0.3569286542085537,75.0
35,0.000229189980650146,0.3574103835805973,75.0
36,3.702484819326203e-05,0.37772594473900334,75.0
37,0.00017771100233368193,0.3701742263803654,75.0
38,2.0820208117562826e-05,0.3785558301804476,75.0
39,0.0001099842521877278,0.4029999490336135,75.0
40,0.0002428655535715136,0.38118193834627445,75.0
41,3.0292287541354117e-05,0.4167338851959875,75.0
42,2.686858769784157e-05,0.39980780572219793,75.0
43,2.2101684413392368e-05,0.41581822894607073,75.0
44,8.418283293683837e-05,0.415372678296296,75.0
45,1.4591777920309542e-06,0.4147157943088235,50.0
46,0.00012164394746378633,0.43350534432460963,75.0
47,6.425021133981285e-05,0.41548084982149786,50.0
48,9.537604455111807e-05,0.44551430027002514,75.0
49,8.578190052809193e-05,0.43887813840756196,75.0
50,3.3760764687199873e-06,0.4333243677402104,75.0
51,8.110512859926379e-06,0.4479750193187341,75.0
52,1.6987612108698677e-05,0.4585532972780724,75.0
53,3.956698026573506e-05,0.4457010937399053,75.0
54,5.589942509088647e-05,0.46648866582293924,75.0
55,2.1231841450319077e-05,0.4604204250411262,75.0
56,1.006374678762058e-05,0.46813715445694376,75.0
57,5.695092835499052e-06,0.4891974662090238,50.0
58,4.4334085045796e-05,0.46873806390422806,75.0
59,4.002385870710277e-05,0.48553858525246674,50.0
60,3.819138846016693e-05,0.47710227492615553,75.0
61,2.6541362882020374e-05,0.4825505940412712,75.0
62,2.4408927825314374e-06,0.4952610016054907,50.0
63,6.9006706458656245e-06,0.49458576851498126,50.0
64,4.5428370231944616e-05,0.4999258833636225,50.0
65,4.8382278596186606e-05,0.5257864656736783,50.0
66,2.1803537497186185e-05,0.49071208057136684,75.0
67,8.127408412171285e-06,0.5133241570135885,50.0
68,1.213100075867338e-05,0.5310890082085553,50.0
69,1.6021769145613324e-05,0.5017839390556875,75.0
70,2.683932166229766e-05,0.5207647400668549,50.0
71,6.405804129706633e-07,0.5236976826112417,50.0
72,1.386699904423807e-05,0.5266635315018836,50.0
73,3.7994988065628965e-05,0.5298924168212978,50.0
74,1.12659234441107e-05,0.5319638983212981,50.0
75,6.165123440772402e-07,0.5315281169279722,50.0
76,1.8428058555104207e-05,0.5450540131055245,50.0
77,1.1310547928009756e-05,0.5364167250807181,50.0
78,5.232235752224178e-06,0.5588264896008819,50.0
79,7.151139896996351e-06,0.5465166366752469,50.0
80,2.7312742213411747e-06,0.5449785834174385,50.0
81,3.5810414373354805e-06,0.5515573943767775,50.0
82,7.1582135260149184e-06,0.5598893832602804,50.0
83,1.964777462043717e-05,0.5537806743541126,50.0
84,2.4755198964628216e-05,0.557579700679852,50.0
85,8.706121075901918e-06,0.5562399063785652,50.0
86,1.0421348780744792e-05,0.5687412621073563,50.0
87,1.0006008125235785e-05,0.5635127147970962,50.0
88,1.9236692317733798e-05,0.5767210332878495,50.0
89,7.925293750972331e-06,0.5758767975232646,50.0
90,2.803612622076925e-06,0.5738382629148794,50.0
91,7.186246470810221e-06,0.5721475700976052,50.0
92,9.256576306232619e-06,0.5884056847148442,50.0
93,3.516495897960403e-08,0.5839488742375628,50.0
94,5.33528886476153e-07,0.5737746228320997,50.0
95,8.11243010464377e-06,0.5818535797963573,50.0
96,4.966348992828039e-06,0.5890921811520412,50.0
97,1.2778268273859911e-05,0.5814444014222256,50.0
98,1.7049701922635995e-06,0.5873062831286889,50.0
99,1.328945677549046e-05,0.5933150110691913,50.0
