,SZ,SZ,SZ
,Loss/train,Loss/test,Accuracy/test
0,1.2788152886237134,0.09730609296101021,56.25
1,0.2750253013090941,0.06392269844917112,77.34375
2,0.3173533038678615,0.06600225191209451,75.78125
3,0.2709196002651278,0.0693172656750894,78.90625
4,0.08537827575259545,0.06763903513600408,79.6875
5,0.31084823332250827,0.09082432492169887,75.78125
6,0.1781750447516295,0.08206738959689051,78.125
7,0.02830415897683157,0.09651200086016508,77.34375
8,0.005427343355229035,0.0972847735098334,75.0
9,0.0006482181932988674,0.11661990640977468,79.6875
10,0.0028156222856009494,0.15722578499316317,74.21875
11,0.013998834917571888,0.10287008269710289,78.90625
12,0.0034258708890522083,0.13389057618061073,77.34375
13,0.003157888902443893,0.1379749289733529,75.78125
14,0.001348831328570668,0.1299118805725657,77.34375
15,9.468337229158435e-06,0.15371281252789576,76.5625
16,0.00034391523254655474,0.14178044276111357,75.78125
17,5.936977630904527e-05,0.14416984813609374,75.0
18,0.0004699216869531074,0.1424937039322582,75.0
19,0.0005624395802702631,0.14518743240023865,75.0
20,0.00039016502253302475,0.1461866510659278,75.0
21,0.00010735285177762947,0.14498447519867463,75.0
22,0.0003628464540741864,0.14669962836672376,75.0
23,0.0003220712902721874,0.14856146790692773,75.0
24,5.350039553390625e-05,0.1493439995822236,75.0
25,9.799708249153731e-05,0.1495105169129276,75.0
26,0.0002139702834288114,0.1487520088035478,75.78125
27,0.0001426298584455141,0.14978809090124873,75.78125
28,0.00018835993032701692,0.15016332172059985,75.78125
29,5.392521112742048e-05,0.1527339753747964,75.0
30,1.1191827555821017e-05,0.1517259195026713,75.78125
31,0.00013201029705286568,0.15260156862893898,75.0
32,1.0645115685096118e-05,0.15391716175420805,75.0
33,0.00013105382489543872,0.15514589275741686,75.0
34,0.00021314057376147007,0.15455351597136596,75.78125
35,8.920104256586751e-05,0.15505520574791318,75.78125
36,0.000225937011992501,0.15648657762511162,75.0
37,6.3635378976144765e-06,0.15668382062607122,75.78125
38,3.627733279044592e-05,0.15728247047529806,75.78125
39,0.00010401414918530641,0.15883251514889402,75.0
40,0.00013608842399375834,0.15867358519272165,75.78125
41,8.002577416590538e-05,0.1581314736113306,75.78125
42,6.761848299948421e-05,0.15991936374041416,75.78125
43,6.109215719639166e-05,0.16095937866046486,75.78125
44,7.463340492356636e-05,0.15987848089757137,75.78125
45,1.7261604658016703e-05,0.16059484628369466,75.78125
46,2.2529876072109453e-05,0.16211199298993467,75.78125
47,2.6948454128473975e-05,0.1617312267284865,75.78125
48,4.794773189302e-07,0.16306879662001356,75.78125
49,4.355004085885617e-06,0.16249114048251664,75.78125
50,1.9866132778838237e-05,0.16459284546422842,75.78125
51,2.097412649319631e-05,0.1645571616683749,75.78125
52,9.402707855340541e-06,0.16520769601827018,75.78125
53,1.743724775925948e-05,0.1658856806539989,75.78125
54,2.345070823184347e-05,0.16619485323781552,75.78125
55,2.0159232838010074e-05,0.16596592734313986,75.78125
56,2.3754957422290483e-05,0.16741047419782099,75.78125
57,5.943357576158861e-05,0.1682082658861009,75.78125
58,1.0018292842691556e-05,0.1688260224701067,75.78125
59,1.5472979558447428e-05,0.16928326197371432,75.78125
60,3.7218809773255684e-06,0.16982904856544073,75.78125
61,3.7053696559329604e-05,0.1711429742753351,75.78125
62,1.528338390981021e-05,0.17096168333418363,75.78125
63,8.317127489748762e-06,0.1706084239688058,75.78125
64,2.1148266022598506e-05,0.17097895689434617,75.78125
65,4.879959687238438e-06,0.17220727599291571,75.78125
66,8.735615446729116e-06,0.17265529309513472,75.78125
67,2.440440512975818e-05,0.1722958761746308,75.78125
68,1.3086910443539898e-05,0.17338502702880534,75.78125
69,1.511391750889538e-05,0.17394416983795646,75.78125
70,1.0414210885084735e-05,0.1739947994425135,75.78125
71,3.214624782632616e-05,0.17501306177268663,75.78125
72,8.546036489811014e-06,0.1754498499225678,75.78125
73,1.5039563333443093e-05,0.17601523921752454,75.78125
74,1.6694885859039648e-06,0.17607083820266334,75.78125
75,1.8170903900007178e-05,0.17679433078724563,75.78125
76,1.7198653437464104e-05,0.17776783024839843,75.78125
77,2.3891920841991447e-05,0.1778099254861402,75.78125
78,8.91997381054814e-06,0.17774873786313836,75.78125
79,7.972740521488784e-06,0.17967763857146393,75.78125
80,9.191512846387279e-06,0.17978417586661577,75.78125
81,5.785173961567031e-06,0.17980264031126555,75.78125
82,2.94809987631644e-06,0.18108371362629821,75.78125
83,5.310246064771232e-06,0.18116949582541994,75.78125
84,1.1599635060160597e-05,0.18175902005622976,75.78125
85,5.640425378922261e-06,0.18253888719675576,75.78125
86,4.201348061994569e-06,0.1817492538070765,75.78125
87,6.782845577388721e-06,0.1831814906623046,75.78125
88,3.3226441694755855e-06,0.18289106639302602,75.78125
89,4.092447440629571e-06,0.18344030676195866,75.78125
90,9.198931062100782e-06,0.18481279537651682,75.78125
91,9.3278969519208e-06,0.1849847093306453,75.78125
92,5.884697421757555e-06,0.1854672560269367,75.78125
93,3.198277018434244e-06,0.18610652845423303,75.78125
94,4.174036656147417e-06,0.18672491961763416,75.78125
95,8.658350330545444e-06,0.1865038105214959,75.78125
96,2.6927089883692742e-06,0.18747627277673068,75.78125
97,4.878962031865577e-06,0.18731683637876367,75.78125
98,7.0346580239260955e-06,0.18842267925752643,75.78125
99,5.108095052233445e-06,0.18927781079603356,75.78125
