,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,NYU,NYU,NYU,NYU,NYU,NYU,NYU,SZ1,SZ1,SZ1,SZ1,SZ1,SZ1,SZ1,SZ2,SZ2,SZ2,SZ2,SZ2,SZ2,SZ2,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,USM,USM,USM,USM,USM,USM,USM
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,314.26215055446386,287.78082251180666,0.0,0.0,0.0,0.0,0.0,4.917439962624129,0.0,0.0,0.0,0.0,0.0,2.1224417907988875,17.144822928151815,0.0,0.0,0.0,0.0,0.0,13.413806958757457,117.9179712759563,0.0,0.0,0.0,0.0,0.0,77.7034735086661,42.20771141011389,0.0,0.0,0.0,0.0,0.0,69.28444459753193,907.4222810707632,0.0,0.0,0.0,0.0,0.0,365.72471630740426,124.33139169412838,0.0,0.0,0.0,0.0,0.0,163.04120035747212,310.65444256780955,0.0,0.0,0.0,0.0,0.0,1097.0757479935053,673.0176634270277,0.0,0.0,0.0,0.0,0.0,632.3325300216761,538.9887004908877,0.0,0.0,0.0,0.0,0.0,624.0290884964593,277.73592939057886,0.0,0.0,0.0,0.0,0.0,258.06527811082515,904.7639525463594,0.0,0.0,0.0,0.0,0.0,921.7980230325444,501.53820654540243,0.0,0.0,0.0,0.0,0.0,101.13579781255154,23.76801304860119,0.0,0.0,0.0,0.0,0.0,2.3016245700087867,3298.3110023861723,0.0,0.0,0.0,0.0,0.0,3748.119612312724,2559.885015849125,0.0,0.0,0.0,0.0,0.0,2979.6714219396245,3030.9476159643646,0.0,0.0,0.0,0.0,0.0,3802.596969212953,310.9353591144891,0.0,0.0,0.0,0.0,0.0,349.7589960259817
1,240.217737541707,143.11604347381868,0.0,0.0,0.0,0.0,0.0,2.888731707185647,0.0,0.0,0.0,0.0,0.0,1.237912301527763,8.762583619957498,0.0,0.0,0.0,0.0,0.0,12.617652195906906,123.5845683706126,0.0,0.0,0.0,0.0,0.0,154.35444492635114,9.036244489882097,0.0,0.0,0.0,0.0,0.0,9.765983319498313,477.54464269898614,0.0,0.0,0.0,0.0,0.0,251.11912294409177,185.472899206688,0.0,0.0,0.0,0.0,0.0,31.906240230109503,168.46684607530648,0.0,0.0,0.0,0.0,0.0,163.96962520640656,524.8615098160141,0.0,0.0,0.0,0.0,0.0,462.90631433546093,201.13466350421373,0.0,0.0,0.0,0.0,0.0,379.3370518850653,194.7160531196064,0.0,0.0,0.0,0.0,0.0,420.5387008499107,647.8171513429148,0.0,0.0,0.0,0.0,0.0,439.09782786564557,306.9408650248354,0.0,0.0,0.0,0.0,0.0,49.300805720278746,16.499255482506967,0.0,0.0,0.0,0.0,0.0,30.33375356069435,2451.9983584221263,0.0,0.0,0.0,0.0,0.0,2636.8630009166127,1509.2358674141615,0.0,0.0,0.0,0.0,0.0,1834.5691082605872,2071.1189901679945,0.0,0.0,0.0,0.0,0.0,2734.704015306098,131.01113165901415,0.0,0.0,0.0,0.0,0.0,248.67105075044208
2,178.63712592216643,117.04629472178907,0.0,0.0,0.0,0.0,0.0,1.8974727671460045,0.0,0.0,0.0,0.0,0.0,11.022306455805756,4.947622964720258,0.0,0.0,0.0,0.0,0.0,0.6354179978718599,15.581122786597527,0.0,0.0,0.0,0.0,0.0,28.32218804296503,5.706041229956305,0.0,0.0,0.0,0.0,0.0,20.159266526071935,426.4784620375813,0.0,0.0,0.0,0.0,0.0,487.6881457876686,109.05171420528124,0.0,0.0,0.0,0.0,0.0,35.175916070111256,153.01775194346808,0.0,0.0,0.0,0.0,0.0,0.6875147435306541,353.02988656754974,0.0,0.0,0.0,0.0,0.0,430.92488157377795,140.56746828930898,0.0,0.0,0.0,0.0,0.0,240.4043055431684,155.7859418750586,0.0,0.0,0.0,0.0,0.0,23.35748139990751,454.69174149240825,0.0,0.0,0.0,0.0,0.0,117.87350419417089,243.00690002004035,0.0,0.0,0.0,0.0,0.0,42.8976344862885,17.028871063776805,0.0,0.0,0.0,0.0,0.0,22.06996606644341,1885.5275503902417,0.0,0.0,0.0,0.0,0.0,2111.891691684568,1117.9602447303491,0.0,0.0,0.0,0.0,0.0,1230.5235466555343,1615.7848416833954,0.0,0.0,0.0,0.0,0.0,1946.112420837451,119.6291379459547,0.0,0.0,0.0,0.0,0.0,37.15016545769021
3,12.685354842729383,103.90828057835832,0.0,0.0,0.0,0.0,0.0,1.7639689463786161,0.0,0.0,0.0,0.0,0.0,10.21945596851798,2.364116531258141,0.0,0.0,0.0,0.0,0.0,2.842513836330679,24.277605020191622,0.0,0.0,0.0,0.0,0.0,8.447593006766562,6.584628975471225,0.0,0.0,0.0,0.0,0.0,1.527722713882103,386.263168717762,0.0,0.0,0.0,0.0,0.0,217.44255934833518,94.71555268633549,0.0,0.0,0.0,0.0,0.0,8.096656326425924,141.4915996060189,0.0,0.0,0.0,0.0,0.0,117.01751144016517,202.76428845600893,0.0,0.0,0.0,0.0,0.0,261.50562485012154,86.25262626109553,0.0,0.0,0.0,0.0,0.0,69.37267583550857,73.29333075910463,0.0,0.0,0.0,0.0,0.0,112.76983742853267,282.0339810769804,0.0,0.0,0.0,0.0,0.0,426.0039767997689,184.79204266182654,0.0,0.0,0.0,0.0,0.0,184.88715340722177,20.643787079068296,0.0,0.0,0.0,0.0,0.0,21.759538094395793,1160.7491662906803,0.0,0.0,0.0,0.0,0.0,1068.6245233609868,605.5239817215895,0.0,0.0,0.0,0.0,0.0,842.6676567918873,1060.3196982881502,0.0,0.0,0.0,0.0,0.0,1161.9100139572286,168.01349717700168,0.0,0.0,0.0,0.0,0.0,57.443605595076484
4,19.02799332513977,95.34782552491822,0.0,0.0,0.0,0.0,0.0,1.6096876143770975,0.0,0.0,0.0,0.0,0.0,8.194406519916363,2.701996006969645,0.0,0.0,0.0,0.0,0.0,2.6724354654096443,11.232137166090723,0.0,0.0,0.0,0.0,0.0,9.624952074255656,4.351411075048526,0.0,0.0,0.0,0.0,0.0,4.909158004434715,337.3559769808968,0.0,0.0,0.0,0.0,0.0,345.78872040859767,87.64534643773608,0.0,0.0,0.0,0.0,0.0,8.471880683046678,148.09100675933803,0.0,0.0,0.0,0.0,0.0,389.9951931074175,119.21574959772644,0.0,0.0,0.0,0.0,0.0,86.40176022431339,72.56824981997083,0.0,0.0,0.0,0.0,0.0,187.4761538734074,67.33296685106613,0.0,0.0,0.0,0.0,0.0,119.94117798255928,231.1166873421111,0.0,0.0,0.0,0.0,0.0,224.44870741272337,196.74377557581457,0.0,0.0,0.0,0.0,0.0,71.80405225550264,34.620215655304186,0.0,0.0,0.0,0.0,0.0,22.338228988759944,587.6940209263328,0.0,0.0,0.0,0.0,0.0,374.867210412161,275.8447229719843,0.0,0.0,0.0,0.0,0.0,386.2090062377792,531.1430589395779,0.0,0.0,0.0,0.0,0.0,572.2251073799654,195.1973121451296,0.0,0.0,0.0,0.0,0.0,52.79199237580724
5,60.34984052984918,115.60345080252807,0.0,0.0,0.0,0.0,0.0,1.7485024142493735,0.0,0.0,0.0,0.0,0.0,2.92980534905069,3.824037735362745,0.0,0.0,0.0,0.0,0.0,0.9120143892694372,11.162503927047311,0.0,0.0,0.0,0.0,0.0,10.16505778204277,4.088611295252807,0.0,0.0,0.0,0.0,0.0,1.1226996873765334,301.2189245327861,0.0,0.0,0.0,0.0,0.0,264.59162137312046,90.37900542979254,0.0,0.0,0.0,0.0,0.0,82.4486525714518,119.26752807332689,0.0,0.0,0.0,0.0,0.0,3.78516876497395,107.65447755096257,0.0,0.0,0.0,0.0,0.0,175.39691779955115,88.15702619406387,0.0,0.0,0.0,0.0,0.0,281.25538325324646,93.21255110797861,0.0,0.0,0.0,0.0,0.0,117.17301866952994,219.8935464128578,0.0,0.0,0.0,0.0,0.0,201.2807044020577,178.5612637901738,0.0,0.0,0.0,0.0,0.0,91.29972250159011,18.48780864782245,0.0,0.0,0.0,0.0,0.0,3.5330947661268652,303.09296770062434,0.0,0.0,0.0,0.0,0.0,262.41123536981115,218.90138305362598,0.0,0.0,0.0,0.0,0.0,124.41772151705018,203.59250812481133,0.0,0.0,0.0,0.0,0.0,241.33942267586752,142.50916422518077,0.0,0.0,0.0,0.0,0.0,111.23706349580485
6,36.04844305705786,91.1604642519743,0.0,0.0,0.0,0.0,0.0,1.7585710141869513,0.0,0.0,0.0,0.0,0.0,2.9035427645006138,1.746770386348248,0.0,0.0,0.0,0.0,0.0,1.1020741852092923,11.1256556373745,0.0,0.0,0.0,0.0,0.0,12.777955258454444,4.052571775183794,0.0,0.0,0.0,0.0,0.0,4.611348958962778,447.2734404606034,0.0,0.0,0.0,0.0,0.0,239.89635804853916,82.6414606757272,0.0,0.0,0.0,0.0,0.0,65.43593745141641,116.14702283982206,0.0,0.0,0.0,0.0,0.0,257.32973321717986,98.38473102041945,0.0,0.0,0.0,0.0,0.0,66.23266078695585,67.09119926956826,0.0,0.0,0.0,0.0,0.0,210.97390479772216,49.82908738085723,0.0,0.0,0.0,0.0,0.0,80.66404270276041,228.9148855263436,0.0,0.0,0.0,0.0,0.0,238.9806931723041,170.89690075637952,0.0,0.0,0.0,0.0,0.0,18.162295096626977,25.356560641492575,0.0,0.0,0.0,0.0,0.0,9.656684094377413,245.32007599626786,0.0,0.0,0.0,0.0,0.0,129.7951688751536,201.53244527109354,0.0,0.0,0.0,0.0,0.0,132.17822466147865,177.15530499151933,0.0,0.0,0.0,0.0,0.0,213.6589385396249,87.2757484680443,0.0,0.0,0.0,0.0,0.0,18.364325058880535
7,11.139905631004595,78.48477788827476,0.0,0.0,0.0,0.0,0.0,1.5564676590810758,0.0,0.0,0.0,0.0,0.0,2.3999837182334978,2.7915343503004597,0.0,0.0,0.0,0.0,0.0,1.9123533070366396,9.071417294706713,0.0,0.0,0.0,0.0,0.0,10.741914598794423,3.4627778187031826,0.0,0.0,0.0,0.0,0.0,3.664672063561583,453.0539347476795,0.0,0.0,0.0,0.0,0.0,168.02644579340145,70.28434882742982,0.0,0.0,0.0,0.0,0.0,16.744006840333128,99.26782145995585,0.0,0.0,0.0,0.0,0.0,19.019693712944985,93.64816799733748,0.0,0.0,0.0,0.0,0.0,25.414116838320734,76.05866403023674,0.0,0.0,0.0,0.0,0.0,118.57587113392526,57.24972560174485,0.0,0.0,0.0,0.0,0.0,27.65291075502286,268.4435445054942,0.0,0.0,0.0,0.0,0.0,404.2802603612566,148.9051686637317,0.0,0.0,0.0,0.0,0.0,75.7413644993721,32.613892067954026,0.0,0.0,0.0,0.0,0.0,4.207465133572204,216.79152528085882,0.0,0.0,0.0,0.0,0.0,151.34508176600565,175.4253465654709,0.0,0.0,0.0,0.0,0.0,67.44999438431965,154.98782329976433,0.0,0.0,0.0,0.0,0.0,316.75514785278597,87.11957015094526,0.0,0.0,0.0,0.0,0.0,36.93647212090046
8,35.61873181866708,91.36561888703996,0.0,0.0,0.0,0.0,0.0,3.3090580789650024,0.0,0.0,0.0,0.0,0.0,0.369005028731934,2.586628514765137,0.0,0.0,0.0,0.0,0.0,0.37242649965126173,9.199231967220669,0.0,0.0,0.0,0.0,0.0,3.2314197861687015,3.797786342737557,0.0,0.0,0.0,0.0,0.0,1.9103093553588282,340.94055708698204,0.0,0.0,0.0,0.0,0.0,151.35140821465663,68.984190266929,0.0,0.0,0.0,0.0,0.0,2.457448306286185,71.9444804797522,0.0,0.0,0.0,0.0,0.0,91.57469514484262,65.60007588733195,0.0,0.0,0.0,0.0,0.0,131.44252554239137,65.8105408844112,0.0,0.0,0.0,0.0,0.0,110.21649542706864,54.44122960778375,0.0,0.0,0.0,0.0,0.0,69.28099339039264,274.52051218254155,0.0,0.0,0.0,0.0,0.0,298.0455857743459,132.32014649385883,0.0,0.0,0.0,0.0,0.0,4.090011267528423,18.55924157003489,0.0,0.0,0.0,0.0,0.0,10.604289965456864,186.31186449149533,0.0,0.0,0.0,0.0,0.0,135.93006087176914,147.0209950873049,0.0,0.0,0.0,0.0,0.0,56.84978449996601,143.94373810922502,0.0,0.0,0.0,0.0,0.0,125.04582907452888,73.67094673825748,0.0,0.0,0.0,0.0,0.0,96.76434766794927
