,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,0.8240300629417423,0.726451236114484,44.44444444444444,0.41666666666666663,0.0,0.0,0.0,0.6347190491566194,63.63636363636363,0.65625,0.8333333432674408,0.75,1.0,0.5470934022180686,0.6928537839813322,54.54545454545454,0.78125,0.0,0.0,0.0,0.6930886301630055,0.6928178026631298,50.0,0.6000000000000001,0.6573426723480225,0.5,1.0,0.6932148396777054,0.6895292744295004,50.0,0.625,0.6666666865348816,0.5,1.0,0.7093641753032683,0.6936079238846866,37.5,0.6,0.0,0.0,0.0,0.732819774327173,0.6932181722017957,50.0,0.2222222222222222,0.0,0.0,0.0,1.2840049101131772,0.6921429899591601,71.42857142857143,0.4,0.0,0.0,0.0,0.6983697438099314,0.6853725991983529,60.0,0.6,0.0,0.0,0.0,0.6979427616818121,0.6910205022458616,52.63157894736842,0.6555555555555556,0.0,0.0,0.0,0.7281997782408904,0.6924577383293485,50.0,0.6833333333333333,0.7727272808551788,0.6875,1.0,0.6932513020889388,0.7079978018935187,40.0,0.59375,0.0,0.0,0.0,0.9981027515480825,0.681829302783445,60.0,0.4375,0.8333333432674408,0.75,1.0,0.7098567459361367
1,0.702458856262986,0.6931711665534197,44.44444444444444,0.53125,0.1666666716337204,0.25,0.125,0.624105118160506,63.63636363636363,0.9,0.7846153974533081,0.6458333432674408,1.0,0.4659855513333448,0.6674838646436446,54.54545454545454,1.0,0.0,0.0,0.0,0.6872998047070649,0.6931684077626109,31.25,0.4,0.4444444626569748,0.3690476343035698,0.5666666775941849,0.6929819979529687,0.6933209496009303,50.0,0.4375,0.6666666865348816,0.5,1.0,0.6922210251466133,0.6935590338926751,37.5,0.6666666666666666,0.0,0.0,0.0,0.6939194728592003,0.7692397809708212,50.0,0.4444444444444444,0.0,0.0,0.0,0.5908397986342978,0.6930065240212676,71.42857142857143,0.1,0.0,0.0,0.0,0.6927278161816937,0.6771049327989056,60.0,0.46875,0.0,0.0,0.0,0.6611624762876167,0.6855241296074416,52.63157894736842,0.5277777777777778,0.0,0.0,0.0,0.6189971255914503,0.6930031666258499,50.0,0.4375,0.6666666865348816,0.5,1.0,0.6913207452258578,0.6863471225105903,60.0,0.40625,0.8333333432674408,0.75,1.0,0.6727597847935041,0.6923908633401386,60.0,0.7666666666666666,0.7179487347602844,0.5625,1.0,0.6872454457570618
2,0.650046834247102,0.7324440431941838,44.44444444444444,0.4375,0.0,0.0,0.0,0.697052664635601,63.63636363636363,0.75,0.6785714328289032,0.5416666716337204,1.0,0.2827808255003223,0.6959022348216245,54.54545454545454,0.25,0.0,0.0,0.0,0.69429210411709,0.6930790689399179,50.0,0.5333333333333333,0.6573426723480225,0.5,1.0,0.6933792392204702,0.6930788828419554,50.0,0.75,0.0,0.0,0.0,0.692897653229753,0.6927056563710433,62.5,0.8,0.7692307829856873,0.625,1.0,0.6932090331229803,0.692929677385702,50.0,0.7777777777777778,0.0,0.0,0.0,0.7893709247897328,0.692151653749972,71.42857142857143,0.1,0.0,0.0,0.0,0.6954043348258447,0.7298971818156555,60.0,0.23333333333333334,0.0,0.0,0.0,0.4923350420988386,0.6771203903057723,57.89473684210527,0.6666666666666666,0.13333333532015482,0.3333333333333333,0.08333333333333333,0.5333241475693004,0.7036170600142497,50.0,0.55,0.38461539149284363,0.3125,0.5,0.6560163834163807,0.6713860191889174,70.0,0.625,0.7857142686843872,0.8333333432674408,0.75,0.6865280979259736,0.6954980071487947,60.0,0.2,0.7179487347602844,0.5625,1.0,0.7161959441645405
3,0.5167625275561074,0.6620247708059517,55.55555555555556,0.6833333333333333,0.38461539149284363,0.3125,0.5,0.6413346887550887,63.63636363636363,0.7166666666666667,0.7846153974533081,0.6458333432674408,1.0,0.40817883721854886,0.6920665776608437,54.54545454545454,1.0,0.0,0.0,0.0,0.6772339973259681,0.693188093231996,50.0,0.46875,0.0,0.0,0.0,0.6933458204502272,0.692953450414054,50.0,0.5625,0.0,0.0,0.0,0.6929359846723617,0.6936248565115489,37.5,0.7333333333333333,0.0,0.0,0.0,0.6932161725825726,0.6767071104297925,50.0,0.6666666666666666,0.0,0.0,0.0,0.33903129786954794,0.6968917474238946,28.57142857142857,0.5,0.444444477558136,0.2857142984867096,1.0,0.6908221352801739,0.681796177593853,70.0,0.6666666666666666,0.25,0.5,0.1666666716337204,0.6113511659448357,0.9462252945147122,42.10526315789473,0.5263888888888889,0.4444444576899211,0.3571428656578064,0.600000003973643,0.5018095530823572,0.7575161714308829,50.0,0.6166666666666667,0.38461539149284363,0.3125,0.5,0.6290500583038715,0.7402803388885054,60.0,0.23333333333333334,0.7179487347602844,0.5625,1.0,0.6631525899726701,0.7330310440173291,60.0,0.3125,0.8333333432674408,0.75,1.0,0.5714639757444336
4,0.692844820195964,0.6929523962445749,44.44444444444444,0.65,0.3333333432674408,0.2857142984867096,0.4000000059604645,0.6081153204861018,63.63636363636363,0.75,0.6785714328289032,0.5416666716337204,1.0,0.6199965004153727,0.7500336173708599,54.54545454545454,0.45,0.0,0.0,0.0,0.6279013599534313,0.6880154273386155,56.25,0.59375,0.20000000298023224,0.5,0.125,0.6933070811201552,0.693431772278174,50.0,0.375,0.0,0.0,0.0,0.6980126608350787,0.6928431508518942,62.5,0.8666666666666667,0.5714285969734192,1.0,0.4000000059604645,0.6910676835595463,0.67528660459285,50.0,1.0,0.0,0.0,0.0,0.5834612483633964,0.6949957803565388,28.57142857142857,0.1,0.444444477558136,0.2857142984867096,1.0,0.6924107394443269,0.7395711252614314,60.0,0.4,0.0,0.0,0.0,0.4205446566950127,0.774544164779555,52.63157894736842,0.6361111111111111,0.0,0.0,0.0,0.3880795876721063,0.7793576287666508,50.0,0.6875,0.6666666865348816,0.5,1.0,1.2804313247742896,0.6911833228322666,40.0,0.9666666666666667,0.0,0.0,0.0,0.5241754022484375,0.7965615239455065,60.0,0.45833333333333337,0.4285714328289032,0.375,0.5,0.6496547371388111
5,0.6593267069860647,0.6578928172070966,55.55555555555556,0.55,0.38461539149284363,0.3125,0.5,0.7015002592078283,63.63636363636363,0.7916666666666667,0.6785714328289032,0.5416666716337204,1.0,0.8171062427165885,0.7192773368098754,54.54545454545454,0.6,0.0,0.0,0.0,0.752635533378484,0.6931155923262443,50.0,0.4666666666666667,0.0,0.0,0.0,0.6933994941719588,0.6932678139201366,50.0,0.4375,0.0,0.0,0.0,0.6922005218000132,0.6928558537539016,62.5,0.4666666666666667,0.7692307829856873,0.625,1.0,0.6927036931506285,1.020750586418665,50.0,0.7777777777777778,0.6666666865348816,0.5,1.0,0.10175947112966971,0.6994934623969079,28.57142857142857,0.3,0.444444477558136,0.2857142984867096,1.0,0.6995886292761546,0.7550700818571927,50.0,0.3333333333333333,0.3333333432674408,0.5,0.25,0.5683009779201372,1.3424251108099847,42.10526315789473,0.5888888888888889,0.5564102629820505,0.4146825472513835,0.8888888955116272,0.6121188630140483,1.0165359591538379,50.0,0.6166666666666667,0.7727272808551788,0.6875,1.0,0.3922404726211165,0.8867282414464202,60.0,0.2,0.7179487347602844,0.5625,1.0,0.43410953267692676,0.7634711568057126,40.0,0.375,0.6060605943202972,0.7142857164144516,0.625,0.49473574558101224
6,0.6771201538664733,0.6929292716854882,66.66666666666666,0.3833333333333333,0.38461539149284363,0.3125,0.5,0.6089969371039423,63.63636363636363,0.8666666666666667,0.7846153974533081,0.6458333432674408,1.0,0.6899205925712321,0.7529926554293188,54.54545454545454,0.3833333333333333,0.0,0.0,0.0,0.6373866926709415,0.6786429523168401,50.0,0.4,0.0,0.0,0.0,0.69946838212503,0.7343409131485875,50.0,0.3125,0.0,0.0,0.0,0.8440202955020387,0.6918666909579514,62.5,0.8,0.7692307829856873,0.625,1.0,0.6917725894922119,0.8483314210221836,50.0,0.7777777777777778,0.6666666865348816,0.5,1.0,0.7175383848113314,0.698531037549219,28.57142857142857,0.3,0.444444477558136,0.2857142984867096,1.0,0.696540674314152,0.7771152221164179,60.0,0.5625,0.0,0.0,0.0,0.33532963091148643,1.2475965365605353,42.10526315789473,0.6041666666666666,0.5707070628801981,0.420634925365448,0.9166666666666666,0.20072425827298027,1.057054005232213,50.0,0.75,0.6666666865348816,0.5,1.0,0.644528780364908,0.5498059703305673,70.0,0.9666666666666667,0.7500000298023224,0.6071428656578064,1.0,0.6018745091334612,0.7406290094904112,60.0,0.5333333333333333,0.7179487347602844,0.5625,1.0,0.5543672226068963
7,0.6026283156316269,0.6671091308419198,66.66666666666666,0.65625,0.8636363744735718,0.7857142984867096,1.0,0.5816819494689176,63.63636363636363,0.9,0.7846153974533081,0.6458333432674408,1.0,0.6011930911011953,0.7428097320216803,54.54545454545454,0.48333333333333334,0.0,0.0,0.0,0.5850083450811359,0.6929263215545618,50.0,0.65625,0.0,0.0,0.0,0.6932892475401058,0.6943166590663598,50.0,0.1875,0.0,0.0,0.0,0.6891242494162585,0.6915118129686013,87.5,0.9333333333333333,0.9090909361839294,0.8333333134651184,1.0,0.6925084607519357,0.7357345195756748,66.66666666666666,0.7777777777777778,0.75,0.6000000238418579,1.0,1.3644910016111904,0.6980152957895778,28.57142857142857,0.3,0.444444477558136,0.2857142984867096,1.0,0.6921659705552577,0.801929407971059,40.0,0.46875,0.1666666716337204,0.25,0.125,0.42615677615830455,1.0246171470722834,47.368421052631575,0.6458333333333334,0.6484848260879517,0.5079365173975626,0.9166666666666666,0.11819750784127607,0.8597499340245527,50.0,0.1875,0.6666666865348816,0.5,1.0,0.5715891568735311,0.46309679095774314,70.0,0.75,0.8636363744735718,0.7857142984867096,1.0,0.5019847552324821,0.7770215942023397,60.0,0.53125,0.8333333432674408,0.75,1.0,0.5034901948365235
8,0.5992208366059036,0.6729484661206573,55.55555555555556,0.5166666666666666,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.5829192777139354,72.72727272727273,0.8666666666666667,0.8166666924953461,0.6904762089252472,1.0,0.520149268970828,0.8011160591881588,54.54545454545454,0.3333333333333333,0.0,0.0,0.0,0.5714456696129036,0.6928531508361273,50.0,0.53125,0.6666666865348816,0.5,1.0,0.6899933787352064,0.7567522751623382,50.0,0.3125,0.0,0.0,0.0,0.9685369063461392,0.6889614358460345,62.5,0.9333333333333333,0.7692307829856873,0.625,1.0,0.6912328297617462,0.5549642710424129,66.66666666666666,0.8888888888888888,0.75,0.6000000238418579,1.0,1.3552831825603722,0.749546157540011,14.285714285714285,0.1,0.25,0.1666666716337204,0.5,0.8403320255334283,0.768395700406171,50.0,0.7333333333333334,0.3333333432674408,0.25,0.5,0.6453738648427216,0.8013913840168547,63.1578947368421,0.5333333333333333,0.4166666666666667,0.46666666865348816,0.4222222367922465,0.8445179340707236,0.8606442853644225,40.0,0.5833333333333333,0.3333333432674408,0.2857142984867096,0.4000000059604645,1.4159793456003973,0.37271586422072056,90.0,1.0,0.944444477558136,1.0,0.9000000059604645,0.29636367918323064,0.7457084937224309,60.0,0.7666666666666666,0.7179487347602844,0.5625,1.0,0.24878752995509512
