,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,SZ,SZ,SZ,SZ,SZ,SZ,SZ,ASD,ASD,ASD,ASD,ASD,ASD,ASD,BIP,BIP,BIP,BIP,BIP,BIP,BIP,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,0.6925619148031189,0.693124826349249,61.53846153846154,0.6666666666666667,0.5666666775941849,0.5833333432674408,0.625,0.6802315951001293,59.375,0.5909970238095238,0.5001127421855927,0.5916666705161333,0.4812500048428774,0.6945553456768628,0.6941182211036557,46.03174603174603,0.460218253968254,0.6012330359468857,0.46071428681413334,0.97222222139438,0.6896568987925797,0.6607118017462206,68.75,0.4833333333333333,0.0,0.0,0.0,0.5190835202363541,0.6612037847029325,64.65517241379311,0.3987301587301587,0.0,0.0,0.0,0.8400983025496433,0.6688074205930211,57.14285714285714,0.638888888888889,0.6159396270910898,0.5,0.8333333333333334,0.6723160161086899,0.6930999232945425,61.111111111111114,0.6944444444444443,0.4781145056088765,0.46666667858759564,0.5,0.6931355992818033,0.6059084994268552,77.77777777777779,0.5416666666666667,0.9285714328289032,0.875,1.0,0.6991400903406517,0.7099823406318098,42.857142857142854,0.43333333333333335,0.5274725407361984,0.3958333358168602,1.0,0.7006817421703432,0.5985599751003475,60.0,0.5,0.7179487347602844,0.5625,1.0,0.6779116711637856,0.6906355997298743,50.0,0.3333333333333333,0.5999999642372131,0.4285714328289032,1.0,0.8621311887712633
1,0.6931116440057951,0.6932743363139442,46.15384615384615,0.3,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.6671352379511235,58.59375,0.7450892857142857,0.31666666455566883,0.625,0.23229166865348816,0.5578714998684678,0.6940446992668476,46.56084656084656,0.45746527777777785,0.6209855110694965,0.47380952661236125,0.9833333343267441,0.6934316113543855,0.6407888316313735,68.75,0.33854166666666663,0.0,0.0,0.0,0.5877302651626151,0.6677925635347703,64.65517241379311,0.4550396825396826,0.0,0.0,0.0,0.7654082786891645,0.662939952980213,57.14285714285714,0.7319444444444444,0.7123987277348837,0.5625,1.0,0.9362523796160932,0.6930720901955101,38.88888888888889,0.44722222222222224,0.3897435963153839,0.3194444477558136,0.5,0.6930063944029297,0.6174765073786457,77.77777777777779,0.45833333333333337,0.9285714328289032,0.875,1.0,0.7951700006768269,0.6924300172550002,42.857142857142854,0.8,0.6060606241226196,0.4375,1.0,0.7270969137844995,0.7024970837960657,50.0,0.13333333333333333,0.6666666865348816,0.5357142984867096,0.9000000059604645,0.6645892924432483,0.7051687074620883,37.5,0.5333333333333333,0.5454545617103577,0.375,1.0,0.6913144490144045
2,0.6933037526329108,0.7084786548643905,46.15384615384615,0.35,0.0,0.0,0.0,0.742849586025135,52.34375,0.7062127976190476,0.08750000037252903,0.1875,0.059375000186264515,0.4853686121350845,0.6934793767222123,47.08994708994709,0.4388888888888889,0.6153307457764944,0.4729166676600774,1.0,0.6950477997063252,0.6486537925367261,68.75,0.5520833333333334,0.0,0.0,0.0,0.5815844748038841,0.6644970111942744,64.65517241379311,0.4092460317460318,0.0,0.0,0.0,0.7451913610386646,0.6630045304546892,57.14285714285714,0.6368055555555555,0.6159396270910898,0.5,0.8333333333333334,0.7280301623611136,0.6930306583664083,61.111111111111114,0.16507936507936508,0.7151515285174052,0.5833333333333334,1.0,0.6957170102798494,0.6910025743900756,77.77777777777779,0.45833333333333337,0.9285714328289032,0.875,1.0,0.7275231680293387,0.6686698440762332,64.28571428571429,0.625,0.20000000298023224,0.5,0.125,0.8312470949719514,0.6728265515552256,60.0,0.75,0.4285714328289032,0.375,0.5,0.7185007217172762,0.7453012882961355,37.5,0.4,0.5454545617103577,0.375,1.0,0.6766770281236663
3,0.6334894909113155,0.704620063935701,46.15384615384615,0.48333333333333334,0.45000000298023224,0.45000000298023224,0.5000000149011612,0.8161500978668983,55.46875,0.7520833333333334,0.16369047574698925,0.375,0.10833333525806665,0.5820797938243679,0.6901741032235246,47.08994708994709,0.48003472222222227,0.6286953948438168,0.47604166716337204,1.0,0.6943162450737645,0.6522720620986108,68.75,0.5541666666666667,0.0,0.0,0.0,0.6680676812682934,0.6688177021445805,64.65517241379311,0.43857142857142856,0.0,0.0,0.0,0.6870990859146062,0.6823083737309372,57.14285714285714,0.5715277777777777,0.6159396270910898,0.5,0.8333333333333334,0.6920107301405699,0.6842725372376718,61.111111111111114,0.37777777777777777,0.8008658091227213,0.7083333333333334,1.0,0.6604092786368864,0.6938427399023896,11.11111111111111,0.45833333333333337,0.0,0.0,0.0,0.6964731955219651,0.7483719357240995,57.14285714285714,0.38888888888888884,0.0,0.0,0.0,0.5632678971817974,0.7265096774120862,40.0,0.6,0.6060606241226196,0.5,0.800000011920929,0.7281654964153652,0.7710341332911748,37.5,0.4,0.5454545617103577,0.375,1.0,0.687173002545055
4,0.7114079141664917,0.7550457731951128,53.84615384615385,0.21875,0.0,0.0,0.0,0.5783255272781582,71.875,0.7723958333333332,0.6421627104282379,0.7468750067055225,0.5885416753590107,0.47734983424983213,0.6875639048447544,47.08994708994709,0.4595982142857144,0.6264901918669542,0.46979166691501933,1.0,0.6974196463886236,0.5357147660344168,68.75,0.6782738095238096,0.125,0.25,0.0833333358168602,0.2339317752977524,0.660015426170174,64.65517241379311,0.5048809523809524,0.0,0.0,0.0,0.7063308341304531,0.6917138371569185,57.14285714285714,0.5326388888888889,0.6214896341164907,0.5,0.8333333333333334,0.6926484957465462,0.6423709000035822,61.111111111111114,0.5722222222222223,0.5421245495478312,0.4583333333333333,0.6666666666666666,0.7394745833558711,0.6920702318088814,66.66666666666666,0.41666666666666663,0.8846153616905212,0.8571428656578064,0.9166666567325592,0.4915512592694808,0.721400269447546,42.857142857142854,0.37777777777777777,0.4166666716337204,0.36666667461395264,0.5000000149011612,0.89670669786737,0.574379236233056,70.0,0.9333333333333333,0.8846153914928436,0.8125,1.0,0.6719742532133702,0.7313493455052873,50.0,0.4,0.5999999642372131,0.4285714328289032,1.0,0.6555634822203622
5,0.602867914550573,0.7338065573373895,61.53846153846154,0.3645833333333333,0.20000000298023224,0.5,0.125,0.5894989540598133,67.1875,0.81875,0.7025117352604866,0.6832589358091354,0.8416666705161333,0.6931133872455942,0.6879114431695473,47.08994708994709,0.5510416666666668,0.6262422918031613,0.46979166691501933,1.0,0.7181955668833575,0.5513365394188894,78.125,0.7767857142857143,0.533333346247673,0.5416666716337204,0.625,0.6360772024093395,0.653927091951294,59.48275862068966,0.5646825396825397,0.07777777910232545,0.13333333333333333,0.055555556217829385,0.665983448193401,0.6924443053008604,57.14285714285714,0.5674603174603174,0.6878306989868482,0.5625,1.0,0.6947028313750183,0.6836588565558737,61.111111111111114,0.4222222222222222,0.7350427508354187,0.5833333333333334,1.0,0.7463346499886632,0.8381229928080475,22.22222222222222,0.41666666666666663,0.0,0.0,0.0,0.6790537737379855,0.7754525707133132,57.14285714285714,0.43333333333333335,0.0,0.0,0.0,0.5740484536700107,0.6092005561505663,60.0,0.71875,0.8333333432674408,0.75,1.0,0.7647051967913224,0.9381311322728679,37.5,0.6666666666666666,0.5454545617103577,0.375,1.0,0.6257802396184408
6,0.7850700877920529,0.8851882129052974,53.84615384615385,0.3,0.20000000298023224,0.25,0.1666666716337204,0.771060312489805,67.1875,0.7872767857142857,0.7162993308156729,0.6149553647264838,0.9281250014901161,0.6137743374105648,0.7064482231555215,47.08994708994709,0.5937500000000001,0.6307560640076796,0.4729166676600774,1.0,0.546907790219505,0.5781473020150516,75.0,0.8142857142857143,0.6916666924953461,0.5750000104308128,0.9500000029802322,0.5882114353369514,0.6439810412189872,64.65517241379311,0.5982936507936507,0.0,0.0,0.0,0.456965764419906,0.6924376385094181,57.14285714285714,0.4847222222222222,0.7564102709293365,0.625,1.0,0.7137665862820787,0.7597341200939851,61.111111111111114,0.6583333333333333,0.811965823173523,0.7083333333333334,1.0,0.6313825767815705,0.6957163896118664,22.22222222222222,0.375,0.0,0.0,0.0,0.691240107222279,0.7436928677602139,42.857142857142854,0.47916666666666663,0.0,0.0,0.0,0.634655007926517,0.6311433159365599,70.0,0.75,0.8636363744735718,0.7857142984867096,1.0,0.5435374717500052,0.8741063012253668,37.5,0.4,0.5454545617103577,0.375,1.0,0.647656811284946
7,0.5601486417358346,0.7736080136870889,53.84615384615385,0.28125,0.1666666716337204,0.25,0.125,0.6228671276075477,69.53125,0.7567708333333334,0.5598328877240419,0.7343750037252903,0.47760417219251394,0.4068199791281241,0.6863354595873028,47.08994708994709,0.5516617063492063,0.6201500023404757,0.4729166676600774,0.9583333333333334,0.4810066753198204,0.48382932718480753,81.25,0.7983630952380952,0.5166666731238365,0.6666666716337204,0.4791666716337204,0.3291038478492082,0.6606999103948259,64.65517241379311,0.5284126984126983,0.0,0.0,0.0,0.5635679628550359,0.6928380345802245,57.14285714285714,0.6213293650793651,0.7008547137180964,0.5625,1.0,0.6959161432302348,0.617721355423585,61.111111111111114,0.7333333333333334,0.7350427508354187,0.5833333333333334,1.0,0.5369598853516021,0.7790275743883665,22.22222222222222,0.6071428571428572,0.0,0.0,0.0,0.6944851237466287,0.78588911252156,42.857142857142854,0.23333333333333334,0.34285713732242584,0.375,0.3333333432674408,0.5611456215399586,0.6245319822080914,70.0,0.75,0.4615384638309479,0.4285714328289032,0.5,0.7387490967945819,1.0212237418247385,37.5,0.4666666666666667,0.5454545617103577,0.375,1.0,0.48707147756190333
8,0.6384606004806436,0.7846818286134821,61.53846153846154,0.4583333333333333,0.3333333432674408,0.5,0.25,0.5948781032012612,71.875,0.87421875,0.6291666738688946,0.8541666679084301,0.5611607190221548,0.48091598637951954,0.6842330090821773,47.08994708994709,0.5991567460317461,0.5989815847327312,0.466666666790843,0.9583333333333334,0.6870240201045065,0.47777657127755435,75.0,0.7446428571428572,0.49166667461395264,0.4791666716337204,0.5250000059604645,0.3677020007653652,0.6533376205171898,64.65517241379311,0.6146428571428572,0.09333333373069763,0.1,0.08888888955116273,0.6058488892275598,0.6927182728188592,57.14285714285714,0.42291666666666666,0.7508602639039358,0.625,1.0,0.6924077330762699,0.7147287668002018,61.111111111111114,0.7055555555555556,0.5421245495478312,0.4583333333333333,0.6666666666666666,1.072829377568023,0.7484649417180331,22.22222222222222,0.5357142857142857,0.0,0.0,0.0,0.6890413530022403,0.721195889505965,50.0,0.45555555555555555,0.0,0.0,0.0,0.6185247090870997,0.649223211164156,60.0,0.8,0.8333333432674408,0.7857142984867096,0.9000000059604645,0.5103942742995876,0.9327263785482056,37.5,0.4666666666666667,0.5454545617103577,0.375,1.0,0.3326063753535485
