,SZ,SZ,SZ,DEL1q21_1,DEL1q21_1,DEL1q21_1
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train
0,0.6713596885730674,0.08445540534595898,60.15625,0.1386257450591586,50.0,0.6936107004418528
1,0.6798329979059389,0.08339348994312588,60.15625,0.13878369710133945,50.0,0.6913474921903177
2,0.6175077279609918,0.08019160941190934,62.5,0.1386060808042432,50.0,0.6936114071057503
3,0.5551658466275929,0.1544274763121684,64.84375,0.13871717811482492,50.0,0.6903873358511563
4,0.4383476171587244,0.07387593859286853,68.75,0.13930213196873825,50.0,0.6946344909281025
5,0.5763893061171627,0.07605647089798043,62.5,0.2872420097982623,50.0,0.6641336126075768
6,0.5572827967285052,0.07975819048602852,72.65625,0.24304816967987697,50.0,0.6283406580839458
7,1.6647512398413198,0.10708259600448373,64.0625,0.14162699366294249,50.0,0.6973286174470037
8,0.012910620842015413,0.08749907004040655,71.875,0.13938847381333322,50.0,0.6954665198076568
9,0.135579503001932,0.08797568871819447,68.75,0.1390591721985032,50.0,0.6815118403600751
10,0.27246126567004575,0.0915700651447689,70.3125,0.14005710635031035,50.0,0.6760162584438503
11,0.6739808385561944,0.09107559468254843,72.65625,0.5145190884847406,50.0,1.8101959203569815
12,0.04841620998089429,0.14824584494919157,65.625,0.1376120186328354,50.0,0.5339218092827029
13,0.7009974244167395,0.15539998082805517,62.5,0.4496858124380722,50.0,5.739921706837099
14,0.04330857819206618,0.10886925261014035,71.09375,0.13914893574028198,40.0,0.6051352459329169
15,0.23204302082202233,0.13369503871832475,71.875,0.13754620881151247,50.0,0.7262003954082302
16,0.21679753606366028,0.14293847945380472,73.4375,0.15800325228094764,50.0,0.45236377082248236
17,0.057937297735043636,0.12565145735868044,74.21875,0.1412399311487545,40.0,0.6015044930999589
18,0.006929246312916203,0.15457439517940127,74.21875,0.14115922992712196,40.0,0.5098819793880542
19,0.6775844167656165,0.1196083471426307,70.3125,0.16112493098777886,40.0,0.9287301431624984
20,0.7729469678712446,0.11753495512795761,68.75,0.4562150824228187,60.0,0.45204581476576516
21,0.010086560979911544,0.13394823727778424,74.21875,0.6940366854807634,50.0,3.107022134487182
22,0.0075264491422011165,0.14708519042579304,76.5625,0.13798333304376134,50.0,0.5819877334102274
23,0.008028807893462267,0.1426570882980808,67.1875,0.14020063798312657,50.0,0.5931421732577908
24,0.003829274312491929,0.17854265216244353,72.65625,0.12607610890101117,50.0,0.7723804332829174
25,0.00450976495539774,0.1819536638630631,73.4375,0.2805399389421915,40.0,0.3161992063705401
26,0.0031043778612519987,0.2267755549899824,67.96875,0.8255030712075587,40.0,0.33221825381402914
27,9.274688730659094e-05,0.21433489122082877,73.4375,0.21473122707932585,50.0,0.6329522220806358
28,0.012080157969995002,0.20142180999516557,73.4375,0.14403610868215697,40.0,0.5841621132647242
