,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,SZ,SZ,SZ,SZ,SZ,SZ,SZ,BIP,BIP,BIP,BIP,BIP,BIP,BIP,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,0.6938966756651458,0.6942502350883345,37.5,0.13333333333333333,0.0,0.0,0.0,0.6919497932424615,39.84375,0.4984375,0.553885018453002,0.3984375,1.0,0.694538371320823,0.6222076402996157,75.0,0.643452380952381,0.0,0.0,0.0,0.6808549175448231,0.6932838973205833,41.17647058823529,0.42777777777777776,0.0,0.0,0.0,0.6936277890088707,0.6934270784076043,44.44444444444444,0.53125,0.3333333432674408,0.25,0.5,0.6899509365526967,0.8722726149040677,23.076923076923077,0.47619047619047616,0.0,0.0,0.0,0.6609989310895489,0.6935035943544108,28.57142857142857,0.46875,0.0,0.0,0.0,0.6966997571656143,0.7172649075878423,50.0,0.5625,0.6666666865348816,0.5,1.0,0.6934924900263224,0.7102748090752312,55.65217391304348,0.46678571428571425,0.0,0.0,0.0,0.7235489078618303,0.6931385221663839,46.34146341463415,0.5770833333333333,0.5195471197366714,0.4047619054714839,0.7916666666666666,0.6929983383372702
1,0.6918832388908188,0.6940132995796464,37.5,0.13333333333333333,0.0,0.0,0.0,0.674839253886438,64.0625,0.6775669642857144,0.384090906009078,0.536458333954215,0.34732143115252256,0.6930491118769933,0.591940267510823,78.125,0.6154761904761904,0.4583333432674408,0.5416666716337204,0.4166666716337204,1.5659099385975832,0.6933944901607308,47.05882352941176,0.6222222222222222,0.09523809949556987,0.3333333333333333,0.055555557211240135,0.9136445214550337,0.6728471593919927,44.44444444444444,0.75,0.3333333432674408,0.25,0.5,0.6683381833195638,0.6892253666521456,23.076923076923077,0.5833333333333333,0.0,0.0,0.0,0.7457407216677933,0.6263776226145978,71.42857142857143,0.5,0.8391608595848083,0.7291666567325592,1.0,0.6940563648857496,0.7372699122033989,50.0,0.59375,0.6666666865348816,0.5,1.0,0.6825947193513062,0.7041456643676658,44.34782608695652,0.358888888888889,0.5975158313910166,0.43888888955116273,1.0,0.7215316318955723,0.7049434549362877,51.21951219512195,0.4048611111111111,0.0,0.0,0.0,0.696084431502967
2,0.6924834194128451,0.6951126218568853,37.5,0.0,0.0,0.0,0.0,0.5990903324712369,70.3125,0.6999255952380952,0.5428300928324461,0.6104166693985462,0.5427083391696215,0.5588737646198475,0.5458007403519282,71.875,0.7053571428571428,0.0,0.0,0.0,0.645078259181662,0.6670829771340854,58.82352941176471,0.6791666666666667,0.380952388048172,0.5,0.3166666676600774,0.6302086350593348,0.7196621479810772,44.44444444444444,0.40625,0.3333333432674408,0.25,0.5,0.6441946901973981,0.5628701572310089,76.92307692307693,0.7083333333333333,0.8611111342906952,0.8166666626930237,0.9166666567325592,1.1912663055016288,0.6993809600086737,50.0,0.6875,0.45000000298023224,1.0,0.2916666716337204,0.6933436489742087,0.7086532915063446,60.0,0.1875,0.6969697177410126,0.5357142984867096,1.0,0.7177371810183464,0.6844700137268864,55.65217391304348,0.6208333333333333,0.0,0.0,0.0,0.7258641880272944,0.6796658694085688,65.85365853658537,0.7027777777777778,0.5472222318251928,0.5583333373069763,0.6000000089406967,0.682857136708795
3,0.6933835939358785,0.6912363833657107,62.5,0.8666666666666667,0.7692307829856873,0.625,1.0,0.6396246245313616,56.25,0.7529389880952382,0.5842910595238209,0.46331845596432686,0.9114583358168602,0.6550357547853168,0.5869224210860429,65.625,0.669047619047619,0.2857142686843872,0.25,0.3333333432674408,0.7977184662295291,0.5889698682637231,64.70588235294117,0.6833333333333332,0.8190476099650065,0.7261904776096344,1.0,0.6644545648618843,0.6935647413945705,44.44444444444444,0.5625,0.3333333432674408,0.25,0.5,0.6918211056965015,0.8912646025985962,23.076923076923077,0.625,0.0,0.0,0.0,0.6669877860666916,0.7617182651839771,42.857142857142854,0.33333333333333337,0.5064935088157654,0.5666666775941849,0.4583333432674408,0.6903463639768692,0.7576540321737678,40.0,0.65625,0.7000000029802322,0.6666666716337204,0.75,0.7031734602427584,0.7442003170342996,46.08695652173913,0.5241666666666667,0.5816161731878916,0.4730158815781275,0.8444444497426351,0.5992877117147366,0.7118271678416923,48.78048780487805,0.5972222222222222,0.5242424259583155,0.4107142885526021,0.777777781089147,0.6848153526556486
4,0.6918320304292999,0.6935183966489635,37.5,0.3333333333333333,0.2857142984867096,0.5,0.20000000298023224,0.561018539439822,71.09375,0.7378720238095238,0.5137897003442049,0.6000000014901161,0.5000000055879354,0.4612343943646226,0.6758163081480101,71.875,0.7220238095238096,0.0,0.0,0.0,0.1607532501165128,0.7214331583937006,52.94117647058824,0.6777777777777777,0.22222222884496054,0.3333333333333333,0.16666666666666666,0.4257909900098282,0.6669212737234547,44.44444444444444,0.55,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.6915026008169098,0.5931091942943211,84.61538461538461,0.6833333333333333,0.8989899456501007,0.9166666567325592,0.9000000059604645,0.8534302058418873,0.7517631544752875,42.857142857142854,0.40625,0.25,0.5,0.1666666716337204,0.7159744148297047,0.7009142598996048,70.0,0.28125,0.7333333492279053,0.5833333432674408,1.0,0.8076232480472194,0.6846969177411387,55.65217391304348,0.6233333333333334,0.0,0.0,0.0,0.7909496654942801,0.6811786026891926,51.21951219512195,0.6055555555555556,0.49857550611098606,0.4083333338300387,0.75,0.7953537878292121
5,0.6746965274687913,0.693838992590424,50.0,0.26666666666666666,0.3333333134651184,1.0,0.20000000298023224,0.6223732915417073,69.53125,0.7439360119047619,0.6215000413358212,0.5770833417773247,0.7233631014823914,0.6981449355340383,0.5844400867724426,78.125,0.7875,0.5,0.5,0.5,0.7738573859016691,0.588483297142528,70.58823529411765,0.7444444444444445,0.5166666905085245,0.600000003973643,0.46666667858759564,0.325515897240401,0.6935208948111473,33.33333333333333,0.3833333333333333,0.625,0.6000000014901161,0.6666666716337204,0.692369392270578,1.3299664466677397,23.076923076923077,0.5416666666666667,0.0,0.0,0.0,0.5593287862501833,1.0787163522736594,28.57142857142857,0.5833333333333333,0.0,0.0,0.0,0.6631001154792243,0.828219777735583,50.0,0.6833333333333333,0.0,0.0,0.0,0.7426457958715387,0.710650508811856,55.65217391304348,0.6697222222222222,0.0,0.0,0.0,0.6237115537500819,0.6854933096946455,51.21951219512195,0.5986111111111111,0.6948718080917994,0.5791666706403097,0.9583333333333334,0.6899975820723009
6,0.5981406067885249,0.6885573765423352,87.5,0.7333333333333333,0.9090909361839294,0.8333333134651184,1.0,0.606972263130995,72.65625,0.7734375,0.5589285753667355,0.7135416716337204,0.5052083358168602,0.41441922250701496,0.5769862421941272,75.0,0.696875,0.25,0.25,0.25,0.594857380511697,0.6893822671561007,47.05882352941176,0.7103174603174603,0.08333333333333333,0.3333333333333333,0.047619049747784935,0.5425673840421673,0.6465018073929898,55.55555555555556,0.625,0.0,0.0,0.0,0.6940095840246819,0.8169463921109525,46.15384615384615,0.75,0.3333333432674408,0.5,0.25,0.33875409940688744,0.7254204694878884,42.857142857142854,0.6041666666666667,0.4166666716337204,0.75,0.2916666716337204,0.6502798165248798,0.7371664551899145,50.0,0.5833333333333333,0.0,0.0,0.0,0.5685730309074668,0.6596966711405974,59.130434782608695,0.6199999999999999,0.18333333134651184,0.4111111124356588,0.12396825651327768,0.47091127038243324,0.684276793273139,60.97560975609756,0.7152777777777777,0.3666666696468989,0.6666666666666666,0.2916666666666667,0.8115840752592259
7,0.6941692080310383,0.6939699568420652,37.5,0.4666666666666667,0.0,0.0,0.0,0.758930384057852,70.3125,0.8291294642857142,0.41785714589059353,0.71875,0.32053571566939354,0.3315065432281435,0.7635919433230729,71.875,0.6595238095238095,0.0,0.0,0.0,0.83155014966265,0.7826121657272629,47.05882352941176,0.6555555555555556,0.1111111044883728,0.3333333333333333,0.06666666766007741,0.39653025631508954,0.6677982841366764,55.55555555555556,0.55,0.0,0.0,0.0,0.5902525578011087,1.2953418404891908,23.076923076923077,0.75,0.0,0.0,0.0,0.4311590029915744,0.8488752968664952,28.57142857142857,0.7916666666666667,0.0,0.0,0.0,0.6862473703873987,0.7619267009270322,50.0,0.48333333333333334,0.0,0.0,0.0,0.690472233604485,0.7536533568795668,55.65217391304348,0.6128571428571429,0.0,0.0,0.0,0.27741984492223043,0.7024327223916679,53.65853658536586,0.5638888888888889,0.08333333333333333,0.16666666666666666,0.055555557211240135,0.48359468375816395
8,0.7234251732993431,0.6927748329795134,37.5,0.5333333333333333,0.2857142984867096,0.5,0.20000000298023224,0.6080854738616432,69.53125,0.8001488095238095,0.6424107253551483,0.5979166720062494,0.7479166723787785,0.6734276181544353,0.6381789974651904,78.125,0.718452380952381,0.2916666716337204,0.375,0.25,0.11261764773386836,1.0252820436217311,47.05882352941176,0.6555555555555556,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6490016579562612,0.6399133848056826,33.33333333333333,0.55,0.0,0.0,0.0,0.5291900626591718,0.5109352105845636,84.61538461538461,0.625,0.875,0.875,0.875,1.114215005003463,0.7704777157474213,35.714285714285715,0.8,0.1666666567325592,0.5,0.10000000149011612,1.159133976603689,0.7344259055518367,50.0,0.48333333333333334,0.3636363744735718,0.3333333432674408,0.4000000059604645,0.7135158614370312,0.745514240602045,55.65217391304348,0.6459523809523808,0.0,0.0,0.0,0.7458159319474662,0.6840020949807906,51.21951219512195,0.5875,0.4041005422671636,0.3972222258647283,0.46388889104127884,0.6912424129372432
9,0.7283426028264738,0.6860138693792565,50.0,0.5333333333333333,0.5,0.6666666865348816,0.4000000059604645,0.6940163140965978,72.65625,0.7664062500000001,0.6464285794645548,0.7072916720062494,0.6239583399146795,0.2021682366379517,0.6720435962415017,71.875,0.6613095238095238,0.2916666716337204,0.5,0.2083333358168602,0.5311361828161739,0.8079239453421599,58.82352941176471,0.6277777777777778,0.5,0.6666666666666666,0.4444444477558136,0.505798398088937,0.6035902883510423,33.33333333333333,0.55,0.0,0.0,0.0,0.6938812177003637,0.526968750560309,76.92307692307693,0.7916666666666667,0.7948718070983887,0.9285714328289032,0.75,0.23834551298402484,0.7228571805567271,42.857142857142854,0.7301587301587301,0.222222238779068,0.5,0.1428571492433548,0.6542803360710796,0.7387018434524331,50.0,0.55,0.7727272808551788,0.6875,1.0,0.49355316428119345,0.6587412052449113,59.130434782608695,0.663611111111111,0.4783261160055796,0.5044444501399994,0.5033333381017049,0.681330846385358,0.7167311869016658,63.41463414634146,0.6140873015873016,0.4361111174027125,0.6944444477558136,0.3988095248738925,0.48684370698993923
10,0.5802183078525429,0.65034127125456,37.5,0.5333333333333333,0.444444477558136,0.5,0.4000000059604645,0.7371176997216408,71.875,0.7854166666666667,0.691716281697154,0.642708339728415,0.7927083373069763,0.6775716265312383,0.7849769775251024,71.875,0.7833333333333333,0.5,0.5,0.5,0.2959427873948031,0.7819978294407087,58.82352941176471,0.7000000000000001,0.3015873034795125,0.6666666666666666,0.20000000298023224,0.03644374796817126,0.6480879987888836,44.44444444444444,0.46875,0.0,0.0,0.0,0.6898884171235181,0.4061724473411751,84.61538461538461,0.875,0.9166666567325592,0.9166666567325592,0.9166666567325592,0.22348195881872757,0.6769027482682226,57.14285714285714,0.6666666666666667,0.625,0.8333333432674408,0.5000000149011612,0.5933995640463825,0.8624129221588728,50.0,0.48333333333333334,0.38461539149284363,0.3125,0.5,0.3255688673923951,0.6523849958189349,62.60869565217392,0.6683333333333334,0.5638095319271088,0.5922222286462784,0.5888888935248057,0.6703818502804231,0.7241476238354774,41.46341463414634,0.5694444444444444,0.42718856036663055,0.3640873034795125,0.600000003973643,0.7826935025036531
