,DUP16p11_2,DUP16p11_2,DUP16p11_2,BIP,BIP,BIP
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train
0,0.5617575154427005,0.14977893802383366,28.57142857142857,0.0777280948958897,75.0,0.40783908950305364
1,0.6814277998819005,0.0975766149405004,28.57142857142857,0.07059041024794595,75.0,0.39946471142337775
2,0.6768780022786265,0.09743462058783048,28.57142857142857,0.06800994064278038,75.0,0.3105524504058169
3,0.4873035868588713,0.1390084043169853,28.57142857142857,0.06628158578934482,65.625,0.47538115731911645
4,0.4816430273558959,0.1033882437773026,42.857142857142854,0.07934667653596705,78.125,0.19390984913129125
5,0.25995543822173917,0.08831166334476238,71.42857142857143,0.0750814696295856,75.0,0.21389146526168523
6,0.3752773598257942,0.09109372764150934,85.71428571428571,0.1380662554566403,62.5,0.40121228112472124
7,0.5852781335650794,0.08810518658010077,78.57142857142857,0.11221709698659098,78.125,0.19825144425112148
8,0.6747611034468046,0.1399163663391881,28.57142857142857,0.1147949075703388,68.75,0.3419081410572167
9,0.5172789787837313,0.08702951901380633,71.42857142857143,0.17510465571723935,75.0,0.9378044107281746
10,0.26773430655689234,0.09369830614150339,64.28571428571429,0.18680109163329908,75.0,0.010349891344981788
11,0.05485797297908524,0.0957680864121188,71.42857142857143,0.11735627573797665,78.125,0.06527636184060683
12,0.00656322497277639,0.03832568941208714,92.85714285714286,0.1283049521669829,78.125,0.01293249319466865
13,0.01212340074585115,0.04604453272801471,92.85714285714286,0.1768941177753437,75.0,0.006192111735160677
14,0.005619960086301774,0.08877638371429482,64.28571428571429,0.13181574644914576,71.875,0.048575765955928885
15,0.08143193574083496,0.6210485701148633,42.857142857142854,0.13613340084782732,78.125,0.016508676287658897
16,2.369210768442424,0.14381377573820173,71.42857142857143,0.2283079458110982,75.0,0.17203675669386115
17,0.42935891852938424,0.11376248387162581,50.0,0.16587050969894354,68.75,0.07776330400880936
18,0.30457621097183024,0.08241894265304335,64.28571428571429,0.13849192853927825,71.875,0.028666883327791416
19,0.010992045897818487,0.09080238242759862,92.85714285714286,0.17121928787148766,78.125,0.0005948654192816171
20,0.0003512919094200615,0.16314789978523972,71.42857142857143,0.19126402734675835,75.0,0.11221830537409042
21,0.0033510221374483855,0.08336086864680985,92.85714285714286,0.14877269616131267,78.125,0.00037184239620638947
22,0.0006351800752666196,0.19093792609162177,85.71428571428571,0.15842969170633528,75.0,0.010105134541621028
23,0.0007350437511741512,0.2371274443635804,64.28571428571429,0.25070713992328486,75.0,1.2010013341055923e-05
24,0.01620043339356128,0.21364120710543053,64.28571428571429,0.2121535676174085,78.125,0.0003192050667420857
25,0.000944359635380211,0.2810163996715884,64.28571428571429,0.2610689059995715,75.0,0.15531576352170412
26,0.0002019505195732902,0.08682461667714565,85.71428571428571,0.17463444000957434,71.875,0.0006049241892951927
27,0.00022922106190212583,0.10797475382177905,85.71428571428571,0.23095548162631468,75.0,0.00036090323999216604
28,5.651567788254445e-05,0.09409585433353533,78.57142857142857,0.2537142354111167,75.0,0.15854938720506462
29,0.0003190704935340424,0.0943972340494489,78.57142857142857,0.16950335668932703,71.875,0.0018467218217966396
30,0.00012540244450568073,0.09450407979123092,78.57142857142857,0.16486706764533185,71.875,0.011077565377213466
31,8.115818275129447e-05,0.10642225179206308,78.57142857142857,0.24806288047383768,75.0,0.0003645093989925873
32,0.00010981675958231708,0.10585986881467066,78.57142857142857,0.16349801551904672,71.875,0.0005283082679388314
33,7.837697093246287e-05,0.10104470292566725,78.57142857142857,0.16955609582445746,78.125,0.0004909631537516185
34,0.00016204761007048137,0.11432494066300489,78.57142857142857,0.2196721130473634,78.125,3.6034457543612984e-05
35,4.605786331781192e-05,0.09943102714270312,78.57142857142857,0.2130904209528337,81.25,4.9284891631965985e-05
36,5.2914199080939046e-05,0.11194857805770685,78.57142857142857,0.2042246775910529,81.25,6.448383899465566e-05
37,9.254745890082829e-05,0.11708901123649425,78.57142857142857,0.2043976306021423,81.25,0.0001380005096421233
38,6.136369153303362e-05,0.11837124845919957,78.57142857142857,0.20732107519877155,81.25,1.4573739291856174e-05
39,5.9314158035194084e-05,0.12051291456782767,78.57142857142857,0.20884599500785467,81.25,0.0002594661111341491
40,7.422513484442179e-05,0.10462723427571612,78.57142857142857,0.20984986585192061,81.25,5.316603920908474e-05
41,3.540759940211415e-05,0.1175977091151069,78.57142857142857,0.21055546193499336,81.25,3.57169847382573e-05
42,9.471070166409463e-06,0.12381941446724658,78.57142857142857,0.21207468831544635,81.25,5.156067197857691e-05
43,5.430000479730417e-05,0.11196835281582632,78.57142857142857,0.21308908644995,81.25,3.18244850775529e-05
44,1.678935239998556e-05,0.11030218304668958,78.57142857142857,0.21414869115178625,81.25,6.526777473633824e-05
45,5.383798289215088e-05,0.11245436061358047,78.57142857142857,0.21609246076220018,81.25,3.0909268976624e-05
46,4.2184001969146e-05,0.11259152742777025,78.57142857142857,0.2164557114236652,81.25,9.332765015305075e-05
47,6.244964115609681e-05,0.12594788993290074,78.57142857142857,0.21730510563364572,81.25,2.2241007596717593e-05
48,7.522987829557827e-05,0.12057666895562154,78.57142857142857,0.2175835947298164,81.25,3.2229740592919e-05
49,2.8851005456201956e-05,0.13526967930506478,78.57142857142857,0.21944004406736392,81.25,7.901381926239459e-06
50,4.651709219053601e-05,0.12254586353380227,78.57142857142857,0.22003134725349,81.25,1.1281191489151702e-05
51,3.691495800399513e-05,0.10839771560726663,78.57142857142857,0.2211461679852622,81.25,6.621092134605861e-05
52,4.14154854298417e-05,0.1358793780839164,78.57142857142857,0.2224548764407491,81.25,1.38076314537017e-05
53,4.939839598164105e-05,0.11319722819382268,78.57142857142857,0.22355340496746873,81.25,1.1341661901747132e-05
54,3.553160066691205e-05,0.11354303076959238,78.57142857142857,0.2244909317538366,81.25,1.5675175601254012e-05
55,1.5467339249731588e-05,0.12716371761731696,78.57142857142857,0.22539027607164988,81.25,3.5807111029517866e-05
56,1.3891739404824375e-05,0.10657357049880291,78.57142857142857,0.22621006300749594,81.25,5.655719992800458e-05
57,4.0355908558975696e-05,0.1213359393267072,78.57142857142857,0.22748414121647553,81.25,5.189301648733975e-06
58,3.832919476890542e-05,0.12125797442196744,78.57142857142857,0.22834564705507965,81.25,2.048075546796033e-06
59,2.1211741717684485e-05,0.12220145082042677,78.57142857142857,0.2291793626554799,81.25,5.371073980652202e-05
60,5.561882430795045e-06,0.1351131499290699,78.57142857142857,0.23052375136898406,81.25,0.00010807897119692647
61,3.476796918863579e-05,0.13933855329100825,78.57142857142857,0.23066260559762047,81.25,4.839854733171471e-05
62,1.2106557619448133e-05,0.14017154566775417,78.57142857142857,0.23211895651570114,81.25,3.9566377096712655e-05
63,3.4579146589823276e-05,0.11141606440324446,78.57142857142857,0.23182459357423563,81.25,1.3539611917008794e-05
64,3.1291922335980434e-05,0.1129928156762127,78.57142857142857,0.23220831049630652,81.25,1.2745131460412625e-05
65,3.605793359217259e-05,0.13358290979955117,78.57142857142857,0.23327128132089625,81.25,9.021021134326637e-06
66,1.3235941952066551e-05,0.12090214188106232,78.57142857142857,0.2342888142162904,81.25,2.2765433109956424e-05
67,1.7131083206943843e-05,0.13364874683001685,78.57142857142857,0.23434667238462475,81.25,6.549437134815086e-06
68,1.578308383155893e-05,0.1382153790242933,78.57142857142857,0.2341752170961321,81.25,6.633587342995888e-06
69,1.3349299930198469e-05,0.11034594586411663,78.57142857142857,0.23517364055105888,81.25,1.2592019974077079e-05
