,NYU,NYU,NYU,NYU,NYU,NYU,NYU,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,SZ1,SZ1,SZ1,SZ1,SZ1,SZ1,SZ1,SZ2,SZ2,SZ2,SZ2,SZ2,SZ2,SZ2,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,USM,USM,USM,USM,USM,USM,USM
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,134.78248351118683,111.96478123408133,0.0,0.0,0.0,0.0,0.0,24.16884494257256,0.0,0.0,0.0,0.0,0.0,7.857791727770593,30.82582479040044,0.0,0.0,0.0,0.0,0.0,15.497217632061268,14.784071112269178,0.0,0.0,0.0,0.0,0.0,28.24912171483027,915.7980591324351,0.0,0.0,0.0,0.0,0.0,1170.740504514281,292.0277179796232,0.0,0.0,0.0,0.0,0.0,1770.5776565770493,503.1107632489417,0.0,0.0,0.0,0.0,0.0,666.5084389928767,366.2454899909103,0.0,0.0,0.0,0.0,0.0,172.17099751865032,451.51872124301724,0.0,0.0,0.0,0.0,0.0,689.598079079323,391.34259803565067,0.0,0.0,0.0,0.0,0.0,42.278092288077495,910.1772337245692,0.0,0.0,0.0,0.0,0.0,303.2156111325363,106.32992128104515,0.0,0.0,0.0,0.0,0.0,165.8886024452162,465.42965159522754,0.0,0.0,0.0,0.0,0.0,1448.6551207696527,2435.8900814831695,0.0,0.0,0.0,0.0,0.0,2788.366715188722,2373.7610828141924,0.0,0.0,0.0,0.0,0.0,2616.4013148914646,2681.732207444061,0.0,0.0,0.0,0.0,0.0,3366.41091666073,56.3463217458569,0.0,0.0,0.0,0.0,0.0,96.36106658236119
1,27.835824050234812,28.58161829638954,0.0,0.0,0.0,0.0,0.0,16.418735926673005,0.0,0.0,0.0,0.0,0.0,52.236012315299725,17.919639134066905,0.0,0.0,0.0,0.0,0.0,27.123139416778834,8.240009627514011,0.0,0.0,0.0,0.0,0.0,8.012592064778543,916.517993749989,0.0,0.0,0.0,0.0,0.0,1106.4640402424593,147.0503000516694,0.0,0.0,0.0,0.0,0.0,473.62516234492347,155.9393132446134,0.0,0.0,0.0,0.0,0.0,4.033139069396494,170.68024303937284,0.0,0.0,0.0,0.0,0.0,14.600604569988352,41.68906194405086,0.0,0.0,0.0,0.0,0.0,161.35676787061678,737.3265305949087,0.0,0.0,0.0,0.0,0.0,293.47785146285963,337.2402057588578,0.0,0.0,0.0,0.0,0.0,109.75047618331675,31.303663233843437,0.0,0.0,0.0,0.0,0.0,25.846699395914072,124.57814798411454,0.0,0.0,0.0,0.0,0.0,241.8976987585813,1483.6687137963909,0.0,0.0,0.0,0.0,0.0,2204.353371853642,733.886928670172,0.0,0.0,0.0,0.0,0.0,1102.7071734650144,664.9076733958852,0.0,0.0,0.0,0.0,0.0,1142.0276666814439,279.9840321004605,0.0,0.0,0.0,0.0,0.0,182.20054082345695
2,170.34990281531776,11.985482613956917,0.0,0.0,0.0,0.0,0.0,8.992711209569888,0.0,0.0,0.0,0.0,0.0,0.5402271459838771,13.231789359571838,0.0,0.0,0.0,0.0,0.0,4.629671685320462,17.834636251557168,0.0,0.0,0.0,0.0,0.0,16.47352786918545,913.5755986315454,0.0,0.0,0.0,0.0,0.0,1831.2804534492018,91.8506542678236,0.0,0.0,0.0,0.0,0.0,284.4653448369297,60.76903900309704,0.0,0.0,0.0,0.0,0.0,136.33085946451382,185.62273226777214,0.0,0.0,0.0,0.0,0.0,65.34235977200426,55.63316934161829,0.0,0.0,0.0,0.0,0.0,161.87825622345164,498.96781963884877,0.0,0.0,0.0,0.0,0.0,263.94548776342737,241.5625451112453,0.0,0.0,0.0,0.0,0.0,111.80882740527822,51.134519797637644,0.0,0.0,0.0,0.0,0.0,1.750860046858027,120.34034672304601,0.0,0.0,0.0,0.0,0.0,78.29857441941773,1110.0378690087225,0.0,0.0,0.0,0.0,0.0,1737.4788314863472,369.19412488677347,0.0,0.0,0.0,0.0,0.0,401.65647470522947,306.0152900836678,0.0,0.0,0.0,0.0,0.0,343.9365723874604,162.24103654857313,0.0,0.0,0.0,0.0,0.0,300.09057748636405
3,27.248714801462505,21.38842034555843,0.0,0.0,0.0,0.0,0.0,11.339887425558144,0.0,0.0,0.0,0.0,0.0,41.79515456606561,5.75829266532065,0.0,0.0,0.0,0.0,0.0,1.5494448457954042,10.256592425666,0.0,0.0,0.0,0.0,0.0,25.32124830655243,618.6472393830301,0.0,0.0,0.0,0.0,0.0,1020.2291097092153,93.39299839101739,0.0,0.0,0.0,0.0,0.0,13.591170557341485,49.044222745012526,0.0,0.0,0.0,0.0,0.0,383.2684480772773,128.7862331210658,0.0,0.0,0.0,0.0,0.0,12.239199550292861,39.58316479573136,0.0,0.0,0.0,0.0,0.0,91.83665546356127,264.61464605265076,0.0,0.0,0.0,0.0,0.0,214.87326066973029,196.17993774608024,0.0,0.0,0.0,0.0,0.0,252.2412020434992,33.550402603070985,0.0,0.0,0.0,0.0,0.0,12.394287468965135,95.5985500996347,0.0,0.0,0.0,0.0,0.0,33.47392932814373,485.02851189590945,0.0,0.0,0.0,0.0,0.0,613.3119560310133,77.27806381952894,0.0,0.0,0.0,0.0,0.0,135.5932984017009,177.6717320447093,0.0,0.0,0.0,0.0,0.0,207.49562837147977,89.49010439455388,0.0,0.0,0.0,0.0,0.0,113.06082474097838
4,13.517745622808125,14.33908068639142,0.0,0.0,0.0,0.0,0.0,7.536282013298887,0.0,0.0,0.0,0.0,0.0,1.581715929656257,2.4909443950971695,0.0,0.0,0.0,0.0,0.0,1.712765812538533,33.3034969608986,0.0,0.0,0.0,0.0,0.0,28.3522476691307,485.30672384120396,0.0,0.0,0.0,0.0,0.0,714.5631720601975,50.25444571370508,0.0,0.0,0.0,0.0,0.0,29.003945067217614,50.040779511533984,0.0,0.0,0.0,0.0,0.0,78.12937693876512,120.25868234424088,0.0,0.0,0.0,0.0,0.0,49.77701399182342,85.55328314913149,0.0,0.0,0.0,0.0,0.0,128.82125898380212,191.1153433957417,0.0,0.0,0.0,0.0,0.0,347.6349754770113,242.1032509602203,0.0,0.0,0.0,0.0,0.0,115.39839718097555,23.24438392927614,0.0,0.0,0.0,0.0,0.0,24.82635133643313,75.03578247027676,0.0,0.0,0.0,0.0,0.0,27.608593744924207,373.25554878611734,0.0,0.0,0.0,0.0,0.0,573.6168101169972,99.66515421713879,0.0,0.0,0.0,0.0,0.0,173.275311384409,123.8610908635541,0.0,0.0,0.0,0.0,0.0,151.37253528381223,66.98992882573721,0.0,0.0,0.0,0.0,0.0,39.75136844871801
5,85.32021906521715,26.69425998784087,0.0,0.0,0.0,0.0,0.0,4.797158175573319,0.0,0.0,0.0,0.0,0.0,1.1797352167341584,2.4476605622252037,0.0,0.0,0.0,0.0,0.0,2.1690786432155456,4.091640331639165,0.0,0.0,0.0,0.0,0.0,32.20906020526847,280.9012365300251,0.0,0.0,0.0,0.0,0.0,532.1729421159739,103.28035881261343,0.0,0.0,0.0,0.0,0.0,72.85147282312712,32.578759711293415,0.0,0.0,0.0,0.0,0.0,107.37493273393017,126.95755478794949,0.0,0.0,0.0,0.0,0.0,126.09655341117194,44.07369013912831,0.0,0.0,0.0,0.0,0.0,72.21289202185353,288.7390174951344,0.0,0.0,0.0,0.0,0.0,324.387307767521,195.49135203943396,0.0,0.0,0.0,0.0,0.0,75.44444665491436,19.586824201301074,0.0,0.0,0.0,0.0,0.0,50.03309783610574,66.3511095264384,0.0,0.0,0.0,0.0,0.0,61.68710447357472,127.38034927096896,0.0,0.0,0.0,0.0,0.0,136.17190998611267,30.370674672820485,0.0,0.0,0.0,0.0,0.0,185.64382962193628,169.8871779550415,0.0,0.0,0.0,0.0,0.0,239.1947057237414,59.07365771740763,0.0,0.0,0.0,0.0,0.0,30.899996513401952
6,29.843788216645407,22.225069448564664,0.0,0.0,0.0,0.0,0.0,8.496412415770955,0.0,0.0,0.0,0.0,0.0,4.8680557973373135,12.928037885775865,0.0,0.0,0.0,0.0,0.0,3.7851145454010906,5.408949987433642,0.0,0.0,0.0,0.0,0.0,2.0429371884652117,261.51395949062373,0.0,0.0,0.0,0.0,0.0,263.7711476170066,38.741225121766504,0.0,0.0,0.0,0.0,0.0,215.96837447349623,50.98839662066601,0.0,0.0,0.0,0.0,0.0,39.932703196816654,129.55631667943894,0.0,0.0,0.0,0.0,0.0,352.50210699228006,79.04626673373279,0.0,0.0,0.0,0.0,0.0,26.045132749949083,192.50091856560078,0.0,0.0,0.0,0.0,0.0,143.87229086982114,238.45874500519955,0.0,0.0,0.0,0.0,0.0,94.93413122815755,33.92716145142874,0.0,0.0,0.0,0.0,0.0,40.538290745790086,65.11410103857716,0.0,0.0,0.0,0.0,0.0,16.651430724927483,108.49789954750618,0.0,0.0,0.0,0.0,0.0,238.853068093427,54.698210126699095,0.0,0.0,0.0,0.0,0.0,52.56922896182304,79.03188098253865,0.0,0.0,0.0,0.0,0.0,110.6977674873746,57.533555936012114,0.0,0.0,0.0,0.0,0.0,45.91823030032155
7,55.50006620328632,22.796337270754584,0.0,0.0,0.0,0.0,0.0,3.310628739891621,0.0,0.0,0.0,0.0,0.0,2.609529883859303,15.183844332335473,0.0,0.0,0.0,0.0,0.0,0.7906989813265017,16.207998056346735,0.0,0.0,0.0,0.0,0.0,6.082129309587517,294.39911985469985,0.0,0.0,0.0,0.0,0.0,96.42943300661514,41.216845019926154,0.0,0.0,0.0,0.0,0.0,110.90474360867616,56.642378175017456,0.0,0.0,0.0,0.0,0.0,13.901447044250483,94.52255977781023,0.0,0.0,0.0,0.0,0.0,244.19180115442316,81.77564842596485,0.0,0.0,0.0,0.0,0.0,155.8366862495485,169.03290048392438,0.0,0.0,0.0,0.0,0.0,92.2831307656071,200.1282436020696,0.0,0.0,0.0,0.0,0.0,73.8974729841391,30.939277444347915,0.0,0.0,0.0,0.0,0.0,21.42710450986633,67.48377922948585,0.0,0.0,0.0,0.0,0.0,42.43010172402105,105.17701430247571,0.0,0.0,0.0,0.0,0.0,159.28831592604493,32.20349837212522,0.0,0.0,0.0,0.0,0.0,47.4110825737407,134.63636033108958,0.0,0.0,0.0,0.0,0.0,109.72303799033648,55.85408580129527,0.0,0.0,0.0,0.0,0.0,71.50223436274251
8,16.289531777772478,17.472040704983193,0.0,0.0,0.0,0.0,0.0,5.193720194482931,0.0,0.0,0.0,0.0,0.0,3.1703501928614926,15.672653165085928,0.0,0.0,0.0,0.0,0.0,3.2695100802535237,9.10391869882492,0.0,0.0,0.0,0.0,0.0,5.920218736360726,267.111330843834,0.0,0.0,0.0,0.0,0.0,175.40187812508506,68.91116112304829,0.0,0.0,0.0,0.0,0.0,42.49502426160245,27.16435042331763,0.0,0.0,0.0,0.0,0.0,162.25819490668212,86.49637012226815,0.0,0.0,0.0,0.0,0.0,0.0011735209799406635,60.599923815150866,0.0,0.0,0.0,0.0,0.0,55.26954322823643,185.3470066082191,0.0,0.0,0.0,0.0,0.0,213.2212757671214,232.04207481100033,0.0,0.0,0.0,0.0,0.0,52.33900323589296,33.02599669790365,0.0,0.0,0.0,0.0,0.0,2.3516583482126006,69.31346326817534,0.0,0.0,0.0,0.0,0.0,37.680362379881174,138.50986023622477,0.0,0.0,0.0,0.0,0.0,102.85490564761002,51.979525076882375,0.0,0.0,0.0,0.0,0.0,10.933141830052925,114.88464791028805,0.0,0.0,0.0,0.0,0.0,111.85089160838736,43.49111075161159,0.0,0.0,0.0,0.0,0.0,45.84619801058443
