,mtd_std,mtd,p_permut,fdr,ci_5,ci_95
DEL15q11_2,0.19906587614559962,0.046351701764839576,0.015996800639872025,1.0,0.2270230746506348,0.2954353148797009
DUP15q11_2,0.15921698911677049,0.03838764407892066,0.035992801439712056,0.0,0.18911523571345684,0.24576084076080862
DUP15q13_3_CHRNA7,0.10626100254399612,0.02465637414747743,0.8558288342331534,0.0,0.14410434167379343,0.18269209181007456
DEL2q13,0.1078431672255131,0.024988720835853066,0.8742251549690062,0.0,0.14526628354973975,0.18604852030150842
DUP2q13,0.17862691101296366,0.04153266788699344,0.3115376924615077,0.0,0.21111122852587366,0.2793422803626715
DUP16p13_11,0.25550898451809023,0.05990083645720428,0.3747250549890022,0.0,0.30684411425497227,0.42595516327491023
DEL13q12_12,0.3398898805048195,0.07936585123228725,0.4959008198360328,0.0,0.39481542005980147,0.6209423787292793
DUP13q12_12,0.31116354083269304,0.07046550051455623,0.969006198760248,0.0,0.381096378212528,0.598573813663053
TAR_dup,0.2795640555038332,0.06403548532646913,0.7978404319136173,0.0,0.3452555592240744,0.46921309127244126
DEL1q21_1,0.4431306430323439,0.10022498406645039,0.0057988402319536095,12.0,0.4885821917198113,0.630519638460658
DUP1q21_1,0.4858883838109348,0.11101787052373836,0.01199760047990402,4.0,0.5189120410523999,0.7400875461611215
DEL22q11_2,0.6556061943758811,0.13540251076059387,0.0001999600079984003,17.0,0.7240350641302898,0.9523087025388648
DUP22q11_2,0.42772791779983727,0.09537368122049239,0.042191561687662464,2.0,0.4783255790353096,0.6871927155796184
DEL16p11_2,0.5688506905298406,0.12793073724358509,0.0001999600079984003,273.0,0.5756097798568989,0.7668289724367536
DUP16p11_2,0.37735526998330854,0.08705756805774516,0.004799040191961607,7.0,0.4424153270206458,0.5769663650380741
SZ,0.30511086798817233,0.06973158818084416,0.0001999600079984003,479.0,0.30431729844774336,0.3728679207873723
BIP,0.433476028846648,0.09779349973927776,0.0001999600079984003,57.0,0.47721511829672225,0.6081237699806457
ASD,0.16402437608382472,0.03694635187046948,0.0001999600079984003,106.0,0.17553824809455223,0.2124919777604352
ADHD,0.1476551396865521,0.031626833329025675,0.0001999600079984003,0.0,0.1821143473708899,0.22943904876119942
