,case,train_ES,test_ES
0,SZ,0.3743544193021469,0.18082347866232296
1,BIP,0.5415385721466527,0.20919897188182812
2,ASD,0.19911446503799798,0.09272480591861143
3,ADHD,0.26116938256559036,0.09935808759445716
4,DEL1q21_1,0.5468882946789779,0.22940293758113073
5,DEL2q13,0.15383318926187317,0.06096238686781581
6,DEL13q12_12,0.4903352366544417,0.17932383613971087
7,DEL15q11_2,0.2613903295921749,0.10759402433262409
8,DEL16p11_2,0.770057696357894,0.32289809003084174
9,DEL22q11_2,0.8875155169132912,0.36686794425804425
10,TAR_dup,0.4224427940605585,0.15542086425712248
11,DUP1q21_1,0.6090357756601599,0.2767014585069516
12,DUP2q13,0.25135243389584055,0.10302090615714563
13,DUP13q12_12,0.48620315494933963,0.19850918009766189
14,DUP15q11_2,0.2232126708910126,0.07818999176748068
15,DUP15q13_3_CHRNA7,0.15624026164142157,0.05647455181785979
16,DUP16p11_2,0.657805208683055,0.272696662231393
17,DUP16p13_11,0.34803170284358925,0.13207926781385382
18,DUP22q11_2,0.586252340491724,0.24207024918145417
