,mtd_std,cv_2,cv_5,cv_10
DUP15q13_3_CHRNA7,0.1062610025439961,0.0564745518178597,0.1087113942482374,0.1518683388492985
DEL2q13,0.1078431672255131,0.0609623868678158,0.1082195934197232,0.150777659877324
DUP15q11_2,0.1592169891167704,0.0781899917674806,0.1280373405516613,0.1713937037715495
DUP2q13,0.1786269110129636,0.1030209061571456,0.1554665575941972,0.2168364571530652
DUP16p13_11,0.2555089845180902,0.1320792678138538,0.2083775185651191,0.3042922406492395
TAR_dup,0.2795640555038332,0.1554208642571224,0.3102701661178657,0.4006035336684219
DUP13q12_12,0.311163540832693,0.1985091800976618,0.3275145629596734,0.4636174900583006
DEL13q12_12,0.3398898805048195,0.1793238361397108,0.3071117191686275,0.4166475529617354
DEL15q11_2,0.1990658761455996,0.107594024332624,0.1522841297199522,0.2111957877039506
DUP16p11_2,0.3773552699833085,0.272696662231393,0.414156410461639,0.5298764466187459
DUP22q11_2,0.4277279177998372,0.2420702491814541,0.4310639307119498,0.5174817514279425
DEL1q21_1,0.4431306430323439,0.2294029375811307,0.3800507790799419,0.4843288045653143
DUP1q21_1,0.4858883838109348,0.2767014585069516,0.3814789984877311,0.5501886453080957
DEL16p11_2,0.5688506905298406,0.3228980900308417,0.5334560533225216,0.6332861760201729
DEL22q11_2,0.6556061943758811,0.3668679442580442,0.5932070257437946,1.308371244858808
ADHD,0.1476551396865521,0.0993580875944571,0.1973032651900102,0.3119002953718707
ASD,0.1640243760838247,0.0927248059186114,0.2288790663622379,0.3876307245123804
SZ,0.3051108679881723,0.1808234786623229,0.2858519099960602,0.3426157953508636
BIP,0.433476028846648,0.2091989718818281,0.2781458421403607,0.3517080343834767
