,n_tot,Female,Male,AGE_mean,mean_conn_mean,FD_scrubbed_mean,AGE_var,mean_conn_var,FD_scrubbed_var,sites
DUP15q13_3_CHRNA7,191.0,100.0,91.0,64.34374542588529,0.41901615153789057,0.19304736234003886,53.54136110098746,0.014443875252800834,0.0026129736280019983,['UKBB11027' 'UKBB11026' 'UKBB11025' 'HSJ']
DEL2q13,183.0,110.0,73.0,63.05508549268465,0.4293327737699167,0.18717237972384043,52.48554379888063,0.016314269461866454,0.002430427529794566,['UKBB11027' 'UKBB11025' 'UKBB11026']
DUP15q11_2,136.0,76.0,60.0,63.7117330803289,0.4064928324134988,0.1894965819723937,51.6798197859842,0.017547324254707494,0.002729220584147326,['UKBB11025' 'UKBB11026' 'UKBB11027']
DUP2q13,88.0,43.0,45.0,64.68258186705769,0.41594887259938207,0.1854503837426793,58.03111435738222,0.016534098569519092,0.0022658098382802505,['UKBB11025' 'UKBB11027' 'UKBB11026']
DUP16p13_11,41.0,21.0,20.0,63.98781012326251,0.3845597281146034,0.18541731787024116,59.31584124740264,0.016603754981232392,0.0018451861669476894,['UKBB11025' 'UKBB11027' 'UKBB11026' 'HSJ']
TAR_dup,29.0,14.0,15.0,59.84797923618834,0.41609053744305624,0.17264292068163767,56.89966200995951,0.011354613536485878,0.002915926552081329,['UKBB11025' 'UKBB11027' 'UKBB11026']
DUP13q12_12,20.0,10.0,10.0,60.83736559139785,0.48782382087219645,0.20011219897045568,53.91400017343013,0.017250705472619577,0.003556319017054442,['UKBB11025' 'UKBB11026' 'UKBB11027']
DEL13q12_12,22.0,12.0,10.0,63.54215542521993,0.423732710780393,0.19625214638290114,34.33440790454955,0.02090057206554135,0.00511769443100202,['UKBB11025' 'UKBB11027' 'UKBB11026']
DEL15q11_2,103.0,55.0,48.0,64.2915753210147,0.425976549229994,0.19292588874146743,55.32864232512639,0.019004196874467166,0.003069826069420198,['UKBB11025' 'UKBB11026' 'UKBB11027']
DUP16p11_2,35.0,14.0,21.0,34.1498678955453,0.31209508514434314,0.21273431189689665,381.43549898123854,0.014138362642935706,0.008230605369969697,['UKBB11027' 'UKBB11026' 'UKBB11025' 'HSJ' 'Svip1' 'Svip2']
DUP22q11_2,22.0,12.0,10.0,39.426210447381436,0.44216306167095054,0.18793715808997116,551.9885220435021,0.011867690344945449,0.007884760763823273,['UKBB11025' 'Cardiff' 'UKBB11027' 'HSJ' 'UCLA_CB']
DEL1q21_1,25.0,12.0,13.0,44.39898895271763,0.3765442174541368,0.1764930238611383,356.109665954898,0.017935083320602563,0.00431002376311875,['Cardiff' 'UKBB11025' 'UKBB11027' 'HSJ' 'Svip1' 'Svip2']
DUP1q21_1,19.0,13.0,6.0,50.861296602088515,0.45248213306025337,0.2058986355353973,374.3320364646127,0.03728929031820764,0.005644185795886204,['UKBB11025' 'UKBB11027' 'UKBB11026' 'Cardiff' 'HSJ' 'Svip1' 'Svip2']
