,DUP1q21_1,DUP1q21_1,DUP1q21_1,BIP,BIP,BIP
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train
0,0.7091857935795013,0.08696621584905918,37.5,0.08613754760151224,75.0,0.6907381886397657
1,0.6811065204294385,0.08752504246154486,37.5,0.0968184880581648,75.0,0.07927100598434904
2,0.6947073664267099,0.08731213824950446,37.5,0.07247046733605647,75.0,0.5203943972145284
3,0.688836568360837,0.08723547564820794,37.5,0.07115094937501433,75.0,0.9064492110301707
4,0.6969520330444077,0.08709546735364684,37.5,0.07169562852366052,75.0,0.5514523139211571
5,0.6902165361002358,0.08683153248315593,25.0,0.07260545350092282,75.0,0.48840506396995176
6,0.5867284141716823,0.07668892950284387,62.5,0.07712673997107523,56.25,0.5125480746313191
7,0.6438241287848967,0.12259533575695837,37.5,0.12944925010857314,71.875,0.6102709486563574
8,0.41178114966593204,0.14711076449058186,37.5,0.07675364223058875,78.125,0.15291431712481876
9,0.6537322138444118,0.22970246046771348,25.0,0.1559572469305292,71.875,0.37012588167555516
10,0.6128182316484043,0.08746150121405474,37.5,0.09052570051987563,75.0,1.055460522957895
11,0.6270860719301335,0.08926143812643869,37.5,0.07091010920921714,71.875,0.27581219181322414
12,0.49201358701098696,0.08656738549314996,62.5,0.08737363587366515,71.875,0.8101695919717453
13,0.6338022374145645,0.09610745721425723,62.5,0.13822017508338963,62.5,0.5572917698037525
14,0.5328654017889484,0.2772049829674554,25.0,0.1644562547571274,75.0,0.03943651791370676
15,0.378049954822987,0.09989618612636454,50.0,0.11570925736769383,71.875,0.018864789623358
16,0.2877781315688358,0.09479218120772658,62.5,0.28018500077393077,56.25,1.0184804611778286
17,0.2504567771394565,0.15382301666849083,37.5,0.1347625017871698,65.625,0.05635072775199096
18,0.28620303321814183,0.10867371911192177,50.0,0.16945997845981525,75.0,0.008190158031992406
19,1.0499599707419724,0.189797825881454,25.0,0.19787440369209197,75.0,1.191215778810779
20,0.33523538565278904,0.07208545898558441,62.5,0.11790636277899898,71.875,0.006304318291424291
21,0.5524870146533147,0.2842448232881232,25.0,0.18305189223788518,75.0,0.008167453780968737
22,1.1451231613662394,0.1594430935853784,37.5,0.18264529102659313,75.0,0.000272056637110097
23,0.11603951892167448,0.16268788915095234,37.5,0.1521835578925867,68.75,0.003596600469104529
24,0.0642106831986645,0.28030765924657974,37.5,0.19838395349840332,75.0,0.001403470315376524
25,0.07679407218694669,0.4077911742823229,25.0,0.1821230913900731,75.0,0.0018168920096988544
26,0.1252716428228219,0.14557903107393055,37.5,0.20569396092216466,71.875,0.0018371462459235832
27,0.4595098423554638,0.3103825498183327,37.5,0.17441725736060665,71.875,0.0057376158461304285
28,0.08292646430719186,0.14153458058185553,75.0,0.2094879369206863,71.875,0.0004011888620040115
29,0.023037482165323118,0.1719692650511134,50.0,0.1587203885632835,71.875,0.0018046339170968665
30,0.0920476526606303,0.15618972182410878,62.5,0.17326751228979265,71.875,0.00015428582138430057
31,0.04262231568304475,0.14578572694069727,62.5,0.18299305763646254,75.0,0.0006790977387911873
32,0.00430267291753333,0.3172466224543674,37.5,0.21629881155963318,75.0,0.00013023780947051994
33,0.04489034539934916,0.7630724419834988,37.5,0.2351669882427811,78.125,0.0011768387685197907
34,0.014350155796944096,0.22536173446194602,37.5,0.22371377619176733,75.0,0.0009332345557164076
