,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,NYU,NYU,NYU,NYU,NYU,NYU,NYU,SZ1,SZ1,SZ1,SZ1,SZ1,SZ1,SZ1,SZ2,SZ2,SZ2,SZ2,SZ2,SZ2,SZ2,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,USM,USM,USM,USM,USM,USM,USM
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,705.997586959379,115.90155194235213,0.0,0.0,0.0,0.0,0.0,5.897638809228403,0.0,0.0,0.0,0.0,0.0,144.51251725952002,2.8295165431819225,0.0,0.0,0.0,0.0,0.0,30.022940264889428,4.163595455228792,0.0,0.0,0.0,0.0,0.0,15.104997702744617,2.0185944466279175,0.0,0.0,0.0,0.0,0.0,32.91333502596309,56.80140968339198,0.0,0.0,0.0,0.0,0.0,1014.5601466906772,16.865880087083216,0.0,0.0,0.0,0.0,0.0,331.2833300016943,31.139631989944995,0.0,0.0,0.0,0.0,0.0,209.08053861090934,69.66304578721797,0.0,0.0,0.0,0.0,0.0,2065.3269917230637,115.24579511119568,0.0,0.0,0.0,0.0,0.0,258.57573849104847,124.03869027409186,0.0,0.0,0.0,0.0,0.0,1333.539011232703,177.97988910440992,0.0,0.0,0.0,0.0,0.0,502.5048866891472,24.64757576160013,0.0,0.0,0.0,0.0,0.0,42.559806564841764,34.27116232892875,0.0,0.0,0.0,0.0,0.0,97.73275061904495,582.0392828196443,0.0,0.0,0.0,0.0,0.0,2818.7042071196593,401.5826075746889,0.0,0.0,0.0,0.0,0.0,3166.0295978336453,421.02142410374825,0.0,0.0,0.0,0.0,0.0,3035.4520412989746,43.1631873846793,0.0,0.0,0.0,0.0,0.0,307.7999697272032
1,1026.228103705403,115.83037472107017,0.0,0.0,0.0,0.0,0.0,6.0106330651609445,0.0,0.0,0.0,0.0,0.0,29.11718210116203,2.593483518099747,0.0,0.0,0.0,0.0,0.0,8.215589938760886,4.371230909435542,0.0,0.0,0.0,0.0,0.0,15.662013722935576,0.752367485326571,0.0,0.0,0.0,0.0,0.0,11.12065569548669,40.56813859453136,0.0,0.0,0.0,0.0,0.0,445.86787104109186,2.2568781489994225,0.0,0.0,0.0,0.0,0.0,111.24079284724996,13.882158761225675,0.0,0.0,0.0,0.0,0.0,204.2784568614658,11.358261455382085,0.0,0.0,0.0,0.0,0.0,28.788639499085427,53.54621219830576,0.0,0.0,0.0,0.0,0.0,525.8884982021574,55.29792573801143,0.0,0.0,0.0,0.0,0.0,267.20121952216533,156.287496269008,0.0,0.0,0.0,0.0,0.0,418.6703560344628,24.47169909764265,0.0,0.0,0.0,0.0,0.0,84.65674616187388,20.652744026452552,0.0,0.0,0.0,0.0,0.0,99.21040260674056,213.29772756358352,0.0,0.0,0.0,0.0,0.0,1480.2354413031437,265.3679080306063,0.0,0.0,0.0,0.0,0.0,1812.6343466661292,341.6795314290693,0.0,0.0,0.0,0.0,0.0,2397.912649948624,22.514637822156388,0.0,0.0,0.0,0.0,0.0,172.92484888998473
2,1297.0313532354958,112.42020859723995,0.0,0.0,0.0,0.0,0.0,6.031137549738671,0.0,0.0,0.0,0.0,0.0,51.971969900408034,1.5507267722209528,0.0,0.0,0.0,0.0,0.0,6.257133822431357,9.245154556273318,0.0,0.0,0.0,0.0,0.0,15.195810627389399,1.2236145175454243,0.0,0.0,0.0,0.0,0.0,6.645482311520405,42.406478129227565,0.0,0.0,0.0,0.0,0.0,556.9063316036253,1.610689097025161,0.0,0.0,0.0,0.0,0.0,33.360704066006875,17.858932850157085,0.0,0.0,0.0,0.0,0.0,419.84801882438614,7.381787306965028,0.0,0.0,0.0,0.0,0.0,109.43688991847523,30.313662720581018,0.0,0.0,0.0,0.0,0.0,564.2850467436284,81.79836604488494,0.0,0.0,0.0,0.0,0.0,294.9994569864189,92.13026077890581,0.0,0.0,0.0,0.0,0.0,418.5505985140162,7.617620418971536,0.0,0.0,0.0,0.0,0.0,53.21138070018798,14.574748582996094,0.0,0.0,0.0,0.0,0.0,82.57231730074551,38.25512562310536,0.0,0.0,0.0,0.0,0.0,452.9833452453167,62.99924637706572,0.0,0.0,0.0,0.0,0.0,669.3631257662461,203.55027542691568,0.0,0.0,0.0,0.0,0.0,1241.3763423951655,9.474588994972523,0.0,0.0,0.0,0.0,0.0,71.75670394518228
3,635.9624617684872,28.325544642201923,0.0,0.0,0.0,0.0,0.0,1.2346952673876586,0.0,0.0,0.0,0.0,0.0,7.733752087739657,1.0477068635872187,0.0,0.0,0.0,0.0,0.0,4.3852244194070416,2.7820348968270943,0.0,0.0,0.0,0.0,0.0,18.238267343999485,0.5734552106830414,0.0,0.0,0.0,0.0,0.0,7.2089281786996935,54.476758725797495,0.0,0.0,0.0,0.0,0.0,447.3251484455698,1.4472154289823094,0.0,0.0,0.0,0.0,0.0,54.828815742766906,27.529425889797956,0.0,0.0,0.0,0.0,0.0,119.87677002727136,8.021291492971578,0.0,0.0,0.0,0.0,0.0,78.64650815453082,22.517221222379252,0.0,0.0,0.0,0.0,0.0,418.68714848069095,104.34657988127489,0.0,0.0,0.0,0.0,0.0,273.35592190238367,58.44317176097415,0.0,0.0,0.0,0.0,0.0,130.84773186955255,2.42534305921405,0.0,0.0,0.0,0.0,0.0,2.3551891764836252,15.15812939370738,0.0,0.0,0.0,0.0,0.0,155.60832897050992,19.408738893310563,0.0,0.0,0.0,0.0,0.0,501.0578260902758,44.737445352868114,0.0,0.0,0.0,0.0,0.0,323.1861224646659,36.895494273083884,0.0,0.0,0.0,0.0,0.0,761.9950831994299,11.954588964072514,0.0,0.0,0.0,0.0,0.0,143.86695274598628
4,20.456167245745583,8.109296814228744,0.0,0.0,0.0,0.0,0.0,3.5347743832005394,0.0,0.0,0.0,0.0,0.0,5.5423388969243845,1.4569194737762148,0.0,0.0,0.0,0.0,0.0,1.6359384535211856,3.2193463245120313,0.0,0.0,0.0,0.0,0.0,5.838174352654121,0.4270057740574452,0.0,0.0,0.0,0.0,0.0,3.775672865142738,41.91155047189312,0.0,0.0,0.0,0.0,0.0,424.31530238268937,10.492209494724305,0.0,0.0,0.0,0.0,0.0,24.8808197942685,10.602116695920792,0.0,0.0,0.0,0.0,0.0,119.69545527731037,7.130097478245607,0.0,0.0,0.0,0.0,0.0,223.7243202617374,19.150865947998536,0.0,0.0,0.0,0.0,0.0,181.9110939652881,52.37870596767116,0.0,0.0,0.0,0.0,0.0,226.90475302231607,46.24107309634002,0.0,0.0,0.0,0.0,0.0,24.476568410389923,2.7744603851882577,0.0,0.0,0.0,0.0,0.0,8.59310346736309,18.977177650494458,0.0,0.0,0.0,0.0,0.0,84.4495170163841,46.01049635829534,0.0,0.0,0.0,0.0,0.0,161.5391021178715,27.609402106861317,0.0,0.0,0.0,0.0,0.0,157.7711391329445,19.825723298343746,0.0,0.0,0.0,0.0,0.0,148.10118919929428,10.00116251813309,0.0,0.0,0.0,0.0,0.0,80.05691386841033
5,38.048012447504604,7.159565978924171,0.0,0.0,0.0,0.0,0.0,0.672882085307465,0.0,0.0,0.0,0.0,0.0,1.8007275352901546,0.42208040038034117,0.0,0.0,0.0,0.0,0.0,1.7410484172487095,1.5317066854647678,0.0,0.0,0.0,0.0,0.0,8.344430407822417,0.3704955767557113,0.0,0.0,0.0,0.0,0.0,3.288447738818474,47.235410651973964,0.0,0.0,0.0,0.0,0.0,191.96843041128085,3.1835610559219045,0.0,0.0,0.0,0.0,0.0,8.807255046611306,18.378075253629454,0.0,0.0,0.0,0.0,0.0,54.708725163873034,5.644105541209056,0.0,0.0,0.0,0.0,0.0,8.22503418424513,16.87599560248258,0.0,0.0,0.0,0.0,0.0,164.64136668333157,28.54322273022264,0.0,0.0,0.0,0.0,0.0,213.93403233743484,30.7018333060714,0.0,0.0,0.0,0.0,0.0,42.97135594920085,2.991835544164906,0.0,0.0,0.0,0.0,0.0,65.10035228819487,10.347747087113717,0.0,0.0,0.0,0.0,0.0,48.05486273203227,15.673354002078815,0.0,0.0,0.0,0.0,0.0,98.07061024158196,6.561926173373317,0.0,0.0,0.0,0.0,0.0,122.99037148881493,13.55991962466366,0.0,0.0,0.0,0.0,0.0,139.27333944826634,8.973509579078918,0.0,0.0,0.0,0.0,0.0,63.88723753305319
6,96.47417626336316,6.37913545756274,0.0,0.0,0.0,0.0,0.0,0.6482622655642586,0.0,0.0,0.0,0.0,0.0,30.305366717404727,0.7448287533109054,0.0,0.0,0.0,0.0,0.0,1.6984985440445584,1.5489362648106326,0.0,0.0,0.0,0.0,0.0,2.6189283427868832,0.9397615045018837,0.0,0.0,0.0,0.0,0.0,5.008411122590971,52.628349086518284,0.0,0.0,0.0,0.0,0.0,203.19832889524426,5.717240379807134,0.0,0.0,0.0,0.0,0.0,26.68241699291782,35.112723976121956,0.0,0.0,0.0,0.0,0.0,398.12250396582397,8.794480914146074,0.0,0.0,0.0,0.0,0.0,107.51411191671396,16.153230414883677,0.0,0.0,0.0,0.0,0.0,369.3768007842054,26.85883576348278,0.0,0.0,0.0,0.0,0.0,220.14954972052973,24.853163886274682,0.0,0.0,0.0,0.0,0.0,167.39526116168128,2.523373043469241,0.0,0.0,0.0,0.0,0.0,2.7589278841658698,14.593424573093928,0.0,0.0,0.0,0.0,0.0,134.95245757589007,17.09770535098489,0.0,0.0,0.0,0.0,0.0,167.83864046843883,8.84560460859976,0.0,0.0,0.0,0.0,0.0,63.59271890367544,22.64437295743206,0.0,0.0,0.0,0.0,0.0,142.86373051153717,9.154040314373995,0.0,0.0,0.0,0.0,0.0,28.297839681094317
7,91.02393746682677,6.670094533797214,0.0,0.0,0.0,0.0,0.0,0.5539577208626472,0.0,0.0,0.0,0.0,0.0,2.173537910453305,0.5427779417686769,0.0,0.0,0.0,0.0,0.0,1.3853673436883054,1.7593279822715204,0.0,0.0,0.0,0.0,0.0,15.236708989036345,0.42070184137658206,0.0,0.0,0.0,0.0,0.0,3.929895563790832,26.72777875700269,0.0,0.0,0.0,0.0,0.0,54.802067785777425,3.716027790910731,0.0,0.0,0.0,0.0,0.0,59.476498482794895,8.44834764002579,0.0,0.0,0.0,0.0,0.0,55.087682753322525,13.513043555663927,0.0,0.0,0.0,0.0,0.0,0.04590273702337814,16.0779434625272,0.0,0.0,0.0,0.0,0.0,8.623193671829267,56.48610445987613,0.0,0.0,0.0,0.0,0.0,133.78544340030865,30.330327901339647,0.0,0.0,0.0,0.0,0.0,83.71897523209466,5.8616424396155065,0.0,0.0,0.0,0.0,0.0,2.1561885157557974,9.493101827496782,0.0,0.0,0.0,0.0,0.0,103.94740071535143,48.43899486436878,0.0,0.0,0.0,0.0,0.0,80.42067926398678,19.450960523066822,0.0,0.0,0.0,0.0,0.0,85.77397413154627,10.5170351921411,0.0,0.0,0.0,0.0,0.0,154.63072194746067,9.671702362050159,0.0,0.0,0.0,0.0,0.0,35.53567097422633
8,117.44991696693549,6.839555342653517,0.0,0.0,0.0,0.0,0.0,1.5450909872227063,0.0,0.0,0.0,0.0,0.0,0.44773282937698694,0.6491296778943059,0.0,0.0,0.0,0.0,0.0,1.939572401496695,1.8567015822573165,0.0,0.0,0.0,0.0,0.0,4.187352050701073,0.6169431355167126,0.0,0.0,0.0,0.0,0.0,3.2996941993995863,33.140503989926295,0.0,0.0,0.0,0.0,0.0,211.69289944385983,2.9080790367653786,0.0,0.0,0.0,0.0,0.0,11.009067984110306,19.005934806369485,0.0,0.0,0.0,0.0,0.0,147.20481667520406,4.965191638369738,0.0,0.0,0.0,0.0,0.0,10.994062405239346,10.191359058808947,0.0,0.0,0.0,0.0,0.0,6.8077450355436255,20.610406421814684,0.0,0.0,0.0,0.0,0.0,45.50775245812313,24.34727289055093,0.0,0.0,0.0,0.0,0.0,83.3518285890671,8.590134815701377,0.0,0.0,0.0,0.0,0.0,5.482112665909459,12.427204474803396,0.0,0.0,0.0,0.0,0.0,59.87989864544553,22.499044306357725,0.0,0.0,0.0,0.0,0.0,41.744270983549946,2.3614436884696945,0.0,0.0,0.0,0.0,0.0,53.576260574009595,4.441718626321418,0.0,0.0,0.0,0.0,0.0,106.65638808185373,6.777316026051228,0.0,0.0,0.0,0.0,0.0,19.637138409379148
