,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test
0,0.7703859849727005,0.7014254285179001,42.857142857142854,0.375,0.0,0.0,0.0
1,0.7223394118107829,0.7006660396218943,42.857142857142854,0.4375,0.0,0.0,0.0
2,0.5698434450689558,0.7119316145746216,42.857142857142854,0.6333333333333333,0.0,0.0,0.0
3,0.6374345899411272,0.7246526927164105,42.857142857142854,0.7916666666666667,0.0,0.0,0.0
4,0.5723200594882876,0.758371863965963,42.857142857142854,0.59375,0.0,0.0,0.0
5,0.6684898043258327,0.7534845676131166,42.857142857142854,0.6000000000000001,0.0,0.0,0.0
6,0.5755980259940539,0.8033194824414057,50.0,0.4666666666666667,0.1666666567325592,0.5,0.10000000149011612
7,0.4804313645203952,0.8305413509056397,50.0,0.5833333333333333,0.1428571492433548,0.5,0.0833333358168602
8,0.5112273725425357,0.8672688226296784,50.0,0.59375,0.20000000298023224,0.5,0.125
9,0.21616883331563846,0.8965038466196972,57.14285714285714,0.4375,0.5000000149011612,0.75,0.375
10,0.03767657652962543,0.8719993606674448,57.14285714285714,0.5833333333333334,0.625,0.75,0.5833333358168602
11,0.05415996144054199,0.8455568452444783,57.14285714285714,0.75,0.48571427166461945,0.8333333432674408,0.375
12,0.05930871306908351,0.7941476464438365,50.0,0.5888888888888888,0.5857142806053162,0.550000011920929,0.6333333551883698
13,0.022679857313913043,0.8256036600624438,64.28571428571429,0.46875,0.619047611951828,0.8333333432674408,0.5
14,0.018983828322416543,0.9094768199417056,64.28571428571429,0.5666666666666667,0.6500000059604645,0.8333333432674408,0.533333346247673
15,0.007216221327386373,0.9143498158104341,64.28571428571429,0.6000000000000001,0.6190476417541504,0.8333333432674408,0.533333346247673
16,0.011476732103005996,0.8272781146504592,64.28571428571429,0.5,0.6500000059604645,0.8333333432674408,0.533333346247673
17,0.008213276023383936,0.9491023669878916,64.28571428571429,0.6875,0.5750000029802322,0.875,0.5
18,0.0037746025649387734,0.9313163874734105,64.28571428571429,0.6666666666666667,0.4000000059604645,0.5,0.3333333432674408
19,0.003489397359097116,1.104654890261473,64.28571428571429,0.8,0.6190476417541504,0.8333333432674408,0.533333346247673
20,0.001859686314731387,0.9844031942870606,64.28571428571429,0.6222222222222222,0.6500000059604645,0.8333333432674408,0.533333346247673
21,0.0027249585987115716,1.076338123180593,64.28571428571429,0.5416666666666667,0.4000000059604645,0.5,0.3333333432674408
