,SZ,SZ,SZ,SZ,SZ,SZ,SZ,ASD,ASD,ASD,ASD,ASD,ASD,ASD,BIP,BIP,BIP,BIP,BIP,BIP,BIP,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,0.6903097090755462,0.6923394087841714,64.84375,0.7997395833333333,0.7213626690208912,0.5920386966317892,0.9895833320915699,0.6932133316199343,49.2063492063492,0.4909226190476192,0.0,0.0,0.0,0.6923973215095597,0.5699022609864466,80.64516129032258,0.5357142857142857,0.0,0.0,0.0,0.7618281763846384,0.6925024899550452,55.55555555555556,0.5166666666666666,0.38461539149284363,0.3125,0.5,0.9271442705859144,0.6930490350945908,53.84615384615385,0.3333333333333333,0.0,0.0,0.0,0.6901177624345709,0.6932160283450223,57.14285714285714,0.4642857142857143,0.3333333432674408,0.25,0.5,0.6938887441713825,0.6927741198980548,60.0,0.5666666666666667,0.7179487347602844,0.5625,1.0,0.6940498363970347,0.6934009028156162,25.0,0.9166666666666666,0.0,0.0,0.0,0.7016006795889647,0.6933604427462097,33.04347826086956,0.4957936507936509,0.4538409819205602,0.3130952388048172,0.9,0.693290309114655,0.698266375149742,43.90243902439025,0.5159722222222222,0.0,0.0,0.0,0.7951874806085282
1,2.699403687846099,2.9221784936193456,50.0,0.6375,0.6521312166005373,0.5,1.0,0.6931711220499505,46.56084656084656,0.45538194444444446,0.5112729916969935,0.47609127685427666,0.5861111171543598,0.6939285404345799,0.7009515228007646,19.35483870967742,0.3232142857142857,0.3222222328186035,0.1964285746216774,1.0,0.8445545695751848,0.692137643247471,55.55555555555556,0.6166666666666667,0.38461539149284363,0.3125,0.5,0.963669777038481,1.0994129568028166,53.84615384615385,0.45,0.0,0.0,0.0,0.545455397161598,1.2812166349044083,21.428571428571427,0.125,0.3611111119389534,0.2291666716337204,1.0,0.6918335491376845,0.6935475046813849,40.0,0.625,0.0,0.0,0.0,0.6900569997757299,1.7374818922788169,25.0,0.08333333333333333,0.0,0.0,0.0,0.655177754717838,0.6961740012850446,33.04347826086956,0.5676587301587301,0.47808562715848285,0.3305555562178294,1.0,0.6866863991271812,0.6930711259910513,56.09756097560976,0.5049603174603174,0.4920634975035985,0.4888888920346896,0.5257936517397562,0.6927344454407084
2,0.5943794804353069,0.7438112941549789,61.71875,0.6661458333333333,0.3671131059527397,0.5260416679084301,0.2916666707023978,0.6912238316653894,52.38095238095239,0.5273561507936508,0.5323639425138632,0.51517857487003,0.5930555611848831,0.6770095457947303,0.6748144298420126,83.87096774193549,0.6291666666666667,0.1666666716337204,0.25,0.125,0.6804454872015991,0.6935445917517989,55.55555555555556,0.4375,0.75,0.75,0.75,0.6928828946241804,0.7376189611529965,46.15384615384615,0.41666666666666663,0.0,0.0,0.0,0.5149296623033264,0.7001197244612811,21.428571428571427,0.1,0.34285715222358704,0.2083333358168602,1.0,0.7922611912717263,0.6799110592966494,40.0,0.375,0.7000000029802322,0.6666666716337204,0.75,0.7101272531618076,0.9400446637550516,25.0,0.8333333333333334,0.0,0.0,0.0,0.7530234285638202,0.6918508362360729,66.95652173913044,0.4903968253968254,0.0,0.0,0.0,0.686197035944769,0.6917388421581376,43.90243902439025,0.5777777777777777,0.15000000099341074,0.3333333333333333,0.0972222238779068,0.6936659059577537
3,0.5470082756009577,0.9284829536042045,53.125,0.7794270833333333,0.14851190708577633,0.28125,0.10937500093132257,0.7661459524720197,49.2063492063492,0.5370287698412699,0.0,0.0,0.0,0.7043244063946125,0.5683963317128883,80.64516129032258,0.5958333333333333,0.0,0.0,0.0,0.5275166288444473,0.6936262603764001,44.44444444444444,0.48333333333333334,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.6930195684730701,0.7524805267317471,46.15384615384615,0.5625,0.6190476417541504,0.45000000298023224,1.0,0.693692438016616,0.8793684975404498,42.857142857142854,0.3833333333333333,0.42222224175930023,0.2678571492433548,1.0,0.6435628849672179,0.7553233241811113,50.0,0.2,0.6666666865348816,0.5357142984867096,0.9000000059604645,0.5795594518956997,0.8086501613023567,25.0,0.3333333333333333,0.0,0.0,0.0,1.2351640291250516,0.6868904503618612,66.95652173913044,0.5292063492063492,0.0,0.0,0.0,0.706476450974584,0.690014022079455,43.90243902439025,0.4902777777777778,0.13888889054457346,0.1944444477558136,0.10833333432674408,0.6923156960095119
4,0.44116047818675624,0.7435791543432683,59.375,0.765327380952381,0.3039682600647211,0.5729166679084301,0.21428571548312902,0.6886378622002496,49.735449735449734,0.600173611111111,0.0138888880610466,0.041666666666666664,0.008333333457509676,0.6945716109110012,0.528623192895635,80.64516129032258,0.7071428571428572,0.0,0.0,0.0,0.11001919230952802,0.6932136605266812,44.44444444444444,0.5,0.0,0.0,0.0,0.6935794350476647,0.6956239209759703,61.53846153846154,0.5625,0.7727272510528564,0.7142857164144516,0.875,1.1793672534383124,1.0317908924162347,21.428571428571427,0.45,0.27272728085517883,0.1875,0.5,0.647983920878496,0.6976486609327791,40.0,0.23333333333333334,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.539499059762458,0.772624094791073,25.0,0.5,0.0,0.0,0.0,0.6589970200529789,0.6870798034158879,66.95652173913044,0.39119047619047626,0.0,0.0,0.0,0.6831725311675946,0.7056803883709323,41.46341463414634,0.5743055555555556,0.10317460199197133,0.25,0.06666666766007741,0.6937280857750746
5,0.7183122184907372,0.6922484052582629,56.25,0.7955357142857143,0.30476190708577633,0.5,0.24136904999613762,0.6867736106048201,50.264550264550266,0.5753472222222222,0.11884920423229535,0.3125,0.07500000111758709,0.9682317651267089,0.4558380842695865,80.64516129032258,0.6625,0.0,0.0,0.0,0.32600965811410737,0.6932294680754201,44.44444444444444,0.53125,0.0,0.0,0.0,0.6900629667013995,0.678834517993602,53.84615384615385,0.7166666666666667,0.0,0.0,0.0,0.8123712047282184,0.7000451511447913,42.857142857142854,0.5982142857142857,0.1428571492433548,0.0833333358168602,0.5,0.6948307694567758,0.750900240224431,50.0,0.375,0.6428571343421936,0.6666666716337204,0.625,0.6358220519859838,0.7650766782518293,25.0,0.08333333333333333,0.0,0.0,0.0,0.8029993341160124,0.6879464069805339,66.95652173913044,0.4471825396825397,0.0,0.0,0.0,0.6806717594011452,0.6811125913943233,43.90243902439025,0.5777777777777778,0.17777777711550394,0.4166666666666667,0.11666666716337204,0.6958792258145955
6,0.42497443758321696,0.7006079998366956,71.875,0.7809895833333332,0.7120799534022808,0.6513392943888903,0.8270833343267441,0.6989932820402741,55.026455026455025,0.5886160714285714,0.541412760814031,0.545138893648982,0.5832341325779756,0.647036740710107,0.5550537340513666,74.19354838709677,0.625,0.4583333358168602,0.4375,0.5,0.3222023241339662,0.6918691400735049,66.66666666666666,0.65,0.3333333432674408,0.375,0.30000001192092896,0.7509417261550556,0.6791565122813125,61.53846153846154,0.6875,0.6969697177410126,0.5357142984867096,1.0,0.6998145972259411,0.7064980638536712,35.714285714285715,0.48333333333333334,0.1428571343421936,0.125,0.1666666716337204,0.9233033201075788,0.7366139234549058,60.0,0.6875,0.3333333432674408,0.5,0.25,0.41885658715158647,0.8064604984531643,25.0,0.4166666666666667,0.0,0.0,0.0,0.6849409178184146,0.6990907656259501,66.95652173913044,0.3993650793650794,0.0,0.0,0.0,0.7035819288165158,0.7041421100747218,60.97560975609756,0.64375,0.7296296457449595,0.6634920686483383,0.8333333333333334,0.6891105469365155
7,0.4726093655415177,0.7054405365611512,73.4375,0.8780505952380953,0.7093434557318687,0.6656250022351742,0.8447916693985462,0.6939733298018321,58.201058201058196,0.5727430555555556,0.5229437301556269,0.6312500052154064,0.49375000533958274,0.6152631487375693,0.5299329718975309,80.64516129032258,0.7916666666666666,0.5,0.5833333358168602,0.5833333358168602,0.4576146856987462,0.6721299674088286,55.55555555555556,0.5625,0.8333333432674408,0.75,1.0,0.6979320274983705,0.6978183581829465,53.84615384615385,0.7083333333333333,0.4166666716337204,0.5,0.375,0.24953913278999837,0.7083923976131994,57.14285714285714,0.375,0.25,0.25,0.25,0.4728474871366907,0.7169611925168369,50.0,0.8,0.6428571492433548,0.75,0.6000000014901161,0.6646702240863622,0.7625552025369756,37.5,0.75,0.2857142984867096,1.0,0.1666666716337204,0.728093922171097,0.6945891044403687,66.95652173913044,0.4801587301587302,0.0,0.0,0.0,0.6150969383425774,0.7029547223402337,60.97560975609756,0.6041666666666666,0.5729918380578359,0.5194444457689921,0.6944444477558136,0.6862159247852437
8,0.27171342401721116,0.7436864456047575,62.5,0.8059895833333335,0.4543154817074537,0.7760416679084301,0.33958333544433117,0.6971842929784199,55.55555555555556,0.592361111111111,0.3759920696417491,0.5027777788539728,0.318154767776529,0.6928710379348325,0.4905119880559052,80.64516129032258,0.8452380952380952,0.0,0.0,0.0,0.4927869310844422,0.6927316461027888,66.66666666666666,0.59375,0.3333333432674408,0.5,0.25,0.6944575053529047,0.7992534009028843,38.46153846153847,0.48333333333333334,0.222222238779068,0.25,0.20000000298023224,0.49226372260384044,0.7896358670335977,35.714285714285715,0.3214285714285714,0.3333333432674408,0.25,0.5,0.4887798261851199,0.7666770440038043,50.0,0.7,0.5833333432674408,0.5833333432674408,0.7000000029802322,0.46954622907974886,0.6226611998586405,75.0,0.9166666666666666,0.800000011920929,1.0,0.6666666865348816,0.6216508126887769,0.6862936270954186,66.95652173913044,0.5084920634920634,0.0,0.0,0.0,0.7272095827109624,0.6806976455750076,46.34146341463415,0.5763888888888888,0.2916666666666667,0.3611111144224803,0.26111111293236416,0.6918490824870263
