,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,NYU,NYU,NYU,NYU,NYU,NYU,NYU,SZ1,SZ1,SZ1,SZ1,SZ1,SZ1,SZ1,SZ2,SZ2,SZ2,SZ2,SZ2,SZ2,SZ2,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,USM,USM,USM,USM,USM,USM,USM
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,300.5038736111733,62.7294081600296,0.0,0.0,0.0,0.0,0.0,5.0565972952338605,0.0,0.0,0.0,0.0,0.0,12.130436789420644,6.697741533983955,0.0,0.0,0.0,0.0,0.0,10.735159543031225,1.6782390356491286,0.0,0.0,0.0,0.0,0.0,20.73412047893469,194.970923407861,0.0,0.0,0.0,0.0,0.0,1146.4541137494086,9.075981742708798,0.0,0.0,0.0,0.0,0.0,101.71528160780794,152.38983874927192,0.0,0.0,0.0,0.0,0.0,84.31313268757943,52.59631315856986,0.0,0.0,0.0,0.0,0.0,404.19869247903665,38.67983538827838,0.0,0.0,0.0,0.0,0.0,318.31856904386996,211.45822605090683,0.0,0.0,0.0,0.0,0.0,1019.0290274594958,55.18008182173877,0.0,0.0,0.0,0.0,0.0,448.12676072521833,23.305850726202387,0.0,0.0,0.0,0.0,0.0,7.869643483693334,17.594293686230728,0.0,0.0,0.0,0.0,0.0,133.1336202117199,813.3352591765954,0.0,0.0,0.0,0.0,0.0,5143.282805763581,424.1438939640111,0.0,0.0,0.0,0.0,0.0,3164.674702984655,308.1465736568546,0.0,0.0,0.0,0.0,0.0,980.7303153235864,8.811800933539578,0.0,0.0,0.0,0.0,0.0,131.44829959475132
1,237.03541643898006,17.888517514323237,0.0,0.0,0.0,0.0,0.0,1.890299363066479,0.0,0.0,0.0,0.0,0.0,3.1851869506800625,3.208080933080777,0.0,0.0,0.0,0.0,0.0,45.64006790360962,1.8813537341580149,0.0,0.0,0.0,0.0,0.0,17.886104039537692,152.23570799457545,0.0,0.0,0.0,0.0,0.0,1435.1159895524754,11.590086230526374,0.0,0.0,0.0,0.0,0.0,96.14581251353398,50.21661555484812,0.0,0.0,0.0,0.0,0.0,0.11500392979503758,26.194013267412508,0.0,0.0,0.0,0.0,0.0,437.7903353892767,27.90058867285956,0.0,0.0,0.0,0.0,0.0,207.12738451532638,222.88405103870883,0.0,0.0,0.0,0.0,0.0,933.0338272033538,17.80752173368744,0.0,0.0,0.0,0.0,0.0,53.356167797682495,3.891864114686006,0.0,0.0,0.0,0.0,0.0,16.733905770658733,16.144164926188697,0.0,0.0,0.0,0.0,0.0,46.63243633947002,736.6150568612285,0.0,0.0,0.0,0.0,0.0,3954.749864504567,146.65951815092157,0.0,0.0,0.0,0.0,0.0,696.2376109250331,202.90376186379473,0.0,0.0,0.0,0.0,0.0,627.5108566380418,5.604947550507606,0.0,0.0,0.0,0.0,0.0,122.38916269756818
2,43.122385529435604,29.773299588814165,0.0,0.0,0.0,0.0,0.0,0.8223275225121196,0.0,0.0,0.0,0.0,0.0,2.7905406948694846,2.773034217706772,0.0,0.0,0.0,0.0,0.0,12.757947792402902,1.1158337930843858,0.0,0.0,0.0,0.0,0.0,3.3197773978679193,89.96218899552836,0.0,0.0,0.0,0.0,0.0,781.3976828805417,7.991639637904989,0.0,0.0,0.0,0.0,0.0,70.92568587828944,46.80035828113825,0.0,0.0,0.0,0.0,0.0,22.521259486486777,27.572528382572813,0.0,0.0,0.0,0.0,0.0,248.8152650487314,47.492143619911296,0.0,0.0,0.0,0.0,0.0,35.0688919850833,91.16084634654028,0.0,0.0,0.0,0.0,0.0,223.58802510722327,34.13640939742374,0.0,0.0,0.0,0.0,0.0,501.0321199889155,6.14295902807006,0.0,0.0,0.0,0.0,0.0,9.673882414872164,20.77725312310635,0.0,0.0,0.0,0.0,0.0,39.65782903244057,489.4379382851046,0.0,0.0,0.0,0.0,0.0,2613.7652725094194,19.605262402024575,0.0,0.0,0.0,0.0,0.0,216.1374241892006,62.83663586714592,0.0,0.0,0.0,0.0,0.0,228.57641959021936,10.570445911843596,0.0,0.0,0.0,0.0,0.0,182.60763825679425
3,133.9684976914446,12.568541807739848,0.0,0.0,0.0,0.0,0.0,1.2432628820319678,0.0,0.0,0.0,0.0,0.0,10.470768486040809,1.7868382450131954,0.0,0.0,0.0,0.0,0.0,16.51037823010666,0.6223844270282817,0.0,0.0,0.0,0.0,0.0,3.078971735573159,69.93316212502128,0.0,0.0,0.0,0.0,0.0,388.25841366201496,5.137795165667575,0.0,0.0,0.0,0.0,0.0,59.583434395146426,62.28504480484955,0.0,0.0,0.0,0.0,0.0,49.7987616988428,16.75934913429414,0.0,0.0,0.0,0.0,0.0,47.00713324173587,26.95645783693318,0.0,0.0,0.0,0.0,0.0,321.30477025882726,77.3127620623605,0.0,0.0,0.0,0.0,0.0,284.28153663198407,13.537635666425562,0.0,0.0,0.0,0.0,0.0,122.32862198811856,9.45880089664326,0.0,0.0,0.0,0.0,0.0,3.7146030419175604,12.744661458590127,0.0,0.0,0.0,0.0,0.0,176.74573264360404,361.3769042356389,0.0,0.0,0.0,0.0,0.0,1624.4494588513328,18.154629764643545,0.0,0.0,0.0,0.0,0.0,154.2384881950722,108.33557800426638,0.0,0.0,0.0,0.0,0.0,70.71555554664701,6.78591119452895,0.0,0.0,0.0,0.0,0.0,101.01410638722166
4,64.46085934391968,13.529838425023963,0.0,0.0,0.0,0.0,0.0,0.6958618869009652,0.0,0.0,0.0,0.0,0.0,6.951745961978978,0.8274892605926798,0.0,0.0,0.0,0.0,0.0,15.191481785211241,0.3521614945971084,0.0,0.0,0.0,0.0,0.0,10.057020372291186,55.29090722868878,0.0,0.0,0.0,0.0,0.0,299.0928880508333,5.58124308804406,0.0,0.0,0.0,0.0,0.0,20.894000745157623,37.61010269736034,0.0,0.0,0.0,0.0,0.0,2.494974633237717,16.764118968494003,0.0,0.0,0.0,0.0,0.0,13.651042910561978,25.87473775856229,0.0,0.0,0.0,0.0,0.0,133.35891790239322,34.49121558987971,0.0,0.0,0.0,0.0,0.0,108.27182697948545,11.514968971046814,0.0,0.0,0.0,0.0,0.0,49.49493749571386,13.912923603783476,0.0,0.0,0.0,0.0,0.0,16.45469326652558,15.939094824655447,0.0,0.0,0.0,0.0,0.0,44.18206070475148,226.16108707445846,0.0,0.0,0.0,0.0,0.0,1592.9839807052115,13.836434888929631,0.0,0.0,0.0,0.0,0.0,140.78446642439044,43.70475246835015,0.0,0.0,0.0,0.0,0.0,157.76705247896308,4.622334364608706,0.0,0.0,0.0,0.0,0.0,134.6858683790032
5,97.32053976547242,14.659630935111277,0.0,0.0,0.0,0.0,0.0,0.255653687563624,0.0,0.0,0.0,0.0,0.0,3.4225507442256635,0.8002162124127341,0.0,0.0,0.0,0.0,0.0,8.994934212380336,0.8112625338387309,0.0,0.0,0.0,0.0,0.0,7.580599384517178,48.50554783222844,0.0,0.0,0.0,0.0,0.0,392.4516216442341,5.854617835712634,0.0,0.0,0.0,0.0,0.0,15.578657972392042,10.281417430229261,0.0,0.0,0.0,0.0,0.0,168.94887516078842,15.61339315554081,0.0,0.0,0.0,0.0,0.0,74.41953209368272,16.22948135558502,0.0,0.0,0.0,0.0,0.0,224.27373958323682,54.6338837089354,0.0,0.0,0.0,0.0,0.0,148.61940093118747,10.87463196026175,0.0,0.0,0.0,0.0,0.0,86.29163511465939,5.132085921762208,0.0,0.0,0.0,0.0,0.0,1.2330997053108042,13.991846142900206,0.0,0.0,0.0,0.0,0.0,53.3422500373734,114.68694501923169,0.0,0.0,0.0,0.0,0.0,958.5014410930096,20.990225840679482,0.0,0.0,0.0,0.0,0.0,201.6836823010447,45.354001143914566,0.0,0.0,0.0,0.0,0.0,136.05430802410677,2.741241095022645,0.0,0.0,0.0,0.0,0.0,89.13277537510648
6,80.95680399995356,14.789466599799907,0.0,0.0,0.0,0.0,0.0,2.8848200927704633,0.0,0.0,0.0,0.0,0.0,12.67055997784819,0.7389158256309947,0.0,0.0,0.0,0.0,0.0,5.681247394049599,0.4660588954688563,0.0,0.0,0.0,0.0,0.0,0.5043100866093428,46.54109072169586,0.0,0.0,0.0,0.0,0.0,292.24376077014796,7.253988647363169,0.0,0.0,0.0,0.0,0.0,38.54455876330529,13.914695495842883,0.0,0.0,0.0,0.0,0.0,320.23355489542587,17.81043116826801,0.0,0.0,0.0,0.0,0.0,23.099453540673483,13.372857600170883,0.0,0.0,0.0,0.0,0.0,300.74502332862255,27.21991486777324,0.0,0.0,0.0,0.0,0.0,79.58093149999858,12.600291919432264,0.0,0.0,0.0,0.0,0.0,117.9055084805575,1.9464370125647623,0.0,0.0,0.0,0.0,0.0,40.27234724819836,13.23936978481277,0.0,0.0,0.0,0.0,0.0,52.1890804520337,108.14281700144959,0.0,0.0,0.0,0.0,0.0,260.83007684947904,9.895107344809691,0.0,0.0,0.0,0.0,0.0,50.37080029339592,80.22899455470136,0.0,0.0,0.0,0.0,0.0,243.8742749233972,2.218245114634603,0.0,0.0,0.0,0.0,0.0,25.750246584974406
7,134.43889398870866,23.99479904086545,0.0,0.0,0.0,0.0,0.0,0.6386258072873406,0.0,0.0,0.0,0.0,0.0,11.11318343308541,0.756713342884261,0.0,0.0,0.0,0.0,0.0,4.722909027311628,0.5802612300399286,0.0,0.0,0.0,0.0,0.0,3.4743568438239136,43.86143206917308,0.0,0.0,0.0,0.0,0.0,263.92943674352887,10.562311876425847,0.0,0.0,0.0,0.0,0.0,12.854025248249048,9.598397149270248,0.0,0.0,0.0,0.0,0.0,76.36340098376873,9.814004436651409,0.0,0.0,0.0,0.0,0.0,23.834985687610992,16.59519377927504,0.0,0.0,0.0,0.0,0.0,14.795222752960276,39.10009622893941,0.0,0.0,0.0,0.0,0.0,65.01105341073979,11.57117585589508,0.0,0.0,0.0,0.0,0.0,36.44590805030358,3.2155331593877734,0.0,0.0,0.0,0.0,0.0,14.533900803724736,12.753556905579591,0.0,0.0,0.0,0.0,0.0,50.81607587037738,33.95357393926209,0.0,0.0,0.0,0.0,0.0,520.6899227901665,14.284361388928323,0.0,0.0,0.0,0.0,0.0,40.52789806772501,30.166156083488385,0.0,0.0,0.0,0.0,0.0,89.77075226821968,3.9709821363330824,0.0,0.0,0.0,0.0,0.0,22.2916818821648
8,25.95092975254437,13.877086564125557,0.0,0.0,0.0,0.0,0.0,0.8750559604073502,0.0,0.0,0.0,0.0,0.0,0.9091990960398041,0.9113862364584424,0.0,0.0,0.0,0.0,0.0,8.854840953634536,0.485490212603021,0.0,0.0,0.0,0.0,0.0,6.136643215282925,38.641212131560366,0.0,0.0,0.0,0.0,0.0,100.66689146462527,9.223214860801962,0.0,0.0,0.0,0.0,0.0,38.617719252677794,15.724231618715205,0.0,0.0,0.0,0.0,0.0,72.4513021628765,9.765372067347968,0.0,0.0,0.0,0.0,0.0,219.9243416440434,20.255024661692573,0.0,0.0,0.0,0.0,0.0,0.1981394834754901,21.709965591654733,0.0,0.0,0.0,0.0,0.0,125.68177846478132,13.387197604998804,0.0,0.0,0.0,0.0,0.0,65.98459370577147,6.139412465179358,0.0,0.0,0.0,0.0,0.0,19.484468840134284,10.613220078917024,0.0,0.0,0.0,0.0,0.0,37.36820667193856,7.036530046290127,0.0,0.0,0.0,0.0,0.0,97.75009389165488,22.750217843175786,0.0,0.0,0.0,0.0,0.0,35.313252180113004,22.207191339077106,0.0,0.0,0.0,0.0,0.0,154.31894282433345,4.4187391294643685,0.0,0.0,0.0,0.0,0.0,24.85784628268322
